t,x,y,fh,fv,r,s,frame:
0,0,-6,0,0,0,-72,0
1,0,-6,0,0,0,-72,0
2,0,-6,0,0,0,-72,0
3,0,-3,0,0,0,-72,0
4,0,1,0,0,0,-72,0
5,-1,5,0,0,0,-72,0
6,-1,7,0,0,0,-72,0
7,-1,7,0,0,0,-72,0
8,-1,8,0,0,0,-72,0
9,-1,8,0,0,0,-72,0
10,-1,8,0,0,0,-72,0
11,-1,9,0,0,0,-72,0
12,-1,9,0,0,0,-72,0
13,-1,9,0,0,0,-72,0
14,-1,9,0,0,0,-72,0
15,-1,8,0,0,0,-72,0
16,-1,7,0,0,0,-72,0
17,0,4,0,0,0,-72,0
18,2,-1,0,0,0,-72,0
19,3,-3,0,0,0,-72,0
20,4,-5,0,0,0,-72,0
21,4,-5,0,0,0,-72,0
22,4,-5,0,0,0,-72,0
23,4,-4,0,0,0,-72,0
24,3,1,0,0,0,-72,0
25,3,6,0,0,0,-72,0
26,2,9,0,0,0,-72,0
27,2,12,0,0,0,-72,0
28,2,13,0,0,0,-72,0
29,2,13,0,0,0,-72,0
30,2,13,0,0,0,-72,0
31,2,13,0,0,0,-72,0
32,2,13,0,0,0,-72,0
33,2,8,0,0,0,-72,0
34,3,3,0,0,0,-72,0
35,3,-1,0,0,0,-72,0
36,3,-2,0,0,0,-72,0
37,4,-6,0,0,0,-72,0
38,4,-7,0,0,0,-72,0
39,4,-7,0,0,0,-72,0
40,4,-7,0,0,0,-72,0
41,4,-4,0,0,0,-72,0
42,4,1,0,0,0,-72,0
43,3,5,0,0,0,-72,0
44,3,6,0,0,0,-72,0
45,3,7,0,0,0,-72,0
46,3,7,0,0,0,-72,0
47,3,7,0,0,0,-72,0
48,3,7,0,0,0,-72,0
49,3,7,0,0,0,-72,0
50,3,7,0,0,0,-72,0
51,3,3,0,0,0,-72,0
52,3,-2,0,0,0,-72,0
53,3,-8,0,0,0,-72,0
54,3,-11,0,0,0,-72,0
55,3,-11,0,0,0,-72,0
56,3,-11,0,0,0,-72,0
57,3,-10,0,0,0,-72,0
58,3,-5,0,0,0,-72,0
59,1,-1,0,0,0,-72,0
60,1,2,0,0,0,-72,0
61,0,5,0,0,0,-72,0
62,0,6,0,0,0,-72,0
63,0,6,0,0,0,-72,0
64,0,6,0,0,0,-72,0
65,0,6,0,0,0,-72,0
66,0,6,0,0,0,-72,0
67,0,6,0,0,0,-72,0
68,0,6,0,0,0,-72,0
69,0,4,0,0,0,-72,0
70,0,2,0,0,0,-72,0
71,0,0,0,0,0,-72,0
72,0,-2,0,0,0,-72,0
73,0,-2,0,0,0,-72,0
74,0,-2,0,0,0,-72,0
75,0,-2,0,0,0,-72,0
76,0,-2,0,0,0,-72,0
77,0,-2,0,0,0,-72,0
78,0,-2,0,0,0,-72,0
79,0,-2,0,0,0,-72,0
