t,x,y,fh,fv,r,s,frame:
0,2,-1,0,0,5,-72,0
1,2,-1,0,0,5,-72,0
2,2,-1,0,0,5,-72,0
3,2,-1,0,0,5,-72,0
4,2,-1,0,0,5,-72,0
5,2,-1,0,0,5,-72,0
6,-3,-6,0,0,5,-72,0
7,-7,-12,0,0,5,-72,0
8,-10,-16,0,0,5,-72,0
9,-10,-17,0,0,5,-72,0
10,-6,-20,0,0,5,-72,0
11,0,-23,0,0,5,-72,0
12,7,-26,0,0,5,-72,0
13,9,-28,0,0,5,-72,0
14,10,-29,0,0,5,-72,0
15,10,-30,0,0,5,-72,0
16,10,-30,0,0,5,-72,0
17,10,-30,0,0,5,-72,0
18,10,-30,0,0,5,-72,0
19,7,-30,0,0,5,-72,0
20,0,-30,0,0,5,-72,0
21,-3,-30,0,0,5,-72,0
22,-5,-30,0,0,5,-72,0
23,-5,-30,0,0,5,-72,0
24,-5,-30,0,0,5,-72,0
25,-5,-30,0,0,5,-72,0
26,-5,-30,0,0,5,-72,0
27,-5,-32,0,0,5,-72,0
28,-4,-35,0,0,5,-72,0
29,-2,-37,0,0,5,-72,0
30,1,-39,0,0,5,-72,0
31,3,-41,0,0,5,-72,0
32,4,-42,0,0,5,-72,0
33,4,-42,0,0,5,-72,0
34,4,-42,0,0,5,-72,0
35,4,-42,0,0,5,-72,0
36,4,-42,0,0,5,-72,0
37,0,-38,0,0,5,-72,0
38,-3,-36,0,0,5,-72,0
39,-5,-34,0,0,5,-72,0
40,-5,-33,0,0,5,-72,0
41,-5,-33,0,0,5,-72,0
42,-5,-33,0,0,5,-72,0
43,-5,-33,0,0,5,-72,0
44,-5,-33,0,0,5,-72,0
45,-5,-33,0,0,5,-72,0
46,-5,-33,0,0,5,-72,0
47,-4,-31,0,0,5,-72,0
48,-3,-29,0,0,5,-72,0
49,-2,-28,0,0,5,-72,0
50,-2,-25,0,0,5,-72,0
51,-3,-22,0,0,5,-72,0
52,-7,-15,0,0,5,-72,0
53,-10,-11,0,0,5,-72,0
54,-11,-8,0,0,5,-72,0
55,-12,-6,0,0,5,-72,0
56,-13,-5,0,0,5,-72,0
57,-13,-5,0,0,5,-72,0
58,-13,-5,0,0,5,-72,0
59,-13,-5,0,0,5,-72,0
60,-11,-5,0,0,5,-72,0
61,-9,-6,0,0,5,-72,0
62,-6,-6,0,0,5,-72,0
63,-3,-6,0,0,5,-72,0
64,0,-6,0,0,5,-72,0
65,2,-6,0,0,5,-72,0
66,2,-6,0,0,5,-72,0
67,2,-6,0,0,5,-72,0
68,2,-2,0,0,5,-72,0
69,1,3,0,0,5,-72,0
70,0,8,0,0,5,-72,0
71,-1,11,0,0,5,-72,0
72,-1,12,0,0,5,-72,0
73,-1,12,0,0,5,-72,0
74,-1,12,0,0,5,-72,0
75,-1,12,0,0,5,-72,0
76,-1,12,0,0,5,-72,0
77,-1,12,0,0,5,-72,0
78,-1,12,0,0,5,-72,0
79,-1,12,0,0,5,-72,0
80,-1,12,0,0,5,-72,0
81,-1,12,0,0,5,-72,0
82,-1,12,0,0,5,-72,0
83,-1,12,0,0,5,-72,0
84,-1,12,0,0,5,-72,0
85,-1,12,0,0,5,-72,0
86,-1,12,0,0,5,-72,0
87,-1,12,0,0,5,-72,0
88,-1,12,0,0,5,-72,0
