t,x,y,fh,fv,r,s,frame:
0,376,134,0,0,0,0,0
1,376,134,0,0,0,0,0
2,376,134,0,0,0,0,0
3,376,134,0,0,0,0,0
4,376,134,0,0,0,0,0
5,376,134,0,0,0,0,0
6,376,134,0,0,0,0,0
7,376,134,0,0,0,0,0
8,376,134,0,0,0,0,0
9,376,134,0,0,0,0,0
10,376,134,0,0,0,0,0
11,378,135,0,0,0,0,0
12,380,135,0,0,0,0,0
13,382,135,0,0,0,0,0
14,384,135,0,0,0,0,0
15,385,135,0,0,0,0,0
16,387,135,0,0,0,0,0
17,389,135,0,0,0,0,0
18,391,135,0,0,0,0,0
19,394,134,0,0,0,0,0
20,396,133,0,0,0,0,0
21,397,132,0,0,0,0,0
22,398,132,0,0,0,0,0
23,398,132,0,0,0,0,0
24,398,132,0,0,0,0,0
25,399,132,0,0,0,0,0
26,401,132,0,0,0,0,0
27,402,132,0,0,0,0,0
28,404,133,0,0,0,0,0
29,405,133,0,0,0,0,0
30,405,133,0,0,0,0,0
31,406,133,0,0,0,0,0
32,407,133,0,0,0,0,0
33,407,133,0,0,0,0,0
34,408,133,0,0,0,0,0
35,410,134,0,0,0,0,0
36,411,134,0,0,0,0,0
37,412,134,0,0,0,0,0
38,413,135,0,0,0,0,0
39,414,135,0,0,0,0,0
40,415,135,0,0,0,0,0
41,416,135,0,0,0,0,0
42,417,136,0,0,0,0,0
43,418,136,0,0,0,0,0
44,418,136,0,0,0,0,0
45,421,136,0,0,0,0,0
46,425,136,0,0,0,0,0
47,428,136,0,0,0,0,0
48,430,136,0,0,0,0,0
49,432,136,0,0,0,0,0
50,433,135,0,0,0,0,0
51,435,135,0,0,0,0,0
52,436,135,0,0,0,0,0
53,437,134,0,0,0,0,0
54,438,134,0,0,0,0,0
55,439,133,0,0,0,0,0
56,441,132,0,0,0,0,0
57,442,131,0,0,0,0,0
58,445,129,0,0,0,0,0
59,447,128,0,0,0,0,0
60,450,126,0,0,0,0,0
61,451,125,0,0,0,0,0
62,452,125,0,0,0,0,0
63,453,125,0,0,0,0,0
64,453,125,0,0,0,0,0
65,454,125,0,0,0,0,0
66,455,125,0,0,0,0,0
67,455,125,0,0,0,0,0
68,456,125,0,0,0,0,0
69,457,125,0,0,0,0,0
70,458,125,0,0,0,0,0
71,459,125,0,0,0,0,0
72,461,126,0,0,0,0,0
73,461,127,0,0,0,0,0
74,462,128,0,0,0,0,0
75,463,129,0,0,0,0,0
76,464,130,0,0,0,0,0
77,465,132,0,0,0,0,0
78,466,133,0,0,0,0,0
79,467,134,0,0,0,0,0
80,468,135,0,0,0,0,0
81,468,135,0,0,0,0,0
82,469,136,0,0,0,0,0
83,469,136,0,0,0,0,0
84,470,137,0,0,0,0,0
85,470,137,0,0,0,0,0
86,470,137,0,0,0,0,0
87,471,137,0,0,0,0,0
88,471,137,0,0,0,0,0
89,471,137,0,0,0,0,0
90,471,137,0,0,0,0,0
91,471,137,0,0,0,0,0
92,471,137,0,0,0,0,0
93,471,137,0,0,0,0,0
94,471,137,0,0,0,0,0
95,471,137,0,0,0,0,0
96,471,137,0,0,0,0,0
97,471,137,0,0,0,0,0
98,471,137,0,0,0,0,0
99,471,137,0,0,0,0,0
100,471,137,0,0,0,0,0
101,471,137,0,0,0,0,0
102,471,137,0,0,0,0,0
103,471,137,0,0,0,0,0
104,471,137,0,0,0,0,0
105,471,138,1,0,0,0,0
106,471,138,1,0,0,0,0
107,471,138,1,0,0,0,0
108,471,138,1,0,0,0,0
109,471,138,1,0,0,0,0
110,471,138,1,0,0,0,0
111,471,138,1,0,0,0,0
112,471,138,1,0,0,0,0
113,471,138,1,0,0,0,0
