t,x,y,fh,fv,r,s,frame:
0,-83,-56,0,0,18,-25,0
1,-83,-56,0,0,18,-25,0
2,-83,-56,0,0,18,-25,0
3,-83,-56,0,0,18,-25,0
4,-83,-56,0,0,18,-25,0
5,-84,-56,0,0,18,-25,0
6,-84,-56,0,0,18,-25,0
7,-85,-55,0,0,18,-25,0
8,-86,-55,0,0,18,-25,0
9,-86,-55,0,0,18,-25,0
10,-86,-55,0,0,18,-25,0
11,-86,-55,0,0,18,-25,0
12,-86,-55,0,0,18,-25,0
13,-86,-55,0,0,18,-25,0
14,-87,-55,0,0,18,-25,0
15,-88,-55,0,0,18,-25,0
16,-89,-56,0,0,18,-25,0
17,-90,-56,0,0,18,-25,0
18,-90,-56,0,0,18,-25,0
19,-91,-56,0,0,18,-25,0
20,-91,-56,0,0,18,-25,0
21,-91,-56,0,0,18,-25,0
22,-91,-56,0,0,18,-25,0
23,-91,-56,0,0,18,-25,0
24,-91,-56,0,0,18,-25,0
25,-91,-56,0,0,18,-25,0
26,-91,-56,0,0,18,-25,0
27,-91,-57,0,0,18,-25,0
28,-91,-57,0,0,18,-25,0
29,-91,-58,0,0,18,-25,0
30,-91,-58,0,0,18,-25,0
31,-91,-58,0,0,18,-25,0
32,-91,-59,0,0,18,-25,0
33,-91,-60,0,0,18,-25,0
34,-91,-60,0,0,18,-25,0
35,-91,-60,0,0,18,-25,0
36,-91,-60,0,0,18,-25,0
37,-91,-60,0,0,18,-25,0
38,-91,-60,0,0,18,-25,0
39,-91,-60,0,0,18,-25,0
40,-91,-60,0,0,18,-25,0
41,-91,-60,0,0,18,-25,0
42,-91,-60,0,0,18,-25,0
43,-91,-61,0,0,18,-25,0
44,-91,-62,0,0,18,-25,0
45,-90,-63,0,0,18,-25,0
46,-90,-63,0,0,18,-25,0
47,-90,-63,0,0,18,-25,0
48,-90,-64,0,0,18,-25,0
49,-90,-64,0,0,18,-25,0
50,-89,-65,0,0,18,-25,0
51,-89,-65,0,0,18,-25,0
52,-88,-65,0,0,18,-25,0
53,-88,-66,0,0,18,-25,0
54,-88,-66,0,0,18,-25,0
55,-88,-66,0,0,18,-25,0
56,-87,-66,0,0,18,-25,0
57,-86,-67,0,0,18,-25,0
58,-86,-67,0,0,18,-25,0
59,-84,-67,0,0,18,-25,0
60,-84,-67,0,0,18,-25,0
61,-83,-67,0,0,18,-25,0
62,-83,-67,0,0,18,-25,0
63,-83,-67,0,0,18,-25,0
64,-82,-67,0,0,18,-25,0
65,-81,-67,0,0,18,-25,0
66,-80,-67,0,0,18,-25,0
67,-79,-67,0,0,18,-25,0
68,-79,-67,0,0,18,-25,0
69,-79,-67,0,0,18,-25,0
70,-79,-67,0,0,18,-25,0
71,-79,-67,0,0,18,-25,0
72,-79,-67,0,0,18,-25,0
73,-78,-67,0,0,18,-25,0
74,-76,-67,0,0,18,-25,0
75,-75,-67,0,0,18,-25,0
76,-74,-67,0,0,18,-25,0
77,-73,-67,0,0,18,-25,0
78,-73,-67,0,0,18,-25,0
79,-72,-67,0,0,18,-25,0
80,-72,-66,0,0,18,-25,0
81,-70,-66,0,0,18,-25,0
82,-69,-65,0,0,18,-25,0
83,-67,-65,0,0,18,-25,0
