t,x,y,fh,fv,r,s,frame:
0,36,9,0,0,0,0,0
1,36,9,0,0,0,0,0
2,36,9,0,0,0,0,0
3,36,9,0,0,0,0,0
4,36,9,0,0,0,0,0
5,36,9,0,0,0,0,0
6,36,9,0,0,0,0,0
7,36,9,0,0,0,0,0
8,36,9,0,0,0,0,0
9,36,9,0,0,0,0,0
10,35,7,0,0,0,0,0
11,35,5,0,0,0,0,0
12,35,3,0,0,0,0,0
13,35,1,0,0,0,0,0
14,35,0,0,0,0,0,0
15,35,-2,0,0,0,0,0
16,35,-7,0,0,0,0,0
17,37,-12,0,0,0,0,0
18,38,-15,0,0,0,0,0
19,41,-19,0,0,0,0,0
20,43,-20,0,0,0,0,0
21,43,-21,0,0,0,0,0
22,43,-21,0,0,0,0,0
23,43,-21,0,0,0,0,0
24,43,-22,0,0,0,0,0
25,45,-23,0,0,0,0,0
26,47,-24,0,0,0,0,0
27,51,-26,0,0,0,0,0
28,56,-27,0,0,0,0,0
29,59,-27,0,0,0,0,0
30,62,-28,0,0,0,0,0
31,66,-28,0,0,0,0,0
32,68,-29,0,0,0,0,0
33,72,-29,0,0,0,0,0
34,75,-29,0,0,0,0,0
35,79,-29,0,0,0,0,0
36,84,-29,0,0,0,0,0
37,88,-29,0,0,0,0,0
38,93,-29,0,0,0,0,0
39,97,-29,0,0,0,0,0
40,102,-29,0,0,0,0,0
41,104,-29,0,0,0,0,0
42,105,-29,0,0,0,0,0
43,106,-29,0,0,0,0,0
44,106,-29,0,0,0,0,0
45,106,-29,0,0,0,0,0
46,112,-28,0,0,0,0,0
47,118,-28,0,0,0,0,0
48,120,-27,0,0,0,0,0
49,126,-27,0,0,0,0,0
50,134,-26,0,0,0,0,0
51,137,-26,0,0,0,0,0
52,140,-26,0,0,0,0,0
53,143,-26,0,0,0,0,0
54,146,-26,0,0,0,0,0
55,148,-26,0,0,0,0,0
56,152,-25,0,0,0,0,0
57,156,-25,0,0,0,0,0
58,160,-25,0,0,0,0,0
59,164,-25,0,0,0,0,0
60,167,-25,0,0,0,0,0
61,170,-25,0,0,0,0,0
62,172,-25,0,0,0,0,0
63,174,-25,0,0,0,0,0
64,178,-25,0,0,0,0,0
65,183,-25,0,0,0,0,0
66,188,-25,0,0,0,0,0
67,192,-25,0,0,0,0,0
68,197,-25,0,0,0,0,0
69,202,-25,0,0,0,0,0
70,206,-25,0,0,0,0,0
71,209,-25,0,0,0,0,0
72,209,-25,0,0,0,0,0
73,209,-25,0,0,0,0,0
74,209,-25,0,0,0,0,0
75,209,-25,0,0,0,0,0
76,210,-25,0,0,0,0,0
77,210,-25,0,0,0,0,0
78,215,-25,0,0,0,0,0
79,221,-24,0,0,0,0,0
80,227,-23,0,0,0,0,0
81,231,-22,0,0,0,0,0
