t,x,y,fh,fv,r,s,frame:
0,251,47,0,0,0,-39,0
1,251,47,0,0,0,-39,0
2,251,47,0,0,0,-39,0
3,251,47,0,0,0,-39,0
4,251,47,0,0,0,-39,0
5,253,48,0,0,0,-39,0
6,255,48,0,0,0,-39,0
7,259,48,0,0,1,-39,0
8,262,49,0,0,2,-39,0
9,268,49,0,0,3,-39,0
10,272,49,0,0,4,-39,0
11,276,49,0,0,5,-39,0
12,278,48,0,0,6,-39,0
13,279,48,0,0,7,-39,0
14,279,48,0,0,8,-39,0
15,281,46,0,0,8,-39,0
16,283,45,0,0,8,-39,0
17,285,44,0,0,8,-39,0
18,288,43,0,0,8,-39,0
19,289,42,0,0,8,-39,0
20,290,41,0,0,8,-39,0
21,291,40,0,0,8,-39,0
22,291,40,0,0,8,-39,0
23,292,40,0,0,8,-39,0
24,292,40,0,0,8,-39,0
25,294,40,0,0,8,-39,0
26,296,39,0,0,8,-39,0
27,297,39,0,0,8,-39,0
28,298,39,0,0,8,-39,0
29,299,39,0,0,8,-39,0
30,300,39,0,0,8,-39,0
31,300,39,0,0,8,-39,0
32,300,39,0,0,8,-39,0
33,300,39,0,0,8,-39,0
34,301,39,0,0,8,-39,0
35,302,39,0,0,8,-39,0
36,302,39,0,0,8,-39,0
37,302,39,0,0,8,-39,0
38,303,39,0,0,8,-39,0
39,303,39,0,0,8,-39,0
40,303,39,0,0,8,-39,0
41,304,39,0,0,8,-39,0
42,304,39,0,0,8,-39,0
43,304,39,0,0,8,-39,0
44,304,39,0,0,8,-39,0
45,304,39,0,0,8,-39,0
46,304,39,0,0,8,-39,0
47,305,40,0,0,8,-39,0
48,305,40,0,0,8,-39,0
49,306,40,0,0,8,-39,0
50,306,41,0,0,8,-39,0
51,306,41,0,0,8,-39,0
52,306,41,0,0,8,-39,0
53,306,41,0,0,8,-39,0
54,307,41,0,0,8,-39,0
55,308,42,0,0,7,-39,0
56,308,43,0,0,6,-39,0
57,308,43,0,0,5,-39,0
58,308,43,0,0,4,-39,0
59,308,43,0,0,3,-39,0
60,308,43,0,0,2,-39,0
61,309,43,0,0,1,-39,0
62,309,43,0,0,0,-39,0
63,309,43,0,0,-1,-39,0
64,310,43,0,0,-2,-39,0
65,311,43,0,0,-3,-39,0
66,312,43,0,0,-4,-39,0
67,313,42,0,0,-5,-39,0
68,314,42,0,0,-5,-39,0
69,316,41,0,0,-5,-39,0
70,317,41,0,0,-5,-39,0
71,317,40,0,0,-5,-39,0
72,319,39,0,0,-5,-39,0
73,322,38,0,0,-5,-39,0
74,325,37,0,0,-5,-39,0
75,325,37,0,0,-5,-39,0
76,327,36,0,0,-5,-39,0
77,328,36,0,0,-5,-39,0
78,328,36,0,0,-5,-39,0
79,329,36,0,0,-5,-39,0
80,329,36,0,0,-5,-39,0
81,330,36,0,0,-5,-39,0
82,331,36,0,0,-5,-39,0
83,331,36,0,0,-5,-39,0
84,332,37,0,0,-5,-39,0
85,333,37,0,0,-5,-39,0
86,334,38,0,0,-5,-39,0
87,334,38,0,0,-5,-39,0
88,334,38,0,0,-5,-39,0
89,335,38,0,0,-5,-39,0
90,335,39,0,0,-5,-39,0
91,336,39,0,0,-5,-39,0
92,336,39,0,0,-5,-39,0
93,336,39,0,0,-5,-39,0
94,337,39,0,0,-5,-39,0
95,337,40,0,0,-5,-39,0
96,337,40,0,0,-5,-39,0
97,337,41,0,0,-5,-39,0
98,338,41,0,0,-5,-39,0
99,338,41,0,0,-5,-39,0
100,338,41,0,0,-5,-39,0
101,339,41,0,0,-5,-39,0
102,339,42,0,0,-5,-39,0
103,340,43,0,0,-5,-39,0
104,341,43,0,0,-5,-39,0
105,342,43,0,0,-5,-39,0
106,343,43,0,0,-5,-39,0
107,345,43,0,0,-4,-39,0
108,346,43,0,0,-3,-39,0
109,349,43,0,0,-2,-39,0
110,351,43,0,0,-1,-39,0
111,354,43,0,0,0,-39,0
112,357,43,0,0,1,-39,0
113,359,43,0,0,2,-39,0
114,361,43,0,0,3,-39,0
115,363,43,0,0,4,-39,0
116,363,43,0,0,5,-39,0
117,363,43,0,0,6,-39,0
118,364,43,0,0,6,-39,0
119,364,43,0,0,6,-39,0
120,364,43,0,0,6,-39,0
121,364,43,0,0,6,-39,0
122,365,43,0,0,6,-39,0
123,365,43,0,0,6,-39,0
124,369,41,0,0,6,-39,0
125,374,40,0,0,6,-39,0
126,379,38,0,0,6,-39,0
127,381,38,0,0,6,-39,0
128,382,38,0,0,6,-39,0
129,382,38,0,0,6,-39,0
130,382,38,0,0,6,-39,0
131,382,38,0,0,6,-39,0
132,382,38,0,0,6,-39,0
133,382,38,0,0,6,-39,0
134,382,38,0,0,6,-39,0
135,382,38,0,0,6,-39,0
136,382,38,0,0,6,-39,0
137,382,38,0,0,6,-39,0
138,382,38,0,0,6,-39,0
139,382,38,0,0,6,-39,0
140,383,38,0,0,6,-39,0
141,383,38,0,0,6,-39,0
142,384,38,0,0,6,-39,0
143,384,38,0,0,6,-39,0
144,385,38,0,0,6,-39,0
145,385,38,0,0,6,-39,0
146,386,38,0,0,6,-39,0
147,386,38,0,0,6,-39,0
148,386,38,0,0,6,-39,0
149,386,39,0,0,6,-39,0
150,386,39,0,0,6,-39,0
151,386,39,0,0,6,-39,0
152,387,39,0,0,6,-39,0
153,387,39,0,0,6,-39,0
154,387,39,0,0,6,-39,0
155,388,40,0,0,6,-39,0
156,391,40,0,0,5,-39,0
157,394,41,0,0,4,-39,0
158,397,42,0,0,3,-39,0
159,399,43,0,0,2,-39,0
160,401,44,0,0,1,-39,0
161,403,45,0,0,0,-39,0
162,407,47,0,0,-1,-39,0
163,410,48,0,0,-2,-39,0
164,412,48,0,0,-3,-39,0
165,414,49,0,0,-4,-39,0
166,416,50,0,0,-5,-39,0
167,417,50,0,0,-6,-39,0
168,420,50,0,0,-7,-39,0
169,422,51,0,0,-7,-39,0
170,423,51,0,0,-7,-39,0
171,424,51,0,0,-7,-39,0
172,424,51,0,0,-7,-39,0
173,424,51,0,0,-7,-39,0
174,424,51,0,0,-7,-39,0
175,424,51,0,0,-7,-39,0
176,425,51,0,0,-7,-39,0
177,426,52,0,0,-7,-39,0
178,426,52,0,0,-7,-39,0
179,426,52,0,0,-7,-39,0
180,426,52,0,0,-7,-39,0
181,426,52,0,0,-7,-39,0
182,426,52,0,0,-7,-39,0
183,426,52,0,0,-7,-39,0
184,426,52,0,0,-7,-39,0
185,426,52,0,0,-7,-39,0
186,426,52,0,0,-7,-39,0
187,426,52,0,0,-7,-39,0
188,426,52,0,0,-7,-39,0
189,426,52,0,0,-7,-39,0
190,426,52,0,0,-7,-39,0
191,426,52,0,0,-7,-39,0
192,426,52,0,0,-7,-39,0
193,427,46,1,0,-7,-39,0
194,428,46,1,0,-7,-39,0
195,428,46,1,0,-7,-39,0
