t,x,y,fh,fv,r,s,frame:
0,61,130,0,0,81,-35,0
1,61,130,0,0,81,-35,0
2,61,130,0,0,81,-35,0
3,61,130,0,0,81,-35,0
4,61,130,0,0,81,-35,0
5,61,130,0,0,81,-35,0
6,61,130,0,0,81,-35,0
7,61,130,0,0,81,-35,0
8,61,130,0,0,81,-35,0
9,61,130,0,0,81,-35,0
10,61,130,0,0,81,-35,0
11,61,130,0,0,81,-35,0
12,61,130,0,0,81,-35,0
13,61,130,0,0,81,-35,0
14,61,130,0,0,81,-35,0
15,61,130,0,0,81,-35,0
16,61,130,0,0,81,-35,0
17,61,130,0,0,81,-35,0
18,61,130,0,0,81,-35,0
19,61,130,0,0,81,-35,0
20,61,130,0,0,81,-35,0
21,61,130,0,0,81,-35,0
22,61,130,0,0,81,-35,0
23,61,130,0,0,81,-35,0
24,61,130,0,0,81,-35,0
25,61,130,0,0,81,-35,0
26,61,130,0,0,81,-35,0
27,61,130,0,0,81,-35,0
28,61,130,0,0,81,-35,0
29,61,130,0,0,81,-35,0
30,61,130,0,0,81,-35,0
31,61,130,0,0,81,-35,0
32,61,130,0,0,81,-35,0
33,61,130,0,0,81,-35,0
34,61,130,0,0,81,-35,0
35,61,130,0,0,81,-35,0
36,61,130,0,0,81,-35,0
37,61,130,0,0,81,-35,0
38,61,130,0,0,81,-35,0
39,61,130,0,0,81,-35,0
40,61,130,0,0,81,-35,0
41,61,130,0,0,81,-35,0
42,61,130,0,0,81,-35,0
43,61,130,0,0,81,-35,0
44,61,130,0,0,81,-35,0
45,61,130,0,0,81,-35,0
46,61,130,0,0,81,-35,0
47,61,130,0,0,81,-35,0
48,61,130,0,0,81,-35,0
49,61,130,0,0,81,-35,0
50,61,130,0,0,81,-35,0
51,61,130,0,0,81,-35,0
52,61,130,0,0,81,-35,0
53,61,130,0,0,81,-35,0
54,61,130,0,0,81,-35,0
55,61,130,0,0,81,-35,0
56,61,130,0,0,81,-35,0
57,61,130,0,0,81,-35,0
58,61,130,0,0,81,-35,0
59,61,130,0,0,81,-35,0
60,61,130,0,0,81,-35,0
61,61,130,0,0,81,-35,0
62,61,130,0,0,81,-35,0
63,61,130,0,0,81,-35,0
64,61,130,0,0,81,-35,0
65,61,130,0,0,81,-35,0
66,61,130,0,0,81,-35,0
67,61,130,0,0,81,-35,0
68,61,130,0,0,81,-35,0
69,61,130,0,0,81,-35,0
70,61,130,0,0,81,-35,0
71,61,130,0,0,81,-35,0
72,61,130,0,0,81,-35,0
73,61,130,0,0,81,-35,0
74,61,130,0,0,81,-35,0
75,61,130,0,0,81,-35,0
76,61,130,0,0,81,-35,0
77,61,130,0,0,81,-35,0
78,61,130,0,0,81,-35,0
79,61,130,0,0,81,-35,0
80,61,130,0,0,81,-35,0
81,61,130,0,0,81,-35,0
82,61,130,0,0,81,-35,0
83,61,130,0,0,81,-35,0
84,61,130,0,0,81,-35,0
85,61,130,0,0,81,-35,0
86,61,130,0,0,81,-35,0
87,61,130,0,0,81,-35,0
88,61,130,0,0,81,-35,0
89,61,130,0,0,81,-35,0
90,61,130,0,0,81,-35,0
91,61,130,0,0,81,-35,0
92,61,130,0,0,81,-35,0
93,61,130,0,0,81,-35,0
94,61,130,0,0,81,-35,0
95,61,130,0,0,81,-35,0
96,61,130,0,0,81,-35,0
97,61,130,0,0,81,-35,0
98,61,130,0,0,81,-35,0
99,61,130,0,0,81,-35,0
100,61,130,0,0,81,-35,0
101,61,130,0,0,81,-35,0
102,61,130,0,0,81,-35,0
103,61,130,0,0,81,-35,0
104,61,130,0,0,81,-35,0
105,61,130,0,0,81,-35,0
106,61,130,0,0,81,-35,0
107,61,130,0,0,81,-35,0
108,61,130,0,0,81,-35,0
109,61,130,0,0,81,-35,0
110,61,130,0,0,81,-35,0
111,61,130,0,0,81,-35,0
112,61,130,0,0,81,-35,0
113,61,130,0,0,81,-35,0
114,61,130,0,0,81,-35,0
115,61,130,0,0,81,-35,0
116,61,130,0,0,81,-35,0
117,61,130,0,0,81,-35,0
118,61,130,0,0,81,-35,0
119,61,130,0,0,81,-35,0
120,61,130,0,0,81,-35,0
121,61,130,0,0,81,-35,0
122,61,130,0,0,81,-35,0
123,61,130,0,0,81,-35,0
124,61,130,0,0,81,-35,0
125,61,130,0,0,81,-35,0
126,61,130,0,0,81,-35,0
127,61,130,0,0,81,-35,0
128,61,130,0,0,81,-35,0
129,61,130,0,0,81,-35,0
130,61,130,0,0,81,-35,0
131,61,130,0,0,81,-35,0
132,61,130,0,0,81,-35,0
133,61,130,0,0,81,-35,0
134,61,130,0,0,81,-35,0
135,61,130,0,0,81,-35,0
136,61,130,0,0,81,-35,0
137,61,130,0,0,81,-35,0
138,61,130,0,0,81,-35,0
139,61,130,0,0,81,-35,0
140,61,130,0,0,81,-35,0
141,61,130,0,0,81,-35,0
142,61,130,0,0,81,-35,0
143,61,130,0,0,81,-35,0
144,61,130,0,0,81,-35,0
145,61,130,0,0,81,-35,0
146,61,130,0,0,81,-35,0
147,61,130,0,0,81,-35,0
148,61,130,0,0,81,-35,0
149,61,130,0,0,81,-35,0
150,61,130,0,0,81,-35,0
151,61,130,0,0,81,-35,0
152,61,130,0,0,81,-35,0
153,61,130,0,0,81,-35,0
154,61,130,0,0,81,-35,0
155,61,130,0,0,81,-35,0
156,61,130,0,0,81,-35,0
157,61,130,0,0,81,-35,0
158,61,130,0,0,81,-35,0
159,61,130,0,0,81,-35,0
160,61,130,0,0,81,-35,0
161,61,130,0,0,81,-35,0
162,61,130,0,0,81,-35,0
163,61,130,0,0,81,-35,0
164,61,130,0,0,81,-35,0
165,61,130,0,0,81,-35,0
166,61,130,0,0,81,-35,0
167,61,130,0,0,81,-35,0
168,61,130,0,0,81,-35,0
169,61,130,0,0,81,-35,0
170,61,130,0,0,81,-35,0
171,61,130,0,0,81,-35,0
172,61,130,0,0,81,-35,0
173,61,130,0,0,81,-35,0
174,61,130,0,0,81,-35,0
175,61,130,0,0,81,-35,0
176,61,130,0,0,81,-35,0
177,61,130,0,0,81,-35,0
178,61,130,0,0,81,-35,0
179,61,130,0,0,81,-35,0
180,61,130,0,0,81,-35,0
181,61,130,0,0,81,-35,0
182,61,130,0,0,81,-35,0
183,61,130,0,0,81,-35,0
184,61,130,0,0,81,-35,0
185,61,130,0,0,81,-35,0
186,61,130,0,0,81,-35,0
187,61,130,0,0,81,-35,0
188,61,130,0,0,81,-35,0
