t,x,y,fh,fv,r,s,frame:
0,-310,90,0,0,11,0,0
1,-310,90,0,0,11,0,0
2,-310,90,0,0,11,0,0
3,-310,90,0,0,11,0,0
4,-310,90,0,0,11,0,0
5,-310,90,0,0,11,0,0
6,-310,90,0,0,11,0,0
7,-310,90,0,0,11,0,0
8,-310,90,0,0,11,0,0
9,-309,89,0,0,11,0,0
10,-304,87,0,0,11,0,0
11,-299,85,0,0,11,0,0
12,-296,83,0,0,11,0,0
13,-292,82,0,0,11,0,0
14,-290,81,0,0,11,0,0
15,-289,80,0,0,11,0,0
16,-285,78,0,0,11,0,0
17,-280,76,0,0,11,0,0
18,-274,74,0,0,11,0,0
19,-269,72,0,0,11,0,0
20,-264,71,0,0,11,0,0
21,-257,70,0,0,11,0,0
22,-252,69,0,0,11,0,0
23,-246,69,0,0,10,0,0
24,-240,69,0,0,9,0,0
25,-235,69,0,0,8,0,0
26,-231,69,0,0,7,0,0
27,-227,70,0,0,6,0,0
28,-223,71,0,0,5,0,0
29,-215,73,0,0,4,0,0
30,-207,74,0,0,3,0,0
31,-194,76,0,0,2,0,0
32,-179,79,0,0,1,0,0
33,-178,79,0,0,0,0,0
34,-174,80,0,0,-1,0,0
35,-173,80,0,0,-2,0,0
36,-173,80,0,0,-3,0,0
37,-170,82,0,0,-4,0,0
38,-168,84,0,0,-5,0,0
39,-165,86,0,0,-6,0,0
40,-161,88,0,0,-7,0,0
41,-157,90,0,0,-7,0,0
42,-153,93,0,0,-7,0,0
43,-148,96,0,0,-7,0,0
44,-144,98,0,0,-7,0,0
45,-140,100,0,0,-7,0,0
46,-138,101,0,0,-7,0,0
47,-136,102,0,0,-7,0,0
48,-134,103,0,0,-7,0,0
49,-132,105,0,0,-7,0,0
50,-128,106,0,0,-7,0,0
51,-124,108,0,0,-7,0,0
52,-120,109,0,0,-7,0,0
53,-117,110,0,0,-7,0,0
54,-113,111,0,0,-7,0,0
55,-113,112,0,0,-7,0,0
56,-111,112,0,0,-7,0,0
57,-107,115,0,0,-7,0,0
58,-103,116,0,0,-7,0,0
59,-97,117,0,0,-7,0,0
60,-94,118,0,0,-7,0,0
61,-84,120,0,0,-7,0,0
62,-78,121,0,0,-6,0,0
63,-72,121,0,0,-5,0,0
64,-68,121,0,0,-4,0,0
65,-66,121,0,0,-3,0,0
66,-64,121,0,0,-2,0,0
67,-63,121,0,0,-1,0,0
68,-62,121,0,0,0,0,0
69,-59,118,0,0,1,0,0
70,-55,115,0,0,2,0,0
71,-50,113,0,0,3,0,0
72,-46,111,0,0,4,0,0
73,-42,109,0,0,5,0,0
74,-37,107,0,0,6,0,0
75,-33,105,0,0,6,0,0
76,-29,102,0,0,6,0,0
77,-26,101,0,0,6,0,0
78,-21,99,0,0,6,0,0
79,-15,98,0,0,6,0,0
80,-8,96,0,0,6,0,0
81,-1,93,0,0,6,0,0
82,7,91,0,0,6,0,0
83,14,89,0,0,6,0,0
84,19,87,0,0,6,0,0
85,23,86,0,0,6,0,0
86,27,84,0,0,6,0,0
87,32,82,0,0,6,0,0
88,41,80,0,0,6,0,0
89,48,79,0,0,6,0,0
90,57,77,0,0,6,0,0
91,66,77,0,0,6,0,0
92,74,77,0,0,6,0,0
93,81,77,0,0,6,0,0
94,91,78,0,0,6,0,0
95,99,79,0,0,6,0,0
96,105,80,0,0,6,0,0
