t,x,y,fh,fv,r,s,frame:
0,-191,-65,0,0,35,3,0
1,-191,-65,0,0,35,3,0
2,-191,-65,0,0,35,3,0
3,-191,-65,0,0,35,3,0
4,-191,-65,0,0,35,3,0
5,-191,-65,0,0,35,3,0
6,-191,-65,0,0,35,3,0
7,-191,-65,0,0,35,3,0
8,-191,-65,0,0,35,3,0
9,-191,-65,0,0,35,3,0
10,-191,-65,0,0,35,3,0
11,-191,-65,0,0,35,3,0
12,-191,-65,0,0,35,3,0
13,-191,-65,0,0,35,3,0
14,-191,-65,0,0,35,3,0
15,-191,-65,0,0,35,3,0
16,-191,-65,0,0,35,3,0
17,-191,-65,0,0,35,3,0
18,-191,-65,0,0,35,3,0
19,-191,-66,0,0,35,3,0
20,-191,-66,0,0,35,3,0
21,-191,-66,0,0,35,3,0
22,-191,-66,0,0,35,3,0
23,-191,-66,0,0,35,3,0
24,-191,-67,0,0,35,3,0
25,-191,-67,0,0,35,3,0
26,-191,-67,0,0,35,3,0
27,-191,-68,0,0,35,3,0
28,-191,-68,0,0,35,3,0
29,-191,-68,0,0,35,3,0
30,-191,-68,0,0,35,3,0
31,-191,-68,0,0,35,3,0
32,-191,-68,0,0,35,3,0
33,-191,-68,0,0,35,3,0
34,-191,-68,0,0,35,3,0
35,-191,-68,0,0,35,3,0
36,-191,-68,0,0,35,3,0
37,-191,-68,0,0,35,3,0
38,-191,-68,0,0,35,3,0
39,-191,-68,0,0,35,3,0
40,-191,-68,0,0,35,3,0
41,-191,-68,0,0,35,3,0
42,-191,-68,0,0,35,3,0
43,-191,-68,0,0,35,3,0
44,-191,-68,0,0,35,3,0
45,-191,-68,0,0,35,3,0
46,-191,-68,0,0,35,3,0
47,-191,-68,0,0,35,3,0
48,-191,-68,0,0,35,3,0
49,-191,-68,0,0,35,3,0
50,-191,-68,0,0,35,3,0
51,-191,-68,0,0,35,3,0
52,-191,-68,0,0,35,3,0
53,-191,-68,0,0,35,3,0
54,-191,-68,0,0,35,3,0
55,-191,-68,0,0,35,3,0
56,-191,-68,0,0,35,3,0
57,-191,-68,0,0,35,3,0
58,-191,-68,0,0,35,3,0
59,-191,-67,0,0,35,3,0
60,-191,-67,0,0,35,3,0
61,-191,-67,0,0,35,3,0
62,-191,-67,0,0,35,3,0
63,-191,-67,0,0,35,3,0
64,-191,-67,0,0,35,3,0
65,-191,-67,0,0,35,3,0
66,-191,-67,0,0,35,3,0
67,-191,-66,0,0,35,3,0
68,-191,-66,0,0,35,3,0
69,-191,-66,0,0,35,3,0
70,-191,-66,0,0,35,3,0
71,-191,-66,0,0,35,3,0
72,-191,-66,0,0,35,3,0
73,-191,-66,0,0,35,3,0
74,-191,-66,0,0,35,3,0
75,-191,-66,0,0,35,3,0
76,-191,-66,0,0,35,3,0
77,-190,-65,0,0,35,3,0
78,-190,-65,0,0,35,3,0
79,-190,-65,0,0,35,3,0
80,-190,-65,0,0,35,3,0
81,-190,-65,0,0,35,3,0
82,-190,-65,0,0,35,3,0
83,-190,-65,0,0,35,3,0
84,-190,-65,0,0,35,3,0
85,-190,-65,0,0,35,3,0
86,-190,-65,0,0,35,3,0
87,-190,-65,0,0,35,3,0
88,-190,-65,0,0,35,3,0
89,-190,-64,0,0,35,3,0
90,-190,-64,0,0,35,3,0
91,-190,-64,0,0,35,3,0
92,-190,-64,0,0,35,3,0
93,-190,-63,0,0,35,3,0
94,-190,-63,0,0,35,3,0
95,-190,-63,0,0,35,3,0
96,-190,-63,0,0,35,3,0
97,-190,-63,0,0,35,3,0
98,-190,-63,0,0,35,3,0
99,-190,-62,0,0,35,3,0
100,-190,-62,0,0,35,3,0
101,-190,-62,0,0,35,3,0
102,-190,-62,0,0,35,3,0
103,-190,-62,0,0,35,3,0
104,-190,-62,0,0,35,3,0
105,-190,-62,0,0,35,3,0
106,-190,-61,0,0,35,3,0
107,-190,-61,0,0,35,3,0
108,-190,-61,0,0,35,3,0
109,-190,-61,0,0,35,3,0
110,-190,-60,0,0,35,3,0
111,-190,-60,0,0,35,3,0
112,-190,-60,0,0,35,3,0
113,-190,-60,0,0,35,3,0
114,-190,-59,0,0,35,3,0
115,-190,-59,0,0,35,3,0
116,-190,-59,0,0,35,3,0
117,-190,-59,0,0,35,3,0
118,-190,-59,0,0,35,3,0
119,-190,-59,0,0,35,3,0
120,-190,-59,0,0,35,3,0
121,-190,-59,0,0,35,3,0
122,-190,-59,0,0,35,3,0
123,-190,-58,0,0,35,3,0
124,-190,-58,0,0,35,3,0
125,-190,-58,0,0,35,3,0
126,-190,-57,0,0,35,3,0
127,-190,-57,0,0,35,3,0
128,-190,-56,0,0,35,3,0
129,-189,-56,0,0,35,3,0
130,-189,-56,0,0,35,3,0
131,-189,-56,0,0,35,3,0
132,-189,-55,0,0,35,3,0
133,-189,-55,0,0,35,3,0
134,-189,-55,0,0,35,3,0
135,-189,-55,0,0,35,3,0
136,-189,-55,0,0,35,3,0
137,-189,-54,0,0,35,3,0
138,-189,-54,0,0,35,3,0
139,-189,-53,0,0,35,3,0
140,-189,-53,0,0,35,3,0
141,-189,-53,0,0,35,3,0
142,-189,-53,0,0,35,3,0
143,-189,-53,0,0,35,3,0
144,-189,-53,0,0,35,3,0
145,-189,-53,0,0,35,3,0
146,-189,-53,0,0,35,3,0
147,-189,-53,0,0,35,3,0
148,-189,-53,0,0,35,3,0
149,-189,-53,0,0,35,3,0
150,-189,-53,0,0,35,3,0
151,-189,-53,0,0,35,3,0
152,-189,-53,0,0,35,3,0
153,-189,-53,0,0,35,3,0
154,-189,-53,0,0,35,3,0
155,-189,-53,0,0,35,3,0
156,-189,-53,0,0,35,3,0
157,-189,-53,0,0,35,3,0
158,-189,-53,0,0,35,3,0
159,-189,-53,0,0,35,3,0
160,-189,-53,0,0,35,3,0
161,-189,-53,0,0,35,3,0
