t,x,y,fh,fv,r,s,frame:
0,539,243,0,0,0,-113,0
1,539,243,0,0,0,-113,0
2,539,243,0,0,0,-113,0
3,539,243,0,0,0,-113,0
4,539,243,0,0,0,-113,0
5,539,243,0,0,0,-113,0
6,539,243,0,0,0,-113,0
7,539,243,0,0,0,-113,0
8,539,243,0,0,0,-113,0
9,539,243,0,0,0,-113,0
10,539,243,0,0,0,-113,0
11,539,243,0,0,0,-113,0
12,539,243,0,0,0,-113,0
13,536,244,0,0,0,-113,0
14,531,244,0,0,0,-113,0
15,526,244,0,0,0,-113,0
16,519,245,0,0,0,-113,0
17,506,245,0,0,0,-113,0
18,498,246,0,0,0,-113,0
19,489,247,0,0,0,-113,0
20,478,250,0,0,0,-113,0
21,468,253,0,0,0,-113,0
22,458,256,0,0,0,-113,0
23,447,261,0,0,0,-113,0
24,435,266,0,0,0,-113,0
25,424,270,0,0,0,-113,0
26,412,273,0,0,0,-113,0
27,401,276,0,0,0,-113,0
28,388,277,0,0,0,-113,0
29,370,277,0,0,0,-113,0
30,356,277,0,0,0,-113,0
31,344,275,0,0,0,-113,0
32,330,271,0,0,0,-113,0
33,321,268,0,0,0,-113,0
34,312,266,0,0,0,-113,0
35,301,264,0,0,0,-113,0
36,282,263,0,0,0,-113,0
37,266,263,0,0,0,-113,0
38,255,263,0,0,0,-113,0
39,235,263,0,0,0,-113,0
40,224,263,0,0,0,-113,0
41,208,263,0,0,0,-113,0
42,195,263,0,0,0,-113,0
43,184,263,0,0,0,-113,0
44,174,264,0,0,0,-113,0
45,166,266,0,0,0,-113,0
46,157,268,0,0,0,-113,0
47,145,269,0,0,0,-113,0
48,135,272,0,0,0,-113,0
49,125,272,0,0,0,-113,0
50,116,272,0,0,0,-113,0
51,106,272,0,0,0,-113,0
52,98,271,0,0,0,-113,0
53,88,269,0,0,0,-113,0
54,79,267,0,0,0,-113,0
55,66,266,0,0,0,-113,0
56,61,265,0,0,0,-113,0
57,52,265,0,0,0,-113,0
58,43,265,0,0,0,-113,0
59,33,266,0,0,0,-113,0
60,16,268,0,0,0,-113,0
61,6,269,0,0,0,-113,0
62,-3,271,0,0,0,-113,0
63,-11,272,0,0,0,-113,0
64,-19,273,0,0,0,-113,0
65,-26,274,0,0,0,-113,0
66,-33,275,0,0,0,-113,0
67,-39,276,0,0,0,-113,0
68,-45,277,0,0,0,-113,0
69,-52,278,0,0,0,-113,0
70,-57,278,0,0,0,-113,0
71,-62,279,0,0,0,-113,0
72,-67,279,0,0,0,-113,0
73,-70,279,0,0,0,-113,0
74,-75,279,0,0,0,-113,0
75,-82,279,0,0,0,-113,0
76,-90,278,0,0,0,-113,0
77,-101,278,0,0,0,-113,0
78,-112,277,0,0,0,-113,0
79,-123,276,0,0,0,-113,0
80,-129,275,0,0,0,-113,0
81,-135,275,0,0,0,-113,0
82,-139,275,0,0,0,-113,0
83,-143,275,0,0,0,-113,0
84,-146,276,0,0,0,-113,0
85,-151,277,0,0,0,-113,0
86,-155,278,0,0,0,-113,0
87,-160,279,0,0,0,-113,0
88,-166,280,0,0,0,-113,0
89,-169,281,0,0,0,-113,0
90,-170,281,0,0,0,-113,0
91,-170,282,0,0,0,-113,0
