t,x,y,fh,fv,r,s,frame:
0,-20,-7,1,0,0,0,0
1,-20,-7,1,0,0,0,0
2,-20,-7,1,0,0,0,0
3,-20,-7,1,0,0,0,0
4,-20,-7,1,0,0,0,0
5,-20,-7,1,0,0,0,0
6,-20,-7,1,0,0,0,0
7,-20,-7,1,0,0,0,0
8,-19,-7,1,0,0,0,0
9,-18,-7,1,0,0,0,0
10,-18,-7,1,0,0,0,0
11,-17,-7,1,0,0,0,0
12,-17,-7,1,0,0,0,0
13,-16,-7,1,0,0,0,0
14,-16,-7,1,0,0,0,0
15,-15,-7,1,0,0,0,0
16,-15,-7,1,0,0,0,0
17,-15,-7,1,0,0,0,0
18,-15,-7,1,0,0,0,0
19,-13,-7,1,0,0,0,0
20,-12,-7,1,0,0,0,0
21,-11,-7,1,0,0,0,0
22,-10,-7,1,0,0,0,0
23,-10,-7,1,0,0,0,0
24,-10,-7,1,0,0,0,0
25,-10,-8,1,0,0,0,0
26,-9,-8,1,0,0,0,0
27,-8,-9,1,0,0,0,0
28,-7,-9,1,0,0,0,0
29,-6,-10,1,0,0,0,0
30,-5,-10,1,0,0,0,0
31,-4,-11,1,0,0,0,0
32,-4,-11,1,0,0,0,0
33,-2,-12,1,0,0,0,0
34,-2,-13,1,0,0,0,0
35,0,-14,1,0,0,0,0
36,2,-15,1,0,0,0,0
37,3,-15,1,0,0,0,0
38,4,-16,1,0,0,0,0
39,4,-16,1,0,0,0,0
40,5,-16,1,0,0,0,0
41,5,-17,1,0,0,0,0
42,7,-17,1,0,0,0,0
43,8,-17,1,0,0,0,0
44,9,-17,1,0,0,0,0
45,9,-17,1,0,0,0,0
46,10,-17,1,0,0,0,0
47,11,-17,1,0,0,0,0
48,11,-17,1,0,0,0,0
49,12,-17,1,0,0,0,0
50,12,-17,1,0,0,0,0
51,13,-17,1,0,0,0,0
52,14,-16,1,0,0,0,0
53,16,-15,1,0,0,0,0
54,17,-14,1,0,0,0,0
55,18,-14,1,0,0,0,0
56,18,-14,1,0,0,0,0
57,18,-13,1,0,0,0,0
58,18,-13,1,0,0,0,0
59,19,-12,1,0,0,0,0
60,19,-11,1,0,0,0,0
61,20,-11,1,0,0,0,0
62,20,-11,1,0,0,0,0
63,20,-10,1,0,0,0,0
64,21,-10,1,0,0,0,0
65,21,-10,1,0,0,0,0
66,21,-9,1,0,0,0,0
67,21,-8,1,0,0,0,0
68,21,-7,1,0,0,0,0
69,21,-6,1,0,0,0,0
70,21,-6,1,0,0,0,0
71,21,-5,1,0,0,0,0
72,21,-4,1,0,0,0,0
73,21,-3,1,0,0,0,0
74,21,-2,1,0,0,0,0
75,21,-2,1,0,0,0,0
76,20,-2,1,0,0,0,0
77,20,-1,1,0,0,0,0
78,19,0,1,0,0,0,0
79,19,0,1,0,0,0,0
80,19,1,1,0,0,0,0
81,19,1,1,0,0,0,0
82,19,1,1,0,0,0,0
83,18,2,1,0,0,0,0
84,17,2,1,0,0,0,0
85,16,2,1,0,0,0,0
86,15,3,1,0,0,0,0
87,15,3,1,0,0,0,0
88,14,4,1,0,0,0,0
89,12,4,1,0,0,0,0
90,11,4,1,0,0,0,0
91,11,4,1,0,0,0,0
92,10,4,1,0,0,0,0
93,10,4,1,0,0,0,0
94,10,4,1,0,0,0,0
95,9,4,1,0,0,0,0
96,8,4,1,0,0,0,0
97,7,4,1,0,0,0,0
98,6,4,1,0,0,0,0
99,6,4,1,0,0,0,0
100,5,3,1,0,0,0,0
101,4,3,1,0,0,0,0
102,4,2,1,0,0,0,0
103,3,2,1,0,0,0,0
104,3,1,1,0,0,0,0
105,2,0,1,0,0,0,0
106,1,-1,1,0,0,0,0
107,0,-3,1,0,0,0,0
108,-1,-4,1,0,0,0,0
109,-1,-5,1,0,0,0,0
110,-2,-6,1,0,0,0,0
111,-3,-7,1,0,0,0,0
112,-3,-8,1,0,0,0,0
113,-4,-8,1,0,0,0,0
114,-5,-10,1,0,0,0,0
115,-6,-11,1,0,0,0,0
116,-6,-12,1,0,0,0,0
117,-7,-13,1,0,0,0,0
118,-8,-14,1,0,0,0,0
119,-8,-15,1,0,0,0,0
120,-8,-15,1,0,0,0,0
121,-8,-16,1,0,0,0,0
122,-9,-16,1,0,0,0,0
123,-9,-17,1,0,0,0,0
124,-10,-17,1,0,0,0,0
125,-11,-17,1,0,0,0,0
126,-11,-17,1,0,0,0,0
127,-11,-17,1,0,0,0,0
128,-11,-18,1,0,0,0,0
129,-11,-18,1,0,0,0,0
130,-11,-18,1,0,0,0,0
131,-11,-18,1,0,0,0,0
132,-12,-18,1,0,0,0,0
133,-13,-19,1,0,0,0,0
134,-14,-19,1,0,0,0,0
135,-15,-19,1,0,0,0,0
136,-15,-19,1,0,0,0,0
137,-16,-19,1,0,0,0,0
138,-16,-19,1,0,0,0,0
139,-16,-19,1,0,0,0,0
140,-16,-19,1,0,0,0,0
141,-16,-19,1,0,0,0,0
142,-16,-19,1,0,0,0,0
143,-16,-19,1,0,0,0,0
144,-16,-19,1,0,0,0,0
145,-17,-19,1,0,0,0,0
146,-17,-18,1,0,0,0,0
147,-18,-18,1,0,0,0,0
148,-18,-18,1,0,0,0,0
149,-18,-18,1,0,0,0,0
150,-18,-18,1,0,0,0,0
151,-18,-18,1,0,0,0,0
152,-18,-17,1,0,0,0,0
153,-18,-17,1,0,0,0,0
154,-18,-17,1,0,0,0,0
155,-18,-17,1,0,0,0,0
156,-19,-17,1,0,0,0,0
157,-19,-17,1,0,0,0,0
158,-19,-17,1,0,0,0,0
159,-19,-16,1,0,0,0,0
160,-19,-16,1,0,0,0,0
161,-19,-16,1,0,0,0,0
162,-19,-16,1,0,0,0,0
163,-19,-15,1,0,0,0,0
164,-19,-15,1,0,0,0,0
165,-19,-15,1,0,0,0,0
166,-19,-15,1,0,0,0,0
167,-19,-15,1,0,0,0,0
168,-19,-15,1,0,0,0,0
169,-19,-15,1,0,0,0,0
170,-19,-14,1,0,0,0,0
171,-19,-14,1,0,0,0,0
172,-19,-14,1,0,0,0,0
173,-19,-14,1,0,0,0,0
174,-20,-13,1,0,0,0,0
175,-20,-13,1,0,0,0,0
176,-20,-12,1,0,0,0,0
177,-20,-12,1,0,0,0,0
178,-20,-11,1,0,0,0,0
179,-20,-11,1,0,0,0,0
180,-20,-11,1,0,0,0,0
181,-20,-11,1,0,0,0,0
182,-20,-11,1,0,0,0,0
183,-20,-11,1,0,0,0,0
184,-20,-10,1,0,0,0,0
185,-20,-10,1,0,0,0,0
186,-20,-10,1,0,0,0,0
187,-20,-10,1,0,0,0,0
188,-20,-10,1,0,0,0,0
189,-20,-10,1,0,0,0,0
190,-20,-10,1,0,0,0,0
191,-20,-10,1,0,0,0,0
192,-20,-10,1,0,0,0,0
193,-20,-10,1,0,0,0,0
194,-20,-10,1,0,0,0,0
195,-20,-10,1,0,0,0,0
196,-20,-10,1,0,0,0,0
