t,x,y,fh,fv,r,s,frame:
0,672,-3,0,0,-16,-22,1
1,672,-3,0,0,-16,-22,1
2,672,-3,0,0,-16,-22,1
3,672,-3,0,0,-16,-22,1
4,672,-3,0,0,-16,-22,1
5,672,-3,0,0,-16,-22,1
6,672,-3,0,0,-16,-22,1
7,672,-3,0,0,-16,-22,1
8,672,-3,0,0,-16,-22,1
9,672,-3,0,0,-16,-22,1
10,672,-3,0,0,-16,-22,1
11,672,-3,0,0,-16,-22,1
12,672,-3,0,0,-16,-22,1
13,672,-3,0,0,-16,-22,1
14,672,-3,0,0,-16,-22,1
15,672,-3,0,0,-16,-22,1
16,672,-3,0,0,-16,-22,1
17,672,-3,0,0,-16,-22,1
18,672,-3,0,0,-16,-22,1
19,672,-3,0,0,-16,-22,1
20,673,-4,0,0,-16,-22,1
21,673,-4,0,0,-16,-22,1
22,673,-4,0,0,-16,-22,1
23,674,-5,0,0,-16,-22,1
24,675,-6,0,0,-16,-22,1
25,676,-7,0,0,-16,-22,1
26,677,-8,0,0,-16,-22,1
27,678,-8,0,0,-16,-22,1
28,678,-8,0,0,-16,-22,1
29,678,-8,0,0,-16,-22,1
30,678,-8,0,0,-16,-22,1
31,678,-8,0,0,-16,-22,1
32,678,-8,0,0,-16,-22,1
33,678,-8,0,0,-16,-22,1
34,678,-8,0,0,-16,-22,1
35,678,-8,0,0,-16,-22,1
36,680,-9,0,0,-16,-22,1
37,682,-10,0,0,-16,-22,1
38,684,-11,0,0,-16,-22,1
39,685,-12,0,0,-16,-22,1
40,685,-12,0,0,-16,-22,1
41,685,-12,0,0,-16,-22,1
42,685,-12,0,0,-16,-22,1
43,685,-12,0,0,-16,-22,1
44,685,-12,0,0,-16,-22,1
45,685,-12,0,0,-16,-22,1
46,685,-13,0,0,-16,-22,1
47,686,-13,0,0,-16,-22,1
48,687,-14,0,0,-16,-22,1
49,687,-14,0,0,-16,-22,1
50,687,-14,0,0,-16,-22,1
51,687,-14,0,0,-16,-22,1
52,687,-14,0,0,-16,-22,1
53,687,-14,0,0,-16,-22,1
54,687,-14,0,0,-16,-22,1
55,687,-14,0,0,-16,-22,1
56,687,-14,0,0,-16,-22,1
57,688,-15,0,0,-16,-22,1
58,688,-16,0,0,-16,-22,1
59,689,-17,0,0,-16,-22,1
60,690,-18,0,0,-16,-22,1
61,690,-18,0,0,-16,-22,1
62,690,-20,0,0,-16,-22,1
63,690,-21,0,0,-16,-22,1
64,690,-21,0,0,-16,-22,1
65,690,-21,0,0,-16,-22,1
66,690,-21,0,0,-16,-22,1
67,690,-22,0,0,-16,-22,1
68,690,-23,0,0,-16,-22,1
69,690,-23,0,0,-16,-22,1
70,690,-23,0,0,-16,-22,1
71,690,-24,0,0,-16,-22,1
72,690,-24,0,0,-16,-22,1
73,690,-25,0,0,-16,-22,1
74,690,-25,0,0,-16,-22,1
75,690,-26,0,0,-16,-22,1
76,690,-26,0,0,-16,-22,1
77,690,-26,0,0,-16,-22,1
78,690,-26,0,0,-16,-22,1
79,690,-26,0,0,-16,-22,1
80,690,-26,0,0,-16,-22,1
81,690,-27,0,0,-16,-22,1
82,690,-28,0,0,-16,-22,1
83,690,-29,0,0,-16,-22,1
84,691,-29,0,0,-16,-22,1
85,691,-29,0,0,-16,-22,1
86,691,-29,0,0,-16,-22,1
87,692,-29,0,0,-16,-22,1
88,692,-30,0,0,-16,-22,1
89,693,-31,0,0,-16,-22,1
90,693,-31,0,0,-16,-22,1
91,693,-31,0,0,-16,-22,1
92,693,-31,0,0,-16,-22,1
93,693,-31,0,0,-16,-22,1
94,693,-31,0,0,-16,-22,1
95,693,-31,0,0,-16,-22,1
96,693,-31,0,0,-16,-22,1
97,693,-32,0,0,-16,-22,1
98,694,-32,0,0,-16,-22,1
99,694,-32,0,0,-16,-22,1
100,694,-32,0,0,-16,-22,1
101,694,-32,0,0,-16,-22,1
102,694,-32,0,0,-16,-22,1
103,694,-32,0,0,-16,-22,1
104,694,-32,0,0,-16,-22,1
105,694,-32,0,0,-16,-22,1
106,694,-32,0,0,-16,-22,1
107,694,-32,0,0,-16,-22,1
108,694,-32,0,0,-16,-22,1
109,694,-32,0,0,-16,-22,1
110,695,-32,0,0,-16,-22,1
111,695,-32,0,0,-16,-22,1
112,695,-32,0,0,-16,-22,1
113,695,-32,0,0,-16,-22,1
114,695,-32,0,0,-16,-22,1
115,695,-32,0,0,-16,-22,1
116,695,-32,0,0,-16,-22,1
117,695,-32,0,0,-16,-22,1
118,695,-32,0,0,-16,-22,1
119,695,-32,0,0,-16,-22,1
120,695,-32,0,0,-16,-22,1
121,695,-32,0,0,-16,-22,1
122,695,-32,0,0,-16,-22,1
123,695,-32,0,0,-16,-22,1
124,695,-32,0,0,-16,-22,0
125,695,-32,0,0,-16,-22,0
126,695,-32,0,0,-16,-22,0
127,695,-32,0,0,-16,-22,0
128,695,-32,0,0,-16,-22,0
129,695,-32,0,0,-16,-22,0
130,695,-32,0,0,-16,-22,0
131,695,-32,0,0,-16,-22,0
132,695,-32,0,0,-16,-21,0
133,695,-32,0,0,-16,-20,0
134,695,-32,0,0,-16,-19,0
135,695,-32,0,0,-16,-18,0
136,695,-32,0,0,-16,-17,0
137,695,-32,0,0,-16,-16,0
138,695,-32,0,0,-16,-15,0
139,695,-32,0,0,-16,-14,0
140,695,-32,0,0,-16,-13,0
141,695,-32,0,0,-16,-12,0
142,695,-32,0,0,-16,-11,0
143,695,-32,0,0,-16,-10,0
144,695,-32,0,0,-16,-9,0
145,695,-32,0,0,-16,-8,0
146,695,-32,0,0,-16,-7,0
147,695,-32,0,0,-16,-6,0
148,695,-32,0,0,-16,-5,0
149,695,-32,0,0,-16,-4,0
150,695,-32,0,0,-16,-3,0
151,695,-32,0,0,-16,-2,0
152,695,-32,0,0,-16,-1,0
153,695,-32,0,0,-16,0,0
154,695,-32,0,0,-16,1,0
155,695,-32,0,0,-16,2,0
156,695,-32,0,0,-16,3,0
157,695,-32,0,0,-16,4,0
158,695,-32,0,0,-16,5,0
159,695,-32,0,0,-16,6,0
160,695,-32,0,0,-16,7,0
161,695,-32,0,0,-16,8,0
162,695,-32,0,0,-16,9,0
163,695,-32,0,0,-16,10,0
164,695,-32,0,0,-16,11,0
165,695,-32,0,0,-16,11,0
166,695,-32,0,0,-16,11,0
167,695,-32,0,0,-16,11,0
168,695,-32,0,0,-16,11,0
169,695,-32,0,0,-16,11,0
170,695,-32,0,0,-16,11,0
171,695,-32,0,0,-16,11,0
172,695,-32,0,0,-16,11,0
173,695,-32,0,0,-16,11,0
174,695,-32,0,0,-16,11,0
175,695,-32,0,0,-16,11,0
176,695,-32,0,0,-16,11,0
177,695,-32,0,0,-16,11,0
178,695,-32,0,0,-16,11,0
179,695,-32,0,0,-16,11,0
180,695,-32,0,0,-16,11,0
181,695,-32,0,0,-16,11,0
182,695,-32,0,0,-16,11,0
183,695,-32,0,0,-16,11,0
184,695,-32,0,0,-16,11,0
185,695,-32,0,0,-16,11,0
186,695,-32,0,0,-16,11,0
187,695,-32,0,0,-16,11,0
188,695,-32,0,0,-16,11,0
189,695,-32,0,0,-16,11,0
190,695,-32,0,0,-16,11,0
191,695,-32,0,0,-16,11,0
192,695,-32,0,0,-16,11,0
193,695,-32,0,0,-16,11,0
194,695,-32,0,0,-16,11,0
195,695,-32,0,0,-16,11,0
196,695,-32,0,0,-16,11,0
197,695,-32,0,0,-16,11,0
198,695,-32,0,0,-16,11,0
199,695,-32,0,0,-16,11,0
200,695,-32,0,0,-16,11,0
201,695,-32,0,0,-16,10,0
202,695,-32,0,0,-16,9,0
203,695,-32,0,0,-16,8,0
204,695,-32,0,0,-16,7,0
205,695,-32,0,0,-16,6,0
206,695,-32,0,0,-16,5,0
207,695,-32,0,0,-16,4,0
208,695,-32,0,0,-16,3,0
209,695,-32,0,0,-16,2,0
210,695,-32,0,0,-16,1,0
211,695,-32,0,0,-16,0,0
212,695,-32,0,0,-16,-1,0
213,695,-32,0,0,-16,-2,0
214,695,-32,0,0,-16,-3,0
215,695,-32,0,0,-16,-4,0
216,695,-32,0,0,-16,-5,0
217,695,-32,0,0,-16,-6,0
218,695,-32,0,0,-16,-7,0
219,695,-32,0,0,-16,-8,0
220,695,-32,0,0,-16,-9,0
221,695,-32,0,0,-16,-10,0
222,695,-32,0,0,-16,-11,0
223,695,-32,0,0,-16,-12,0
224,695,-32,0,0,-16,-13,0
225,695,-32,0,0,-16,-14,0
226,695,-32,0,0,-16,-15,0
227,695,-32,0,0,-16,-15,0
228,695,-32,0,0,-16,-15,0
229,695,-32,0,0,-16,-15,0
230,695,-32,0,0,-16,-15,0
231,695,-32,0,0,-16,-15,0
232,695,-32,0,0,-16,-15,0
