t,x,y,fh,fv,r,s,frame:
0,-41,138,0,0,0,0,0
1,-41,138,0,0,0,0,0
2,-41,138,0,0,0,0,0
3,-41,138,0,0,0,0,0
4,-41,138,0,0,0,0,0
5,-41,138,0,0,0,0,0
6,-41,138,0,0,0,0,0
7,-41,138,0,0,0,0,0
8,-41,138,0,0,1,0,0
9,-41,138,0,0,2,0,0
10,-41,136,0,0,3,0,0
11,-40,135,0,0,4,0,0
12,-38,133,0,0,5,0,0
13,-37,131,0,0,6,0,0
14,-36,129,0,0,7,0,0
15,-35,128,0,0,8,0,0
16,-35,128,0,0,9,0,0
17,-35,128,0,0,10,0,0
18,-35,128,0,0,11,0,0
19,-35,128,0,0,12,0,0
20,-35,128,0,0,13,0,0
21,-34,127,0,0,14,0,0
22,-32,126,0,0,15,0,0
23,-30,125,0,0,16,0,0
24,-28,124,0,0,17,0,0
25,-26,124,0,0,18,0,0
26,-24,123,0,0,19,0,0
27,-22,123,0,0,20,0,0
28,-22,122,0,0,21,0,0
29,-20,122,0,0,22,0,0
30,-19,121,0,0,23,0,0
31,-16,120,0,0,24,0,0
32,-13,119,0,0,25,0,0
33,-10,118,0,0,26,0,0
34,-8,117,0,0,27,0,0
35,-6,115,0,0,28,0,0
36,-5,114,0,0,29,0,0
37,-4,113,0,0,30,0,0
38,-3,112,0,0,31,0,0
39,-2,112,0,0,32,0,0
40,0,111,0,0,33,0,0
41,2,110,0,0,34,0,0
42,6,109,0,0,35,0,0
43,7,108,0,0,36,0,0
44,9,107,0,0,36,0,0
45,10,107,0,0,36,0,0
46,10,106,0,0,36,0,0
47,11,106,0,0,36,0,0
48,11,106,0,0,36,0,0
49,12,105,0,0,36,0,0
50,12,105,0,0,36,0,0
51,12,105,0,0,36,0,0
52,12,105,0,0,36,0,0
53,12,105,0,0,36,0,0
54,12,105,0,0,36,0,0
55,12,105,0,0,36,0,0
56,12,105,0,0,36,0,0
57,13,105,0,0,36,0,0
58,13,105,0,0,36,0,0
59,13,104,0,0,36,0,0
60,13,103,0,0,36,0,0
61,13,103,0,0,36,0,0
62,13,103,0,0,36,0,0
63,18,103,0,0,36,0,0
64,20,102,0,0,36,0,0
65,21,102,0,0,36,0,0
66,21,102,0,0,36,0,0
67,21,102,0,0,36,0,0
68,21,102,0,0,36,0,0
69,21,102,0,0,36,0,0
70,21,102,0,0,36,0,0
71,21,102,0,0,36,0,0
72,21,102,0,0,36,0,0
73,21,102,0,0,36,0,0
74,21,102,0,0,36,0,0
75,21,102,0,0,36,0,0
76,21,102,0,0,36,0,0
77,21,102,0,0,36,0,0
78,21,102,0,0,36,0,0
79,21,102,0,0,36,0,0
80,21,102,0,0,36,0,0
81,21,102,0,0,36,0,0
82,21,102,0,0,36,0,0
83,21,102,0,0,36,0,0
84,21,102,0,0,36,0,0
85,21,102,0,0,36,0,0
86,21,102,0,0,36,0,0
87,21,102,0,0,36,0,0
88,22,102,0,0,36,0,0
89,22,102,0,0,36,0,0
90,22,102,0,0,36,0,0
91,24,106,0,0,36,0,0
92,24,106,0,0,36,0,0
93,24,106,0,0,36,0,0
94,24,106,0,0,36,0,0
95,23,106,0,0,36,0,0
96,23,107,0,0,36,0,0
97,23,107,0,0,36,0,0
98,23,107,0,0,36,0,0
99,22,108,0,0,36,0,0
100,21,109,0,0,36,0,0
101,21,109,0,0,36,0,0
102,21,110,0,0,35,0,0
103,21,110,0,0,34,0,0
104,20,111,0,0,33,0,0
105,18,113,0,0,32,0,0
106,16,115,0,0,31,0,0
107,14,116,0,0,30,0,0
108,12,118,0,0,29,0,0
109,10,119,0,0,28,0,0
110,8,121,0,0,27,0,0
111,6,121,0,0,26,0,0
112,3,122,0,0,25,0,0
113,1,124,0,0,24,0,0
114,-1,124,0,0,23,0,0
115,-3,125,0,0,22,0,0
116,-5,126,0,0,21,0,0
117,-10,126,0,0,20,0,0
118,-14,126,0,0,19,0,0
119,-19,127,0,0,18,0,0
120,-24,127,0,0,17,0,0
121,-29,127,0,0,16,0,0
122,-34,127,0,0,15,0,0
123,-40,127,0,0,14,0,0
124,-45,127,0,0,13,0,0
125,-48,127,0,0,12,0,0
126,-51,127,0,0,11,0,0
127,-53,127,0,0,10,0,0
128,-55,127,0,0,9,0,0
129,-57,127,0,0,8,0,0
130,-60,125,0,0,7,0,0
131,-64,123,0,0,6,0,0
132,-67,123,0,0,5,0,0
133,-70,122,0,0,4,0,0
134,-73,121,0,0,3,0,0
135,-75,120,0,0,2,0,0
136,-79,119,0,0,1,0,0
