t,x,y,fh,fv,r,s,frame:
0,-194,132,0,0,0,0,0
1,-194,132,0,0,0,0,0
2,-194,132,0,0,0,0,0
3,-194,132,0,0,0,0,0
4,-194,132,0,0,0,0,0
5,-194,132,0,0,0,0,0
6,-194,132,0,0,0,0,0
7,-194,132,0,0,0,0,0
8,-194,132,0,0,0,0,0
9,-194,132,0,0,0,0,0
10,-194,132,0,0,0,0,0
11,-194,132,0,0,0,0,0
12,-194,132,0,0,0,0,0
13,-194,132,0,0,0,0,0
14,-195,132,0,0,0,0,0
15,-196,132,0,0,0,0,0
16,-196,132,0,0,0,0,0
17,-196,132,0,0,0,0,0
18,-197,132,0,0,0,0,0
19,-198,132,0,0,0,0,0
20,-198,132,0,0,0,0,0
21,-200,131,0,0,0,0,0
22,-201,131,0,0,0,0,0
23,-202,131,0,0,0,0,0
24,-203,131,0,0,0,0,0
25,-204,131,0,0,0,0,0
26,-205,131,0,0,0,0,0
27,-206,131,0,0,0,0,0
28,-206,131,0,0,0,0,0
29,-206,131,0,0,0,0,0
30,-209,131,0,0,0,0,0
31,-212,130,0,0,0,0,0
32,-215,129,0,0,0,0,0
33,-218,128,0,0,0,0,0
34,-219,128,0,0,0,0,0
35,-219,127,0,0,0,0,0
36,-220,127,0,0,0,0,0
37,-220,127,0,0,0,0,0
38,-220,127,0,0,0,0,0
39,-220,127,0,0,0,0,0
40,-220,127,0,0,0,0,0
41,-220,127,0,0,0,0,0
42,-220,127,0,0,0,0,0
43,-220,126,0,0,0,0,0
44,-219,125,0,0,0,0,0
45,-219,124,0,0,0,0,0
46,-219,124,0,0,0,0,0
47,-218,123,0,0,0,0,0
48,-218,123,0,0,0,0,0
49,-217,123,0,0,0,0,0
50,-216,122,0,0,0,0,0
51,-215,121,0,0,0,0,0
52,-214,120,0,0,0,0,0
53,-213,120,0,0,0,0,0
54,-213,120,0,0,0,0,0
55,-211,120,0,0,0,0,0
56,-210,119,0,0,0,0,0
57,-207,118,0,0,0,0,0
58,-204,117,0,0,0,0,0
59,-204,117,0,0,0,0,0
60,-201,116,0,0,0,0,0
61,-200,116,0,0,0,0,0
62,-200,115,0,0,0,0,0
63,-198,115,0,0,0,0,0
64,-197,114,0,0,0,0,0
65,-197,114,0,0,0,0,0
66,-195,113,0,0,0,0,0
67,-194,112,0,0,0,0,0
68,-194,111,0,0,0,0,0
69,-193,111,0,0,0,0,0
70,-193,111,0,0,0,0,0
71,-193,110,0,0,0,0,0
72,-192,110,0,0,0,0,0
73,-191,109,0,0,0,0,0
74,-191,108,0,0,0,0,0
75,-190,108,0,0,0,0,0
76,-190,107,0,0,0,0,0
77,-190,107,0,0,0,0,0
78,-190,107,0,0,0,0,0
79,-190,107,0,0,0,0,0
80,-190,107,0,0,0,0,0
81,-189,107,0,0,0,0,0
82,-188,107,0,0,0,0,0
83,-188,107,0,0,0,0,0
84,-188,107,0,0,0,0,0
85,-187,108,0,0,0,0,0
86,-187,108,0,0,0,0,0
87,-187,108,0,0,0,0,0
88,-187,109,0,0,0,0,0
89,-186,109,0,0,0,0,0
90,-186,110,0,0,0,0,0
91,-186,111,0,0,0,0,0
92,-186,112,0,0,0,0,0
93,-186,112,0,0,0,0,0
94,-185,113,0,0,0,0,0
95,-185,113,0,0,0,0,0
96,-185,113,0,0,0,0,0
97,-185,114,0,0,0,0,0
98,-184,115,0,0,0,0,0
99,-184,115,0,0,0,0,0
100,-183,116,0,0,0,0,0
101,-183,117,0,0,0,0,0
102,-182,118,0,0,0,0,0
103,-182,119,0,0,0,0,0
104,-182,121,0,0,0,0,0
105,-182,122,0,0,0,0,0
106,-182,124,0,0,0,0,0
107,-181,126,0,0,0,0,0
108,-181,127,0,0,0,0,0
109,-181,127,0,0,0,0,0
110,-181,128,0,0,0,0,0
111,-180,129,0,0,0,0,0
112,-180,131,0,0,0,0,0
113,-179,132,0,0,0,0,0
114,-179,133,0,0,0,0,0
115,-178,133,0,0,0,0,0
116,-178,134,0,0,0,0,0
117,-178,134,0,0,0,0,0
118,-178,134,0,0,0,0,0
119,-177,135,0,0,0,0,0
120,-176,136,0,0,0,0,0
121,-174,137,0,0,0,0,0
122,-174,137,0,0,0,0,0
123,-174,137,0,0,0,0,0
124,-174,138,0,0,0,0,0
125,-174,139,0,0,0,0,0
126,-174,140,0,0,0,0,0
127,-174,140,0,0,0,0,0
128,-174,141,0,0,0,0,0
129,-175,142,0,0,0,0,0
130,-175,142,0,0,0,0,0
131,-176,142,0,0,0,0,0
132,-177,143,0,0,0,0,0
133,-179,145,0,0,0,0,0
134,-180,145,0,0,0,0,0
135,-183,147,0,0,0,0,0
136,-185,147,0,0,0,0,0
137,-186,148,0,0,0,0,0
138,-189,148,0,0,0,0,0
139,-190,148,0,0,0,0,0
140,-190,148,0,0,0,0,0
141,-190,148,0,0,0,0,0
142,-190,148,0,0,0,0,0
143,-190,148,0,0,0,0,0
144,-190,148,0,0,0,0,0
145,-190,148,0,0,0,0,0
146,-191,148,0,0,0,0,0
147,-192,148,0,0,0,0,0
148,-193,148,0,0,0,0,0
149,-194,148,0,0,0,0,0
150,-197,148,0,0,0,0,0
151,-198,148,0,0,0,0,0
152,-198,148,0,0,0,0,0
153,-198,148,0,0,0,0,0
154,-198,148,0,0,0,0,0
155,-198,148,0,0,0,0,0
156,-198,148,0,0,0,0,0
157,-198,148,0,0,0,0,0
158,-199,148,0,0,0,0,0
159,-200,148,0,0,0,0,0
160,-201,148,0,0,0,0,0
161,-201,148,0,0,0,0,0
162,-201,147,0,0,0,0,0
163,-202,147,0,0,0,0,0
164,-203,147,0,0,0,0,0
165,-204,147,0,0,0,0,0
166,-205,146,0,0,0,0,0
167,-205,146,0,0,0,0,0
168,-205,146,0,0,0,0,0
169,-205,146,0,0,0,0,0
170,-205,146,0,0,0,0,0
171,-206,146,0,0,0,0,0
172,-206,146,0,0,0,0,0
173,-206,146,0,0,0,0,0
174,-207,146,0,0,0,0,0
175,-207,146,0,0,0,0,0
176,-207,146,0,0,0,0,0
177,-207,146,0,0,0,0,0
178,-207,145,0,0,0,0,0
179,-207,145,0,0,0,0,0
180,-208,145,0,0,0,0,0
181,-208,145,0,0,0,0,0
182,-208,145,0,0,0,0,0
183,-208,145,0,0,0,0,0
184,-208,144,0,0,0,0,0
185,-208,143,0,0,0,0,0
186,-208,143,0,0,0,0,0
187,-208,143,0,0,0,0,0
188,-208,142,0,0,0,0,0
189,-208,142,0,0,0,0,0
190,-207,142,0,0,0,0,0
191,-207,142,0,0,0,0,0
192,-207,142,0,0,0,0,0
193,-207,142,0,0,0,0,0
194,-207,142,0,0,0,0,0
