t,x,y,fh,fv,r,s,frame:
0,398,44,1,0,0,-35,0
1,398,44,1,0,0,-35,0
2,398,44,1,0,0,-35,0
3,398,44,1,0,0,-35,0
4,397,43,1,0,0,-35,0
5,391,35,1,0,0,-35,0
6,385,29,1,0,0,-35,0
7,379,25,1,0,0,-35,0
8,375,24,1,0,0,-35,0
9,372,22,1,0,0,-35,0
10,372,22,1,0,0,-35,0
11,372,22,1,0,0,-35,0
12,372,22,1,0,0,-35,0
13,370,21,1,0,0,-35,0
14,363,19,1,0,0,-35,0
15,352,16,1,0,0,-35,0
16,343,14,1,0,0,-35,0
17,338,13,1,0,0,-35,0
18,329,11,1,0,0,-35,0
19,328,11,1,0,0,-35,0
20,328,11,1,0,0,-35,0
21,328,11,1,0,0,-35,0
22,328,11,1,0,0,-35,0
23,326,11,1,0,0,-35,0
24,323,14,1,0,0,-35,0
25,318,17,1,0,0,-35,0
26,315,21,1,0,0,-35,0
27,313,24,1,0,0,-35,0
28,312,25,1,0,0,-35,0
29,311,27,1,0,0,-35,0
30,311,30,1,0,0,-35,0
31,309,35,1,0,0,-35,0
32,308,38,1,0,0,-35,0
33,307,39,1,0,0,-35,0
34,307,39,1,0,0,-35,0
35,307,39,1,0,0,-35,0
36,307,39,1,0,0,-35,0
37,307,39,1,0,0,-35,0
38,307,39,1,0,0,-35,0
39,307,39,1,0,0,-35,0
40,307,39,1,0,0,-35,0
41,304,38,1,0,0,-35,0
42,298,34,1,0,0,-35,0
43,291,31,1,0,0,-35,0
44,282,26,1,0,0,-35,0
45,275,23,1,0,0,-35,0
46,268,20,1,0,0,-35,0
47,261,17,1,0,0,-35,0
48,255,15,1,0,0,-35,0
49,248,14,1,0,0,-35,0
50,241,14,1,0,1,-35,0
51,235,14,1,0,2,-35,0
52,230,15,1,0,3,-35,0
53,221,19,1,0,4,-35,0
54,215,22,1,0,5,-35,0
55,207,26,1,0,6,-35,0
56,201,30,1,0,7,-35,0
57,200,32,1,0,8,-35,0
58,200,34,1,0,9,-35,0
59,199,38,1,0,10,-35,0
60,199,42,1,0,11,-35,0
61,198,44,1,0,12,-35,0
62,195,53,1,0,13,-35,0
63,195,55,1,0,14,-35,0
64,193,58,1,0,15,-35,0
65,193,59,1,0,16,-35,0
66,193,59,1,0,17,-35,0
67,193,59,1,0,18,-35,0
68,193,59,1,0,18,-35,0
69,193,59,1,0,18,-35,0
70,193,59,1,0,18,-35,0
71,193,59,1,0,18,-35,0
72,193,59,1,0,18,-35,0
73,192,60,1,0,18,-35,0
74,191,61,1,0,18,-35,0
75,191,62,1,0,18,-35,0
76,191,62,1,0,18,-35,0
77,191,62,1,0,18,-35,0
78,191,62,1,0,18,-35,0
79,191,62,1,0,18,-35,0
80,191,62,1,0,18,-35,0
81,191,62,1,0,18,-35,0
82,189,59,1,0,18,-35,0
83,185,56,1,0,18,-35,0
84,180,52,1,0,18,-35,0
85,176,47,1,0,18,-35,0
86,171,43,1,0,18,-35,0
87,167,39,1,0,18,-35,0
88,164,36,1,0,18,-35,0
89,161,33,1,0,19,-35,0
90,157,30,1,0,20,-35,0
91,150,25,1,0,21,-35,0
92,144,21,1,0,21,-35,0
93,137,18,1,0,21,-35,0
94,131,15,1,0,21,-35,0
95,124,13,1,0,21,-35,0
96,122,13,1,0,21,-35,0
97,114,13,1,0,21,-35,0
98,108,17,1,0,21,-35,0
99,103,22,1,0,21,-35,0
100,101,28,1,0,21,-35,0
101,101,33,1,0,21,-35,0
102,102,36,1,0,21,-35,0
103,104,37,1,0,21,-35,0
104,104,37,1,0,21,-35,0
105,104,37,1,0,21,-35,0
106,104,37,1,0,21,-35,0
107,103,37,1,0,21,-35,0
108,98,37,1,0,21,-35,0
109,91,35,1,0,21,-35,0
110,88,34,1,0,21,-35,0
111,86,32,1,0,21,-35,0
112,86,29,1,0,21,-35,0
113,86,26,1,0,21,-35,0
114,87,23,1,0,21,-35,0
115,87,21,1,0,21,-35,0
116,88,21,1,0,21,-35,0
117,88,21,1,0,21,-35,0
118,89,24,1,0,21,-35,0
119,89,26,1,0,21,-35,0
120,89,28,1,0,21,-35,0
121,89,29,1,0,21,-35,0
122,85,29,1,0,21,-35,0
123,80,28,1,0,21,-35,0
124,74,26,1,0,21,-35,0
125,66,25,1,0,21,-35,0
126,65,24,1,0,21,-35,0
127,65,24,1,0,21,-35,0
128,69,19,1,0,21,-35,0
129,74,16,1,0,21,-35,0
130,77,15,1,0,21,-35,0
131,78,15,1,0,21,-35,0
132,78,15,1,0,21,-35,0
133,79,22,1,0,21,-35,0
134,80,28,1,0,21,-35,0
