t,x,y,fh,fv,r,s,frame:
0,15,11,0,0,0,0,0
1,15,11,0,0,0,0,0
2,14,11,0,0,0,0,0
3,13,11,0,0,0,0,0
4,12,13,0,0,0,0,0
5,11,14,0,0,0,0,0
6,10,15,0,0,0,0,0
7,10,16,0,0,0,0,0
8,10,18,0,0,0,0,0
9,9,19,0,0,0,0,0
10,7,20,0,0,0,0,0
11,6,22,0,0,0,0,0
12,5,23,0,0,0,0,0
13,4,23,0,0,0,0,0
14,4,24,0,0,0,0,0
15,4,24,0,0,0,0,0
16,4,24,0,0,0,0,0
17,3,24,0,0,0,0,0
18,3,25,0,0,0,0,0
19,2,25,0,0,0,0,0
20,2,25,0,0,0,0,0
21,2,25,0,0,0,0,0
22,1,25,0,0,0,0,0
23,-1,25,0,0,0,0,0
24,-4,26,0,0,0,0,0
25,-7,26,0,0,0,0,0
26,-9,26,0,0,0,0,0
27,-10,27,0,0,0,0,0
28,-11,27,0,0,0,0,0
29,-11,27,0,0,0,0,0
30,-11,27,0,0,0,0,0
31,-12,27,0,0,0,0,0
32,-13,27,0,0,0,0,0
33,-14,27,0,0,0,0,0
34,-15,27,0,0,0,0,0
35,-17,27,0,0,0,0,0
36,-18,26,0,0,0,0,0
37,-20,25,0,0,0,0,0
38,-22,24,0,0,0,0,0
39,-22,24,0,0,0,0,0
40,-23,24,0,0,0,0,0
41,-23,24,0,0,0,0,0
42,-23,24,0,0,0,0,0
43,-25,21,0,0,0,0,0
44,-27,20,0,0,0,0,0
45,-28,19,0,0,0,0,0
46,-30,17,0,0,0,0,0
47,-32,15,0,0,0,0,0
48,-33,14,0,0,0,0,0
49,-34,13,0,0,0,0,0
50,-34,12,0,0,0,0,0
51,-35,12,0,0,0,0,0
52,-36,11,0,0,0,0,0
53,-37,10,0,0,0,0,0
54,-37,8,0,0,0,0,0
55,-38,7,0,0,0,0,0
56,-39,6,0,0,0,0,0
57,-39,5,0,0,0,0,0
58,-39,3,0,0,0,0,0
59,-39,3,0,0,0,0,0
60,-39,2,0,0,0,0,0
61,-39,1,0,0,0,0,0
62,-39,0,0,0,0,0,0
63,-39,-1,0,0,0,0,0
64,-39,-2,0,0,0,0,0
65,-39,-3,0,0,0,0,0
66,-39,-3,0,0,0,0,0
67,-38,-4,0,0,0,0,0
68,-38,-4,0,0,0,0,0
69,-38,-4,0,0,0,0,0
70,-38,-4,0,0,0,0,0
71,-38,-4,0,0,0,0,0
72,-38,-4,0,0,0,0,0
73,-38,-4,0,0,0,0,0
74,-37,-4,0,0,0,0,0
75,-36,-4,0,0,0,0,0
76,-35,-4,0,0,0,0,0
77,-34,-4,0,0,0,0,0
78,-33,-5,0,0,0,0,0
79,-33,-5,0,0,0,0,0
80,-32,-5,0,0,0,0,0
81,-31,-5,0,0,0,0,0
82,-30,-5,0,0,0,0,0
83,-29,-5,0,0,0,0,0
84,-27,-5,0,0,0,0,0
85,-26,-5,0,0,0,0,0
86,-26,-5,0,0,0,0,0
87,-25,-5,0,0,0,0,0
88,-24,-5,0,0,0,0,0
89,-23,-5,0,0,0,0,0
90,-22,-5,0,0,0,0,0
91,-21,-4,0,0,0,0,0
92,-20,-4,0,0,0,0,0
93,-20,-3,0,0,0,0,0
94,-19,-3,0,0,0,0,0
95,-18,-2,0,0,0,0,0
96,-18,-2,0,0,0,0,0
97,-17,-1,0,0,0,0,0
98,-17,-1,0,0,0,0,0
99,-17,-1,0,0,0,0,0
100,-17,-1,0,0,0,0,0
101,-16,0,0,0,0,0,0
102,-15,0,0,0,0,0,0
103,-14,0,0,0,0,0,0
104,-14,1,0,0,0,0,0
105,-13,1,0,0,0,0,0
106,-12,1,0,0,0,0,0
107,-12,1,0,0,0,0,0
108,-10,2,0,0,0,0,0
109,-8,2,0,0,0,0,0
110,-6,2,0,0,0,0,0
111,-5,2,0,0,0,0,0
112,-4,2,0,0,0,0,0
113,-1,2,0,0,0,0,0
114,0,2,0,0,0,0,0
115,1,2,0,0,0,0,0
116,1,2,0,0,0,0,0
117,2,1,0,0,0,0,0
118,3,1,0,0,0,0,0
119,3,0,0,0,0,0,0
120,5,-1,0,0,0,0,0
121,7,-2,0,0,0,0,0
122,8,-3,0,0,0,0,0
123,10,-4,0,0,0,0,0
124,11,-5,0,0,0,0,0
125,13,-5,0,0,0,0,0
126,14,-6,0,0,0,0,0
127,15,-7,0,0,0,0,0
128,16,-7,0,0,0,0,0
129,17,-8,0,0,0,0,0
130,18,-8,0,0,0,0,0
131,20,-9,0,0,0,0,0
132,21,-9,0,0,0,0,0
133,23,-10,0,0,0,0,0
134,24,-10,0,0,0,0,0
135,26,-11,0,0,0,0,0
136,27,-11,0,0,0,0,0
137,28,-11,0,0,0,0,0
138,28,-11,0,0,0,0,0
139,30,-11,0,0,0,0,0
140,31,-11,0,0,0,0,0
141,33,-11,0,0,0,0,0
142,34,-10,0,0,0,0,0
143,35,-10,0,0,0,0,0
144,36,-10,0,0,0,0,0
145,37,-10,0,0,0,0,0
146,38,-9,0,0,0,0,0
147,39,-9,0,0,0,0,0
148,40,-8,0,0,0,0,0
149,42,-8,0,0,0,0,0
150,43,-7,0,0,0,0,0
151,44,-6,0,0,0,0,0
152,45,-5,0,0,0,0,0
153,45,-5,0,0,0,0,0
154,46,-4,0,0,0,0,0
155,48,-2,0,0,0,0,0
156,50,1,0,0,0,0,0
157,52,2,0,0,0,0,0
158,52,4,0,0,0,0,0
159,53,5,0,0,0,0,0
160,53,6,0,0,0,0,0
161,54,6,0,0,0,0,0
162,54,7,0,0,0,0,0
163,55,7,0,0,0,0,0
164,55,9,0,0,0,0,0
165,55,10,0,0,0,0,0
166,55,11,0,0,0,0,0
167,55,13,0,0,0,0,0
168,55,14,0,0,0,0,0
169,55,16,0,0,0,0,0
170,55,18,0,0,0,0,0
171,54,19,0,0,0,0,0
172,54,20,0,0,0,0,0
173,53,21,0,0,0,0,0
174,51,24,0,0,0,0,0
175,50,25,0,0,0,0,0
176,49,26,0,0,0,0,0
177,48,26,0,0,0,0,0
178,48,26,0,0,0,0,0
179,47,26,0,0,0,0,0
180,44,27,0,0,0,0,0
181,42,27,0,0,0,0,0
182,40,27,0,0,0,0,0
183,38,27,0,0,0,0,0
184,37,27,0,0,0,0,0
185,36,27,0,0,0,0,0
186,36,27,0,0,0,0,0
187,36,27,0,0,0,0,0
188,34,27,0,0,0,0,0
189,33,27,0,0,0,0,0
190,32,26,0,0,0,0,0
191,32,26,0,0,0,0,0
192,31,26,0,0,0,0,0
193,30,25,0,0,0,0,0
194,30,25,0,0,0,0,0
195,29,24,0,0,0,0,0
196,28,23,0,0,0,0,0
197,27,21,0,0,0,0,0
198,26,20,0,0,0,0,0
199,25,20,0,0,0,0,0
200,25,19,0,0,0,0,0
201,25,18,0,0,0,0,0
202,24,16,0,0,0,0,0
203,24,15,0,0,0,0,0
204,24,14,0,0,0,0,0
205,24,13,0,0,0,0,0
206,23,12,0,0,0,0,0
207,23,11,0,0,0,0,0
208,23,11,0,0,0,0,0
209,23,11,0,0,0,0,0
210,23,11,0,0,0,0,0
211,23,11,0,0,0,0,0
212,23,11,0,0,0,0,0
213,23,10,0,0,0,0,0
214,22,10,0,0,0,0,0
215,22,10,0,0,0,0,0
216,22,10,0,0,0,0,0
217,22,10,0,0,0,0,0
218,22,10,0,0,0,0,0
219,22,10,0,0,0,0,0
220,22,10,0,0,0,0,0
221,21,9,0,0,0,0,0
222,21,9,0,0,0,0,0
223,19,9,0,0,0,0,0
224,19,9,0,0,0,0,0
225,19,9,0,0,0,0,0
226,19,9,0,0,0,0,0
227,19,9,0,0,0,0,0
228,19,9,0,0,0,0,0
229,19,9,0,0,0,0,0
230,19,9,0,0,0,0,0
231,18,9,0,0,0,0,0
232,18,9,0,0,0,0,0
233,18,9,0,0,0,0,0
234,18,9,0,0,0,0,0
235,17,9,0,0,0,0,0
236,17,9,0,0,0,0,0
237,17,10,0,0,0,0,0
238,17,10,0,0,0,0,0
239,17,10,0,0,0,0,0
240,17,10,0,0,0,0,0
241,17,10,0,0,0,0,0
242,17,10,0,0,0,0,0
243,17,10,0,0,0,0,0
244,17,10,0,0,0,0,0
245,17,10,0,0,0,0,0
246,16,10,0,0,0,0,0
247,16,10,0,0,0,0,0
248,16,10,0,0,0,0,0
249,16,10,0,0,0,0,0
250,15,10,0,0,0,0,0
251,15,10,0,0,0,0,0
252,15,10,0,0,0,0,0
253,15,10,0,0,0,0,0
254,15,10,0,0,0,0,0
255,15,10,0,0,0,0,0
256,15,10,0,0,0,0,0
257,15,11,0,0,0,0,0
258,15,11,0,0,0,0,0
259,15,11,0,0,0,0,0
260,15,11,0,0,0,0,0
261,15,11,0,0,0,0,0
262,15,11,0,0,0,0,0
263,15,11,0,0,0,0,0
264,15,11,0,0,0,0,0
265,15,11,0,0,0,0,0
266,14,11,0,0,0,0,0
267,14,11,0,0,0,0,0
268,14,11,0,0,0,0,0
269,14,11,0,0,0,0,0
270,14,11,0,0,0,0,0
271,14,11,0,0,0,0,0
272,14,11,0,0,0,0,0
273,14,11,0,0,0,0,0
274,14,11,0,0,0,0,0
275,14,11,0,0,0,0,0
276,14,11,0,0,0,0,0
277,14,11,0,0,0,0,0
278,14,11,0,0,0,0,0
279,14,11,0,0,0,0,0
280,14,11,0,0,0,0,0
281,14,11,0,0,0,0,0
282,14,11,0,0,0,0,0
283,14,11,0,0,0,0,0
284,14,11,0,0,0,0,0
285,14,11,0,0,0,0,0
286,14,11,0,0,0,0,0
287,14,11,0,0,0,0,0
288,14,11,0,0,0,0,0
289,14,11,0,0,0,0,0
290,14,11,0,0,0,0,0
291,14,11,0,0,0,0,0
292,14,11,0,0,0,0,0
