t,x,y,fh,fv,r,s,frame:
0,227,90,0,0,0,-109,0
1,227,89,0,0,0,-109,0
2,226,88,0,0,0,-109,0
3,224,84,0,0,8,-109,0
4,217,74,0,0,16,-109,0
5,210,63,0,0,24,-109,0
6,197,47,0,0,32,-109,0
7,188,36,0,0,40,-109,0
8,180,25,0,0,48,-109,0
9,163,2,0,0,56,-109,0
10,150,-13,0,0,64,-109,0
11,139,-24,0,0,72,-109,0
12,131,-30,0,0,80,-109,0
13,124,-36,0,0,88,-109,0
14,121,-37,0,0,96,-109,0
15,120,-39,0,0,104,-109,0
16,117,-43,0,0,112,-109,0
17,113,-49,0,0,120,-109,0
18,108,-54,0,0,128,-109,0
19,102,-56,0,0,136,-109,0
20,97,-58,0,0,144,-109,0
21,92,-59,0,0,152,-109,0
22,88,-61,0,0,160,-109,0
23,84,-63,0,0,168,-109,0
24,79,-65,0,0,176,-109,0
25,73,-67,0,0,184,-109,0
26,62,-70,0,0,192,-109,0
27,52,-72,0,0,200,-109,0
28,41,-73,0,0,208,-109,0
29,30,-74,0,0,216,-109,0
30,17,-77,0,0,224,-109,0
31,8,-78,0,0,232,-109,0
32,-3,-80,0,0,240,-109,0
33,-12,-80,0,0,248,-109,0
34,-20,-80,0,0,256,-109,0
35,-31,-80,0,0,264,-109,0
36,-38,-80,0,0,272,-109,0
37,-47,-80,0,0,280,-109,0
38,-55,-80,0,0,288,-109,0
39,-62,-80,0,0,296,-109,0
40,-70,-77,0,0,304,-109,0
41,-78,-76,0,0,312,-109,0
42,-85,-75,0,0,320,-109,0
43,-90,-74,0,0,328,-109,0
44,-93,-73,0,0,336,-109,0
45,-95,-72,0,0,344,-109,0
46,-98,-70,0,0,352,-109,0
47,-100,-70,0,0,360,-109,0
48,-109,-66,0,0,368,-109,0
49,-117,-63,0,0,376,-109,0
50,-122,-61,0,0,384,-109,0
51,-129,-57,0,0,392,-109,0
52,-134,-54,0,0,400,-109,0
53,-138,-51,0,0,408,-109,0
54,-142,-48,0,0,416,-109,0
55,-146,-45,0,0,424,-109,0
56,-149,-43,0,0,432,-109,0
57,-152,-40,0,0,440,-109,0
58,-154,-37,0,0,448,-109,0
59,-160,-33,0,0,456,-109,0
60,-167,-29,0,0,464,-109,0
61,-177,-23,0,0,472,-109,0
62,-183,-20,0,0,480,-109,0
63,-190,-17,0,0,488,-109,0
64,-196,-13,0,0,496,-109,0
65,-200,-11,0,0,504,-109,0
66,-204,-9,0,0,512,-109,0
67,-208,-6,0,0,520,-109,0
68,-211,-4,0,0,528,-109,0
69,-213,-2,0,0,536,-109,0
70,-220,2,0,0,544,-109,0
71,-226,5,0,0,552,-109,0
72,-229,7,0,0,560,-109,0
73,-231,7,0,0,568,-109,0
74,-231,7,0,0,576,-109,0
75,-232,8,0,0,584,-109,0
76,-235,11,0,0,592,-109,0
77,-238,14,0,0,600,-109,0
78,-239,15,0,0,608,-109,0
79,-239,15,0,0,616,-109,0
80,-239,15,0,0,624,-109,0
81,-239,16,0,0,632,-109,0
82,-241,19,0,0,640,-109,0
83,-244,24,0,0,648,-109,0
84,-246,28,0,0,656,-109,0
85,-248,33,0,0,664,-109,0
86,-250,38,0,0,672,-109,0
87,-253,42,0,0,680,-109,0
88,-255,45,0,0,688,-109,0
89,-255,47,0,0,696,-109,0
90,-255,47,0,0,704,-109,0
91,-255,47,0,0,712,-109,0
92,-258,49,0,0,720,-109,0
93,-266,55,0,0,728,-109,0
94,-282,65,0,0,728,-109,0
95,-295,72,0,0,728,-109,0
96,-307,79,0,0,728,-109,0
97,-309,80,0,0,728,-109,0
98,-309,80,0,0,728,-109,0
99,-309,80,0,0,728,-109,0
100,-309,80,0,0,728,-109,0
101,-309,80,0,0,728,-109,0
102,-309,80,0,0,728,-109,0
103,-309,80,0,0,728,-109,0
104,-309,80,0,0,728,-109,0
105,-309,80,0,0,728,-109,0
106,-309,80,0,0,728,-109,0
107,-309,80,0,0,728,-109,0
108,-309,80,0,0,728,-109,0
109,-309,80,0,0,728,-109,0
110,-309,80,0,0,728,-109,0
111,-309,80,0,0,728,-109,0
112,-309,80,0,0,728,-109,0
113,-309,80,0,0,728,-109,0
114,-309,80,0,0,728,-109,0
115,-309,80,0,0,728,-109,0
116,-309,80,0,0,728,-109,0
117,-309,80,0,0,728,-109,0
118,-309,80,0,0,728,-109,0
119,-309,80,0,0,728,-109,0
120,-309,80,0,0,728,-109,0
121,-309,80,0,0,728,-109,0
122,-309,80,0,0,728,-109,0
123,-309,80,0,0,728,-109,0
124,-309,80,0,0,728,-109,0
125,-309,80,0,0,728,-109,0
126,-309,80,0,0,728,-109,0
127,-309,80,0,0,728,-109,0
128,-309,80,0,0,728,-109,0
129,-309,80,0,0,728,-109,0
130,-309,80,0,0,728,-109,0
131,-309,80,0,0,728,-109,0
132,-309,80,0,0,728,-109,0
133,-309,80,0,0,728,-109,0
134,-309,80,0,0,728,-109,0
135,-309,80,0,0,728,-109,0
136,-309,80,0,0,728,-109,0
137,-309,80,0,0,728,-109,0
138,-309,80,0,0,728,-109,0
139,-309,80,0,0,728,-109,0
140,-309,80,0,0,728,-109,0
141,-309,80,0,0,728,-109,0
142,-309,80,0,0,728,-109,0
143,-309,80,0,0,728,-109,0
144,-309,80,0,0,728,-109,0
145,-309,80,0,0,728,-109,0
146,-309,80,0,0,728,-109,0
147,-309,80,0,0,728,-109,0
148,-309,80,0,0,728,-109,0
149,-309,80,0,0,728,-109,0
150,-309,80,0,0,728,-109,0
151,-309,80,0,0,728,-109,0
152,-309,80,0,0,728,-109,0
153,-309,80,0,0,728,-109,0
154,-309,80,0,0,728,-109,0
155,-309,80,0,0,728,-109,0
156,-309,80,0,0,728,-109,0
157,-309,80,0,0,728,-109,0
158,-309,80,0,0,728,-109,0
159,-309,80,0,0,728,-109,0
160,-309,80,0,0,728,-109,0
161,-309,80,0,0,728,-109,0
162,-309,80,0,0,728,-109,0
163,-309,80,0,0,728,-109,0
164,-309,80,0,0,728,-109,0
165,-309,80,0,0,728,-109,0
166,-309,80,0,0,728,-109,0
167,-309,80,0,0,728,-109,0
168,-309,80,0,0,728,-109,0
169,-309,80,0,0,728,-109,0
170,-309,80,0,0,728,-109,0
171,-309,80,0,0,728,-109,0
172,-309,80,0,0,728,-109,0
173,-309,80,0,0,728,-109,0
174,-309,80,0,0,728,-109,0
175,-309,80,0,0,728,-109,0
176,-309,80,0,0,728,-109,0
177,-309,80,0,0,728,-109,0
178,-309,80,0,0,728,-109,0
179,-309,80,0,0,728,-109,0
180,-309,80,0,0,728,-109,0
181,-309,80,0,0,728,-109,0
182,-309,80,0,0,728,-109,0
183,-309,80,0,0,728,-109,0
184,-309,80,0,0,728,-109,0
185,-309,80,0,0,728,-109,0
186,-309,80,0,0,728,-109,0
187,-309,80,0,0,728,-109,0
188,-309,80,0,0,728,-109,0
189,-309,80,0,0,728,-109,0
190,-309,80,0,0,728,-109,0
191,-309,80,0,0,728,-109,0
192,-309,80,0,0,728,-109,0
193,-309,80,0,0,728,-109,0
194,-309,80,0,0,728,-109,0
195,-309,80,0,0,728,-109,0
196,-309,80,0,0,728,-109,0
197,-309,80,0,0,728,-109,0
198,-309,80,0,0,728,-109,0
199,-309,80,0,0,728,-109,0
200,-309,80,0,0,728,-109,0
201,-309,80,0,0,728,-109,0
