t,x,y,fh,fv,r,s,frame:
0,28,121,0,0,0,0,0
1,28,121,0,0,0,0,0
2,28,122,0,0,0,0,0
3,28,123,0,0,0,0,0
4,28,123,0,0,0,0,0
5,28,124,0,0,0,0,0
6,28,124,0,0,0,0,0
7,28,124,0,0,0,0,0
8,27,125,0,0,0,0,0
9,27,125,0,0,0,0,0
10,25,126,0,0,0,0,0
11,23,127,0,0,0,0,0
12,20,128,0,0,0,0,0
13,19,128,0,0,0,0,0
14,19,128,0,0,0,0,0
15,19,128,0,0,0,0,0
16,19,128,0,0,0,0,0
17,18,128,0,0,0,0,0
18,15,129,0,0,0,0,0
19,11,129,0,0,0,0,0
20,7,130,0,0,0,0,0
21,5,130,0,0,0,0,0
22,4,131,0,0,0,0,0
23,2,131,0,0,0,0,0
24,1,132,0,0,0,0,0
25,0,132,0,0,0,0,0
26,-2,133,0,0,0,0,0
27,-5,133,0,0,0,0,0
28,-7,134,0,0,0,0,0
29,-9,134,0,0,0,0,0
30,-11,135,0,0,0,0,0
31,-13,135,0,0,0,0,0
32,-14,135,0,0,0,0,0
33,-15,135,0,0,0,0,0
34,-16,135,0,0,0,0,0
35,-18,134,0,0,0,0,0
36,-20,134,0,0,0,0,0
37,-22,133,0,0,0,0,0
38,-24,132,0,0,0,0,0
39,-27,131,0,0,0,0,0
40,-27,131,0,0,0,0,0
41,-29,130,0,0,0,0,0
42,-31,128,0,0,0,0,0
43,-32,127,0,0,0,0,0
44,-34,126,0,0,0,0,0
45,-34,125,0,0,0,0,0
46,-34,125,0,0,0,0,0
47,-35,124,0,0,0,0,0
48,-35,124,0,0,0,0,0
49,-35,123,0,0,0,0,0
50,-36,123,0,0,0,0,0
51,-36,123,0,0,0,0,0
52,-36,122,0,0,0,0,0
53,-37,121,0,0,0,0,0
54,-37,120,0,0,0,0,0
55,-38,120,0,0,0,0,0
56,-38,120,0,0,0,0,0
57,-38,120,0,0,0,0,0
58,-38,119,0,0,0,0,0
59,-38,118,0,0,0,0,0
60,-38,117,0,0,0,0,0
61,-38,117,0,0,0,0,0
62,-38,116,0,0,0,0,0
63,-38,116,0,0,0,0,0
64,-38,115,0,0,0,0,0
65,-38,114,0,0,0,0,0
66,-37,113,0,0,0,0,0
67,-36,113,0,0,0,0,0
68,-34,113,0,0,0,0,0
69,-31,113,0,0,0,0,0
70,-27,112,0,0,0,0,0
71,-23,112,0,0,0,0,0
72,-22,112,0,0,0,0,0
73,-21,112,0,0,0,0,0
74,-20,112,0,0,0,0,0
75,-18,113,0,0,0,0,0
76,-17,113,0,0,0,0,0
77,-17,113,0,0,0,0,0
78,-16,113,0,0,0,0,0
79,-16,113,0,0,0,0,0
80,-16,113,0,0,0,0,0
81,-16,113,0,0,0,0,0
82,-16,113,0,0,0,0,0
83,-16,113,0,0,0,0,0
84,-13,114,0,0,0,0,0
85,-10,114,0,0,0,0,0
86,-5,115,0,0,0,0,0
87,-3,116,0,0,0,0,0
88,-3,116,0,0,0,0,0
89,-3,116,0,0,0,0,0
90,-3,116,0,0,0,0,0
91,-3,116,0,0,0,0,0
92,-3,116,0,0,0,0,0
93,-3,116,0,0,0,0,0
94,-2,116,0,0,0,0,0
95,1,116,0,0,0,0,0
96,3,116,0,0,0,0,0
97,7,116,0,0,0,0,0
98,10,115,0,0,0,0,0
99,12,115,0,0,0,0,0
100,12,115,0,0,0,0,0
101,12,115,0,0,0,0,0
102,13,115,0,0,0,0,0
103,14,114,0,0,0,0,0
104,15,114,0,0,0,0,0
105,16,113,0,0,0,0,0
106,16,113,0,0,0,0,0
107,16,113,0,0,0,0,0
108,17,112,0,0,0,0,0
109,18,111,0,0,0,0,0
110,20,109,0,0,0,0,0
111,21,108,0,0,0,0,0
112,21,108,0,0,0,0,0
113,22,107,0,0,0,0,0
114,22,107,0,0,0,0,0
115,22,106,0,0,0,0,0
116,23,106,0,0,0,0,0
117,24,105,0,0,0,0,0
118,25,105,0,0,0,0,0
119,26,105,0,0,0,0,0
120,27,104,0,0,0,0,0
121,28,104,0,0,0,0,0
122,28,104,0,0,0,0,0
123,28,104,0,0,0,0,0
124,29,104,0,0,0,0,0
125,30,104,0,0,0,0,0
126,31,104,0,0,0,0,0
127,32,104,0,0,0,0,0
128,32,104,0,0,0,0,0
129,33,104,0,0,0,0,0
130,33,104,0,0,0,0,0
131,33,105,0,0,0,0,0
132,35,105,0,0,0,0,0
133,36,105,0,0,0,0,0
134,36,106,0,0,0,0,0
135,37,106,0,0,0,0,0
136,38,106,0,0,0,0,0
137,38,106,0,0,0,0,0
138,38,107,0,0,0,0,0
139,39,107,0,0,0,0,0
140,39,107,0,0,0,0,0
141,40,107,0,0,0,0,0
142,40,108,0,0,0,0,0
143,40,109,0,0,0,0,0
144,40,109,0,0,0,0,0
145,41,110,0,0,0,0,0
146,41,110,0,0,0,0,0
147,41,111,0,0,0,0,0
148,41,111,0,0,0,0,0
149,41,111,0,0,0,0,0
150,41,112,0,0,0,0,0
151,41,113,0,0,0,0,0
152,41,113,0,0,0,0,0
153,41,113,0,0,0,0,0
154,41,113,0,0,0,0,0
155,41,114,0,0,0,0,0
156,41,114,0,0,0,0,0
157,41,115,0,0,0,0,0
158,41,115,0,0,0,0,0
159,40,115,0,0,0,0,0
160,40,115,0,0,0,0,0
