t,x,y,fh,fv,r,s,frame:
0,-189,121,0,0,24,0,0
1,-189,121,0,0,24,0,0
2,-189,121,0,0,24,0,0
3,-189,121,0,0,24,0,0
4,-189,121,0,0,24,0,0
5,-189,121,0,0,24,0,0
6,-189,121,0,0,24,0,0
7,-189,121,0,0,24,0,0
8,-188,123,0,0,24,0,0
9,-187,126,0,0,24,0,0
10,-186,128,0,0,24,0,0
11,-185,131,0,0,24,0,0
12,-183,134,0,0,24,0,0
13,-181,138,0,0,24,0,0
14,-179,140,0,0,24,0,0
15,-177,143,0,0,24,0,0
16,-175,146,0,0,24,0,0
17,-172,149,0,0,24,0,0
18,-169,154,0,0,24,0,0
19,-165,158,0,0,24,0,0
20,-163,162,0,0,24,0,0
21,-159,165,0,0,24,0,0
22,-156,168,0,0,24,0,0
23,-153,171,0,0,24,0,0
24,-151,173,0,0,24,0,0
25,-150,174,0,0,24,0,0
26,-145,179,0,0,24,0,0
27,-138,183,0,0,24,0,0
28,-131,186,0,0,24,0,0
29,-123,189,0,0,24,0,0
30,-116,192,0,0,24,0,0
31,-107,193,0,0,24,0,0
32,-101,194,0,0,24,0,0
33,-97,195,0,0,24,0,0
34,-92,195,0,0,24,0,0
35,-85,195,0,0,24,0,0
36,-82,195,0,0,24,0,0
37,-80,195,0,0,24,0,0
38,-78,194,0,0,24,0,0
39,-76,193,0,0,24,0,0
40,-73,191,0,0,24,0,0
41,-70,190,0,0,24,0,0
42,-66,189,0,0,24,1,0
43,-63,187,0,0,24,2,0
44,-58,185,0,0,24,3,0
45,-53,181,0,0,24,4,0
46,-46,177,0,0,24,5,0
47,-42,174,0,0,24,6,0
48,-37,171,0,0,24,7,0
49,-32,168,0,0,24,8,0
50,-28,166,0,0,24,9,0
51,-26,165,0,0,24,10,0
52,-26,165,0,0,24,11,0
53,-26,165,0,0,24,12,0
54,-26,165,0,0,24,13,0
55,-26,165,0,0,24,14,0
56,-26,165,0,0,24,15,0
57,-25,165,0,0,24,16,0
58,-24,167,0,0,24,17,0
59,-21,170,0,0,24,18,0
60,-19,173,0,0,24,19,0
61,-17,178,0,0,24,20,0
62,-15,184,0,0,24,21,0
63,-14,187,0,0,24,22,0
64,-12,193,0,0,24,23,0
65,-11,198,0,0,24,24,0
66,-10,202,0,0,24,25,0
67,-9,206,0,0,24,26,0
68,-8,210,0,0,24,27,0
69,-6,215,0,0,24,28,0
70,-5,221,0,0,24,29,0
71,-3,225,0,0,24,30,0
72,0,230,0,0,24,31,0
73,4,236,0,0,24,31,0
74,6,239,0,0,24,31,0
75,7,242,0,0,24,31,0
76,11,249,0,0,24,31,0
77,18,259,0,0,24,31,0
78,24,265,0,0,24,31,0
79,29,270,0,0,24,31,0
80,35,275,0,0,24,31,0
81,43,282,0,0,24,31,0
82,52,287,0,0,24,31,0
83,62,291,0,0,24,31,0
84,70,294,0,0,24,31,0
85,76,296,0,0,24,31,0
86,82,298,0,0,24,31,0
87,86,300,0,0,24,31,0
88,89,302,0,0,24,31,0
89,94,303,0,0,24,31,0
90,96,304,0,0,24,31,0
91,100,305,0,0,24,31,0
92,106,307,0,0,24,31,0
93,113,309,0,0,24,31,0
94,120,310,0,0,24,32,0
95,128,312,0,0,24,33,0
96,137,314,0,0,24,34,0
97,148,316,0,0,24,35,0
98,153,317,0,0,24,36,0
99,162,317,0,0,24,37,0
100,167,318,0,0,24,38,0
101,171,318,0,0,24,39,0
102,173,318,0,0,24,40,0
103,176,318,0,0,24,41,0
104,179,319,0,0,24,42,0
105,185,319,0,0,24,43,0
106,192,320,0,0,24,44,0
107,202,321,0,0,24,45,0
108,209,321,0,0,24,46,0
109,215,321,0,0,24,47,0
110,220,322,0,0,24,48,0
111,225,322,0,0,24,49,0
112,228,322,0,0,24,50,0
113,231,322,0,0,24,51,0
114,234,322,0,0,24,52,0
115,238,320,0,0,24,53,0
116,241,319,0,0,24,54,0
117,243,318,0,0,24,55,0
118,244,318,0,0,24,56,0
119,244,318,0,0,24,57,0
120,244,318,0,0,24,58,0
121,244,318,0,0,24,59,0
122,245,317,0,0,24,60,0
123,245,317,0,0,24,61,0
124,246,316,0,0,24,62,0
125,246,316,0,0,24,63,0
126,246,316,0,0,24,64,0
127,246,316,0,0,24,65,0
128,246,316,0,0,24,66,0
129,247,321,0,0,24,67,0
130,248,326,0,0,24,68,0
131,250,332,0,0,24,69,0
132,250,337,0,0,24,70,0
133,251,341,0,0,24,71,0
134,251,348,0,0,24,72,0
135,250,354,0,0,24,73,0
136,248,358,0,0,24,74,0
137,247,359,0,0,24,75,0
138,246,359,0,0,24,76,0
139,244,359,0,0,24,76,0
140,242,359,0,0,24,76,0
141,236,359,0,0,24,76,0
142,232,359,0,0,24,76,0
143,228,359,0,0,24,76,0
144,224,359,0,0,24,76,0
145,217,359,0,0,24,76,0
146,209,359,0,0,24,76,0
147,200,359,0,0,24,76,0
148,190,359,0,0,24,76,0
149,180,359,0,0,24,76,0
150,172,359,0,0,24,76,0
151,164,359,0,0,24,76,0
152,158,359,0,0,24,76,0
153,141,359,0,0,24,76,0
154,137,359,0,0,24,76,0
155,130,359,0,0,24,76,0
156,125,359,0,0,24,75,0
157,121,359,0,0,24,74,0
158,117,359,0,0,24,73,0
159,113,359,0,0,24,72,0
160,110,359,0,0,24,71,0
161,106,359,0,0,24,70,0
162,100,359,0,0,24,69,0
163,94,359,0,0,24,68,0
164,85,359,0,0,24,67,0
165,78,359,0,0,24,66,0
166,72,359,0,0,24,65,0
167,68,359,0,0,24,64,0
168,63,359,0,0,24,63,0
169,62,359,0,0,24,62,0
170,62,359,0,0,24,61,0
171,62,359,0,0,24,60,0
172,62,359,0,0,24,59,0
173,60,359,0,0,24,58,0
174,54,359,0,0,24,57,0
175,43,359,0,0,24,56,0
176,31,359,0,0,24,55,0
177,15,359,0,0,24,54,0
178,-1,359,0,0,24,53,0
179,-17,359,0,0,24,52,0
180,-30,359,0,0,24,51,0
181,-40,359,0,0,24,50,0
182,-47,359,0,0,24,49,0
183,-51,359,0,0,24,48,0
184,-54,359,0,0,24,47,0
185,-59,359,0,0,24,46,0
186,-62,359,0,0,24,45,0
187,-64,359,0,0,24,44,0
188,-67,359,0,0,24,43,0
189,-68,359,0,0,24,42,0
190,-70,359,0,0,24,41,0
191,-72,359,0,0,24,40,0
192,-74,359,0,0,24,39,0
193,-76,359,0,0,24,38,0
194,-77,359,0,0,24,37,0
195,-77,359,0,0,24,36,0
196,-78,347,0,0,24,36,0
197,-78,341,0,0,24,36,0
198,-79,331,0,0,24,36,0
199,-79,313,0,0,24,36,0
200,-79,306,0,0,24,36,0
201,-79,298,0,0,24,36,0
202,-79,291,0,0,24,36,0
203,-79,287,0,0,24,36,0
204,-79,280,0,0,24,36,0
205,-79,274,0,0,24,36,0
206,-79,270,0,0,24,36,0
207,-79,265,0,0,24,36,0
208,-79,259,0,0,24,36,0
209,-79,253,0,0,24,36,0
210,-78,248,0,0,24,36,0
211,-78,244,0,0,24,36,0
212,-79,241,0,0,24,36,0
213,-80,238,0,0,24,36,0
214,-82,233,0,0,24,35,0
215,-83,229,0,0,24,34,0
216,-84,225,0,0,24,33,0
217,-85,222,0,0,24,32,0
218,-86,222,0,0,24,31,0
219,-86,221,0,0,24,30,0
220,-86,221,0,0,24,29,0
221,-86,221,0,0,24,28,0
222,-87,220,0,0,24,27,0
223,-90,218,0,0,24,26,0
224,-93,216,0,0,24,25,0
225,-97,215,0,0,24,24,0
226,-101,213,0,0,24,23,0
227,-103,213,0,0,24,22,0
228,-104,212,0,0,24,21,0
229,-104,212,0,0,24,20,0
230,-104,212,0,0,24,19,0
231,-104,212,0,0,24,18,0
232,-106,213,0,0,24,17,0
233,-111,217,0,0,24,16,0
234,-116,222,0,0,24,15,0
235,-119,225,0,0,24,14,0
236,-123,228,0,0,24,13,0
237,-125,230,0,0,24,12,0
238,-126,230,0,0,24,11,0
239,-128,231,0,0,24,10,0
240,-131,233,0,0,24,9,0
241,-134,233,0,0,24,8,0
242,-138,233,0,0,24,7,0
243,-140,233,0,0,24,6,0
244,-142,233,0,0,24,6,0
245,-145,232,0,0,24,6,0
246,-154,230,0,0,24,6,0
247,-158,227,0,0,24,6,0
248,-159,227,0,0,24,6,0
249,-164,223,0,0,24,6,0
250,-169,220,0,0,24,6,0
251,-173,218,0,0,24,6,0
252,-177,214,0,0,24,6,0
253,-182,211,0,0,24,6,0
254,-186,205,0,0,24,6,0
255,-190,200,0,0,24,6,0
256,-193,197,0,0,24,6,0
257,-194,195,0,0,24,6,0
258,-195,193,0,0,24,6,0
259,-196,191,0,0,24,6,0
260,-196,189,0,0,24,6,0
261,-196,186,0,0,24,6,0
262,-197,182,0,0,24,6,0
263,-197,178,0,0,24,6,0
264,-197,173,0,0,24,6,0
265,-197,169,0,0,24,6,0
266,-197,165,0,0,24,6,0
267,-196,162,0,0,24,6,0
268,-195,160,0,0,24,6,0
269,-195,159,0,0,24,6,0
270,-193,156,0,0,24,6,0
271,-193,155,0,0,24,6,0
272,-192,153,0,0,24,6,0
273,-190,151,0,0,24,6,0
274,-189,149,0,0,24,6,0
275,-187,146,0,0,24,6,0
276,-186,145,0,0,24,6,0
277,-185,143,0,0,24,6,0
278,-184,141,0,0,24,6,0
279,-184,140,0,0,24,6,0
280,-184,139,0,0,24,6,0
281,-183,137,0,0,24,6,0
282,-182,136,0,0,24,6,0
283,-182,134,0,0,24,6,0
284,-182,133,0,0,24,6,0
285,-182,131,0,0,24,6,0
286,-182,130,0,0,24,6,0
287,-182,129,0,0,24,6,0
288,-182,127,0,0,24,6,0
289,-182,126,0,0,24,6,0
290,-183,125,0,0,24,6,0
291,-184,123,0,0,24,6,0
292,-185,122,0,0,24,6,0
293,-185,122,0,0,24,6,0
294,-186,121,0,0,24,6,0
295,-186,121,0,0,24,6,0
296,-186,121,0,0,24,6,0
297,-186,121,0,0,24,6,0
298,-186,121,0,0,24,6,0
299,-186,121,0,0,24,6,0
300,-186,121,0,0,24,6,0
301,-188,121,0,0,24,6,0
302,-188,122,0,0,24,6,0
303,-189,123,0,0,24,6,0
304,-190,123,0,0,24,6,0
305,-190,124,0,0,24,6,0
306,-190,124,0,0,24,6,0
307,-190,124,0,0,24,6,0
308,-191,124,0,0,24,6,0
309,-191,124,0,0,24,6,0
310,-191,124,0,0,24,6,0
311,-191,124,0,0,24,6,0
312,-191,124,0,0,24,6,0
313,-191,124,0,0,24,6,0
