t,x,y,fh,fv,r,s,frame:
0,216,112,1,0,0,0,0
1,216,112,1,0,0,0,0
2,216,112,1,0,0,0,0
3,216,112,1,0,0,0,0
4,216,112,1,0,0,0,0
5,216,112,1,0,0,0,0
6,216,112,1,0,0,0,0
7,217,112,1,0,0,0,0
8,217,112,1,0,0,0,0
9,217,112,1,0,0,0,0
10,219,111,1,0,0,0,0
11,220,111,1,0,0,0,0
12,221,111,1,0,0,0,0
13,222,111,1,0,0,0,0
14,222,110,1,0,0,0,0
15,223,110,1,0,0,0,0
16,224,110,1,0,0,0,0
17,226,109,1,0,0,0,0
18,229,108,1,0,0,0,0
19,231,108,1,0,0,0,0
20,234,107,1,0,0,0,0
21,236,107,1,0,0,0,0
22,238,107,1,0,0,0,0
23,239,107,1,0,0,0,0
24,240,106,1,0,0,0,0
25,242,106,1,0,0,0,0
26,244,105,1,0,0,0,0
27,246,105,1,0,0,0,0
28,247,104,1,0,0,0,0
29,247,104,1,0,0,0,0
30,248,103,1,0,0,0,0
31,250,102,1,0,0,0,0
32,251,101,1,0,0,0,0
33,252,100,1,0,0,0,0
34,253,99,1,0,0,0,0
35,254,98,1,0,0,0,0
36,255,96,1,0,0,0,0
37,255,95,1,0,0,0,0
38,256,94,1,0,0,0,0
39,256,93,1,0,0,0,0
40,256,91,1,0,0,0,0
41,256,89,1,0,0,0,0
42,256,87,1,0,0,0,0
43,256,87,1,0,0,0,0
44,256,86,1,0,0,0,0
45,256,84,1,0,0,0,0
46,256,83,1,0,0,0,0
47,255,83,1,0,0,0,0
48,255,82,1,0,0,0,0
49,255,81,1,0,0,0,0
50,254,81,1,0,0,0,0
51,253,80,1,0,0,0,0
52,252,79,1,0,0,0,0
53,252,78,1,0,0,0,0
54,250,77,1,0,0,0,0
55,249,76,1,0,0,0,0
56,248,76,1,0,0,0,0
57,248,75,1,0,0,0,0
58,247,75,1,0,0,0,0
59,247,75,1,0,0,0,0
60,247,75,1,0,0,0,0
61,247,75,1,0,0,0,0
62,246,75,1,0,0,0,0
63,245,75,1,0,0,0,0
64,244,75,1,0,0,0,0
65,244,75,1,0,0,0,0
66,244,75,1,0,0,0,0
67,243,75,1,0,0,0,0
68,243,75,1,0,0,0,0
69,241,76,1,0,0,0,0
70,240,77,1,0,0,0,0
71,239,78,1,0,0,0,0
72,238,78,1,0,0,0,0
73,238,78,1,0,0,0,0
74,238,78,1,0,0,0,0
75,238,78,1,0,0,0,0
76,237,78,1,0,0,0,0
77,237,79,1,0,0,0,0
78,236,80,1,0,0,0,0
79,236,80,1,0,0,0,0
80,236,80,1,0,0,0,0
81,236,80,1,0,0,0,0
82,236,80,1,0,0,0,0
83,235,80,1,0,0,0,0
84,234,81,1,0,0,0,0
85,233,81,1,0,0,0,0
86,233,81,1,0,0,0,0
87,229,81,1,0,0,0,0
88,228,81,1,0,0,0,0
89,227,81,1,0,0,0,0
90,226,81,1,0,0,0,0
91,226,80,1,0,0,0,0
92,226,80,1,0,0,0,0
93,226,80,1,0,0,0,0
94,225,80,1,0,0,0,0
95,224,79,1,0,0,0,0
96,223,79,1,0,0,0,0
97,223,79,1,0,0,0,0
98,222,79,1,0,0,0,0
99,222,79,1,0,0,0,0
100,221,79,1,0,0,0,0
101,218,81,1,0,0,0,0
102,214,84,1,0,0,0,0
103,211,85,1,0,0,0,0
104,209,86,1,0,0,0,0
105,208,87,1,0,0,0,0
106,205,89,1,0,0,0,0
107,203,92,1,0,0,0,0
108,199,95,1,0,0,0,0
109,196,98,1,0,0,0,0
110,192,100,1,0,0,0,0
111,191,101,1,0,0,0,0
112,190,102,1,0,0,0,0
113,189,103,1,0,0,0,0
114,188,104,1,0,0,0,0
115,187,105,1,0,0,0,0
116,186,106,1,0,0,0,0
117,185,107,1,0,0,0,0
118,184,109,1,0,0,0,0
119,184,110,1,0,0,0,0
120,184,110,1,0,0,0,0
121,184,110,1,0,0,0,0
122,184,110,1,0,0,0,0
123,184,110,1,0,0,0,0
124,183,111,1,0,0,0,0
125,183,113,1,0,0,0,0
126,183,115,1,0,0,0,0
127,183,116,1,0,0,0,0
128,183,116,1,0,0,0,0
129,183,117,1,0,0,0,0
130,183,117,1,0,0,0,0
131,183,118,1,0,0,0,0
132,183,119,1,0,0,0,0
133,183,120,1,0,0,0,0
134,183,121,1,0,0,0,0
135,184,121,1,0,0,0,0
136,184,122,1,0,0,0,0
137,185,123,1,0,0,0,0
138,185,124,1,0,0,0,0
139,187,124,1,0,0,0,0
140,188,125,1,0,0,0,0
141,188,125,1,0,0,0,0
142,188,125,1,0,0,0,0
143,188,125,1,0,0,0,0
144,190,126,1,0,0,0,0
145,192,127,1,0,0,0,0
146,194,127,1,0,0,0,0
147,197,127,1,0,0,0,0
148,197,128,1,0,0,0,0
149,198,128,1,0,0,0,0
150,198,128,1,0,0,0,0
151,198,128,1,0,0,0,0
152,198,128,1,0,0,0,0
153,199,128,1,0,0,0,0
154,200,128,1,0,0,0,0
155,202,128,1,0,0,0,0
156,202,128,1,0,0,0,0
157,203,128,1,0,0,0,0
158,203,128,1,0,0,0,0
159,203,128,1,0,0,0,0
160,204,128,1,0,0,0,0
161,205,128,1,0,0,0,0
162,206,128,1,0,0,0,0
163,207,127,1,0,0,0,0
164,208,127,1,0,0,0,0
165,208,127,1,0,0,0,0
166,209,126,1,0,0,0,0
167,209,125,1,0,0,0,0
168,210,125,1,0,0,0,0
169,210,125,1,0,0,0,0
170,210,125,1,0,0,0,0
171,211,125,1,0,0,0,0
172,213,124,1,0,0,0,0
173,214,124,1,0,0,0,0
174,214,123,1,0,0,0,0
175,214,123,1,0,0,0,0
176,214,123,1,0,0,0,0
177,214,123,1,0,0,0,0
178,216,123,1,0,0,0,0
179,218,123,1,0,0,0,0
180,220,123,1,0,0,0,0
181,222,123,1,0,0,0,0
182,223,123,1,0,0,0,0
183,225,123,1,0,0,0,0
184,226,123,1,0,0,0,0
185,227,123,1,0,0,0,0
186,228,123,1,0,0,0,0
187,229,123,1,0,0,0,0
188,230,123,1,0,0,0,0
189,231,123,1,0,0,0,0
190,232,122,1,0,0,0,0
191,233,122,1,0,0,0,0
192,233,121,1,0,0,0,0
193,234,121,1,0,0,0,0
194,234,121,1,0,0,0,0
