t,x,y,fh,fv,r,s,frame:
0,-460,151,0,0,77,0,0
1,-460,151,0,0,77,0,0
2,-460,151,0,0,77,0,0
3,-460,151,0,0,77,0,0
4,-460,151,0,0,77,0,0
5,-460,151,0,0,77,0,0
6,-459,150,0,0,77,0,0
7,-454,141,0,0,77,0,0
8,-447,130,0,0,76,0,0
9,-442,120,0,0,75,0,0
10,-434,105,0,0,74,0,0
11,-424,89,0,0,73,0,0
12,-413,75,0,0,72,0,0
13,-403,58,0,0,71,0,0
14,-392,41,0,0,70,0,0
15,-382,28,0,0,69,0,0
16,-370,14,0,0,68,0,0
17,-358,0,0,0,67,0,0
18,-349,-9,0,0,66,0,0
19,-341,-19,0,0,65,0,0
20,-333,-26,0,0,64,0,0
21,-326,-32,0,0,63,0,0
22,-320,-37,0,0,62,0,0
23,-309,-45,0,0,61,0,0
24,-303,-51,0,0,60,0,0
25,-295,-55,0,0,59,0,0
26,-286,-61,0,0,58,0,0
27,-276,-66,0,0,57,0,0
28,-264,-72,0,0,56,0,0
29,-258,-76,0,0,55,0,0
30,-246,-81,0,0,54,0,0
31,-239,-83,0,0,53,0,0
32,-231,-85,0,0,52,0,0
33,-223,-88,0,0,51,0,0
34,-215,-89,0,0,50,0,0
35,-205,-90,0,0,49,0,0
36,-197,-90,0,0,48,0,0
37,-190,-91,0,0,47,0,0
38,-185,-92,0,0,46,0,0
39,-178,-92,0,0,45,0,0
40,-174,-91,0,0,44,0,0
41,-170,-90,0,0,43,0,0
42,-166,-89,0,0,42,0,0
43,-164,-88,0,0,41,0,0
44,-161,-87,0,0,40,0,0
45,-158,-85,0,0,39,0,0
46,-153,-82,0,0,38,0,0
47,-146,-77,0,0,37,0,0
48,-140,-73,0,0,36,0,0
49,-138,-71,0,0,35,0,0
50,-136,-68,0,0,34,0,0
51,-132,-63,0,0,33,0,0
52,-130,-57,0,0,32,0,0
53,-128,-53,0,0,31,0,0
54,-124,-47,0,0,30,0,0
55,-120,-39,0,0,29,0,0
56,-117,-34,0,0,28,0,0
57,-115,-28,0,0,27,0,0
58,-112,-22,0,0,26,0,0
59,-109,-16,0,0,25,0,0
60,-106,-11,0,0,24,0,0
61,-103,-4,0,0,23,0,0
62,-101,2,0,0,22,0,0
63,-100,9,0,0,21,0,0
64,-99,16,0,0,20,0,0
65,-98,21,0,0,19,0,0
66,-97,29,0,0,18,0,0
67,-96,35,0,0,17,0,0
68,-96,40,0,0,16,0,0
69,-96,47,0,0,15,0,0
