t,x,y,fh,fv,r,s,frame:
0,22,240,0,0,0,-70,0
1,22,240,0,0,0,-70,0
2,22,240,0,0,0,-70,0
3,22,240,0,0,0,-70,0
4,22,240,0,0,0,-70,0
5,22,240,0,0,0,-70,0
6,22,240,0,0,0,-70,0
7,22,240,0,0,0,-70,0
8,22,240,0,0,0,-70,0
9,22,239,0,0,0,-70,0
10,23,232,0,0,0,-70,0
11,23,227,0,0,0,-70,0
12,24,221,0,0,0,-70,0
13,24,216,0,0,0,-70,0
14,24,210,0,0,0,-70,0
15,24,205,0,0,0,-70,0
16,24,199,0,0,0,-70,0
17,24,193,0,0,0,-70,0
18,24,189,0,0,0,-70,0
19,24,184,0,0,0,-70,0
20,24,181,0,0,0,-70,0
21,24,177,0,0,0,-70,0
22,24,172,0,0,0,-70,0
23,24,167,0,0,0,-70,0
24,24,161,0,0,0,-70,0
25,24,155,0,0,0,-70,0
26,24,148,0,0,0,-70,0
27,25,140,0,0,0,-70,0
28,26,137,0,0,0,-70,0
29,26,132,0,0,0,-70,0
30,26,125,0,0,0,-70,0
31,27,117,0,0,0,-70,0
32,27,112,0,0,0,-70,0
33,27,108,0,0,0,-70,0
34,27,104,0,0,0,-70,0
35,27,102,0,0,0,-70,0
36,27,100,0,0,0,-70,0
37,27,98,0,0,0,-70,0
38,27,96,0,0,0,-70,0
39,27,93,0,0,0,-70,0
40,27,89,0,0,0,-70,0
41,28,82,0,0,0,-70,0
42,28,79,0,0,0,-70,0
43,28,76,0,0,0,-70,0
44,28,73,0,0,0,-70,0
45,28,71,0,0,0,-70,0
46,28,66,0,0,0,-70,0
47,28,62,0,0,0,-70,0
48,28,56,0,0,0,-70,0
49,28,51,0,0,0,-70,0
50,28,50,0,0,0,-70,0
51,28,48,0,0,0,-70,0
52,28,45,0,0,0,-70,0
53,28,44,0,0,0,-70,0
54,28,42,0,0,0,-70,0
55,28,40,0,0,0,-70,0
56,28,37,0,0,0,-70,0
57,28,34,0,0,0,-70,0
58,28,27,0,0,0,-70,0
59,28,23,0,0,0,-70,0
60,28,21,0,0,0,-70,0
61,27,18,0,0,0,-70,0
62,27,17,0,0,0,-70,0
63,27,15,0,0,0,-70,0
64,27,12,0,0,0,-70,0
65,26,10,0,0,0,-70,0
66,26,7,0,0,0,-70,0
67,26,6,0,0,0,-70,0
68,26,4,0,0,0,-70,0
69,26,3,0,0,0,-70,0
70,26,1,0,0,0,-70,0
71,25,-2,0,0,0,-70,0
72,25,-3,0,0,0,-70,0
73,25,-5,0,0,0,-70,0
74,25,-7,0,0,0,-70,0
75,25,-9,0,0,0,-70,0
76,24,-12,0,0,0,-70,0
77,24,-14,0,0,0,-70,0
78,23,-17,0,0,0,-70,0
79,23,-18,0,0,0,-70,0
80,23,-21,0,0,0,-70,0
81,23,-24,0,0,0,-70,0
82,22,-26,0,0,0,-70,0
83,22,-28,0,0,0,-70,0
84,22,-29,0,0,0,-70,0
85,22,-30,0,0,0,-70,0
86,22,-30,0,0,0,-70,0
87,22,-31,0,0,0,-70,0
88,22,-32,0,0,0,-70,0
89,22,-33,0,0,0,-70,0
90,22,-35,0,0,0,-70,0
91,22,-38,0,0,0,-70,0
92,22,-41,0,0,0,-70,0
93,22,-42,0,0,0,-70,0
94,22,-43,0,0,0,-70,0
95,22,-44,0,0,0,-70,0
96,22,-45,0,0,0,-70,0
97,22,-46,0,0,0,-70,0
98,22,-47,0,0,0,-70,0
99,22,-48,0,0,0,-70,0
100,22,-49,0,0,0,-70,0
101,22,-50,0,0,0,-70,0
102,22,-51,0,0,0,-70,0
103,22,-53,0,0,0,-70,0
104,22,-54,0,0,0,-70,0
105,22,-55,0,0,0,-70,0
106,22,-55,0,0,0,-70,0
107,22,-56,0,0,0,-70,0
108,22,-56,0,0,0,-70,0
109,22,-57,0,0,0,-70,0
110,22,-57,0,0,0,-70,0
111,22,-58,0,0,0,-70,0
112,22,-58,0,0,0,-70,0
113,22,-58,0,0,0,-70,0
114,22,-58,0,0,0,-70,0
115,22,-58,0,0,0,-70,0
116,22,-58,0,0,0,-70,0
117,22,-58,0,0,0,-70,0
118,22,-58,0,0,0,-70,0
119,22,-59,0,0,0,-70,0
120,22,-59,0,0,0,-70,0
121,22,-59,0,0,0,-70,0
122,22,-59,0,0,0,-70,0
123,22,-60,0,0,0,-70,0
124,22,-60,0,0,0,-70,0
125,22,-60,0,0,0,-70,0
126,22,-60,0,0,0,-70,0
127,22,-60,0,0,0,-70,0
128,22,-60,0,0,0,-70,0
129,22,-60,0,0,0,-70,0
130,22,-60,0,0,0,-70,0
131,22,-60,0,0,0,-70,0
132,22,-60,0,0,0,-70,0
133,22,-60,0,0,0,-70,0
134,22,-60,0,0,0,-70,0
135,22,-60,0,0,0,-70,0
136,22,-60,0,0,0,-70,0
137,22,-60,0,0,0,-70,0
138,22,-60,0,0,0,-70,0
139,22,-60,0,0,0,-70,0
140,22,-60,0,0,0,-70,0
141,22,-60,0,0,0,-70,0
142,22,-60,0,0,0,-70,0
143,22,-60,0,0,0,-70,0
144,22,-60,0,0,0,-70,0
145,22,-60,0,0,0,-70,0
146,22,-60,0,0,0,-70,0
147,22,-60,0,0,0,-70,0
148,22,-60,0,0,0,-70,0
149,22,-60,0,0,0,-70,0
150,22,-60,0,0,0,-70,0
151,22,-60,0,0,0,-70,0
152,22,-60,0,0,0,-70,0
153,22,-60,0,0,0,-70,0
