t,x,y,fh,fv,r,s,frame:
0,28,228,0,0,0,-72,0
1,28,228,0,0,0,-72,0
2,28,228,0,0,0,-72,0
3,28,228,0,0,0,-72,0
4,28,228,0,0,0,-72,0
5,28,228,0,0,0,-72,0
6,28,228,0,0,0,-72,0
7,28,228,0,0,0,-72,0
8,30,227,0,0,0,-72,0
9,31,227,0,0,0,-72,0
10,33,226,0,0,0,-72,0
11,36,225,0,0,0,-72,0
12,39,223,0,0,0,-72,0
13,41,222,0,0,0,-72,0
14,42,221,0,0,0,-72,0
15,42,221,0,0,0,-72,0
16,42,220,0,0,0,-72,0
17,43,219,0,0,0,-72,0
18,43,217,0,0,0,-72,0
19,43,216,0,0,0,-72,0
20,42,214,0,0,0,-72,0
21,41,213,0,0,0,-72,0
22,41,211,0,0,0,-72,0
23,40,209,0,0,0,-72,0
24,39,207,0,0,0,-72,0
25,37,204,0,0,0,-72,0
26,36,202,0,0,0,-72,0
27,34,198,0,0,0,-72,0
28,33,195,0,0,0,-72,0
29,31,192,0,0,0,-72,0
30,31,191,0,0,0,-72,0
31,31,191,0,0,0,-72,0
32,31,190,0,0,0,-72,0
33,31,188,0,0,0,-72,0
34,33,186,0,0,0,-72,0
35,36,184,0,0,0,-72,0
36,40,181,0,0,0,-72,0
37,45,178,0,0,0,-72,0
38,50,175,0,0,0,-72,0
39,54,172,0,0,0,-72,0
40,57,171,0,0,0,-72,0
41,62,168,0,0,0,-72,0
42,63,167,0,0,0,-72,0
43,67,164,0,0,0,-72,0
44,70,162,0,0,0,-72,0
45,76,157,0,0,0,-72,0
46,77,156,0,0,0,-72,0
47,81,151,0,0,0,-72,0
48,83,149,0,0,0,-72,0
49,83,145,0,0,0,-72,0
50,83,142,0,0,0,-72,0
51,83,139,0,0,0,-72,0
52,83,135,0,0,0,-72,0
53,82,130,0,0,0,-72,0
54,82,127,0,0,0,-72,0
55,81,125,0,0,0,-72,0
56,81,122,0,0,0,-72,0
57,82,119,0,0,0,-72,0
58,83,116,0,0,0,-72,0
59,86,112,0,0,0,-72,0
60,88,109,0,0,0,-72,0
61,92,106,0,0,0,-72,0
62,93,105,0,0,0,-72,0
63,98,103,0,0,0,-72,0
64,106,100,0,0,0,-72,0
65,111,99,0,0,0,-72,0
66,117,97,0,0,0,-72,0
67,123,95,0,0,0,-72,0
68,129,92,0,0,0,-72,0
69,135,91,0,0,0,-72,0
70,140,88,0,0,0,-72,0
71,146,85,0,0,0,-72,0
72,149,82,0,0,0,-72,0
73,153,79,0,0,0,-72,0
74,156,76,0,0,0,-72,0
75,159,71,0,0,0,-72,0
76,161,67,0,0,0,-72,0
77,162,62,0,0,0,-72,0
78,162,57,0,0,0,-72,0
79,160,52,0,0,0,-72,0
80,159,48,0,0,0,-72,0
81,158,46,0,0,0,-72,0
82,158,44,0,0,0,-72,0
83,158,41,0,0,0,-72,0
84,159,39,0,0,0,-72,0
85,160,36,0,0,0,-72,0
86,164,33,0,0,0,-72,0
87,168,30,0,0,0,-72,0
88,173,27,0,0,0,-72,0
89,178,25,0,0,0,-72,0
90,183,22,0,0,0,-72,0
91,188,19,0,0,0,-72,0
92,193,16,0,0,0,-72,0
93,196,14,0,0,0,-72,0
94,199,12,0,0,0,-72,0
95,200,12,0,0,0,-72,0
96,200,12,0,0,0,-72,0
97,200,11,0,0,0,-72,0
98,200,11,0,0,0,-72,0
99,200,11,0,0,0,-72,0
100,200,11,0,0,0,-72,0
101,200,11,0,0,0,-72,0
102,200,11,0,0,0,-72,0
103,200,11,0,0,0,-72,0
104,200,11,0,0,0,-72,0
105,200,11,0,0,0,-72,0
106,200,11,0,0,0,-72,0
107,200,11,0,0,0,-72,0
108,200,12,1,0,0,-72,0
109,200,12,1,0,0,-72,0
110,200,12,1,0,0,-72,0
111,200,12,1,0,0,-72,0
112,200,12,1,0,0,-72,0
113,200,12,1,0,0,-72,0
114,200,12,1,0,0,-72,0
115,200,12,1,0,0,-72,0
116,200,12,1,0,0,-72,0
117,200,12,1,0,0,-72,0
118,201,11,1,0,0,-72,0
119,202,9,1,0,0,-72,0
120,203,7,1,0,0,-72,0
121,205,5,1,0,0,-72,0
122,207,2,1,0,0,-72,0
123,207,0,1,0,0,-72,0
124,208,-2,1,0,0,-72,0
125,208,-6,1,0,0,-72,0
126,208,-9,1,0,0,-72,0
127,207,-13,1,0,0,-72,0
128,205,-16,1,0,0,-72,0
129,202,-22,1,0,0,-72,0
130,196,-28,1,0,0,-72,0
131,192,-32,1,0,0,-72,0
132,187,-36,1,0,0,-72,0
133,182,-40,1,0,0,-72,0
134,177,-43,1,0,0,-72,0
135,173,-47,1,0,0,-72,0
136,166,-51,1,0,0,-72,0
137,161,-53,1,0,0,-72,0
138,156,-56,1,0,0,-72,0
139,149,-58,1,0,0,-72,0
140,144,-59,1,0,0,-72,0
141,138,-61,1,0,0,-72,0
142,135,-61,1,0,0,-72,0
143,134,-61,1,0,0,-72,0
144,132,-61,1,0,0,-72,0
145,130,-59,1,0,0,-72,0
146,128,-58,1,0,0,-72,0
147,124,-55,1,0,0,-72,0
148,120,-54,1,0,0,-72,0
149,117,-53,1,0,0,-72,0
150,115,-53,1,0,0,-72,0
151,113,-52,1,0,0,-72,0
152,111,-52,1,0,0,-72,0
153,107,-49,1,0,0,-72,0
154,104,-48,1,0,0,-72,0
155,101,-47,1,0,0,-72,0
156,98,-46,1,0,0,-72,0
157,95,-44,1,0,0,-72,0
158,93,-44,1,0,0,-72,0
159,90,-42,1,0,0,-72,0
160,86,-41,1,0,0,-72,0
161,82,-40,1,0,0,-72,0
162,77,-40,1,0,0,-72,0
163,72,-40,1,0,0,-72,0
164,67,-42,1,0,0,-72,0
165,59,-43,1,0,0,-72,0
166,52,-46,1,0,0,-72,0
167,45,-48,1,0,0,-72,0
168,36,-50,1,0,0,-72,0
169,28,-52,1,0,0,-72,0
170,20,-54,1,0,0,-72,0
171,15,-55,1,0,0,-72,0
172,10,-55,1,0,0,-72,0
173,5,-55,1,0,0,-72,0
174,3,-55,1,0,0,-72,0
175,-2,-53,1,0,0,-72,0
176,-6,-52,1,0,0,-72,0
177,-9,-50,1,0,0,-72,0
178,-12,-48,1,0,0,-72,0
179,-14,-45,1,0,0,-72,0
180,-16,-42,1,0,0,-72,0
181,-18,-38,1,0,0,-72,0
182,-19,-34,1,0,0,-72,0
183,-21,-31,1,0,0,-72,0
184,-22,-29,1,0,0,-72,0
185,-24,-26,1,0,0,-72,0
186,-24,-24,1,0,0,-72,0
187,-25,-20,1,0,0,-72,0
188,-24,-14,1,0,0,-72,0
189,-24,-11,1,0,0,-72,0
190,-21,-5,1,0,0,-72,0
191,-19,-2,1,0,0,-72,0
192,-17,1,1,0,0,-72,0
193,-11,7,1,0,0,-72,0
194,-5,13,1,0,0,-72,0
195,4,19,1,0,0,-72,0
196,15,27,1,0,0,-72,0
197,23,32,1,0,0,-72,0
198,29,36,1,0,0,-72,0
199,31,38,1,0,0,-72,0
200,32,40,1,0,0,-72,0
201,33,42,1,0,0,-72,0
202,34,45,1,0,0,-72,0
203,34,47,1,0,0,-72,0
204,34,49,1,0,0,-72,0
205,34,51,1,0,0,-72,0
206,32,53,1,0,0,-72,0
207,31,56,1,0,0,-72,0
208,28,60,1,0,0,-72,0
209,26,63,1,0,0,-72,0
210,25,65,1,0,0,-72,0
211,25,67,1,0,0,-72,0
212,25,72,1,0,0,-72,0
213,26,76,1,0,0,-72,0
214,28,80,1,0,0,-72,0
215,32,85,1,0,0,-72,0
216,36,90,1,0,0,-72,0
217,43,94,1,0,0,-72,0
218,51,100,1,0,0,-72,0
219,59,105,1,0,0,-72,0
220,64,109,1,0,0,-72,0
221,72,113,1,0,0,-72,0
222,80,117,1,0,0,-72,0
223,86,120,1,0,0,-72,0
224,98,127,1,0,0,-72,0
225,103,130,1,0,0,-72,0
226,107,134,1,0,0,-72,0
227,111,138,1,0,0,-72,0
228,115,142,1,0,0,-72,0
229,120,148,1,0,0,-72,0
230,124,153,1,0,0,-72,0
231,127,157,1,0,0,-72,0
232,128,160,1,0,0,-72,0
233,129,162,1,0,0,-72,0
234,129,166,1,0,0,-72,0
235,129,169,1,0,0,-72,0
236,129,171,1,0,0,-72,0
237,128,172,1,0,0,-72,0
238,128,174,1,0,0,-72,0
239,126,177,1,0,0,-72,0
240,125,181,1,0,0,-72,0
241,122,188,1,0,0,-72,0
242,121,191,1,0,0,-72,0
243,120,196,1,0,0,-72,0
244,120,200,1,0,0,-72,0
245,120,204,1,0,0,-72,0
246,121,208,1,0,0,-72,0
247,124,213,1,0,0,-72,0
248,126,216,1,0,0,-72,0
249,127,219,1,0,0,-72,0
250,127,220,1,0,0,-72,0
251,128,221,1,0,0,-72,0
252,129,223,1,0,0,-72,0
253,129,226,1,0,0,-72,0
254,129,229,1,0,0,-72,0
255,128,232,1,0,0,-72,0
256,127,235,1,0,0,-72,0
257,125,238,1,0,0,-72,0
258,121,243,1,0,0,-72,0
