t,x,y,fh,fv,r,s,frame:
0,36,197,0,0,0,-71,0
1,36,197,0,0,0,-71,0
2,36,197,0,0,0,-71,0
3,36,197,0,0,0,-71,0
4,36,197,0,0,0,-71,0
5,36,197,0,0,0,-71,0
6,36,197,0,0,0,-71,0
7,36,197,0,0,0,-71,0
8,36,197,0,0,0,-71,0
9,36,197,0,0,0,-71,0
10,36,197,0,0,0,-71,0
11,36,197,0,0,0,-71,0
12,36,197,0,0,0,-71,0
13,36,198,0,0,0,-71,0
14,36,199,0,0,0,-71,0
15,36,200,0,0,0,-71,0
16,37,201,0,0,0,-71,0
17,37,201,0,0,0,-71,0
18,37,201,0,0,0,-71,0
19,37,201,0,0,0,-71,0
20,37,201,0,0,0,-71,0
21,37,201,0,0,0,-71,0
22,37,201,0,0,0,-71,0
23,37,201,0,0,0,-71,0
24,37,201,0,0,0,-71,0
25,37,201,0,0,0,-71,0
26,37,201,0,0,0,-71,0
27,37,201,0,0,0,-71,0
28,37,201,0,0,0,-71,0
29,37,201,0,0,0,-71,0
30,37,201,0,0,0,-71,0
31,37,201,0,0,0,-71,0
32,37,201,0,0,0,-71,0
33,37,201,0,0,0,-71,0
34,38,201,0,0,0,-71,0
35,40,198,0,0,0,-71,0
36,43,195,0,0,0,-71,0
37,46,192,0,0,0,-71,0
38,48,191,0,0,0,-71,0
39,48,190,0,0,0,-71,0
40,48,190,0,0,0,-71,0
41,48,190,0,0,0,-71,0
42,48,190,0,0,0,-71,0
43,50,192,0,0,0,-71,0
44,51,193,0,0,0,-71,0
45,53,196,0,0,0,-71,0
46,54,198,0,0,0,-71,0
47,55,199,0,0,0,-71,0
48,55,200,0,0,0,-71,0
49,55,200,0,0,0,-71,0
50,55,200,0,0,0,-71,0
51,55,201,0,0,0,-71,0
52,55,201,0,0,0,-71,0
53,55,201,0,0,0,-71,0
54,56,201,0,0,0,-71,0
55,56,201,0,0,0,-71,0
56,56,201,0,0,0,-71,0
57,56,201,0,0,0,-71,0
58,57,201,0,0,0,-71,0
59,60,198,0,0,0,-71,0
60,63,196,0,0,0,-71,0
61,65,194,0,0,0,-71,0
62,66,193,0,0,0,-71,0
63,66,193,0,0,0,-71,0
64,66,193,0,0,0,-71,0
65,66,193,0,0,0,-71,0
66,68,194,0,0,0,-71,0
67,70,197,0,0,0,-71,0
68,71,199,0,0,0,-71,0
69,73,201,0,0,0,-71,0
70,74,202,0,0,0,-71,0
71,74,202,0,0,0,-71,0
72,74,202,0,0,0,-71,0
73,74,202,0,0,0,-71,0
74,74,202,0,0,0,-71,0
75,74,202,0,0,0,-71,0
76,77,201,0,0,0,-71,0
77,80,199,0,0,0,-71,0
78,82,197,0,0,0,-71,0
79,82,197,0,0,0,-71,0
80,82,197,0,0,0,-71,0
81,82,197,0,0,0,-71,0
82,83,197,0,0,0,-71,0
83,83,197,0,0,0,-71,0
84,85,197,0,0,0,-71,0
85,88,200,0,0,0,-71,0
86,94,206,0,0,0,-71,0
87,96,208,0,0,0,-71,0
88,99,210,0,0,0,-71,0
89,101,211,0,0,0,-71,0
90,101,212,0,0,0,-71,0
91,102,212,0,0,0,-71,0
92,102,212,0,0,0,-71,0
93,103,211,0,0,0,-71,0
94,105,208,0,0,0,-71,0
95,108,205,0,0,0,-71,0
96,110,202,0,0,0,-71,0
97,111,200,0,0,0,-71,0
98,112,200,0,0,0,-71,0
99,112,200,0,0,0,-71,0
100,112,200,0,0,0,-71,0
101,112,200,0,0,0,-71,0
102,112,200,0,0,0,-71,0
103,112,200,0,0,0,-71,0
104,113,200,0,0,0,-71,0
105,113,200,0,0,0,-71,0
106,114,201,0,0,0,-71,0
107,117,204,0,0,0,-71,0
108,120,206,0,0,0,-71,0
109,122,208,0,0,0,-71,0
110,123,208,0,0,0,-71,0
111,123,208,0,0,0,-71,0
112,123,208,0,0,0,-71,0
113,124,208,0,0,0,-71,0
114,124,208,0,0,0,-71,0
115,125,208,0,0,0,-71,0
116,126,206,0,0,0,-71,0
117,128,204,0,0,0,-71,0
118,129,203,0,0,0,-71,0
119,130,203,0,0,0,-71,0
120,130,203,0,0,0,-71,0
121,130,203,0,0,0,-71,0
122,130,203,0,0,0,-71,0
123,130,203,0,0,0,-71,0
124,130,203,0,0,0,-71,0
125,130,203,0,0,0,-71,0
126,130,203,0,0,0,-71,0
127,130,203,0,0,0,-71,0
128,130,203,0,0,0,-71,0
129,130,203,0,0,0,-71,0
130,130,203,0,0,0,-71,0
131,130,203,0,0,0,-71,0
132,130,203,0,0,0,-71,0
133,130,203,0,0,0,-71,0
134,130,203,0,0,0,-71,0
135,130,203,0,0,0,-71,0
136,130,203,0,0,0,-71,0
137,130,203,0,0,0,-71,0
138,130,203,0,0,0,-71,0
139,130,203,0,0,0,-71,0
140,130,203,0,0,0,-71,0
141,130,203,0,0,0,-71,0
142,130,203,0,0,0,-71,0
143,130,203,0,0,0,-71,0
144,130,203,0,0,0,-71,0
145,130,203,0,0,0,-71,0
146,130,203,0,0,0,-71,0
147,130,203,0,0,0,-71,0
148,130,203,0,0,0,-71,0
149,130,203,0,0,0,-71,0
150,130,203,0,0,0,-71,0
151,130,203,0,0,0,-71,0
152,130,203,0,0,0,-71,0
153,130,203,0,0,0,-71,0
154,130,203,1,0,0,-71,0
155,130,203,1,0,0,-71,0
156,130,203,1,0,0,-71,0
157,130,203,1,0,0,-71,0
158,130,203,1,0,0,-71,0
159,130,203,1,0,0,-71,0
160,130,203,1,0,0,-71,0
161,130,203,1,0,0,-71,0
162,130,203,1,0,0,-71,0
163,130,203,1,0,0,-71,0
164,130,203,1,0,0,-71,0
165,130,203,1,0,0,-71,0
166,130,203,1,0,0,-71,0
167,130,203,1,0,0,-71,0
168,130,203,1,0,0,-71,0
169,130,203,1,0,0,-71,0
170,130,203,1,0,0,-71,0
171,130,203,1,0,0,-71,0
172,130,203,1,0,0,-71,0
173,130,203,1,0,0,-71,0
174,130,203,1,0,0,-71,0
175,130,203,1,0,0,-71,0
176,130,203,1,0,0,-71,0
177,130,203,1,0,0,-71,0
178,130,203,1,0,0,-71,0
179,130,203,1,0,0,-71,0
180,130,203,1,0,0,-71,0
181,130,203,1,0,0,-71,0
182,130,203,1,0,0,-71,0
183,130,203,1,0,0,-71,0
184,130,203,1,0,0,-71,0
185,130,203,1,0,0,-71,0
186,130,203,1,0,0,-71,0
187,130,203,1,0,0,-71,0
188,130,203,1,0,0,-71,0
189,130,203,1,0,0,-71,0
190,130,203,1,0,0,-71,0
191,130,203,1,0,0,-71,0
192,130,203,1,0,0,-71,0
193,130,203,1,0,0,-71,0
194,130,203,1,0,0,-71,0
195,130,203,1,0,0,-71,0
196,130,203,1,0,0,-71,0
197,130,203,1,0,0,-71,0
198,130,203,1,0,0,-71,0
199,130,203,1,0,0,-71,0
200,130,203,1,0,0,-71,0
201,130,203,1,0,0,-71,0
202,130,203,1,0,0,-71,0
203,130,203,1,0,0,-71,0
204,130,203,1,0,0,-71,0
205,130,203,1,0,0,-71,0
206,130,203,1,0,0,-71,0
207,130,203,1,0,0,-71,0
208,130,203,1,0,0,-71,0
209,130,203,1,0,0,-71,0
210,130,203,1,0,0,-71,0
211,130,203,1,0,0,-71,0
212,130,203,1,0,0,-71,0
213,129,203,1,0,0,-71,0
214,129,203,1,0,0,-71,0
215,128,202,1,0,0,-71,0
216,127,202,1,0,0,-71,0
217,126,201,1,0,0,-71,0
218,126,200,1,0,0,-71,0
219,126,200,1,0,0,-71,0
220,126,200,1,0,0,-71,0
221,125,200,1,0,0,-71,0
222,125,200,1,0,0,-71,0
223,124,200,1,0,0,-71,0
224,122,202,1,0,0,-71,0
225,120,205,1,0,0,-71,0
226,119,207,1,0,0,-71,0
227,118,209,1,0,0,-71,0
228,118,209,1,0,0,-71,0
229,118,209,1,0,0,-71,0
230,118,209,1,0,0,-71,0
231,118,209,1,0,0,-71,0
232,118,209,1,0,0,-71,0
233,118,209,1,0,0,-71,0
234,118,209,1,0,0,-71,0
235,117,209,1,0,0,-71,0
236,116,208,1,0,0,-71,0
237,114,207,1,0,0,-71,0
238,112,205,1,0,0,-71,0
239,110,204,1,0,0,-71,0
240,109,203,1,0,0,-71,0
241,108,203,1,0,0,-71,0
242,108,202,1,0,0,-71,0
243,108,202,1,0,0,-71,0
244,107,202,1,0,0,-71,0
245,107,202,1,0,0,-71,0
246,105,203,1,0,0,-71,0
247,103,204,1,0,0,-71,0
248,101,205,1,0,0,-71,0
249,100,206,1,0,0,-71,0
250,98,207,1,0,0,-71,0
251,95,208,1,0,0,-71,0
252,93,208,1,0,0,-71,0
253,91,208,1,0,0,-71,0
254,86,207,1,0,0,-71,0
255,82,205,1,0,0,-71,0
256,78,203,1,0,0,-71,0
257,76,201,1,0,0,-71,0
258,76,201,1,0,0,-71,0
259,76,201,1,0,0,-71,0
260,76,201,1,0,0,-71,0
261,75,201,1,0,0,-71,0
262,75,201,1,0,0,-71,0
263,75,202,1,0,0,-71,0
264,74,203,1,0,0,-71,0
265,73,204,1,0,0,-71,0
266,72,204,1,0,0,-71,0
