t,x,y,fh,fv,r,s,frame:
0,451,99,1,0,0,-70,0
1,451,99,1,0,0,-70,0
2,451,99,1,0,0,-70,0
3,451,99,1,0,0,-70,0
4,451,99,1,0,0,-70,0
5,451,99,1,0,0,-70,0
6,451,99,1,0,0,-70,0
7,451,99,1,0,0,-70,0
8,451,99,1,0,0,-70,0
9,451,99,1,0,0,-70,0
10,451,99,1,0,0,-70,0
11,451,99,1,0,0,-70,0
12,451,99,1,0,0,-70,0
13,451,99,1,0,0,-70,0
14,451,99,1,0,0,-70,0
15,451,99,1,0,0,-70,0
16,451,99,1,0,0,-70,0
17,451,99,1,0,0,-70,0
18,451,99,1,0,0,-70,0
19,451,100,1,0,0,-70,0
20,452,100,1,0,0,-70,0
21,452,101,1,0,0,-70,0
22,452,101,1,0,0,-70,0
23,452,101,1,0,0,-70,0
24,453,101,1,0,0,-70,0
25,453,101,1,0,0,-70,0
26,453,101,1,0,0,-70,0
27,453,101,1,0,0,-70,0
28,453,101,1,0,0,-70,0
29,453,101,1,0,0,-70,0
30,453,102,1,0,0,-70,0
31,453,102,1,0,0,-70,0
32,453,102,1,0,0,-70,0
33,453,102,1,0,0,-70,0
34,454,102,1,0,0,-70,0
35,454,102,1,0,0,-70,0
36,454,102,1,0,0,-70,0
37,454,102,1,0,0,-70,0
38,454,102,1,0,0,-70,0
39,455,102,1,0,0,-70,0
40,455,102,1,0,0,-70,0
41,455,102,1,0,0,-70,0
42,455,102,1,0,0,-70,0
43,456,102,1,0,0,-70,0
44,457,102,1,0,0,-70,0
45,457,102,1,0,0,-70,0
46,457,102,1,0,0,-70,0
47,457,103,1,0,0,-70,0
48,457,103,1,0,0,-70,0
49,458,103,1,0,0,-70,0
50,458,103,1,0,0,-70,0
51,458,103,1,0,0,-70,0
52,459,103,1,0,0,-70,0
53,459,103,1,0,0,-70,0
54,459,103,1,0,0,-70,0
55,459,104,1,0,0,-70,0
56,460,104,1,0,0,-70,0
57,460,104,1,0,0,-70,0
58,461,104,1,0,0,-70,0
59,461,104,1,0,0,-70,0
60,461,104,1,0,0,-70,0
61,462,104,1,0,0,-70,0
62,463,104,1,0,0,-70,0
63,463,104,1,0,0,-70,0
64,463,104,1,0,0,-70,0
65,463,104,1,0,0,-70,0
66,463,104,1,0,0,-70,0
67,463,104,1,0,0,-70,0
68,464,104,1,0,0,-70,0
69,464,104,1,0,0,-70,0
70,465,104,1,0,0,-70,0
71,465,104,1,0,0,-70,0
72,465,104,1,0,0,-70,0
73,465,104,1,0,0,-70,0
74,465,104,1,0,0,-70,0
75,466,104,1,0,0,-70,0
76,466,104,1,0,0,-70,0
77,466,104,1,0,0,-70,0
78,467,104,1,0,0,-70,0
79,467,104,1,0,0,-70,0
80,467,104,1,0,0,-70,0
81,468,103,1,0,0,-70,0
82,468,103,1,0,0,-70,0
83,468,103,1,0,0,-70,0
84,468,103,1,0,0,-70,0
85,469,103,1,0,0,-70,0
86,469,103,1,0,0,-70,0
87,469,103,1,0,0,-70,0
88,469,103,1,0,0,-70,0
89,469,103,1,0,0,-70,0
90,469,103,1,0,0,-70,0
91,469,103,1,0,0,-70,0
92,469,103,1,0,0,-70,0
93,469,103,1,0,0,-70,0
94,469,103,1,0,0,-70,0
95,469,103,1,0,0,-70,0
96,470,103,1,0,0,-70,0
97,471,103,1,0,0,-70,0
98,471,103,1,0,0,-70,0
99,471,103,1,0,0,-70,0
100,471,102,1,0,0,-70,0
101,471,102,1,0,0,-70,0
102,471,102,1,0,0,-70,0
103,472,102,1,0,0,-70,0
104,472,102,1,0,0,-70,0
105,473,102,1,0,0,-70,0
106,473,101,1,0,0,-70,0
107,474,101,1,0,0,-70,0
108,474,101,1,0,0,-70,0
109,475,100,1,0,0,-70,0
110,476,100,1,0,0,-70,0
111,476,99,1,0,0,-70,0
112,477,99,1,0,0,-70,0
113,477,99,1,0,0,-70,0
114,477,99,1,0,0,-70,0
115,477,99,1,0,0,-70,0
116,477,99,1,0,0,-70,0
117,478,99,1,0,0,-70,0
118,478,99,1,0,0,-70,0
119,480,99,1,0,0,-70,0
120,481,99,1,0,0,-70,0
121,481,99,1,0,0,-70,0
122,481,99,1,0,0,-70,0
123,481,98,1,0,0,-70,0
124,481,98,1,0,0,-70,0
125,481,98,1,0,0,-70,0
126,482,98,1,0,0,-70,0
127,483,98,1,0,0,-70,0
128,483,98,1,0,0,-70,0
129,483,98,1,0,0,-70,0
130,483,98,1,0,0,-70,0
131,483,98,1,0,0,-70,0
132,483,98,1,0,0,-70,0
133,483,98,1,0,0,-70,0
134,483,98,1,0,0,-70,0
135,483,98,1,0,0,-70,0
136,483,98,1,0,0,-70,0
137,483,98,1,0,0,-70,0
138,483,98,1,0,0,-70,0
139,483,98,1,0,0,-70,0
140,483,98,1,0,0,-70,0
141,484,98,1,0,0,-70,0
142,484,98,1,0,0,-70,0
143,484,98,1,0,0,-70,0
144,484,98,1,0,0,-70,0
145,484,98,1,0,0,-70,0
146,484,98,1,0,0,-70,0
147,484,98,1,0,0,-70,0
148,484,98,1,0,0,-70,0
149,484,98,1,0,0,-70,0
150,484,98,1,0,0,-70,0
151,484,98,1,0,0,-70,0
152,484,98,1,0,0,-70,0
153,484,98,1,0,0,-70,0
154,484,98,1,0,0,-70,0
155,484,98,1,0,0,-70,0
156,484,98,1,0,0,-70,0
157,484,98,1,0,0,-70,0
158,484,98,1,0,0,-70,0
159,484,98,1,0,0,-70,0
160,484,98,1,0,0,-70,0
161,484,98,1,0,0,-70,0
162,484,98,1,0,0,-70,0
163,484,98,1,0,0,-70,0
164,484,98,1,0,0,-70,0
165,484,98,1,0,0,-70,0
166,484,98,1,0,0,-70,0
167,484,98,1,0,0,-70,0
168,484,98,1,0,0,-70,0
169,484,98,1,0,0,-70,0
170,484,98,1,0,0,-70,0
171,483,98,1,0,0,-70,0
172,483,98,1,0,0,-70,0
173,483,98,1,0,0,-70,0
174,483,98,1,0,0,-70,0
175,483,98,1,0,0,-70,0
176,483,98,1,0,0,-70,0
177,483,98,1,0,0,-70,0
178,482,98,1,0,0,-70,0
179,482,98,1,0,0,-70,0
