t,x,y,fh,fv,r,s,frame:
0,-465,183,0,0,0,-76,0
1,-465,183,0,0,0,-76,0
2,-465,183,0,0,0,-76,0
3,-465,182,0,0,0,-76,0
4,-465,182,0,0,0,-76,0
5,-465,182,0,0,0,-76,0
6,-465,182,0,0,0,-76,0
7,-465,182,0,0,0,-76,0
8,-465,182,0,0,0,-76,0
9,-465,182,0,0,0,-76,0
10,-465,182,0,0,0,-76,0
11,-465,182,0,0,0,-76,0
12,-465,182,0,0,0,-76,0
13,-465,182,0,0,0,-76,0
14,-465,182,0,0,0,-76,0
15,-465,182,0,0,0,-76,0
16,-465,182,0,0,0,-76,0
17,-465,182,0,0,0,-76,0
18,-465,182,0,0,0,-76,0
19,-465,182,0,0,0,-76,0
20,-465,182,0,0,0,-76,0
21,-465,182,0,0,0,-76,0
22,-465,182,0,0,0,-76,0
23,-465,182,0,0,0,-76,0
24,-465,182,0,0,0,-76,0
25,-465,182,0,0,0,-76,0
26,-465,182,0,0,0,-76,0
27,-465,182,0,0,0,-76,0
28,-465,182,0,0,0,-76,0
29,-465,182,0,0,0,-76,0
30,-465,182,0,0,0,-76,0
31,-465,182,0,0,0,-76,0
32,-465,182,0,0,0,-76,0
33,-465,182,0,0,0,-76,0
34,-465,182,0,0,0,-76,0
35,-465,182,0,0,0,-76,0
36,-465,182,0,0,0,-76,0
37,-465,182,0,0,0,-76,0
38,-465,182,0,0,0,-76,0
39,-465,182,0,0,0,-76,0
40,-465,182,0,0,0,-76,0
41,-465,182,0,0,0,-76,0
42,-465,182,0,0,0,-76,0
43,-465,182,0,0,0,-76,0
44,-465,182,0,0,0,-76,0
45,-465,182,0,0,0,-76,0
46,-465,182,0,0,0,-76,0
47,-465,182,0,0,0,-76,0
48,-465,182,0,0,0,-76,0
49,-465,182,0,0,0,-76,0
50,-465,182,0,0,0,-76,0
51,-465,182,0,0,0,-76,0
52,-465,182,0,0,0,-76,0
53,-465,182,0,0,0,-76,0
54,-465,182,0,0,0,-76,0
55,-465,182,0,0,0,-76,0
56,-465,182,0,0,0,-76,0
57,-465,182,0,0,0,-76,0
58,-464,182,1,0,0,-76,0
59,-464,182,1,0,0,-76,0
60,-464,182,1,0,0,-76,0
61,-464,182,1,0,0,-76,0
62,-464,182,1,0,0,-76,0
63,-464,182,1,0,0,-76,0
64,-464,182,1,0,0,-76,0
65,-464,182,1,0,0,-76,0
66,-464,182,1,0,0,-76,0
67,-464,182,1,0,0,-76,0
68,-464,182,1,0,0,-76,0
69,-464,182,1,0,0,-76,0
70,-464,182,1,0,0,-76,0
71,-464,182,1,0,0,-76,0
72,-465,182,1,0,0,-76,0
73,-465,182,1,0,0,-76,0
74,-465,181,1,0,0,-76,0
75,-467,181,1,0,0,-76,0
76,-468,180,1,0,0,-76,0
77,-468,180,1,0,0,-76,0
78,-469,179,1,0,0,-76,0
79,-469,179,1,0,0,-76,0
80,-469,179,1,0,0,-76,0
81,-469,179,1,0,0,-76,0
82,-469,179,1,0,0,-76,0
83,-471,181,1,0,0,-76,0
84,-473,184,1,0,0,-76,0
85,-475,187,1,0,0,-76,0
86,-477,189,1,0,0,-76,0
87,-477,190,1,0,0,-76,0
88,-477,191,1,0,0,-76,0
89,-478,191,1,0,0,-76,0
90,-478,191,1,0,0,-76,0
91,-478,191,1,0,0,-76,0
92,-478,191,1,0,0,-76,0
93,-478,191,1,0,0,-76,0
94,-478,191,1,0,0,-76,0
95,-478,191,1,0,0,-76,0
96,-478,191,1,0,0,-76,0
97,-478,190,1,0,0,-76,0
98,-478,190,1,0,0,-76,0
99,-479,189,1,0,0,-76,0
100,-480,188,1,0,0,-76,0
101,-481,187,1,0,0,-76,0
102,-481,186,1,0,0,-76,0
103,-481,186,1,0,0,-76,0
104,-481,186,1,0,0,-76,0
105,-481,186,1,0,0,-76,0
106,-481,186,1,0,0,-76,0
107,-483,187,1,0,0,-76,0
108,-485,189,1,0,0,-76,0
109,-486,190,1,0,0,-76,0
110,-489,192,1,0,0,-76,0
111,-492,195,1,0,0,-76,0
112,-492,195,1,0,0,-76,0
113,-492,195,1,0,0,-76,0
114,-492,195,1,0,0,-76,0
115,-492,195,1,0,0,-76,0
116,-492,195,1,0,0,-76,0
117,-493,195,1,0,0,-76,0
118,-493,193,1,0,0,-76,0
119,-495,191,1,0,0,-76,0
120,-497,188,1,0,0,-76,0
121,-499,185,1,0,0,-76,0
122,-501,183,1,0,0,-76,0
123,-503,181,1,0,0,-76,0
124,-504,180,1,0,0,-76,0
125,-504,180,1,0,0,-76,0
126,-504,180,1,0,0,-76,0
127,-504,180,1,0,0,-76,0
128,-504,180,1,0,0,-76,0
129,-507,182,1,0,0,-76,0
130,-510,184,1,0,0,-76,0
131,-513,186,1,0,0,-76,0
132,-516,189,1,0,0,-76,0
133,-519,190,1,0,0,-76,0
134,-519,191,1,0,0,-76,0
135,-521,191,1,0,0,-76,0
136,-521,191,1,0,0,-76,0
137,-521,191,1,0,0,-76,0
138,-521,191,1,0,0,-76,0
139,-522,191,1,0,0,-76,0
140,-523,189,1,0,0,-76,0
141,-524,187,1,0,0,-76,0
142,-527,184,1,0,0,-76,0
143,-529,182,1,0,0,-76,0
144,-530,181,1,0,0,-76,0
145,-530,181,1,0,0,-76,0
146,-530,181,1,0,0,-76,0
147,-530,181,1,0,0,-76,0
148,-533,183,1,0,0,-76,0
149,-538,186,1,0,0,-76,0
150,-542,189,1,0,0,-76,0
