t,x,y,fh,fv,r,s,frame:
0,-457,145,0,0,0,-39,0
1,-457,144,0,0,0,-39,0
2,-457,144,0,0,0,-39,0
3,-456,144,0,0,0,-39,0
4,-448,138,0,0,0,-39,0
5,-444,133,0,0,1,-39,0
6,-438,125,0,0,2,-39,0
7,-437,120,0,0,3,-39,0
8,-436,115,0,0,4,-39,0
9,-436,111,0,0,5,-39,0
10,-439,106,0,0,6,-39,0
11,-443,100,0,0,7,-39,0
12,-447,93,0,0,8,-39,0
13,-451,88,0,0,9,-39,0
14,-455,83,0,0,10,-39,0
15,-459,78,0,0,11,-39,0
16,-462,75,0,0,12,-39,0
17,-463,72,0,0,13,-39,0
18,-465,68,0,0,13,-39,0
19,-466,64,0,0,12,-39,0
20,-466,57,0,0,11,-39,0
21,-466,53,0,0,10,-39,0
22,-466,51,0,0,9,-39,0
23,-465,50,0,0,8,-39,0
24,-463,48,0,0,7,-39,0
25,-462,46,0,0,6,-39,0
26,-459,45,0,0,5,-39,0
27,-457,45,0,0,4,-39,0
28,-455,44,0,0,3,-39,0
29,-454,44,0,0,3,-39,0
30,-453,44,0,0,3,-39,0
31,-451,44,0,0,3,-39,0
32,-449,45,0,0,3,-39,0
33,-447,46,0,0,3,-39,0
34,-445,48,0,0,3,-39,0
35,-444,49,0,0,3,-39,0
36,-444,49,0,0,4,-39,0
37,-444,49,0,0,5,-39,0
38,-444,49,0,0,6,-39,0
39,-444,50,0,0,7,-39,0
40,-444,52,0,0,8,-39,0
41,-444,53,0,0,9,-39,0
42,-445,55,0,0,10,-39,0
43,-446,56,0,0,11,-39,0
44,-449,58,0,0,12,-39,0
45,-451,59,0,0,13,-39,0
46,-452,60,0,0,14,-39,0
47,-453,60,0,0,15,-39,0
48,-453,60,0,0,15,-39,0
49,-453,60,0,0,14,-39,0
50,-453,60,0,0,13,-39,0
51,-454,59,0,0,12,-39,0
52,-454,58,0,0,11,-39,0
53,-454,55,0,0,10,-39,0
54,-455,51,0,0,9,-39,0
55,-455,49,0,0,8,-39,0
56,-455,46,0,0,7,-39,0
57,-455,46,0,0,6,-39,0
58,-452,43,0,0,5,-39,0
59,-449,41,0,0,4,-39,0
60,-445,40,0,0,3,-39,0
61,-442,39,0,0,2,-39,0
62,-439,39,0,0,1,-39,0
63,-439,38,0,0,0,-39,0
64,-439,38,0,0,0,-39,0
65,-438,38,0,0,0,-39,0
66,-436,40,0,0,0,-39,0
67,-434,43,0,0,1,-39,0
68,-433,47,0,0,2,-39,0
69,-432,52,0,0,3,-39,0
70,-431,56,0,0,4,-39,0
71,-431,60,0,0,5,-39,0
72,-431,64,0,0,6,-39,0
73,-431,71,0,0,6,-39,0
74,-431,75,0,0,6,-39,0
75,-431,80,0,0,6,-39,0
76,-431,86,0,0,6,-39,0
77,-432,91,0,0,6,-39,0
78,-432,95,0,0,6,-39,0
79,-432,96,0,0,6,-39,0
80,-432,98,0,0,6,-39,0
81,-433,100,0,0,6,-39,0
82,-433,102,0,0,6,-39,0
83,-434,104,0,0,6,-39,0
84,-435,107,0,0,6,-39,0
85,-438,111,0,0,6,-39,0
86,-439,115,0,0,6,-39,0
87,-441,120,0,0,6,-39,0
88,-442,122,0,0,6,-39,0
89,-442,124,0,0,6,-39,0
90,-445,128,0,0,6,-39,0
91,-447,132,0,0,6,-39,0
92,-450,136,0,0,6,-39,0
93,-452,139,0,0,6,-39,0
94,-453,140,0,0,6,-39,0
95,-453,141,0,0,6,-39,0
96,-453,141,0,0,6,-39,0
97,-454,142,0,0,6,-39,0
98,-455,144,0,0,6,-39,0
99,-456,146,0,0,6,-39,0
100,-457,147,0,0,6,-39,0
101,-458,148,0,0,6,-39,0
102,-458,149,0,0,6,-39,0
103,-458,149,0,0,6,-39,0
104,-458,150,0,0,6,-39,0
105,-458,150,0,0,6,-39,0
106,-458,151,0,0,6,-39,0
107,-458,152,0,0,6,-39,0
108,-458,152,0,0,6,-39,0
109,-458,152,0,0,6,-39,0
110,-458,152,0,0,6,-39,0
111,-458,152,0,0,6,-39,0
112,-458,152,0,0,6,-39,0
113,-458,152,0,0,6,-39,0
114,-458,152,0,0,6,-39,0
115,-458,152,0,0,6,-39,0
116,-458,152,0,0,6,-39,0
117,-458,152,0,0,6,-39,0
118,-458,151,0,0,6,-39,0
119,-458,150,0,0,6,-39,0
120,-458,150,0,0,6,-39,0
121,-458,150,0,0,6,-39,0
122,-458,150,0,0,6,-39,0
123,-458,150,0,0,6,-39,0
124,-458,150,0,0,6,-39,0
125,-458,150,0,0,6,-39,0
126,-458,150,0,0,6,-39,0
127,-458,150,0,0,6,-39,0
128,-458,150,0,0,6,-39,0
129,-458,150,0,0,6,-39,0
130,-458,150,0,0,6,-39,0
131,-458,150,0,0,6,-39,0
132,-458,150,0,0,6,-39,0
133,-458,150,0,0,6,-39,0
134,-458,150,0,0,6,-39,0
135,-458,150,0,0,6,-39,0
136,-458,150,0,0,6,-39,0
137,-458,150,0,0,6,-39,0
138,-458,150,0,0,6,-39,0
139,-458,150,0,0,6,-39,0
140,-458,150,0,0,6,-39,0
141,-458,150,0,0,6,-39,0
142,-458,150,0,0,6,-39,0
143,-458,150,0,0,6,-39,0
144,-458,150,0,0,6,-39,0
145,-458,150,0,0,6,-39,0
146,-458,150,0,0,6,-39,0
147,-458,150,0,0,6,-39,0
