t,x,y,fh,fv,r,s,frame:
0,-177,-77,0,0,0,-90,0
1,-177,-77,0,0,0,-90,0
2,-177,-77,0,0,0,-90,0
3,-176,-77,0,0,0,-90,0
4,-176,-77,0,0,0,-90,0
5,-176,-77,0,0,0,-90,0
6,-176,-77,0,0,0,-90,0
7,-176,-77,0,0,0,-90,0
8,-176,-77,0,0,0,-90,0
9,-176,-77,0,0,0,-90,0
10,-175,-78,0,0,0,-90,0
11,-175,-81,0,0,0,-90,0
12,-172,-84,0,0,0,-90,0
13,-170,-86,0,0,0,-90,0
14,-169,-87,0,0,0,-90,0
15,-169,-87,0,0,0,-90,0
16,-169,-87,0,0,0,-90,0
17,-169,-87,0,0,0,-90,0
18,-169,-87,0,0,0,-90,0
19,-169,-87,0,0,0,-90,0
20,-169,-87,0,0,0,-90,0
21,-169,-87,0,0,0,-90,0
22,-169,-87,0,0,0,-90,0
23,-169,-87,0,0,0,-90,0
24,-169,-87,0,0,0,-90,0
25,-169,-87,0,0,0,-90,0
26,-169,-87,0,0,0,-90,0
27,-169,-87,0,0,0,-90,0
28,-169,-87,0,0,0,-90,0
29,-169,-87,0,0,0,-90,0
30,-169,-87,0,0,0,-90,0
31,-169,-87,0,0,0,-90,0
32,-169,-87,0,0,0,-90,0
33,-169,-87,0,0,0,-90,0
34,-169,-87,0,0,0,-90,0
35,-169,-87,0,0,0,-90,0
36,-169,-87,0,0,0,-90,0
37,-169,-87,0,0,0,-90,0
38,-169,-87,0,0,0,-90,0
39,-169,-87,0,0,0,-90,0
40,-170,-87,0,0,0,-90,0
41,-170,-86,0,0,0,-90,0
42,-171,-86,0,0,0,-90,0
43,-172,-85,0,0,0,-90,0
44,-172,-85,0,0,0,-90,0
45,-172,-85,0,0,0,-90,0
46,-173,-85,0,0,0,-90,0
47,-173,-85,0,0,0,-90,0
48,-175,-85,0,0,0,-90,0
49,-175,-85,0,0,0,-90,0
50,-175,-85,0,0,0,-90,0
51,-175,-85,0,0,0,-90,0
52,-175,-84,0,0,0,-90,0
53,-176,-84,0,0,0,-90,0
54,-177,-84,0,0,0,-90,0
55,-177,-84,0,0,0,-90,0
56,-177,-84,0,0,0,-90,0
57,-177,-84,0,0,0,-90,0
58,-177,-84,0,0,0,-90,0
59,-177,-84,0,0,0,-90,0
60,-178,-83,0,0,0,-90,0
61,-179,-83,0,0,0,-90,0
62,-179,-83,0,0,0,-90,0
63,-180,-83,0,0,0,-90,0
64,-181,-82,0,0,0,-90,0
65,-182,-82,0,0,0,-90,0
66,-182,-82,0,0,0,-90,0
67,-182,-82,0,0,0,-90,0
68,-182,-82,0,0,0,-90,0
69,-183,-82,0,0,0,-90,0
70,-184,-82,0,0,0,-90,0
71,-184,-81,0,0,0,-90,0
72,-185,-81,0,0,0,-90,0
73,-186,-81,0,0,0,-90,0
74,-186,-80,0,0,0,-90,0
75,-186,-80,0,0,0,-90,0
76,-186,-80,0,0,0,-90,0
77,-187,-79,0,0,0,-90,0
78,-187,-79,0,0,0,-90,0
79,-187,-79,0,0,0,-90,0
80,-187,-79,0,0,0,-90,0
81,-187,-79,0,0,0,-90,0
82,-187,-79,0,0,0,-90,0
83,-187,-79,0,0,0,-90,0
84,-187,-79,0,0,0,-90,0
85,-187,-79,0,0,0,-90,0
86,-187,-79,0,0,0,-90,0
87,-187,-79,0,0,0,-90,0
88,-187,-79,0,0,0,-90,0
89,-187,-79,0,0,0,-90,0
90,-187,-79,0,0,0,-90,0
91,-187,-79,0,0,0,-90,0
92,-187,-79,0,0,0,-90,0
93,-187,-79,0,0,0,-90,0
94,-187,-79,0,0,0,-90,0
95,-187,-79,0,0,0,-90,0
96,-187,-79,0,0,0,-90,0
97,-187,-79,0,0,0,-90,0
98,-187,-79,0,0,0,-90,0
99,-187,-79,0,0,0,-90,0
100,-187,-79,0,0,0,-90,0
101,-187,-79,0,0,0,-90,0
102,-188,-79,0,0,0,-90,0
103,-188,-79,0,0,0,-90,0
104,-188,-79,0,0,0,-90,0
105,-188,-79,0,0,0,-90,0
106,-189,-79,0,0,0,-90,0
107,-189,-79,0,0,0,-90,0
108,-189,-79,0,0,0,-90,0
109,-189,-80,0,0,0,-90,0
110,-189,-80,0,0,0,-90,0
111,-189,-80,0,0,0,-90,0
112,-189,-80,0,0,0,-90,0
113,-189,-80,0,0,0,-90,0
114,-189,-80,0,0,0,-90,0
115,-189,-80,0,0,0,-90,0
116,-189,-80,0,0,0,-90,0
117,-189,-80,0,0,0,-90,0
118,-189,-80,0,0,0,-90,0
119,-189,-80,0,0,0,-90,0
120,-189,-80,0,0,0,-90,0
121,-189,-80,0,0,0,-90,0
122,-189,-80,0,0,0,-90,0
123,-189,-80,0,0,0,-90,0
124,-189,-80,0,0,0,-90,0
125,-189,-80,0,0,0,-90,0
126,-189,-80,0,0,0,-90,0
127,-189,-80,0,0,0,-90,0
128,-189,-80,0,0,0,-90,0
129,-188,-79,0,0,0,-90,0
130,-188,-79,0,0,0,-90,0
131,-187,-79,0,0,0,-90,0
132,-186,-78,0,0,0,-90,0
133,-186,-78,0,0,0,-90,0
134,-186,-78,0,0,0,-90,0
135,-186,-78,0,0,0,-90,0
136,-185,-78,0,0,0,-90,0
137,-185,-78,0,0,0,-90,0
138,-185,-78,0,0,0,-90,0
139,-185,-78,0,0,0,-90,0
140,-184,-78,0,0,0,-90,0
141,-184,-77,0,0,0,-90,0
