t,x,y,fh,fv,r,s,frame:
0,244,17,1,0,0,0,0
1,244,17,1,0,0,0,0
2,244,17,1,0,0,0,0
3,244,17,1,0,0,0,0
4,244,17,1,0,0,0,0
5,244,17,1,0,0,0,0
6,244,17,1,0,0,0,0
7,244,17,1,0,0,0,0
8,244,17,1,0,0,0,0
9,244,17,1,0,0,0,0
10,244,17,1,0,0,0,0
11,244,17,1,0,0,0,0
12,244,17,1,0,0,0,0
13,244,17,1,0,0,0,0
14,244,17,1,0,0,0,0
15,244,17,1,0,0,0,0
16,244,17,1,0,0,0,0
17,244,17,1,0,0,0,0
18,244,17,1,0,0,0,0
19,244,17,1,0,0,0,0
20,244,17,1,0,0,0,0
21,244,17,1,0,0,0,0
22,244,17,1,0,0,0,0
23,244,17,1,0,0,0,0
24,244,17,1,0,0,0,0
25,244,17,1,0,0,0,0
26,244,17,1,0,0,0,0
27,244,17,1,0,0,0,0
28,244,17,1,0,0,0,0
29,244,17,1,0,0,0,0
30,244,17,1,0,0,0,0
31,244,17,1,0,0,0,0
32,244,17,1,0,0,0,0
33,244,17,1,0,0,0,0
34,244,17,1,0,0,0,0
35,244,17,1,0,0,0,0
36,244,17,1,0,0,0,0
37,244,17,1,0,0,0,0
38,244,17,1,0,0,0,0
39,244,17,1,0,0,0,0
40,244,17,1,0,0,0,0
41,243,17,1,0,0,0,0
42,241,16,1,0,0,0,0
43,240,15,1,0,0,0,0
44,237,15,1,0,0,0,0
45,236,14,1,0,0,0,0
46,235,14,1,0,0,0,0
47,234,14,1,0,0,0,0
48,233,14,1,0,0,0,0
49,232,14,1,0,0,0,0
50,231,14,1,0,0,0,0
51,230,14,1,0,0,0,0
52,229,15,1,0,0,0,0
53,228,15,1,0,0,0,0
54,225,16,1,0,0,0,0
55,223,18,1,0,0,0,0
56,222,19,1,0,0,0,0
57,222,19,1,0,0,0,0
58,222,19,1,0,0,0,0
59,222,19,1,0,0,0,0
60,222,19,1,0,0,0,0
61,221,19,1,0,0,0,0
62,219,19,1,0,0,0,0
63,217,18,1,0,0,0,0
64,215,17,1,0,0,0,0
65,214,16,1,0,0,0,0
66,212,14,1,0,0,0,0
67,211,13,1,0,0,0,0
68,210,12,1,0,0,0,0
69,210,12,1,0,0,0,0
70,209,11,1,0,0,0,0
71,209,11,1,0,0,0,0
72,209,11,1,0,0,0,0
73,209,11,1,0,0,0,0
74,208,11,1,0,0,0,0
75,207,11,1,0,0,0,0
76,205,12,1,0,0,0,0
77,203,14,1,0,0,0,0
