t,x,y,fh,fv,r,s,frame:
0,181,44,1,0,0,-9,0
1,181,44,1,0,0,-9,0
2,181,44,1,0,0,-9,0
3,181,44,1,0,0,-9,0
4,181,44,1,0,0,-9,0
5,181,44,1,0,0,-9,0
6,181,44,1,0,0,-9,0
7,181,44,1,0,0,-9,0
8,181,44,1,0,0,-9,0
9,181,44,1,0,0,-9,0
10,181,44,1,0,0,-9,0
11,181,44,1,0,0,-9,0
12,181,44,1,0,0,-9,0
13,181,44,1,0,0,-9,0
14,181,44,1,0,0,-9,0
15,181,44,1,0,0,-9,0
16,181,44,1,0,0,-9,0
17,181,44,1,0,0,-9,0
18,181,44,1,0,0,-9,0
19,181,44,1,0,0,-9,0
20,181,44,1,0,0,-9,0
21,181,44,1,0,0,-9,0
22,181,44,1,0,0,-9,0
23,181,44,1,0,0,-9,0
24,181,44,1,0,0,-9,0
25,181,44,1,0,0,-9,0
26,181,44,1,0,0,-9,0
27,181,44,1,0,0,-9,0
28,181,44,1,0,0,-9,0
29,181,44,1,0,0,-9,0
30,181,44,1,0,0,-9,0
31,181,44,1,0,0,-9,0
32,181,44,1,0,0,-9,0
33,181,44,1,0,0,-9,0
34,181,44,1,0,0,-9,0
35,181,44,1,0,0,-9,0
36,181,44,1,0,0,-9,0
37,181,44,1,0,0,-9,0
38,181,44,1,0,0,-9,0
39,181,44,1,0,0,-9,0
40,181,44,1,0,0,-9,0
41,181,44,1,0,0,-9,0
42,181,44,1,0,0,-9,0
43,181,44,1,0,0,-9,0
44,181,44,1,0,0,-9,0
45,181,44,1,0,0,-9,0
46,181,44,1,0,0,-9,0
47,181,44,1,0,0,-9,0
48,181,44,1,0,0,-9,0
49,181,44,1,0,0,-9,0
50,181,44,1,0,0,-9,0
51,181,44,1,0,0,-9,0
52,181,44,1,0,0,-9,0
53,181,44,1,0,0,-9,0
54,181,44,1,0,0,-9,0
55,181,44,1,0,0,-9,0
56,181,44,1,0,0,-9,0
57,181,44,1,0,0,-9,0
58,181,44,1,0,0,-9,0
59,181,44,1,0,0,-9,0
60,181,44,1,0,0,-9,0
61,181,44,1,0,0,-9,0
62,181,44,1,0,0,-9,0
63,181,44,1,0,0,-9,0
64,181,44,1,0,0,-9,0
65,181,44,1,0,0,-9,0
66,181,44,1,0,0,-9,0
