t,x,y,fh,fv,r,s,frame:
0,-47,-99,0,0,0,-111,0
1,-47,-99,0,0,0,-111,0
2,-47,-99,0,0,0,-111,0
3,-47,-99,0,0,0,-111,0
4,-47,-99,0,0,0,-111,0
5,-47,-99,0,0,0,-111,0
6,-47,-99,0,0,0,-111,0
7,-47,-99,0,0,0,-111,0
8,-47,-99,0,0,0,-111,0
9,-47,-99,0,0,0,-111,0
10,-47,-99,0,0,0,-111,0
11,-47,-99,0,0,0,-111,0
12,-47,-99,0,0,0,-111,0
13,-47,-99,0,0,0,-111,0
14,-47,-99,0,0,0,-111,0
15,-47,-99,0,0,0,-111,0
16,-47,-99,0,0,0,-111,0
17,-47,-99,0,0,0,-111,0
18,-47,-99,0,0,0,-111,0
19,-47,-99,0,0,0,-111,0
20,-47,-99,0,0,0,-111,0
21,-47,-99,0,0,0,-111,0
22,-47,-99,0,0,0,-111,0
23,-47,-99,0,0,0,-111,0
24,-47,-99,0,0,0,-111,0
25,-48,-99,0,0,0,-111,0
26,-48,-99,0,0,0,-111,0
27,-48,-100,0,0,0,-111,0
28,-48,-100,0,0,0,-111,0
29,-48,-100,0,0,0,-111,0
30,-48,-100,0,0,0,-111,0
31,-49,-101,0,0,0,-111,0
32,-50,-101,0,0,0,-111,0
33,-51,-101,0,0,0,-111,0
34,-51,-101,0,0,0,-111,0
35,-51,-102,0,0,0,-111,0
36,-51,-102,0,0,0,-111,0
37,-51,-102,0,0,0,-111,0
38,-52,-102,0,0,0,-111,0
39,-53,-103,0,0,0,-111,0
40,-53,-103,0,0,0,-111,0
41,-54,-103,0,0,0,-111,0
42,-54,-104,0,0,0,-111,0
43,-54,-104,0,0,0,-111,0
44,-55,-104,0,0,0,-111,0
45,-56,-105,0,0,0,-111,0
46,-56,-106,0,0,0,-111,0
47,-56,-106,0,0,0,-111,0
48,-56,-106,0,0,0,-111,0
49,-56,-106,0,0,0,-111,0
50,-56,-106,0,0,0,-111,0
51,-57,-107,0,0,0,-111,0
52,-58,-108,0,0,0,-111,0
53,-58,-108,0,0,0,-111,0
54,-58,-108,0,0,0,-111,0
55,-58,-108,0,0,0,-111,0
56,-58,-108,0,0,0,-111,0
57,-58,-108,0,0,0,-111,0
58,-59,-109,0,0,0,-111,0
59,-59,-109,0,0,0,-111,0
60,-60,-109,0,0,0,-111,0
61,-60,-109,0,0,0,-111,0
62,-60,-109,0,0,0,-111,0
63,-60,-110,0,0,0,-111,0
64,-60,-110,0,0,0,-111,0
65,-60,-110,0,0,0,-111,0
66,-60,-110,0,0,0,-111,0
67,-60,-111,0,0,0,-111,0
68,-60,-112,0,0,0,-111,0
69,-60,-112,0,0,0,-111,0
70,-60,-112,0,0,0,-111,0
71,-60,-113,0,0,0,-111,0
72,-60,-113,0,0,0,-111,0
73,-60,-113,0,0,0,-111,0
74,-60,-113,0,0,0,-111,0
75,-60,-114,0,0,0,-111,0
76,-60,-114,0,0,0,-111,0
77,-60,-115,0,0,0,-111,0
78,-60,-115,0,0,0,-111,0
79,-60,-115,0,0,0,-111,0
80,-60,-116,0,0,0,-111,0
81,-60,-116,0,0,0,-111,0
82,-60,-117,0,0,0,-111,0
83,-59,-118,0,0,0,-111,0
84,-59,-119,0,0,0,-111,0
85,-58,-120,0,0,0,-111,0
86,-57,-120,0,0,0,-111,0
87,-57,-121,0,0,0,-111,0
88,-56,-121,0,0,0,-111,0
89,-55,-121,0,0,0,-111,0
90,-55,-121,0,0,0,-111,0
91,-55,-121,0,0,0,-111,0
92,-54,-121,0,0,0,-111,0
93,-53,-121,0,0,0,-111,0
94,-53,-122,0,0,0,-111,0
95,-53,-122,0,0,0,-111,0
96,-53,-122,0,0,0,-111,0
97,-52,-123,0,0,0,-111,0
98,-50,-123,0,0,0,-111,0
99,-49,-124,0,0,0,-111,0
100,-49,-124,0,0,0,-111,0
101,-49,-124,0,0,0,-111,0
102,-48,-125,0,0,0,-111,0
103,-47,-125,0,0,0,-111,0
104,-45,-126,0,0,0,-111,0
105,-44,-127,0,0,0,-111,0
106,-42,-128,0,0,0,-111,0
107,-42,-129,0,0,0,-111,0
108,-41,-129,0,0,0,-111,0
109,-41,-130,0,0,0,-111,0
110,-40,-130,0,0,0,-111,0
111,-40,-130,0,0,0,-111,0
112,-40,-130,0,0,0,-111,0
113,-39,-131,0,0,0,-111,0
114,-39,-132,0,0,0,-111,0
115,-38,-133,0,0,0,-111,0
116,-37,-134,0,0,0,-111,0
117,-37,-135,0,0,0,-111,0
118,-37,-135,0,0,0,-111,0
119,-36,-135,0,0,0,-111,0
120,-36,-135,0,0,0,-111,0
121,-36,-135,0,0,0,-111,0
122,-36,-135,0,0,0,-111,0
123,-36,-135,0,0,0,-111,0
124,-36,-135,0,0,0,-111,0
125,-36,-135,0,0,0,-111,0
126,-36,-136,0,0,0,-111,0
127,-36,-136,0,0,0,-111,0
128,-36,-136,0,0,0,-111,0
129,-36,-136,0,0,0,-111,0
130,-36,-136,0,0,0,-111,0
131,-36,-136,0,0,0,-111,0
132,-36,-136,0,0,0,-111,0
133,-36,-137,0,0,0,-111,0
134,-36,-137,0,0,0,-111,0
135,-36,-137,0,0,0,-111,0
136,-36,-137,0,0,0,-111,0
137,-36,-137,0,0,0,-111,0
138,-36,-137,0,0,0,-111,0
139,-37,-138,0,0,0,-111,0
140,-37,-138,0,0,0,-111,0
141,-38,-139,0,0,0,-111,0
142,-38,-139,0,0,0,-111,0
143,-38,-139,0,0,0,-111,0
144,-39,-139,0,0,0,-111,0
145,-39,-139,0,0,0,-111,0
146,-39,-139,0,0,0,-111,0
147,-40,-139,0,0,0,-111,0
148,-40,-139,0,0,0,-111,0
149,-40,-139,0,0,0,-111,0
150,-40,-139,0,0,0,-111,0
151,-40,-139,0,0,0,-111,0
152,-40,-139,0,0,0,-111,0
153,-41,-139,0,0,0,-111,0
154,-41,-139,0,0,0,-111,0
155,-41,-139,0,0,0,-111,0
156,-41,-139,0,0,0,-111,0
157,-41,-139,0,0,0,-111,0
158,-41,-139,0,0,0,-111,0
159,-41,-139,0,0,0,-111,0
160,-41,-139,0,0,0,-111,0
161,-41,-139,0,0,0,-111,0
162,-41,-139,0,0,0,-111,0
163,-41,-139,0,0,0,-111,0
164,-41,-139,0,0,0,-111,0
165,-41,-139,0,0,0,-111,0
166,-41,-139,0,0,0,-111,0
167,-41,-139,0,0,0,-111,0
168,-41,-139,0,0,0,-111,0
169,-41,-139,0,0,0,-111,0
170,-41,-139,0,0,0,-111,0
171,-41,-139,0,0,0,-111,0
172,-41,-139,0,0,0,-111,0
173,-41,-139,0,0,0,-111,0
174,-41,-139,0,0,0,-111,0
175,-42,-139,0,0,0,-111,0
176,-43,-139,0,0,0,-111,0
177,-43,-139,0,0,0,-111,0
178,-44,-139,0,0,0,-111,0
179,-45,-139,0,0,0,-111,0
180,-46,-139,0,0,0,-111,0
181,-47,-139,0,0,0,-111,0
182,-47,-139,0,0,0,-111,0
183,-49,-139,0,0,0,-111,0
184,-50,-138,0,0,0,-111,0
185,-50,-138,0,0,0,-111,0
186,-50,-138,0,0,0,-111,0
187,-50,-138,0,0,0,-111,0
188,-50,-138,0,0,0,-111,0
189,-50,-138,0,0,0,-111,0
190,-50,-138,0,0,0,-111,0
191,-51,-138,0,0,0,-111,0
192,-51,-138,0,0,0,-111,0
193,-51,-138,0,0,0,-111,0
194,-51,-138,0,0,0,-111,0
195,-51,-138,0,0,0,-111,0
196,-51,-138,0,0,0,-111,0
197,-51,-138,0,0,0,-111,0
198,-51,-138,0,0,0,-111,0
199,-51,-138,0,0,0,-111,0
200,-51,-137,0,0,0,-111,0
201,-52,-137,0,0,0,-111,0
202,-52,-136,0,0,0,-111,0
203,-53,-136,0,0,0,-111,0
204,-53,-136,0,0,0,-111,0
205,-53,-136,0,0,0,-111,0
206,-53,-136,0,0,0,-111,0
207,-53,-136,0,0,0,-111,0
208,-53,-136,0,0,0,-111,0
209,-53,-136,0,0,0,-111,0
210,-53,-135,0,0,0,-111,0
211,-54,-135,0,0,0,-111,0
212,-54,-135,0,0,0,-111,0
213,-54,-135,0,0,0,-111,0
214,-54,-135,0,0,0,-111,0
215,-54,-134,0,0,0,-111,0
216,-54,-134,0,0,0,-111,0
217,-54,-134,0,0,0,-111,0
218,-54,-134,0,0,0,-111,0
219,-54,-134,0,0,0,-111,0
220,-54,-133,0,0,0,-111,0
221,-54,-133,0,0,0,-111,0
222,-54,-133,0,0,0,-111,0
223,-54,-132,0,0,0,-111,0
224,-54,-132,0,0,0,-111,0
225,-54,-132,0,0,0,-111,0
226,-54,-132,0,0,0,-111,0
227,-54,-132,0,0,0,-111,0
228,-54,-131,0,0,0,-111,0
229,-54,-129,0,0,0,-111,0
230,-54,-128,0,0,0,-111,0
231,-54,-127,0,0,0,-111,0
232,-54,-126,0,0,0,-111,0
233,-54,-126,0,0,0,-111,0
234,-54,-126,0,0,0,-111,0
235,-54,-126,0,0,0,-111,0
236,-54,-125,0,0,0,-111,0
237,-53,-124,0,0,0,-111,0
238,-53,-123,0,0,0,-111,0
239,-52,-122,0,0,0,-111,0
240,-52,-121,0,0,0,-111,0
241,-51,-121,0,0,0,-111,0
242,-51,-120,0,0,0,-111,0
243,-51,-119,0,0,0,-111,0
244,-50,-119,0,0,0,-111,0
245,-49,-118,0,0,0,-111,0
246,-48,-116,0,0,0,-111,0
247,-48,-116,0,0,0,-111,0
248,-48,-115,0,0,0,-111,0
249,-47,-115,0,0,0,-111,0
250,-46,-114,0,0,0,-111,0
251,-46,-114,0,0,0,-111,0
252,-46,-114,0,0,0,-111,0
253,-45,-113,0,0,0,-111,0
254,-44,-113,0,0,0,-111,0
255,-44,-113,0,0,0,-111,0
256,-44,-113,0,0,0,-111,0
257,-44,-113,0,0,0,-111,0
258,-43,-112,0,0,0,-111,0
259,-43,-112,0,0,0,-111,0
260,-42,-111,0,0,0,-111,0
261,-40,-110,0,0,0,-111,0
262,-40,-109,0,0,0,-111,0
263,-40,-109,0,0,0,-111,0
264,-39,-108,0,0,0,-111,0
265,-39,-107,0,0,0,-111,0
266,-38,-106,0,0,0,-111,0
267,-38,-106,0,0,0,-111,0
268,-38,-106,0,0,0,-111,0
269,-38,-106,0,0,0,-111,0
270,-38,-106,0,0,0,-111,0
271,-38,-106,0,0,0,-111,0
272,-38,-106,0,0,0,-111,0
273,-38,-106,0,0,0,-111,0
274,-38,-106,0,0,0,-111,0
275,-38,-106,0,0,0,-111,0
276,-38,-106,0,0,0,-111,0
277,-37,-105,0,0,0,-111,0
278,-37,-105,0,0,0,-111,0
279,-37,-105,0,0,0,-111,0
280,-37,-105,0,0,0,-111,0
281,-37,-105,0,0,0,-111,0
282,-37,-105,0,0,0,-111,0
283,-37,-105,0,0,0,-111,0
284,-37,-105,0,0,0,-111,0
285,-37,-105,0,0,0,-111,0
286,-37,-105,0,0,0,-111,0
287,-37,-105,0,0,0,-111,0
288,-37,-105,0,0,0,-111,0
289,-37,-105,0,0,0,-111,0
290,-37,-105,0,0,0,-111,0
