t,x,y,fh,fv,r,s,frame:
0,0,10,0,0,0,0,0
1,0,10,0,0,0,0,0
2,0,10,0,0,0,0,0
3,0,10,0,0,0,0,0
4,0,10,0,0,0,0,0
5,0,10,0,0,0,0,0
6,0,10,0,0,0,0,0
7,0,10,0,0,0,0,0
8,0,10,0,0,0,0,0
9,0,10,0,0,0,0,0
10,0,10,0,0,0,0,0
11,0,10,0,0,0,0,0
12,0,10,0,0,0,0,0
13,0,10,0,0,0,0,0
14,0,10,0,0,0,0,0
15,0,10,0,0,0,0,0
16,0,10,0,0,0,0,0
17,0,10,0,0,0,0,0
18,0,10,0,0,0,0,0
19,0,10,0,0,0,0,0
20,0,10,0,0,0,0,0
21,0,10,0,0,0,0,0
22,0,10,0,0,0,0,0
23,0,10,0,0,0,0,0
24,0,10,0,0,0,0,0
25,0,10,0,0,0,0,0
26,0,10,0,0,0,0,0
27,0,10,0,0,0,0,0
28,0,10,0,0,0,0,0
29,0,10,0,0,0,0,0
30,0,10,0,0,0,0,0
31,0,10,0,0,0,0,0
32,0,10,0,0,0,0,0
33,0,10,0,0,0,0,0
34,0,10,0,0,0,0,0
35,0,10,0,0,0,0,0
36,0,10,0,0,0,0,0
37,0,10,0,0,0,0,0
38,0,10,0,0,0,0,0
39,0,10,0,0,0,0,0
40,0,10,0,0,0,0,0
41,0,10,0,0,0,0,0
42,0,10,0,0,0,0,0
43,0,10,0,0,0,0,0
44,0,10,0,0,0,0,0
45,0,10,0,0,0,0,0
46,0,10,0,0,0,0,0
47,0,10,0,0,0,0,0
48,0,10,0,0,0,0,0
49,0,10,0,0,0,0,0
50,0,10,0,0,0,0,0
51,0,10,0,0,0,0,0
52,0,10,0,0,0,0,0
53,0,10,0,0,0,0,0
54,0,10,0,0,0,0,0
55,0,10,0,0,0,0,0
56,0,10,0,0,0,0,0
57,0,10,0,0,0,0,0
58,0,10,0,0,0,0,0
59,0,10,0,0,0,0,0
60,0,10,0,0,0,0,0
61,0,10,0,0,0,0,0
62,0,10,0,0,0,0,0
63,0,10,0,0,0,0,0
64,0,10,0,0,0,0,0
65,0,10,0,0,0,0,0
66,0,10,0,0,0,0,0
67,0,10,0,0,0,0,0
68,0,10,0,0,0,0,0
69,0,10,0,0,0,0,0
70,0,10,0,0,0,0,0
71,0,10,0,0,1,0,0
72,0,10,0,0,2,0,0
73,0,10,0,0,3,0,0
74,0,10,0,0,4,0,0
75,0,10,0,0,5,0,0
76,0,10,0,0,6,0,0
77,0,10,0,0,6,0,0
78,0,10,0,0,5,0,0
79,0,10,0,0,4,0,0
80,0,10,0,0,3,0,0
81,0,10,0,0,2,0,0
82,0,10,0,0,2,0,0
83,0,10,0,0,2,0,0
84,0,10,0,0,3,0,0
85,0,10,0,0,4,0,0
86,0,10,0,0,5,0,0
87,0,10,0,0,6,0,0
88,0,10,0,0,7,0,0
89,0,10,0,0,7,0,0
90,0,10,0,0,7,0,0
91,0,10,0,0,6,0,0
92,0,10,0,0,5,0,0
93,0,10,0,0,4,0,0
94,0,10,0,0,3,0,0
95,0,10,0,0,3,0,0
96,0,10,0,0,4,0,0
97,0,10,0,0,5,0,0
98,0,10,0,0,6,0,0
99,0,10,0,0,6,0,0
100,0,10,0,0,6,0,0
101,0,10,0,0,5,0,0
102,0,10,0,0,4,0,0
103,0,10,0,0,3,0,0
104,0,10,0,0,2,0,0
105,0,10,0,0,1,0,0
106,0,10,0,0,1,0,0
107,0,10,0,0,1,0,0
108,0,10,0,0,1,0,0
109,0,10,0,0,1,0,0
110,0,84,0,0,1,-34,0
111,0,84,0,0,1,-34,0
112,0,84,0,0,1,-34,0
113,0,84,0,0,1,-34,0
114,0,84,0,0,2,-34,0
115,0,84,0,0,3,-34,0
116,0,84,0,0,4,-34,0
117,0,84,0,0,5,-34,0
118,0,84,0,0,6,-34,0
119,0,84,0,0,6,-34,0
120,0,84,0,0,5,-34,0
121,0,84,0,0,4,-34,0
122,0,84,0,0,3,-34,0
123,0,84,0,0,2,-34,0
124,0,84,0,0,1,-34,0
125,0,84,0,0,1,-34,0
126,0,84,0,0,2,-34,0
127,0,84,0,0,3,-34,0
128,0,84,0,0,4,-34,0
129,0,84,0,0,5,-34,0
130,0,84,0,0,6,-34,0
131,0,84,0,0,7,-34,0
132,0,84,0,0,8,-34,0
133,0,84,0,0,7,-34,0
134,0,84,0,0,6,-34,0
135,0,84,0,0,5,-34,0
136,0,84,0,0,4,-34,0
137,0,84,0,0,4,-34,0
138,0,84,0,0,4,-34,0
139,0,84,0,0,5,-34,0
140,0,84,0,0,6,-34,0
141,0,84,0,0,7,-34,0
142,0,84,0,0,8,-34,0
143,0,84,0,0,8,-34,0
144,0,84,0,0,7,-34,0
145,0,84,0,0,6,-34,0
146,0,84,0,0,5,-34,0
147,0,84,0,0,4,-34,0
148,0,84,0,0,3,-34,0
149,0,84,0,0,3,-34,0
150,0,84,0,0,3,-34,0
