t,x,y,fh,fv,r,s,frame:
0,561,73,0,0,0,-146,0
1,561,73,0,0,0,-146,0
2,561,73,0,0,0,-146,0
3,561,73,0,0,0,-146,0
4,561,73,0,0,0,-146,0
5,561,73,0,0,0,-146,0
6,561,73,0,0,0,-146,0
7,561,73,0,0,0,-146,0
8,558,73,0,0,0,-146,0
9,556,74,0,0,0,-146,0
10,555,74,0,0,0,-146,0
11,551,76,0,0,0,-146,0
12,547,78,0,0,0,-146,0
13,545,79,0,0,0,-146,0
14,541,82,0,0,0,-146,0
15,539,84,0,0,0,-146,0
16,535,87,0,0,0,-146,0
17,532,90,0,0,0,-146,0
18,530,93,0,0,0,-146,0
19,529,95,0,0,0,-146,0
20,528,99,0,0,0,-146,0
21,527,101,0,0,0,-146,0
22,527,103,0,0,0,-146,0
23,527,106,0,0,0,-146,0
24,527,108,0,0,0,-146,0
25,528,111,0,0,0,-146,0
26,529,114,0,0,0,-146,0
27,530,116,0,0,0,-146,0
28,530,118,0,0,0,-146,0
29,532,120,0,0,0,-146,0
30,532,121,0,0,0,-146,0
31,533,122,0,0,0,-146,0
32,534,124,0,0,0,-146,0
33,534,126,0,0,0,-146,0
34,535,131,0,0,0,-146,0
35,536,134,0,0,0,-146,0
36,536,137,0,0,0,-146,0
37,536,138,0,0,0,-146,0
38,536,138,0,0,0,-146,0
39,536,138,0,0,0,-146,0
40,536,139,0,0,0,-146,0
41,535,141,0,0,0,-146,0
42,533,142,0,0,0,-146,0
43,531,143,0,0,0,-146,0
44,529,145,0,0,0,-146,0
45,525,146,0,0,0,-146,0
46,523,147,0,0,0,-146,0
47,518,148,0,0,0,-146,0
48,514,148,0,0,0,-146,0
49,508,148,0,0,0,-146,0
50,501,149,0,0,0,-146,0
51,492,148,0,0,0,-146,0
52,481,146,0,0,0,-146,0
53,472,144,0,0,0,-146,0
54,457,143,0,0,0,-146,0
55,449,142,0,0,0,-146,0
56,444,142,0,0,0,-146,0
57,440,142,0,0,0,-146,0
58,434,144,0,0,0,-146,0
59,430,146,0,0,0,-146,0
60,423,151,0,0,0,-146,0
61,416,158,0,0,0,-146,0
62,409,165,0,0,0,-146,0
63,406,170,0,0,0,-146,0
64,404,177,0,0,0,-146,0
