t,x,y,fh,fv,r,s,frame:
0,475,192,1,0,-28,-70,0
1,475,192,1,0,-28,-70,0
2,475,192,1,0,-28,-70,0
3,475,192,1,0,-28,-70,0
4,475,192,1,0,-31,-70,0
5,475,192,1,0,-34,-70,0
6,475,192,1,0,-37,-70,0
7,475,192,1,0,-40,-70,0
8,475,192,1,0,-43,-70,0
9,475,192,1,0,-46,-70,0
10,475,192,1,0,-49,-70,0
11,475,192,1,0,-49,-70,0
12,475,192,1,0,-46,-70,0
13,475,192,1,0,-43,-70,0
14,475,192,1,0,-40,-70,0
15,475,192,1,0,-37,-70,0
16,475,192,1,0,-34,-70,0
17,475,192,1,0,-31,-70,0
18,475,192,1,0,-28,-70,0
19,475,192,1,0,-28,-70,0
20,475,192,1,0,-28,-70,0
21,475,192,1,0,-28,-70,0
22,475,192,1,0,-31,-70,0
23,475,192,1,0,-34,-70,0
24,475,192,1,0,-37,-70,0
25,475,192,1,0,-40,-70,0
26,475,192,1,0,-43,-70,0
27,475,192,1,0,-46,-70,0
28,475,192,1,0,-49,-70,0
29,475,192,1,0,-49,-70,0
30,475,192,1,0,-46,-70,0
31,475,192,1,0,-43,-70,0
32,475,192,1,0,-40,-70,0
33,475,192,1,0,-37,-70,0
34,475,192,1,0,-34,-70,0
35,475,192,1,0,-31,-70,0
36,475,192,1,0,-28,-70,0
37,475,192,1,0,-28,-70,0
38,475,192,1,0,-28,-70,0
39,475,192,1,0,-28,-70,0
40,475,192,1,0,-28,-70,0
41,475,192,1,0,-28,-70,0
42,475,192,1,0,-28,-70,0
43,475,192,1,0,-28,-70,0
44,475,192,1,0,-28,-70,0
45,475,192,1,0,-28,-70,0
46,475,192,1,0,-28,-70,0
47,475,192,1,0,-28,-70,0
48,475,192,1,0,-28,-70,0
49,475,192,1,0,-28,-70,0
50,475,192,1,0,-28,-70,0
51,475,192,1,0,-28,-70,0
52,475,192,1,0,-28,-70,0
53,475,192,1,0,-28,-70,0
54,475,192,1,0,-28,-70,0
55,475,192,1,0,-28,-70,0
56,475,192,1,0,-28,-70,0
57,475,192,1,0,-28,-70,0
58,475,192,1,0,-28,-70,0
59,475,192,1,0,-28,-70,0
60,475,192,1,0,-28,-70,0
61,475,192,1,0,-28,-70,0
62,475,192,1,0,-28,-70,0
63,475,192,1,0,-28,-70,0
64,475,192,1,0,-28,-70,0
65,475,192,1,0,-28,-70,0
66,475,192,1,0,-28,-70,0
67,475,192,1,0,-28,-70,0
68,475,192,1,0,-28,-70,0
69,475,192,1,0,-28,-70,0
70,475,192,1,0,-28,-70,0
71,475,192,1,0,-28,-70,0
72,475,192,1,0,-28,-70,0
73,475,192,1,0,-31,-70,0
74,475,192,1,0,-34,-70,0
75,475,192,1,0,-37,-70,0
76,475,192,1,0,-40,-70,0
77,475,192,1,0,-43,-70,0
78,475,192,1,0,-46,-70,0
79,475,192,1,0,-46,-70,0
80,475,192,1,0,-43,-70,0
81,475,192,1,0,-40,-70,0
82,475,192,1,0,-37,-70,0
83,475,192,1,0,-34,-70,0
84,475,192,1,0,-31,-70,0
85,475,192,1,0,-28,-70,0
86,475,192,1,0,-25,-70,0
87,475,192,1,0,-25,-70,0
88,475,192,1,0,-25,-70,0
89,475,192,1,0,-25,-70,0
90,475,192,1,0,-25,-70,0
91,475,192,1,0,-28,-70,0
92,475,192,1,0,-31,-70,0
93,475,192,1,0,-34,-70,0
94,475,192,1,0,-37,-70,0
95,475,192,1,0,-40,-70,0
96,475,192,1,0,-43,-70,0
97,475,192,1,0,-46,-70,0
98,475,192,1,0,-49,-70,0
99,475,192,1,0,-52,-70,0
100,475,192,1,0,-55,-70,0
101,475,192,1,0,-55,-70,0
102,475,192,1,0,-52,-70,0
103,475,192,1,0,-49,-70,0
104,475,192,1,0,-46,-70,0
105,475,192,1,0,-43,-70,0
106,475,192,1,0,-40,-70,0
107,475,192,1,0,-37,-70,0
108,475,192,1,0,-34,-70,0
