t,x,y,fh,fv,r,s,frame:
0,-29,4,1,0,0,-40,0
1,-29,4,1,0,0,-40,0
2,-29,4,1,0,0,-40,0
3,-29,4,1,0,0,-40,0
4,-29,4,1,0,0,-40,0
5,-29,4,1,0,0,-40,0
6,-29,4,1,0,0,-40,0
7,-29,4,1,0,0,-40,0
8,-29,4,1,0,0,-40,0
9,-29,4,1,0,0,-40,0
10,-29,4,1,0,0,-40,0
11,-29,4,1,0,0,-40,0
12,-29,4,1,0,0,-40,0
13,-29,4,1,0,0,-40,0
14,-29,4,1,0,0,-40,0
15,-29,4,1,0,0,-40,0
16,-29,4,1,0,0,-40,0
17,-29,4,1,0,0,-40,0
18,-29,4,1,0,0,-40,0
19,-29,4,1,0,0,-40,0
20,-29,4,1,0,0,-40,0
21,-29,4,1,0,0,-40,0
22,-29,4,1,0,0,-40,0
23,-29,4,1,0,0,-40,0
24,-29,4,1,0,0,-40,0
25,-29,4,1,0,0,-40,0
26,-29,4,1,0,0,-40,0
27,-29,4,1,0,0,-40,0
28,-29,4,1,0,0,-40,0
29,-29,4,1,0,0,-40,0
30,-29,4,1,0,0,-40,0
31,-29,4,1,0,0,-40,0
32,-29,4,1,0,0,-40,0
33,-29,4,1,0,0,-40,0
34,-29,4,1,0,0,-40,0
35,-29,4,1,0,0,-40,0
36,-29,4,1,0,0,-40,0
37,-29,4,1,0,0,-40,0
38,-29,4,1,0,0,-40,0
39,-29,4,1,0,0,-40,0
40,-29,4,1,0,0,-40,0
41,-29,4,1,0,0,-40,0
42,-29,4,1,0,0,-40,0
43,-29,4,1,0,0,-40,0
44,-29,4,1,0,0,-40,0
45,-29,4,1,0,0,-40,0
46,-29,4,1,0,0,-40,0
47,-29,4,1,0,0,-40,0
48,-29,4,1,0,0,-40,0
49,-29,4,1,0,0,-40,0
50,-29,4,1,0,0,-40,0
51,-29,4,1,0,0,-40,0
52,-29,4,1,0,0,-40,0
53,-29,4,1,0,0,-40,0
54,-29,4,1,0,0,-40,0
55,-29,4,1,0,0,-40,0
56,-29,4,1,0,0,-40,0
57,-31,5,1,0,0,-40,0
58,-36,6,1,0,0,-40,0
59,-41,7,1,0,0,-40,0
60,-45,8,1,0,0,-40,0
61,-49,8,1,0,0,-40,0
62,-49,9,1,0,0,-40,0
63,-49,9,1,0,0,-40,0
64,-53,9,1,0,0,-40,0
65,-61,10,1,0,0,-40,0
66,-68,11,1,0,0,-40,0
67,-76,11,1,0,0,-40,0
68,-86,12,1,0,0,-40,0
69,-95,12,1,0,0,-40,0
70,-100,12,1,0,0,-40,0
71,-103,12,1,0,0,-40,0
72,-107,12,1,0,0,-40,0
73,-112,12,1,0,0,-40,0
74,-117,12,1,0,0,-40,0
75,-125,12,1,0,0,-40,0
76,-139,12,1,0,0,-40,0
77,-150,12,1,0,0,-40,0
78,-157,12,1,0,0,-40,0
79,-160,12,1,0,0,-40,0
80,-162,13,1,0,0,-40,0
81,-164,13,1,0,0,-40,0
82,-165,13,1,0,0,-40,0
83,-167,13,1,0,0,-40,0
84,-170,13,1,0,0,-40,0
85,-177,13,1,0,0,-40,0
86,-183,13,1,0,0,-40,0
87,-187,13,1,0,0,-40,0
88,-197,13,1,0,0,-40,0
89,-203,13,1,0,0,-40,0
90,-209,13,1,0,0,-40,0
91,-215,13,1,0,0,-40,0
92,-223,13,1,0,0,-40,0
93,-229,13,1,0,0,-40,0
94,-236,13,1,0,0,-40,0
95,-246,12,1,0,0,-40,0
96,-249,11,1,0,0,-40,0
97,-251,11,1,0,0,-40,0
98,-253,11,1,0,0,-40,0
99,-257,11,1,0,0,-40,0
100,-260,11,1,0,0,-40,0
101,-264,11,1,0,0,-40,0
102,-270,11,1,0,0,-40,0
103,-271,11,1,0,0,-40,0
104,-275,11,1,0,0,-40,0
105,-281,11,1,0,0,-40,0
106,-285,11,1,0,0,-40,0
107,-288,11,1,0,0,-40,0
108,-289,11,1,0,0,-40,0
109,-290,11,1,0,0,-40,0
110,-290,11,1,0,0,-40,0
111,-290,11,1,0,0,-40,0
112,-290,11,1,0,0,-40,0
113,-290,11,1,0,0,-40,0
114,-290,11,1,0,0,-40,0
115,-292,11,1,0,0,-40,0
116,-293,11,1,0,0,-40,0
117,-294,11,1,0,0,-40,0
118,-296,11,1,0,0,-40,0
119,-301,12,1,0,0,-40,0
120,-303,13,1,0,0,-40,0
121,-304,13,1,0,0,-40,0
122,-304,13,1,0,0,-40,0
123,-304,13,1,0,0,-40,0
124,-304,13,1,0,0,-40,0
125,-304,13,1,0,0,-40,0
126,-304,13,1,0,0,-40,0
127,-304,13,1,0,0,-40,0
128,-304,13,1,0,0,-40,0
129,-304,13,1,0,0,-40,0
130,-304,13,1,0,0,-40,0
131,-304,13,1,0,0,-40,0
132,-304,13,1,0,0,-40,0
133,-304,13,1,0,0,-40,0
134,-304,13,1,0,0,-40,0
135,-304,13,1,0,0,-40,0
136,-304,13,1,0,0,-40,0
137,-304,13,1,0,0,-40,0
138,-304,13,1,0,0,-40,0
139,-304,13,1,0,0,-40,0
140,-304,13,1,0,0,-40,0
141,-304,13,1,0,0,-40,0
142,-304,13,1,0,0,-40,0
143,-304,13,1,0,0,-40,0
144,-304,13,1,0,0,-40,0
145,-304,13,1,0,0,-40,0
146,-304,13,1,0,0,-40,0
147,-304,13,1,0,0,-40,0
148,-304,13,1,0,0,-40,0
149,-304,13,1,0,0,-40,0
150,-304,13,1,0,0,-40,0
151,-304,13,1,0,0,-40,0
152,-304,13,1,0,0,-40,0
153,-304,13,1,0,0,-40,0
154,-304,13,1,0,0,-40,0
155,-304,13,1,0,0,-40,0
