t,x,y,fh,fv,r,s,frame:
0,259,81,1,0,-58,-58,0
1,259,81,1,0,-58,-58,0
2,259,81,1,0,-58,-58,0
3,259,81,1,0,-58,-58,0
4,259,81,1,0,-58,-58,0
5,259,81,1,0,-58,-58,0
6,259,81,1,0,-60,-58,0
7,259,81,1,0,-62,-58,0
8,259,81,1,0,-64,-58,0
9,259,81,1,0,-66,-58,0
10,259,81,1,0,-68,-58,0
11,259,81,1,0,-70,-58,0
12,259,81,1,0,-72,-58,0
13,259,81,1,0,-70,-58,0
14,259,81,1,0,-68,-58,0
15,259,81,1,0,-66,-58,0
16,259,81,1,0,-64,-58,0
17,259,81,1,0,-62,-58,0
18,259,81,1,0,-60,-58,0
19,259,81,1,0,-58,-58,0
20,259,81,1,0,-56,-58,0
21,259,81,1,0,-54,-58,0
22,259,81,1,0,-52,-58,0
23,259,81,1,0,-50,-58,0
24,259,81,1,0,-48,-58,0
25,259,81,1,0,-48,-58,0
26,259,81,1,0,-50,-58,0
27,259,81,1,0,-52,-58,0
28,259,81,1,0,-54,-58,0
29,259,81,1,0,-56,-58,0
30,259,81,1,0,-58,-58,0
31,259,81,1,0,-60,-58,0
32,259,81,1,0,-62,-58,0
33,259,81,1,0,-62,-58,0
34,259,81,1,0,-60,-58,0
35,259,81,1,0,-58,-58,0
36,259,81,1,0,-56,-58,0
37,259,81,1,0,-54,-58,0
38,259,81,1,0,-52,-58,0
39,259,81,1,0,-50,-58,0
40,259,81,1,0,-48,-58,0
41,259,81,1,0,-46,-58,0
42,259,81,1,0,-46,-58,0
43,259,81,1,0,-46,-58,0
44,259,81,1,0,-48,-58,0
45,259,81,1,0,-50,-58,0
46,259,81,1,0,-52,-58,0
47,259,81,1,0,-54,-58,0
48,259,81,1,0,-56,-58,0
49,259,81,1,0,-58,-58,0
50,259,81,1,0,-60,-58,0
51,259,81,1,0,-62,-58,0
52,259,81,1,0,-64,-58,0
53,259,81,1,0,-66,-58,0
54,259,81,1,0,-68,-58,0
55,259,81,1,0,-70,-58,0
56,259,81,1,0,-72,-58,0
57,259,81,1,0,-72,-58,0
58,259,81,1,0,-70,-58,0
59,259,81,1,0,-68,-58,0
60,259,81,1,0,-66,-58,0
61,259,81,1,0,-64,-58,0
62,259,81,1,0,-62,-58,0
63,259,81,1,0,-60,-58,0
64,259,81,1,0,-58,-58,0
65,259,81,1,0,-56,-58,0
66,259,81,1,0,-54,-58,0
67,259,81,1,0,-52,-58,0
68,259,81,1,0,-52,-58,0
69,259,81,1,0,-52,-58,0
70,259,81,1,0,-52,-58,0
71,259,81,1,0,-52,-58,0
72,259,81,1,0,-52,-58,0
73,259,81,1,0,-52,-58,0
74,259,81,1,0,-52,-58,0
75,259,81,1,0,-52,-58,0
76,259,81,1,0,-52,-58,0
77,259,81,1,0,-52,-58,0
78,259,81,1,0,-52,-58,0
79,259,81,1,0,-52,-58,0
80,259,81,1,0,-52,-58,0
81,259,81,1,0,-52,-58,0
82,259,81,1,0,-52,-58,0
83,259,81,1,0,-52,-58,0
84,259,81,1,0,-52,-58,0
85,259,81,1,0,-52,-58,0
86,259,81,1,0,-52,-58,0
87,259,81,1,0,-52,-58,0
88,259,81,1,0,-52,-58,0
89,259,81,1,0,-52,-58,0
90,259,81,1,0,-52,-58,0
91,259,81,1,0,-52,-58,0
92,259,81,1,0,-52,-58,0
93,259,81,1,0,-52,-58,0
94,259,81,1,0,-52,-58,0
95,259,81,1,0,-52,-58,0
96,259,81,1,0,-52,-58,0
97,259,81,1,0,-52,-58,0
98,259,81,1,0,-52,-58,0
99,259,81,1,0,-52,-58,0
100,259,81,1,0,-52,-58,0
101,259,81,1,0,-52,-58,0
102,259,81,1,0,-52,-58,0
103,259,81,1,0,-52,-58,0
104,259,81,1,0,-52,-58,0
105,259,81,1,0,-52,-58,0
106,259,81,1,0,-52,-58,0
107,259,81,1,0,-52,-58,0
108,259,81,1,0,-52,-58,0
109,259,81,1,0,-52,-58,0
110,259,81,1,0,-54,-58,0
111,259,81,1,0,-56,-58,0
112,259,81,1,0,-58,-58,0
113,259,81,1,0,-60,-58,0
114,259,81,1,0,-62,-58,0
115,259,81,1,0,-64,-58,0
116,259,81,1,0,-66,-58,0
117,259,81,1,0,-68,-58,0
118,259,81,1,0,-68,-58,0
119,259,81,1,0,-66,-58,0
120,259,81,1,0,-64,-58,0
121,259,81,1,0,-62,-58,0
122,259,81,1,0,-60,-58,0
123,259,81,1,0,-58,-58,0
124,259,81,1,0,-56,-58,0
125,259,81,1,0,-54,-58,0
126,259,81,1,0,-52,-58,0
127,259,81,1,0,-52,-58,0
128,259,81,1,0,-54,-58,0
129,259,81,1,0,-56,-58,0
130,259,81,1,0,-58,-58,0
131,259,81,1,0,-60,-58,0
132,259,81,1,0,-62,-58,0
133,259,81,1,0,-64,-58,0
134,259,81,1,0,-66,-58,0
135,259,81,1,0,-68,-58,0
136,259,81,1,0,-70,-58,0
137,259,81,1,0,-68,-58,0
138,259,81,1,0,-66,-58,0
139,259,81,1,0,-64,-58,0
140,259,81,1,0,-62,-58,0
141,259,81,1,0,-60,-58,0
142,259,81,1,0,-58,-58,0
143,259,81,1,0,-56,-58,0
144,259,81,1,0,-54,-58,0
145,259,81,1,0,-52,-58,0
146,259,81,1,0,-52,-58,0
147,259,81,1,0,-52,-58,0
148,259,81,1,0,-54,-58,0
149,259,81,1,0,-56,-58,0
150,259,81,1,0,-58,-58,0
151,259,81,1,0,-60,-58,0
152,259,81,1,0,-62,-58,0
153,259,81,1,0,-64,-58,0
154,259,81,1,0,-66,-58,0
155,259,81,1,0,-66,-58,0
156,259,81,1,0,-66,-58,0
157,259,81,1,0,-66,-58,0
158,259,81,1,0,-66,-58,0
159,259,81,1,0,-66,-58,0
160,259,81,1,0,-66,-58,0
161,259,81,1,0,-66,-58,0
162,259,81,1,0,-66,-58,0
163,259,81,1,0,-66,-58,0
164,259,81,1,0,-66,-58,0
165,259,81,1,0,-66,-58,0
166,259,81,1,0,-66,-58,0
167,259,81,1,0,-66,-58,0
168,259,81,1,0,-66,-58,0
169,259,81,1,0,-66,-58,0
170,259,81,1,0,-66,-58,0
171,259,81,1,0,-66,-58,0
172,259,81,1,0,-66,-58,0
173,259,81,1,0,-66,-58,0
174,259,81,1,0,-66,-58,0
175,259,81,1,0,-66,-58,0
176,259,81,1,0,-66,-58,0
177,259,81,1,0,-66,-58,0
178,259,81,1,0,-66,-58,0
179,259,81,1,0,-66,-58,0
180,259,81,1,0,-66,-58,0
181,259,81,1,0,-66,-58,0
182,259,81,1,0,-66,-58,0
183,259,81,1,0,-66,-58,0
184,259,81,1,0,-66,-58,0
185,259,81,1,0,-66,-58,0
186,259,81,1,0,-66,-58,0
187,259,81,1,0,-66,-58,0
188,259,81,1,0,-66,-58,0
189,259,81,1,0,-66,-58,0
190,259,81,1,0,-66,-58,0
191,259,81,1,0,-66,-58,0
192,259,81,1,0,-66,-58,0
193,259,81,1,0,-66,-58,0
194,259,81,1,0,-66,-58,0
195,259,81,1,0,-66,-58,0
196,259,81,1,0,-66,-58,0
197,259,81,1,0,-66,-58,0
198,259,81,1,0,-66,-58,0
199,259,81,1,0,-66,-58,0
200,259,81,1,0,-66,-58,0
201,259,81,1,0,-66,-58,0
202,259,81,1,0,-66,-58,0
203,259,81,1,0,-66,-58,0
204,259,81,1,0,-66,-58,0
205,259,81,1,0,-66,-58,0
206,259,81,1,0,-66,-58,0
207,259,81,1,0,-66,-58,0
208,259,81,1,0,-66,-58,0
209,259,81,1,0,-66,-58,0
210,259,81,1,0,-66,-58,0
211,259,81,1,0,-66,-58,0
212,259,81,1,0,-66,-58,0
213,259,81,1,0,-66,-58,0
214,259,81,1,0,-66,-58,0
215,259,81,1,0,-66,-58,0
216,259,81,1,0,-66,-58,0
217,259,81,1,0,-66,-58,0
218,259,81,1,0,-66,-58,0
219,259,81,1,0,-66,-58,0
220,259,81,1,0,-66,-58,0
221,259,81,1,0,-66,-58,0
222,259,81,1,0,-66,-58,0
223,259,81,1,0,-66,-58,0
224,259,81,1,0,-66,-58,0
225,259,81,1,0,-66,-58,0
226,259,81,1,0,-66,-58,0
227,259,81,1,0,-66,-58,0
228,259,81,1,0,-66,-58,0
229,259,81,1,0,-66,-58,0
230,259,81,1,0,-66,-58,0
231,259,81,1,0,-66,-58,0
232,259,81,1,0,-66,-58,0
233,259,81,1,0,-66,-58,0
234,259,81,1,0,-66,-58,0
235,259,81,1,0,-66,-58,0
236,259,81,1,0,-66,-58,0
237,259,81,1,0,-66,-58,0
238,259,81,1,0,-66,-58,0
239,259,81,1,0,-66,-58,0
240,259,81,1,0,-66,-58,0
241,259,81,1,0,-66,-58,0
242,259,81,1,0,-66,-58,0
243,259,81,1,0,-66,-58,0
244,259,81,1,0,-66,-58,0
245,259,81,1,0,-66,-58,0
246,259,81,1,0,-66,-58,0
247,259,81,1,0,-66,-58,0
248,259,81,1,0,-66,-58,0
249,259,81,1,0,-66,-58,0
250,259,81,1,0,-66,-58,0
251,259,81,1,0,-66,-58,0
252,259,81,1,0,-66,-58,0
253,259,81,1,0,-66,-58,0
254,259,81,1,0,-66,-58,0
255,259,81,1,0,-66,-58,0
256,259,81,1,0,-66,-58,0
