t,x,y,fh,fv,r,s,frame:
0,345,99,1,0,0,-117,0
1,345,99,1,0,0,-117,0
2,345,99,1,0,0,-117,0
3,345,100,1,0,0,-117,0
4,345,100,1,0,0,-117,0
5,345,100,1,0,0,-117,0
6,345,100,1,0,0,-117,0
7,345,100,1,0,0,-117,0
8,345,100,1,0,0,-117,0
9,345,100,1,0,0,-117,0
10,344,100,1,0,0,-116,0
11,343,101,1,0,0,-115,0
12,340,101,1,0,0,-114,0
13,337,102,1,0,0,-113,0
14,332,103,1,0,0,-112,0
15,330,103,1,0,0,-111,0
16,328,104,1,0,0,-110,0
17,326,104,1,0,0,-109,0
18,323,105,1,0,0,-108,0
19,320,106,1,0,0,-107,0
20,318,106,1,0,0,-106,0
21,314,107,1,0,0,-105,0
22,311,108,1,0,0,-104,0
23,308,109,1,0,0,-103,0
24,305,110,1,0,0,-102,0
25,300,113,1,0,0,-101,0
26,296,115,1,0,0,-100,0
27,294,116,1,0,0,-99,0
28,292,117,1,0,0,-98,0
29,291,117,1,0,0,-97,0
30,291,118,1,0,0,-96,0
31,290,119,1,0,0,-95,0
32,287,122,1,0,0,-94,0
33,285,124,1,0,0,-93,0
34,283,126,1,0,0,-92,0
35,279,129,1,0,0,-91,0
36,278,130,1,0,0,-90,0
37,277,131,1,0,0,-89,0
38,276,132,1,0,0,-88,0
39,275,134,1,0,0,-87,0
40,273,135,1,0,0,-86,0
41,271,137,1,0,0,-85,0
42,269,139,1,0,0,-84,0
43,268,139,1,0,0,-83,0
44,268,140,1,0,0,-82,0
45,267,140,1,0,0,-81,0
46,267,140,1,0,0,-80,0
47,264,142,1,0,0,-79,0
48,263,143,1,0,0,-78,0
49,262,144,1,0,0,-77,0
50,261,145,1,0,0,-76,0
51,259,146,1,0,0,-75,0
52,258,146,1,0,0,-74,0
53,258,147,1,0,0,-73,0
54,258,147,1,0,0,-72,0
55,258,147,1,0,0,-71,0
56,257,147,1,0,0,-70,0
57,255,146,1,0,0,-69,0
58,252,145,1,0,0,-68,0
59,250,144,1,0,0,-67,0
60,248,143,1,0,0,-66,0
61,245,142,1,0,0,-66,0
62,242,141,1,0,0,-66,0
63,239,139,1,0,0,-66,0
64,234,138,1,0,0,-66,0
65,231,138,1,0,0,-66,0
66,225,137,1,0,0,-66,0
67,219,136,1,0,0,-66,0
68,215,136,1,0,0,-66,0
69,211,136,1,0,0,-66,0
70,209,136,1,0,0,-66,0
71,207,136,1,0,0,-66,0
72,206,136,1,0,0,-66,0
73,204,136,1,0,0,-66,0
74,202,136,1,0,0,-66,0
75,200,136,1,0,0,-66,0
76,198,136,1,0,0,-66,0
77,195,137,1,0,0,-66,0
78,191,138,1,0,0,-66,0
79,188,140,1,0,0,-66,0
80,184,141,1,0,0,-66,0
81,178,144,1,0,0,-66,0
82,173,147,1,0,0,-66,0
83,169,149,1,0,0,-66,0
84,166,151,1,0,0,-66,0
85,165,152,1,0,0,-66,0
86,164,152,1,0,0,-66,0
87,164,152,1,0,0,-66,0
88,163,153,1,0,0,-66,0
89,161,153,1,0,0,-66,0
90,160,153,1,0,0,-66,0
91,160,153,1,0,0,-66,0
92,159,153,1,0,0,-66,0
93,157,153,1,0,0,-66,0
94,155,152,1,0,0,-66,0
95,153,151,1,0,0,-66,0
96,151,150,1,0,0,-66,0
97,150,148,1,0,0,-66,0
98,149,147,1,0,0,-66,0
99,149,147,1,0,0,-66,0
100,149,147,1,0,0,-66,0
101,148,147,1,0,0,-66,0
102,147,146,1,0,0,-66,0
103,146,145,1,0,0,-66,0
104,145,145,1,0,0,-66,0
105,144,144,1,0,0,-66,0
106,144,144,1,0,0,-66,0
107,143,144,1,0,0,-66,0
108,143,144,1,0,0,-66,0
109,143,144,1,0,0,-66,0
110,142,144,1,0,0,-66,0
111,140,144,1,0,0,-66,0
112,139,144,1,0,0,-66,0
113,138,144,1,0,0,-66,0
114,138,144,1,0,0,-66,0
115,137,144,1,0,0,-66,0
116,135,146,1,0,0,-66,0
117,134,147,1,0,0,-66,0
118,131,149,1,0,0,-66,0
119,129,151,1,0,0,-66,0
120,127,153,1,0,0,-66,0
121,126,153,1,0,0,-66,0
122,126,153,1,0,0,-66,0
123,126,153,1,0,0,-66,0
124,126,153,1,0,0,-66,0
125,126,153,1,0,0,-66,0
126,126,153,1,0,0,-66,0
127,126,153,1,0,0,-66,0
128,126,153,1,0,0,-66,0
129,126,153,1,0,0,-66,0
130,126,153,1,0,0,-66,0
131,126,153,1,0,0,-66,0
132,126,153,1,0,0,-66,0
133,126,153,1,0,0,-66,0
134,126,153,1,0,0,-66,0
135,126,153,1,0,0,-66,0
136,126,153,1,0,0,-66,0
137,126,153,1,0,0,-66,0
138,126,153,1,0,0,-66,0
139,126,153,1,0,0,-66,0
140,126,153,1,0,0,-66,0
141,126,153,1,0,0,-66,0
142,126,153,1,0,0,-66,0
143,126,153,1,0,0,-66,0
144,126,153,1,0,0,-66,0
145,126,153,1,0,0,-66,0
146,126,153,1,0,0,-66,0
147,126,153,1,0,0,-66,0
148,126,153,1,0,0,-66,0
149,126,153,1,0,0,-66,0
150,126,153,1,0,0,-66,0
151,126,153,1,0,0,-66,0
152,126,153,1,0,0,-66,0
153,126,153,1,0,0,-66,0
154,126,153,1,0,0,-66,0
155,126,153,1,0,0,-66,0
156,126,153,1,0,0,-66,0
157,126,153,1,0,0,-66,0
158,126,153,1,0,0,-66,0
159,126,153,1,0,0,-66,0
160,126,153,1,0,0,-66,0
161,126,153,0,0,0,-66,0
162,126,153,0,0,0,-66,0
163,126,153,0,0,0,-66,0
164,126,153,0,0,0,-66,0
165,126,153,0,0,0,-66,0
166,126,153,0,0,0,-66,0
167,126,153,0,0,0,-66,0
168,126,153,0,0,0,-66,0
169,126,153,0,0,0,-66,0
170,126,153,0,0,0,-66,0
171,126,153,0,0,0,-66,0
172,126,153,0,0,0,-66,0
173,126,153,0,0,0,-66,0
174,126,153,0,0,0,-66,0
175,126,153,0,0,0,-66,0
176,126,153,0,0,0,-66,0
177,126,153,0,0,0,-66,0
