t,x,y,fh,fv,r,s,frame:
0,2,155,0,0,0,-74,0
1,2,155,0,0,0,-74,0
2,2,155,0,0,0,-74,0
3,2,155,0,0,0,-74,0
4,2,155,0,0,0,-74,0
5,2,155,0,0,0,-74,0
6,2,155,0,0,0,-74,0
7,2,155,0,0,0,-74,0
8,2,155,0,0,0,-74,0
9,2,155,0,0,0,-74,0
10,2,155,0,0,0,-74,0
11,2,155,0,0,0,-74,0
12,2,155,0,0,0,-74,0
13,2,155,0,0,0,-74,0
14,2,155,0,0,0,-74,0
15,2,155,0,0,0,-74,0
16,2,155,0,0,0,-74,0
17,2,155,0,0,0,-74,0
18,2,155,0,0,0,-74,0
19,2,155,0,0,0,-74,0
20,2,155,0,0,0,-74,0
21,2,155,0,0,0,-74,0
22,2,155,0,0,0,-74,0
23,2,155,0,0,0,-74,0
24,2,155,0,0,0,-74,0
25,2,155,0,0,0,-74,0
26,2,155,0,0,0,-74,0
27,2,155,0,0,0,-74,0
28,2,155,0,0,0,-74,0
29,2,155,0,0,0,-74,0
30,2,155,0,0,0,-74,0
31,2,155,0,0,0,-74,0
32,2,155,0,0,0,-74,0
33,2,155,0,0,0,-74,0
34,2,155,0,0,0,-74,0
35,2,155,0,0,0,-74,0
36,2,155,0,0,0,-74,0
37,2,155,0,0,0,-74,0
38,2,155,0,0,0,-74,0
39,2,155,0,0,0,-74,0
40,2,155,0,0,0,-74,0
41,2,155,0,0,0,-74,0
42,2,155,0,0,0,-74,0
43,2,155,0,0,0,-74,0
44,2,155,0,0,0,-74,0
45,2,155,0,0,0,-74,0
46,2,155,0,0,0,-74,0
47,2,155,0,0,0,-74,0
48,2,155,0,0,0,-74,0
49,2,155,0,0,0,-74,0
50,2,155,0,0,0,-74,0
51,2,155,0,0,0,-74,0
52,2,155,0,0,0,-74,0
53,2,155,0,0,0,-74,0
54,2,155,0,0,0,-74,0
55,2,155,0,0,0,-74,0
56,2,155,0,0,0,-74,0
57,2,155,0,0,0,-74,0
58,2,155,0,0,0,-74,0
59,2,155,0,0,0,-74,0
60,2,155,0,0,0,-74,0
61,2,155,0,0,0,-74,0
62,2,155,0,0,0,-74,0
63,2,155,0,0,0,-74,0
64,2,155,0,0,0,-74,0
65,2,155,0,0,0,-74,0
66,2,155,0,0,0,-74,0
67,2,155,0,0,0,-74,0
68,2,155,0,0,1,-74,0
69,2,155,0,0,2,-74,0
70,2,155,0,0,3,-74,0
71,2,155,0,0,4,-74,0
72,2,155,0,0,5,-74,0
73,2,155,0,0,6,-74,0
74,2,155,0,0,5,-74,0
75,2,155,0,0,4,-74,0
76,2,155,0,0,3,-74,0
77,2,155,0,0,2,-74,0
78,2,155,0,0,1,-74,0
79,2,155,0,0,1,-74,0
80,2,155,0,0,2,-74,0
81,2,155,0,0,3,-74,0
82,2,155,0,0,4,-74,0
83,2,155,0,0,5,-74,0
84,2,155,0,0,6,-74,0
85,2,155,0,0,7,-74,0
86,2,155,0,0,8,-74,0
87,2,155,0,0,7,-74,0
88,2,155,0,0,6,-74,0
89,2,155,0,0,5,-74,0
90,2,155,0,0,4,-74,0
91,2,155,0,0,3,-74,0
92,2,155,0,0,3,-74,0
93,2,155,0,0,3,-74,0
94,2,155,0,0,3,-74,0
95,2,155,0,0,3,-74,0
96,2,155,0,0,2,-74,0
97,2,155,0,0,1,-74,0
98,2,155,0,0,0,-74,0
99,2,155,0,0,0,-74,0
100,2,155,0,0,0,-74,0
101,4,76,0,0,0,-23,0
102,4,76,0,0,0,-23,0
103,4,76,0,0,0,-23,0
104,4,76,0,0,1,-23,0
105,4,76,0,0,2,-23,0
106,4,76,0,0,3,-23,0
107,4,76,0,0,4,-23,0
108,4,76,0,0,5,-23,0
109,4,76,0,0,6,-23,0
110,4,76,0,0,7,-23,0
111,4,76,0,0,8,-23,0
112,4,76,0,0,7,-23,0
113,4,76,0,0,6,-23,0
114,4,76,0,0,5,-23,0
115,4,76,0,0,4,-23,0
116,4,76,0,0,3,-23,0
117,4,76,0,0,2,-23,0
118,4,76,0,0,3,-23,0
119,4,76,0,0,4,-23,0
120,4,76,0,0,5,-23,0
121,4,76,0,0,6,-23,0
122,4,76,0,0,7,-23,0
123,4,76,0,0,8,-23,0
124,4,76,0,0,9,-23,0
125,4,76,0,0,8,-23,0
126,4,76,0,0,7,-23,0
127,4,76,0,0,6,-23,0
128,4,76,0,0,5,-23,0
129,4,76,0,0,4,-23,0
130,4,76,0,0,4,-23,0
131,4,76,0,0,5,-23,0
132,4,76,0,0,6,-23,0
133,4,76,0,0,7,-23,0
134,4,76,0,0,8,-23,0
135,4,76,0,0,8,-23,0
136,4,76,0,0,8,-23,0
137,4,76,0,0,7,-23,0
138,4,76,0,0,6,-23,0
139,4,76,0,0,5,-23,0
140,4,76,0,0,4,-23,0
141,4,76,0,0,3,-23,0
142,4,76,0,0,3,-23,0
143,4,76,0,0,3,-23,0
144,4,76,0,0,3,-23,0
145,4,76,0,0,3,-23,0
146,4,76,0,0,2,-23,0
147,4,76,0,0,1,-23,0
148,4,76,0,0,0,-23,0
149,4,76,0,0,-1,-23,0
150,4,76,0,0,-2,-23,0
151,4,76,0,0,-3,-23,0
152,4,76,0,0,-4,-23,0
153,4,76,0,0,-4,-23,0
154,4,76,0,0,-4,-23,0
155,4,76,0,0,-4,-23,0
156,4,76,0,0,-4,-23,0
157,4,76,0,0,-4,-23,0
158,4,76,0,0,-4,-23,0
159,4,76,0,0,-4,-23,0
160,4,76,0,0,-4,-23,0
161,4,76,0,0,-4,-23,0
162,4,76,0,0,-4,-23,0
163,4,76,0,0,-4,-23,0
164,4,76,0,0,-4,-23,0
165,4,76,0,0,-4,-23,0
166,4,76,0,0,-4,-23,0
167,4,76,0,0,-4,-23,0
168,4,76,0,0,-4,-23,0
169,4,76,0,0,-4,-23,0
170,4,76,0,0,-4,-23,0
171,4,76,0,0,-4,-23,0
172,4,76,0,0,-4,-23,0
173,4,76,0,0,-4,-23,0
174,4,76,0,0,-4,-23,0
175,4,76,0,0,-4,-23,0
176,6,7,0,0,-4,4,0
177,6,7,0,0,-4,4,0
178,6,7,0,0,-4,4,0
179,6,7,0,0,-3,4,0
180,6,7,0,0,-2,4,0
181,6,7,0,0,-1,4,0
182,6,7,0,0,0,4,0
183,6,7,0,0,1,4,0
184,6,7,0,0,2,4,0
185,6,7,0,0,3,4,0
186,6,7,0,0,4,4,0
187,6,7,0,0,3,4,0
188,6,7,0,0,2,4,0
189,6,7,0,0,1,4,0
190,6,7,0,0,0,4,0
191,6,7,0,0,-1,4,0
192,6,7,0,0,-2,4,0
193,6,7,0,0,-3,4,0
194,6,7,0,0,-3,4,0
195,6,7,0,0,-2,4,0
196,6,7,0,0,-1,4,0
197,6,7,0,0,0,4,0
198,6,7,0,0,1,4,0
199,6,7,0,0,2,4,0
200,6,7,0,0,3,4,0
201,6,7,0,0,4,4,0
202,6,7,0,0,4,4,0
203,6,7,0,0,3,4,0
204,6,7,0,0,2,4,0
205,6,7,0,0,1,4,0
206,6,7,0,0,0,4,0
207,6,7,0,0,-1,4,0
208,6,7,0,0,-2,4,0
209,6,7,0,0,-2,4,0
210,6,7,0,0,-2,4,0
211,6,7,0,0,-2,4,0
212,6,7,0,0,-2,4,0
213,6,7,0,0,-2,4,0
214,6,7,0,0,-2,4,0
215,6,7,0,0,-2,4,0
216,6,7,0,0,-2,4,0
217,6,7,0,0,-2,4,0
218,6,7,0,0,-2,4,0
219,6,7,0,0,-2,4,0
220,6,7,0,0,-2,4,0
221,6,7,0,0,-2,4,0
222,6,7,0,0,-2,4,0
223,6,7,0,0,-2,4,0
224,6,7,0,0,-2,4,0
225,6,7,0,0,-2,4,0
226,6,7,0,0,-2,4,0
227,6,7,0,0,-2,4,0
228,6,7,0,0,-2,4,0
229,6,7,0,0,-2,4,0
230,6,7,0,0,-2,4,0
231,6,7,0,0,-2,4,0
232,6,7,0,0,-2,4,0
233,6,7,0,0,-2,4,0
234,6,7,0,0,-2,4,0
235,6,7,0,0,-2,4,0
236,6,7,0,0,-2,4,0
237,6,7,0,0,-2,4,0
238,6,7,0,0,-2,4,0
239,6,7,0,0,-2,4,0
240,6,7,0,0,-2,4,0
241,6,7,0,0,-2,4,0
242,6,7,0,0,-2,4,0
243,6,7,0,0,-2,4,0
244,6,7,0,0,-2,4,0
245,6,7,0,0,-2,4,0
246,6,7,0,0,-2,4,0
247,6,7,0,0,-2,4,0
248,6,7,0,0,-2,4,0
249,6,7,0,0,-2,4,0
250,6,7,0,0,-2,4,0
251,6,7,0,0,-2,4,0
252,6,7,0,0,-2,4,0
253,6,7,0,0,-2,4,0
254,6,7,0,0,-2,4,0
255,6,7,0,0,-2,4,0
256,6,7,0,0,-2,4,0
257,6,7,0,0,-2,4,0
258,6,7,0,0,-2,4,0
259,6,7,0,0,-2,4,0
260,6,7,0,0,-2,4,0
261,6,7,0,0,-2,4,0
262,6,7,0,0,-2,4,0
263,6,7,0,0,-2,4,0
264,6,7,0,0,-2,4,0
265,6,7,0,0,-2,4,0
266,6,7,0,0,-2,4,0
267,6,7,0,0,-2,4,0
268,6,7,0,0,-2,4,0
269,6,7,0,0,-2,4,0
270,6,7,0,0,-2,4,0
271,6,7,0,0,-2,4,0
272,6,7,0,0,-2,4,0
273,6,7,0,0,-2,4,0
274,6,7,0,0,-2,4,0
275,6,7,0,0,-2,4,0
276,6,7,0,0,-2,4,0
277,6,7,0,0,-2,4,0
278,6,7,0,0,-2,4,0
279,6,7,0,0,-2,4,0
280,6,7,0,0,-2,4,0
281,6,7,0,0,-2,4,0
282,6,7,0,0,-2,4,0
283,6,7,0,0,-2,4,0
284,6,7,0,0,-2,4,0
285,6,7,0,0,-2,4,0
286,6,7,0,0,-2,4,0
287,6,7,0,0,-2,4,0
288,6,7,0,0,-2,4,0
289,6,7,0,0,-2,4,0
290,6,7,0,0,-2,4,0
291,6,7,0,0,-2,4,0
292,6,7,0,0,-2,4,0
293,6,7,0,0,-2,4,0
294,6,7,0,0,-2,4,0
295,6,7,0,0,-2,4,0
296,6,7,0,0,-2,4,0
297,6,7,0,0,-2,4,0
298,6,7,0,0,-2,4,0
299,6,7,0,0,-2,4,0
300,6,7,0,0,-2,4,0
301,6,7,0,0,-2,4,0
302,6,7,0,0,-2,4,0
303,6,7,0,0,-2,4,0
304,6,7,0,0,-2,4,0
305,6,7,0,0,-2,4,0
