t,x,y,fh,fv,r,s,frame:
0,1,9,0,0,0,0,0
1,1,9,0,0,0,0,0
2,1,9,0,0,0,0,0
3,1,9,0,0,0,0,0
4,1,9,0,0,0,0,0
5,1,9,0,0,0,0,0
6,1,9,0,0,0,0,0
7,1,9,0,0,0,0,0
8,1,9,0,0,0,0,0
9,1,9,0,0,0,0,0
10,1,9,0,0,0,0,0
11,1,9,0,0,0,0,0
12,1,9,0,0,0,0,0
13,1,9,0,0,0,0,0
14,1,9,0,0,0,0,0
15,1,9,0,0,0,0,0
16,1,9,0,0,0,0,0
17,1,9,0,0,0,0,0
18,1,9,0,0,0,0,0
19,1,9,0,0,0,0,0
20,1,9,0,0,0,0,0
21,1,9,0,0,0,0,0
22,1,9,0,0,0,0,0
23,1,9,0,0,0,0,0
24,1,9,0,0,0,0,0
25,1,9,0,0,0,0,0
26,1,9,0,0,0,0,0
27,1,9,0,0,0,0,0
28,1,9,0,0,0,0,0
29,1,9,0,0,0,0,0
30,1,9,0,0,0,0,0
31,1,9,0,0,0,0,0
32,1,9,0,0,0,0,0
33,1,9,0,0,0,0,0
34,1,11,0,0,0,0,0
35,1,12,0,0,0,0,0
36,1,12,0,0,0,0,0
37,1,12,0,0,0,0,0
38,1,12,0,0,0,0,0
39,1,12,0,0,0,0,0
40,1,12,0,0,0,0,0
41,1,12,0,0,0,0,0
42,1,12,0,0,0,0,0
43,1,12,0,0,0,0,0
44,1,12,0,0,0,0,0
45,1,12,0,0,0,0,0
46,1,11,0,0,0,0,0
47,1,11,0,0,0,0,0
48,1,9,0,0,0,0,0
49,1,8,0,0,0,0,0
50,1,8,0,0,0,0,0
51,1,8,0,0,0,0,0
52,1,8,0,0,0,0,0
53,1,8,0,0,0,0,0
54,1,9,0,0,0,0,0
55,1,12,0,0,0,0,0
56,1,15,0,0,0,0,0
57,1,18,0,0,0,0,0
58,1,19,0,0,0,0,0
59,1,19,0,0,0,0,0
60,1,19,0,0,0,0,0
61,1,19,0,0,0,0,0
62,1,17,0,0,0,0,0
63,1,15,0,0,0,0,0
64,1,14,0,0,0,0,0
65,1,12,0,0,0,0,0
66,1,10,0,0,0,0,0
67,1,10,0,0,0,0,0
68,1,9,0,0,0,0,0
69,1,9,0,0,0,0,0
70,1,10,0,0,0,0,0
71,1,13,0,0,0,0,0
72,2,15,0,0,0,0,0
73,2,16,0,0,0,0,0
74,2,16,0,0,0,0,0
75,2,16,0,0,0,0,0
76,2,16,0,0,0,0,0
77,2,16,0,0,0,0,0
78,2,16,0,0,0,0,0
79,2,16,0,0,0,0,0
80,2,16,0,0,0,0,0
81,2,16,0,0,0,0,0
82,2,16,0,0,0,0,0
83,2,16,0,0,0,0,0
84,1,9,0,0,0,0,0
85,1,9,0,0,0,0,0
86,1,11,0,0,0,0,0
87,1,13,0,0,0,0,0
88,1,14,0,0,0,0,0
89,1,15,0,0,0,0,0
90,1,15,0,0,0,0,0
91,2,15,0,0,0,0,0
92,2,16,0,0,0,0,0
93,2,17,0,0,0,0,0
94,2,18,0,0,0,0,0
95,2,18,0,0,0,0,0
96,2,18,0,0,0,0,0
97,2,18,0,0,0,0,0
98,2,18,0,0,0,0,0
99,3,18,0,0,0,0,0
100,3,17,0,0,0,0,0
101,3,15,0,0,0,0,0
102,3,15,0,0,0,0,0
103,3,14,0,0,0,0,0
104,4,14,0,0,0,0,0
105,4,14,0,0,0,0,0
106,4,14,0,0,0,0,0
107,4,15,0,0,0,0,0
108,4,17,0,0,0,0,0
109,4,19,0,0,0,0,0
110,4,19,0,0,0,0,0
111,4,19,0,0,0,0,0
112,4,19,0,0,0,0,0
113,4,19,0,0,0,0,0
114,4,19,0,0,0,0,0
115,4,19,0,0,0,0,0
116,4,19,0,0,0,0,0
117,5,19,0,0,0,0,0
118,5,17,0,0,0,0,0
119,5,16,0,0,0,0,0
120,6,15,0,0,0,0,0
121,6,15,0,0,0,0,0
122,6,15,0,0,0,0,0
123,6,15,0,0,0,0,0
124,6,17,0,0,0,0,0
125,6,22,0,0,0,0,0
126,6,23,0,0,0,0,0
127,6,25,0,0,0,0,0
128,6,26,0,0,0,0,0
129,6,26,0,0,0,0,0
130,6,26,0,0,0,0,0
131,6,26,0,0,0,0,0
132,6,26,0,0,0,0,0
133,6,26,0,0,0,0,0
134,6,26,0,0,0,0,0
135,6,26,0,0,0,0,0
136,3,14,1,0,0,0,0
137,3,14,1,0,0,0,0
138,3,14,1,0,0,0,0
139,3,15,1,0,0,0,0
140,3,15,1,0,0,0,0
141,4,16,1,0,0,0,0
142,4,18,1,0,0,0,0
143,4,19,1,0,0,0,0
144,4,20,1,0,0,0,0
145,4,20,1,0,0,0,0
146,4,20,1,0,0,0,0
147,4,20,1,0,0,0,0
148,4,20,1,0,0,0,0
149,4,20,1,0,0,0,0
150,4,19,1,0,0,0,0
151,4,18,1,0,0,0,0
152,5,16,1,0,0,0,0
153,5,15,1,0,0,0,0
154,5,15,1,0,0,0,0
155,5,15,1,0,0,0,0
156,5,15,1,0,0,0,0
157,5,15,1,0,0,0,0
158,5,15,1,0,0,0,0
159,5,16,1,0,0,0,0
160,5,17,1,0,0,0,0
161,5,17,1,0,0,0,0
162,5,18,1,0,0,0,0
163,5,18,1,0,0,0,0
164,5,18,1,0,0,0,0
165,5,18,1,0,0,0,0
166,5,18,1,0,0,0,0
167,5,18,1,0,0,0,0
168,5,18,1,0,0,0,0
169,5,18,1,0,0,0,0
170,5,17,1,0,0,0,0
171,5,16,1,0,0,0,0
172,5,15,1,0,0,0,0
173,5,15,1,0,0,0,0
174,5,15,1,0,0,0,0
175,5,16,1,0,0,0,0
176,5,18,1,0,0,0,0
177,5,20,1,0,0,0,0
178,5,20,1,0,0,0,0
179,5,20,1,0,0,0,0
180,5,20,1,0,0,0,0
181,5,20,1,0,0,0,0
182,5,20,1,0,0,0,0
183,5,20,1,0,0,0,0
184,5,20,1,0,0,0,0
185,5,20,1,0,0,0,0
186,5,20,1,0,0,0,0
187,5,20,1,0,0,0,0
188,5,20,1,0,0,0,0
189,5,20,1,0,0,0,0
190,3,15,1,0,0,0,0
191,3,15,1,0,0,0,0
192,3,15,1,0,0,0,0
193,3,15,1,0,0,0,0
194,3,16,1,0,0,0,0
195,4,16,1,0,0,0,0
196,4,18,1,0,0,0,0
197,4,18,1,0,0,0,0
198,4,19,1,0,0,0,0
199,4,19,1,0,0,0,0
200,5,19,1,0,0,0,0
201,5,20,1,0,0,0,0
202,5,20,1,0,0,0,0
203,5,20,1,0,0,0,0
204,5,20,1,0,0,0,0
205,5,20,1,0,0,0,0
206,5,20,1,0,0,0,0
207,5,20,1,0,0,0,0
208,5,19,1,0,0,0,0
209,5,19,1,0,0,0,0
210,5,18,1,0,0,0,0
211,5,18,1,0,0,0,0
212,5,18,1,0,0,0,0
213,5,18,1,0,0,0,0
214,5,18,1,0,0,0,0
215,5,18,1,0,0,0,0
216,5,19,1,0,0,0,0
217,5,20,1,0,0,0,0
218,5,21,1,0,0,0,0
219,5,22,1,0,0,0,0
220,5,23,1,0,0,0,0
221,5,23,1,0,0,0,0
222,5,23,1,0,0,0,0
223,5,23,1,0,0,0,0
224,5,23,1,0,0,0,0
225,5,23,1,0,0,0,0
226,5,22,1,0,0,0,0
227,5,21,1,0,0,0,0
228,5,19,1,0,0,0,0
229,6,18,1,0,0,0,0
230,6,17,1,0,0,0,0
231,6,16,1,0,0,0,0
232,6,16,1,0,0,0,0
233,6,17,1,0,0,0,0
234,6,20,1,0,0,0,0
235,6,21,1,0,0,0,0
236,6,24,1,0,0,0,0
237,6,25,1,0,0,0,0
238,6,26,1,0,0,0,0
239,6,27,1,0,0,0,0
240,6,27,1,0,0,0,0
241,6,27,1,0,0,0,0
242,6,27,1,0,0,0,0
243,6,27,1,0,0,0,0
244,6,26,1,0,0,0,0
245,6,24,1,0,0,0,0
246,6,22,1,0,0,0,0
247,6,21,1,0,0,0,0
248,6,20,1,0,0,0,0
249,6,20,1,0,0,0,0
250,6,20,1,0,0,0,0
251,6,20,1,0,0,0,0
252,6,23,1,0,0,0,0
253,6,24,1,0,0,0,0
254,6,25,1,0,0,0,0
255,6,25,1,0,0,0,0
256,6,25,1,0,0,0,0
257,6,25,1,0,0,0,0
258,6,25,1,0,0,0,0
259,6,25,1,0,0,0,0
260,6,25,1,0,0,0,0
261,6,25,1,0,0,0,0
262,6,25,1,0,0,0,0
263,2,15,0,0,0,0,0
264,2,15,0,0,0,0,0
265,2,15,0,0,0,0,0
266,2,15,0,0,0,0,0
267,2,15,0,0,0,0,0
268,2,15,0,0,0,0,0
269,2,15,0,0,0,0,0
270,2,15,0,0,0,0,0
271,2,15,0,0,0,0,0
272,2,15,0,0,0,0,0
273,2,15,0,0,0,0,0
274,2,15,0,0,0,0,0
275,2,15,0,0,0,0,0
276,2,15,0,0,0,0,0
277,2,15,0,0,0,0,0
278,2,15,0,0,0,0,0
279,2,15,0,0,0,0,0
280,2,15,0,0,0,0,0
281,2,15,0,0,0,0,0
282,2,15,0,0,0,0,0
283,2,15,0,0,0,0,0
284,2,15,0,0,0,0,0
285,2,15,0,0,0,0,0
286,2,15,0,0,0,0,0
287,2,15,0,0,0,0,0
288,2,15,0,0,0,0,0
289,2,15,0,0,0,0,0
290,2,15,0,0,0,0,0
291,2,15,0,0,0,0,0
292,2,15,0,0,0,0,0
293,2,15,0,0,0,0,0
294,2,15,0,0,0,0,0
295,2,15,0,0,0,0,0
296,2,15,0,0,0,0,0
297,2,15,0,0,0,0,0
298,2,15,0,0,0,0,0
299,2,15,0,0,0,0,0
300,2,15,0,0,0,0,0
301,2,15,0,0,0,0,0
302,2,15,0,0,0,0,0
303,2,15,0,0,0,0,0
304,2,15,0,0,0,0,0
305,2,15,0,0,0,0,0
306,2,15,0,0,0,0,0
307,2,15,0,0,0,0,0
308,2,15,0,0,0,0,0
309,2,15,0,0,0,0,0
310,2,15,0,0,0,0,0
311,2,15,0,0,0,0,0
312,2,15,0,0,0,0,0
313,2,15,0,0,0,0,0
314,2,15,0,0,0,0,0
315,2,15,0,0,0,0,0
316,2,15,0,0,0,0,0
317,2,15,0,0,0,0,0
318,2,15,0,0,0,0,0
319,2,15,0,0,0,0,0
320,2,15,0,0,0,0,0
321,2,15,0,0,0,0,0
322,2,15,0,0,0,0,0
323,2,15,0,0,0,0,0
324,2,15,0,0,0,0,0
325,2,15,0,0,0,0,0
326,2,15,0,0,0,0,0
327,2,15,0,0,0,0,0
328,2,15,0,0,0,0,0
329,2,15,0,0,0,0,0
330,2,15,0,0,0,0,0
331,2,15,0,0,0,0,0
332,2,15,0,0,0,0,0
333,2,15,0,0,0,0,0
334,2,15,0,0,0,0,0
335,2,15,0,0,0,0,0
336,2,15,0,0,0,0,0
337,2,15,0,0,0,0,0
338,2,15,0,0,0,0,0
339,2,15,0,0,0,0,0
340,2,15,0,0,0,0,0
341,2,15,0,0,0,0,0
342,2,15,0,0,0,0,0
343,2,15,0,0,0,0,0
344,2,15,0,0,0,0,0
345,2,15,0,0,0,0,0
346,2,15,0,0,0,0,0
347,2,15,0,0,0,0,0
348,2,15,0,0,0,0,0
