t,x,y,fh,fv,r,s,frame:
0,508,15,0,0,0,-48,0
1,508,15,0,0,0,-48,0
2,508,15,0,0,0,-48,0
3,508,15,0,0,0,-48,0
4,508,15,0,0,0,-48,0
5,508,15,0,0,0,-48,0
6,508,15,0,0,0,-48,0
7,508,15,0,0,0,-48,0
8,508,15,0,0,0,-48,0
9,508,15,0,0,0,-48,0
10,508,15,0,0,0,-48,0
11,508,15,0,0,0,-48,0
12,508,15,0,0,0,-48,0
13,508,15,0,0,0,-48,0
14,508,15,0,0,0,-48,0
15,508,15,0,0,0,-48,0
16,508,15,0,0,0,-48,0
17,508,15,0,0,0,-48,0
18,508,15,0,0,0,-48,0
19,508,15,0,0,0,-48,0
20,508,15,0,0,0,-48,0
21,508,15,0,0,0,-48,0
22,508,15,0,0,0,-48,0
23,508,15,0,0,0,-48,0
24,508,15,0,0,0,-48,0
25,508,15,0,0,0,-48,0
26,508,15,0,0,0,-48,0
27,508,15,0,0,0,-48,0
28,508,15,0,0,0,-48,0
29,508,15,0,0,0,-48,0
30,508,15,0,0,0,-48,0
31,508,15,0,0,0,-48,0
32,508,15,0,0,0,-48,0
33,508,15,0,0,0,-48,0
34,508,15,0,0,0,-48,0
35,508,15,0,0,0,-48,0
36,508,15,0,0,0,-48,0
37,508,15,0,0,0,-48,0
38,508,15,0,0,0,-48,0
39,508,15,0,0,0,-48,0
40,508,15,0,0,0,-48,0
41,508,15,0,0,0,-48,0
42,508,15,0,0,0,-48,0
43,508,15,0,0,0,-48,0
44,508,15,0,0,0,-48,0
45,508,15,0,0,0,-48,0
46,508,15,0,0,0,-48,0
47,508,15,0,0,0,-48,0
48,508,15,0,0,0,-48,0
49,508,15,0,0,0,-48,0
50,508,15,0,0,0,-48,0
51,508,15,0,0,0,-48,0
52,508,15,0,0,0,-48,0
53,508,15,0,0,0,-48,0
54,508,15,0,0,0,-48,0
55,508,15,0,0,0,-48,0
56,508,15,0,0,0,-48,0
57,508,15,0,0,0,-48,0
58,508,15,0,0,0,-48,0
59,508,15,0,0,0,-48,0
60,508,15,0,0,0,-48,0
61,508,15,0,0,0,-48,0
62,508,15,0,0,0,-48,0
63,508,15,0,0,0,-48,0
64,508,15,0,0,0,-48,0
65,508,15,0,0,0,-48,0
66,508,15,0,0,0,-48,0
67,508,15,0,0,0,-48,0
68,508,15,0,0,0,-48,0
69,508,15,0,0,0,-48,0
70,508,15,0,0,0,-48,0
71,508,15,0,0,0,-48,0
72,508,15,0,0,0,-48,0
73,508,15,0,0,0,-48,0
74,508,15,0,0,0,-48,0
75,508,15,0,0,0,-48,0
76,508,15,0,0,0,-48,0
77,508,15,0,0,0,-48,0
78,508,15,0,0,0,-48,0
79,508,15,0,0,0,-48,0
80,508,15,0,0,0,-48,0
81,508,15,0,0,0,-48,0
82,508,15,0,0,0,-48,0
83,508,15,0,0,0,-48,0
84,508,15,0,0,0,-48,0
85,508,15,0,0,0,-48,0
86,508,15,0,0,0,-48,0
87,508,15,0,0,0,-48,0
88,508,15,0,0,0,-48,0
89,508,15,0,0,0,-48,0
90,508,15,0,0,0,-48,0
91,508,15,0,0,0,-48,0
92,508,15,0,0,0,-48,0
93,508,15,0,0,0,-48,0
94,508,15,0,0,0,-48,0
95,508,15,0,0,0,-48,0
96,508,15,0,0,0,-48,0
97,508,15,0,0,0,-48,0
98,508,15,0,0,0,-48,0
99,508,15,0,0,0,-48,0
100,508,15,0,0,0,-48,0
101,508,15,0,0,0,-48,0
102,508,15,0,0,0,-48,0
103,508,15,0,0,0,-48,0
104,508,15,0,0,0,-48,0
105,508,15,0,0,0,-48,0
106,508,15,0,0,0,-48,0
107,508,15,0,0,0,-48,0
108,508,15,0,0,0,-48,0
109,508,15,0,0,0,-48,0
110,508,15,0,0,0,-48,0
111,508,15,0,0,0,-48,0
112,508,15,0,0,0,-48,0
113,508,15,0,0,0,-48,0
114,508,15,0,0,0,-48,0
115,508,15,0,0,0,-48,0
116,508,15,0,0,0,-48,0
117,508,15,0,0,0,-48,0
118,508,15,0,0,0,-48,0
119,508,15,0,0,0,-48,0
120,508,15,0,0,0,-48,0
121,508,15,0,0,0,-48,0
122,508,15,0,0,0,-48,0
123,508,15,0,0,0,-48,0
124,508,15,0,0,0,-48,0
125,508,15,0,0,0,-48,0
126,508,15,0,0,0,-48,0
127,508,15,0,0,0,-48,0
128,508,15,0,0,0,-48,0
129,508,15,0,0,0,-48,0
130,508,15,0,0,0,-48,0
131,508,15,0,0,0,-48,0
132,508,15,0,0,0,-48,0
133,508,15,0,0,0,-48,0
134,508,15,0,0,0,-48,0
135,508,15,0,0,0,-48,0
136,508,15,0,0,0,-48,0
137,508,15,0,0,0,-48,0
138,508,15,0,0,0,-48,0
139,508,15,0,0,0,-48,0
140,508,15,0,0,0,-48,0
141,508,15,0,0,0,-48,0
142,508,15,0,0,0,-48,0
143,508,15,0,0,0,-48,0
144,508,15,0,0,0,-48,0
145,508,15,0,0,0,-48,0
146,508,15,0,0,0,-48,0
147,508,15,0,0,0,-48,0
148,508,15,0,0,0,-48,0
149,508,15,0,0,0,-48,0
150,508,15,0,0,0,-48,0
151,508,15,0,0,0,-48,0
152,508,15,0,0,0,-48,0
153,508,15,0,0,0,-48,0
154,508,15,0,0,0,-48,0
155,508,15,0,0,0,-48,0
156,508,15,0,0,0,-48,0
157,508,15,0,0,0,-48,0
158,508,15,0,0,0,-48,0
