t,x,y,fh,fv,r,s,frame:
0,217,-13,0,0,0,-25,0
1,217,-13,0,0,0,-25,0
2,217,-13,0,0,0,-25,0
3,217,-13,0,0,0,-25,0
4,217,-13,0,0,0,-25,0
5,217,-13,0,0,0,-25,0
6,218,-13,0,0,0,-25,0
7,219,-13,0,0,0,-25,0
8,220,-16,0,0,0,-25,0
9,223,-18,0,0,0,-25,0
10,224,-21,0,0,0,-25,0
11,225,-23,0,0,0,-25,0
12,226,-27,0,0,0,-25,0
13,226,-29,0,0,0,-25,0
14,226,-33,0,0,0,-25,0
15,226,-34,0,0,0,-25,0
16,226,-35,0,0,0,-25,0
17,226,-35,0,0,0,-25,0
18,226,-37,0,0,0,-25,0
19,226,-38,0,0,0,-25,0
20,225,-39,0,0,0,-25,0
21,225,-39,0,0,0,-25,0
22,225,-39,0,0,0,-25,0
23,225,-39,0,0,0,-25,0
24,225,-39,0,0,0,-25,0
25,223,-39,0,0,0,-25,0
26,222,-38,0,0,0,-25,0
27,217,-36,0,0,0,-25,0
28,216,-35,0,0,0,-25,0
29,214,-34,0,0,0,-25,0
30,213,-33,0,0,0,-25,0
31,212,-32,0,0,0,-25,0
32,212,-31,0,0,0,-25,0
33,211,-29,0,0,0,-25,0
34,211,-28,0,0,0,-25,0
35,209,-26,0,0,0,-25,0
36,209,-24,0,0,0,-25,0
37,208,-22,0,0,0,-25,0
38,207,-21,0,0,0,-25,0
39,207,-19,0,0,0,-25,0
40,206,-18,0,0,0,-25,0
41,205,-17,0,0,0,-25,0
42,205,-16,0,0,0,-25,0
43,204,-14,0,0,0,-25,0
44,202,-13,0,0,0,-25,0
45,199,-10,0,0,0,-25,0
46,195,-7,0,0,0,-25,0
47,193,-6,0,0,0,-25,0
48,191,-5,0,0,0,-25,0
49,190,-4,0,0,0,-25,0
50,189,-3,0,0,0,-25,0
51,189,-3,0,0,0,-25,0
52,189,-3,0,0,0,-25,0
53,189,-3,0,0,0,-25,0
54,189,-3,0,0,0,-25,0
55,189,-3,0,0,0,-25,0
56,188,-3,0,0,0,-25,0
57,184,-6,0,0,0,-25,0
58,180,-9,0,0,0,-25,0
59,175,-13,0,0,0,-25,0
60,169,-18,0,0,0,-25,0
61,162,-22,0,0,0,-25,0
62,159,-25,0,0,0,-25,0
63,156,-27,0,0,0,-25,0
64,155,-28,0,0,0,-25,0
65,154,-29,0,0,0,-25,0
66,153,-30,0,0,0,-25,0
67,152,-30,0,0,0,-25,0
68,152,-30,0,0,0,-25,0
69,151,-30,0,0,0,-25,0
70,150,-30,0,0,0,-25,0
71,148,-30,0,0,0,-25,0
72,148,-30,0,0,0,-25,0
73,140,-31,0,0,0,-25,0
74,135,-29,0,0,0,-25,0
75,130,-25,0,0,0,-25,0
76,126,-21,0,0,0,-25,0
77,124,-20,0,0,0,-25,0
78,120,-16,0,0,0,-25,0
79,117,-14,0,0,0,-25,0
80,116,-12,0,0,0,-25,0
81,115,-10,0,0,0,-25,0
82,115,-9,0,0,0,-25,0
83,114,-7,0,0,0,-25,0
84,113,-4,0,0,0,-25,0
85,112,-1,0,0,0,-25,0
86,111,2,0,0,0,-25,0
87,111,4,0,0,0,-25,0
88,111,5,0,0,0,-25,0
89,112,6,0,0,0,-25,0
90,113,7,0,0,0,-25,0
91,116,8,0,0,0,-25,0
92,121,9,0,0,0,-25,0
93,126,9,0,0,0,-25,0
94,131,9,0,0,0,-25,0
95,136,8,0,0,0,-25,0
96,141,6,0,0,0,-25,0
97,145,4,0,0,0,-25,0
98,148,2,0,0,0,-25,0
99,152,-1,0,0,0,-25,0
100,155,-4,0,0,0,-25,0
101,158,-7,0,0,0,-25,0
102,162,-10,0,0,0,-25,0
103,166,-12,0,0,0,-25,0
104,167,-13,0,0,0,-25,0
105,167,-13,0,0,0,-25,0
106,167,-13,0,0,0,-25,0
107,167,-13,0,0,0,-25,0
108,169,-12,0,0,0,-25,0
109,173,-9,0,0,0,-25,0
110,175,-7,0,0,0,-25,0
111,178,-6,0,0,0,-25,0
112,181,-3,0,0,0,-25,0
113,183,0,0,0,0,-25,0
114,186,3,0,0,0,-25,0
115,189,6,0,0,0,-25,0
116,192,10,0,0,0,-25,0
117,194,12,0,0,0,-25,0
118,196,15,0,0,0,-25,0
119,197,17,0,0,0,-25,0
120,198,20,0,0,0,-25,0
121,199,22,0,0,0,-25,0
122,200,23,0,0,0,-25,0
123,201,26,0,0,0,-25,0
124,203,29,0,0,0,-25,0
125,205,32,0,0,0,-25,0
126,207,33,0,0,0,-25,0
127,208,33,0,0,0,-25,0
128,209,33,0,0,0,-25,0
129,209,33,0,0,0,-25,0
130,210,33,0,0,0,-25,0
131,214,31,0,0,0,-25,0
132,216,29,0,0,0,-25,0
133,221,26,0,0,0,-25,0
134,224,23,0,0,0,-25,0
135,228,19,0,0,0,-25,0
136,230,17,0,0,0,-25,0
137,232,16,0,0,0,-25,0
138,233,14,0,0,0,-25,0
139,233,13,0,0,0,-25,0
140,234,12,0,0,0,-25,0
141,234,10,0,0,0,-25,0
142,234,9,0,0,0,-25,0
143,234,7,0,0,0,-25,0
144,234,5,0,0,0,-25,0
145,234,3,0,0,0,-25,0
146,234,2,0,0,0,-25,0
147,234,1,0,0,0,-25,0
148,232,0,0,0,0,-25,0
149,229,-1,0,0,0,-25,0
150,224,-1,0,0,0,-25,0
151,217,-1,0,0,0,-25,0
152,211,-1,0,0,0,-25,0
153,202,0,0,0,0,-25,0
154,194,1,0,0,0,-25,0
155,188,2,0,0,0,-25,0
156,180,2,0,0,0,-25,0
157,171,2,0,0,0,-25,0
158,165,3,0,0,0,-25,0
159,161,4,0,0,0,-25,0
160,156,5,0,0,0,-25,0
161,151,5,0,0,0,-25,0
162,146,7,0,0,0,-25,0
163,139,8,0,0,0,-25,0
164,131,10,0,0,0,-25,0
165,127,12,0,0,0,-25,0
166,124,12,0,0,0,-25,0
167,120,12,0,0,0,-25,0
168,119,12,0,0,0,-25,0
169,116,12,0,0,0,-25,0
170,113,12,0,0,0,-25,0
171,109,12,0,0,0,-25,0
172,106,11,0,0,0,-25,0
173,101,8,0,0,0,-25,0
174,97,4,0,0,0,-25,0
175,91,-2,0,0,0,-25,0
176,86,-9,0,0,0,-25,0
177,81,-17,0,0,0,-25,0
178,75,-23,0,0,0,-25,0
179,69,-29,0,0,0,-25,0
180,68,-31,0,0,0,-25,0
181,65,-33,0,0,0,-25,0
182,64,-33,0,0,0,-25,0
183,63,-34,0,0,0,-25,0
184,60,-34,0,0,0,-25,0
185,55,-34,0,0,0,-25,0
186,49,-34,0,0,0,-25,0
187,43,-33,0,0,0,-25,0
188,35,-31,0,0,0,-25,0
189,27,-28,0,0,0,-25,0
190,20,-25,0,0,0,-25,0
191,12,-22,0,0,0,-25,0
192,4,-17,0,0,0,-25,0
193,-3,-13,0,0,0,-25,0
194,-9,-8,0,0,0,-25,0
195,-16,-3,0,0,0,-25,0
196,-20,1,0,0,0,-25,0
197,-26,5,0,0,0,-25,0
198,-30,8,0,0,0,-25,0
199,-32,11,0,0,0,-25,0
200,-38,16,0,0,0,-25,0
201,-40,18,0,0,0,-25,0
202,-42,20,0,0,0,-25,0
203,-44,21,0,0,0,-25,0
204,-45,22,0,0,0,-25,0
205,-46,23,0,0,0,-25,0
206,-47,24,0,0,0,-25,0
207,-48,24,0,0,0,-25,0
208,-48,24,0,0,0,-25,0
209,-48,24,0,0,0,-25,0
210,-49,22,0,0,0,-25,0
211,-55,16,0,0,0,-25,0
212,-60,10,0,0,0,-25,0
213,-65,4,0,0,0,-25,0
214,-72,-3,0,0,0,-25,0
215,-78,-8,0,0,0,-25,0
216,-81,-11,0,0,0,-25,0
217,-85,-14,0,0,0,-25,0
218,-91,-17,0,0,0,-25,0
219,-93,-18,0,0,0,-25,0
220,-97,-19,0,0,0,-25,0
221,-104,-21,0,0,0,-25,0
222,-110,-21,0,0,0,-25,0
223,-113,-20,0,0,0,-25,0
224,-123,-17,0,0,0,-25,0
225,-129,-15,0,0,0,-25,0
226,-136,-11,0,0,0,-25,0
227,-142,-9,0,0,0,-25,0
228,-147,-6,0,0,0,-25,0
229,-153,-3,0,0,0,-25,0
230,-157,-1,0,0,0,-25,0
231,-160,1,0,0,0,-25,0
232,-161,2,0,0,0,-25,0
233,-161,2,0,0,0,-25,0
234,-161,2,0,0,0,-25,0
235,-161,2,0,0,0,-25,0
236,-166,3,0,0,0,-25,0
237,-172,4,0,0,0,-25,0
238,-180,5,0,0,0,-25,0
239,-187,5,0,0,0,-25,0
240,-199,5,0,0,0,-25,0
241,-207,5,0,0,0,-25,0
242,-215,4,0,0,0,-25,0
243,-219,3,1,0,0,-25,0
244,-220,3,1,0,0,-25,0
245,-220,2,1,0,0,-25,0
246,-221,1,1,0,0,-25,0
247,-222,-1,1,0,0,-25,0
248,-224,-3,1,0,0,-25,0
249,-224,-3,1,0,0,-25,0
250,-225,-4,1,0,0,-25,0
251,-225,-4,1,0,0,-25,0
252,-225,-4,1,0,0,-25,0
253,-225,-4,1,0,0,-25,0
254,-227,-3,1,0,0,-25,0
255,-230,-1,1,0,0,-25,0
256,-234,2,1,0,0,-25,0
257,-239,6,1,0,0,-25,0
258,-241,10,1,0,0,-25,0
259,-243,12,1,0,0,-25,0
260,-246,16,1,0,0,-25,0
261,-248,19,1,0,0,-25,0
262,-251,23,1,0,0,-25,0
263,-254,26,1,0,0,-25,0
264,-257,30,1,0,0,-25,0
265,-260,33,1,0,0,-25,0
266,-261,36,1,0,0,-25,0
267,-261,38,1,0,0,-25,0
268,-261,41,1,0,0,-25,0
269,-261,42,1,0,0,-25,0
270,-259,43,1,0,0,-25,0
271,-250,46,1,0,0,-25,0
272,-243,46,1,0,0,-25,0
273,-237,46,1,0,0,-25,0
274,-227,45,1,0,0,-25,0
275,-217,40,1,0,0,-25,0
276,-210,36,1,0,0,-25,0
277,-208,34,1,0,0,-25,0
278,-202,30,1,0,0,-25,0
279,-198,26,1,0,0,-25,0
280,-195,23,1,0,0,-25,0
281,-191,20,1,0,0,-25,0
282,-188,17,1,0,0,-25,0
283,-184,13,1,0,0,-25,0
284,-180,9,1,0,0,-25,0
285,-177,7,1,0,0,-25,0
286,-175,6,1,0,0,-25,0
287,-173,5,1,0,0,-25,0
288,-172,5,1,0,0,-25,0
289,-170,5,1,0,0,-25,0
290,-166,7,1,0,0,-25,0
291,-160,10,1,0,0,-25,0
292,-155,13,1,0,0,-25,0
293,-144,19,1,0,0,-25,0
294,-137,24,1,0,0,-25,0
295,-129,27,1,0,0,-25,0
296,-121,30,1,0,0,-25,0
297,-114,33,1,0,0,-25,0
298,-107,35,1,0,0,-25,0
299,-101,38,1,0,0,-25,0
300,-94,39,1,0,0,-25,0
301,-87,39,1,0,0,-25,0
302,-80,39,1,0,0,-25,0
303,-71,37,1,0,0,-25,0
304,-65,35,1,0,0,-25,0
305,-60,32,1,0,0,-25,0
306,-52,28,1,0,0,-25,0
307,-45,25,1,0,0,-25,0
308,-38,21,1,0,0,-25,0
309,-27,14,1,0,0,-25,0
310,-14,8,1,0,0,-25,0
311,-12,8,1,0,0,-25,0
312,4,3,1,0,0,-25,0
313,7,3,1,0,0,-25,0
314,18,2,1,0,0,-25,0
315,21,1,1,0,0,-25,0
316,22,1,1,0,0,-25,0
317,24,1,1,0,0,-25,0
318,27,4,1,0,0,-25,0
319,30,8,1,0,0,-25,0
320,33,12,1,0,0,-25,0
321,36,15,1,0,0,-25,0
322,38,18,1,0,0,-25,0
323,41,22,1,0,0,-25,0
324,44,25,1,0,0,-25,0
325,46,28,1,0,0,-25,0
326,47,29,1,0,0,-25,0
327,48,30,1,0,0,-25,0
328,48,30,1,0,0,-25,0
329,48,30,1,0,0,-25,0
330,48,30,1,0,0,-25,0
331,49,30,1,0,0,-25,0
332,53,30,1,0,0,-25,0
333,62,30,1,0,0,-25,0
334,73,29,1,0,0,-25,0
335,82,28,1,0,0,-25,0
336,91,28,1,0,0,-25,0
337,97,28,1,0,0,-25,0
338,101,28,1,0,0,-25,0
339,103,28,1,0,0,-25,0
340,103,28,1,0,0,-25,0
341,103,28,1,0,0,-25,0
342,103,28,1,0,0,-25,0
343,103,28,1,0,0,-25,0
344,107,28,1,0,0,-25,0
345,113,28,1,0,0,-25,0
346,117,28,1,0,0,-25,0
347,122,27,1,0,0,-25,0
348,126,27,1,0,0,-25,0
349,129,26,1,0,0,-25,0
350,132,26,1,0,0,-25,0
351,133,25,1,0,0,-25,0
352,134,25,1,0,0,-25,0
353,137,24,1,0,0,-25,0
354,140,22,1,0,0,-25,0
355,144,20,1,0,0,-25,0
356,148,18,1,0,0,-25,0
357,151,17,1,0,0,-25,0
358,153,15,1,0,0,-25,0
359,157,12,1,0,0,-25,0
360,161,9,1,0,0,-25,0
361,165,7,1,0,0,-25,0
362,169,6,1,0,0,-25,0
363,171,6,1,0,0,-25,0
364,175,8,1,0,0,-25,0
365,179,11,1,0,0,-25,0
366,183,16,1,0,0,-25,0
367,187,19,1,0,0,-25,0
368,191,23,1,0,0,-25,0
369,194,27,1,0,0,-25,0
370,198,31,1,0,0,-25,0
371,202,34,1,0,0,-25,0
372,205,35,1,0,0,-25,0
373,208,37,1,0,0,-25,0
374,211,38,1,0,0,-25,0
375,213,39,1,0,0,-25,0
376,215,39,1,0,0,-25,0
377,217,39,1,0,0,-25,0
378,220,38,1,0,0,-25,0
379,225,36,1,0,0,-25,0
380,230,33,1,0,0,-25,0
381,241,27,1,0,0,-25,0
382,248,22,1,0,0,-25,0
383,254,17,1,0,0,-25,0
384,257,13,1,0,0,-25,0
385,260,9,1,0,0,-25,0
386,263,6,1,0,0,-25,0
387,264,4,1,0,0,-25,0
388,265,3,1,0,0,-25,0
389,265,1,1,0,0,-25,0
390,266,-1,1,0,0,-25,0
391,268,-4,1,0,0,-25,0
