t,x,y,fh,fv,r,s,frame:
0,293,86,0,0,0,-32,0
1,293,86,0,0,0,-32,0
2,293,85,0,0,0,-32,0
3,293,85,0,0,0,-32,0
4,293,85,0,0,0,-32,0
5,293,85,0,0,3,-32,0
6,293,85,0,0,6,-32,0
7,293,85,0,0,9,-32,0
8,293,85,0,0,12,-32,0
9,293,85,0,0,15,-32,0
10,293,85,0,0,18,-32,0
11,293,85,0,0,15,-32,0
12,293,85,0,0,12,-32,0
13,293,85,0,0,9,-32,0
14,293,85,0,0,6,-32,0
15,293,85,0,0,3,-32,0
16,293,85,0,0,3,-32,0
17,293,85,0,0,3,-32,0
18,293,85,0,0,6,-32,0
19,293,85,0,0,9,-32,0
20,293,85,0,0,12,-32,0
21,293,85,0,0,15,-32,0
22,293,85,0,0,18,-32,0
23,293,85,0,0,21,-32,0
24,293,85,0,0,24,-32,0
25,293,85,0,0,21,-32,0
26,293,85,0,0,18,-32,0
27,293,85,0,0,15,-32,0
28,293,85,0,0,12,-32,0
29,293,85,0,0,9,-32,0
30,293,85,0,0,9,-32,0
31,293,85,0,0,12,-32,0
32,293,85,0,0,15,-32,0
33,293,85,0,0,18,-32,0
34,293,85,0,0,21,-32,0
35,293,85,0,0,21,-32,0
36,293,85,0,0,21,-32,0
37,293,85,0,0,18,-32,0
38,293,85,0,0,15,-32,0
39,293,85,0,0,12,-32,0
40,293,85,0,0,12,-32,0
41,293,85,0,0,12,-32,0
42,293,85,0,0,12,-32,0
43,293,85,0,0,12,-32,0
44,293,85,0,0,12,-32,0
45,293,85,0,0,9,-32,0
46,293,85,0,0,6,-32,0
47,293,85,0,0,3,-32,0
48,293,85,0,0,0,-32,0
49,293,85,0,0,-3,-32,0
50,293,85,0,0,-6,-32,0
51,293,85,0,0,-9,-32,0
52,293,85,0,0,-9,-32,0
53,293,85,0,0,-9,-32,0
54,293,85,0,0,-9,-32,0
55,293,85,0,0,-9,-32,0
56,293,85,0,0,-12,-32,0
57,293,85,0,0,-15,-32,0
58,293,85,0,0,-18,-32,0
59,293,85,0,0,-21,-32,0
60,293,85,0,0,-24,-32,0
61,293,85,0,0,-27,-32,0
62,293,85,0,0,-30,-32,0
63,293,85,0,0,-30,-32,0
64,293,85,0,0,-27,-32,0
65,293,85,0,0,-24,-32,0
66,293,85,0,0,-21,-32,0
67,293,85,0,0,-18,-32,0
68,293,85,0,0,-15,-32,0
69,293,85,0,0,-12,-32,0
70,293,85,0,0,-12,-32,0
71,293,85,0,0,-12,-32,0
72,293,85,0,0,-12,-32,0
73,293,85,0,0,-12,-32,0
74,293,85,0,0,-12,-32,0
75,293,85,0,0,-12,-32,0
76,293,85,0,0,-12,-32,0
77,293,85,0,0,-12,-32,0
78,293,85,0,0,-12,-32,0
79,293,85,0,0,-9,-32,0
80,293,85,0,0,-6,-32,0
81,293,85,0,0,-3,-32,0
82,293,85,0,0,-3,-32,0
83,293,85,0,0,-3,-32,0
84,293,85,0,0,-3,-32,0
85,293,85,0,0,-3,-32,0
86,293,85,0,0,-3,-32,0
87,293,85,0,0,-3,-32,0
88,293,85,0,0,-3,-32,0
89,293,85,0,0,-3,-32,0
90,293,85,0,0,-3,-32,0
91,293,85,0,0,-3,-32,0
92,293,85,0,0,-3,-32,0
93,293,85,0,0,-3,-32,0
94,293,85,0,0,-3,-32,0
95,293,85,0,0,-3,-32,0
96,293,85,0,0,-3,-32,0
97,293,85,0,0,-3,-32,0
98,293,85,0,0,-3,-32,0
99,293,85,0,0,-3,-32,0
100,293,85,0,0,-3,-32,0
101,293,85,0,0,-3,-32,0
102,293,85,0,0,-3,-32,0
103,293,85,0,0,-3,-32,0
104,293,85,0,0,-3,-32,0
105,293,85,0,0,-3,-32,0
106,293,85,0,0,-3,-32,0
107,293,85,0,0,-3,-32,0
108,293,85,0,0,-3,-32,0
109,293,85,0,0,-3,-32,0
110,293,85,0,0,-3,-32,0
111,293,85,0,0,-3,-32,0
112,293,85,0,0,-3,-32,0
113,293,85,0,0,-3,-32,0
114,293,85,0,0,-3,-32,0
115,293,85,0,0,-3,-32,0
116,293,85,0,0,-3,-32,0
117,293,85,0,0,-3,-32,0
118,293,85,0,0,-3,-32,0
119,293,85,0,0,-3,-32,0
120,293,85,0,0,-3,-32,0
121,293,85,0,0,-3,-32,0
122,293,85,0,0,-3,-32,0
123,293,85,0,0,-3,-32,0
124,293,85,0,0,-3,-32,0
125,293,85,0,0,-3,-32,0
126,293,85,0,0,-3,-32,0
