t,x,y,fh,fv,r,s,frame:
0,-173,-125,0,0,0,0,0
1,-173,-126,0,0,0,0,0
2,-173,-126,0,0,0,0,0
3,-173,-127,0,0,0,0,0
4,-173,-128,0,0,0,0,0
5,-173,-130,0,0,0,0,0
6,-174,-132,0,0,0,0,0
7,-174,-134,0,0,0,0,0
8,-174,-137,0,0,0,0,0
9,-174,-137,0,0,0,0,0
10,-174,-137,0,0,0,0,0
11,-175,-137,0,0,0,0,0
12,-175,-137,0,0,0,0,0
13,-175,-137,0,0,0,0,0
14,-175,-138,0,0,0,0,0
15,-175,-138,0,0,0,0,0
16,-175,-138,0,0,0,0,0
17,-175,-138,0,0,0,0,0
18,-175,-139,0,0,0,0,0
19,-175,-139,0,0,0,0,0
20,-175,-139,0,0,0,0,0
21,-175,-139,0,0,0,0,0
22,-175,-139,0,0,0,0,0
23,-175,-139,0,0,0,0,0
24,-175,-139,0,0,0,0,0
25,-172,-137,0,0,0,0,0
26,-169,-136,0,0,0,0,0
27,-167,-135,0,0,0,0,0
28,-164,-135,0,0,0,0,0
29,-161,-135,0,0,0,0,0
30,-159,-136,0,0,0,0,0
31,-158,-137,0,0,0,0,0
32,-156,-137,0,0,0,0,0
33,-154,-138,0,0,0,0,0
34,-153,-139,0,0,0,0,0
35,-152,-140,0,0,0,0,0
36,-152,-141,0,0,0,0,0
37,-151,-142,0,0,0,0,0
38,-150,-143,0,0,0,0,0
39,-150,-143,0,0,0,0,0
40,-150,-143,0,0,0,0,0
41,-150,-143,0,0,0,0,0
42,-150,-143,0,0,0,0,0
43,-149,-143,0,0,0,0,0
44,-148,-143,0,0,0,0,0
45,-146,-143,0,0,0,0,0
46,-146,-143,0,0,0,0,0
47,-145,-143,0,0,0,0,0
48,-142,-143,0,0,0,0,0
49,-140,-143,0,0,0,0,0
50,-138,-143,0,0,0,0,0
51,-136,-143,0,0,0,0,0
52,-135,-143,0,0,0,0,0
53,-135,-143,0,0,0,0,0
54,-134,-143,0,0,0,0,0
55,-133,-143,0,0,0,0,0
56,-133,-143,0,0,0,0,0
57,-131,-144,0,0,0,0,0
58,-130,-144,0,0,0,0,0
59,-130,-144,0,0,0,0,0
60,-128,-144,0,0,0,0,0
61,-126,-144,0,0,0,0,0
62,-125,-143,0,0,0,0,0
63,-124,-143,0,0,0,0,0
64,-123,-143,0,0,0,0,0
65,-123,-143,0,0,0,0,0
66,-121,-142,0,0,0,0,0
67,-120,-141,0,0,0,0,0
68,-119,-141,0,0,0,0,0
69,-119,-141,0,0,0,0,0
70,-119,-141,0,0,0,0,0
71,-119,-141,0,0,0,0,0
72,-119,-141,0,0,0,0,0
73,-119,-141,0,0,0,0,0
74,-119,-141,0,0,0,0,0
75,-119,-141,0,0,0,0,0
76,-119,-141,0,0,0,0,0
77,-119,-141,0,0,0,0,0
78,-117,-141,0,0,0,0,0
79,-117,-141,0,0,0,0,0
80,-116,-141,0,0,0,0,0
81,-116,-142,0,0,0,0,0
82,-116,-142,0,0,0,0,0
83,-116,-142,0,0,0,0,0
84,-116,-142,0,0,0,0,0
