t,x,y,fh,fv,r,s,frame:
0,522,-82,1,0,-13,-63,0
1,522,-82,1,0,-13,-63,0
2,522,-82,1,0,-13,-63,0
3,522,-82,1,0,-13,-63,0
4,522,-82,1,0,-13,-63,0
5,522,-82,1,0,-13,-63,0
6,522,-82,1,0,-13,-63,0
7,522,-82,1,0,-13,-63,0
8,522,-83,1,0,-13,-63,0
9,522,-83,1,0,-13,-63,0
10,522,-83,1,0,-13,-63,0
11,522,-83,1,0,-13,-63,0
12,522,-85,1,0,-13,-63,0
13,522,-87,1,0,-13,-63,0
14,521,-89,1,0,-13,-63,0
15,520,-92,1,0,-13,-63,0
16,519,-96,1,0,-13,-63,0
17,518,-98,1,0,-12,-63,0
18,518,-100,1,0,-11,-63,0
19,517,-102,1,0,-10,-63,0
20,517,-103,1,0,-9,-63,0
21,516,-105,1,0,-8,-63,0
22,515,-107,1,0,-7,-63,0
23,514,-109,1,0,-6,-63,0
24,513,-110,1,0,-5,-63,0
25,513,-112,1,0,-4,-63,0
26,512,-114,1,0,-3,-63,0
27,512,-114,1,0,-2,-63,0
28,511,-115,1,0,-1,-63,0
29,511,-115,1,0,0,-63,0
30,511,-116,1,0,1,-63,0
31,511,-116,1,0,2,-63,0
32,510,-116,1,0,3,-63,0
33,509,-117,1,0,4,-63,0
34,508,-118,1,0,5,-63,0
35,507,-119,1,0,6,-63,0
36,505,-121,1,0,7,-63,0
37,501,-122,1,0,8,-63,0
38,498,-123,1,0,9,-63,0
39,497,-123,1,0,9,-63,0
40,497,-123,1,0,9,-63,0
41,497,-124,1,0,9,-63,0
42,496,-124,1,0,9,-63,0
43,490,-123,1,0,9,-63,0
44,487,-123,1,0,9,-63,0
45,482,-122,1,0,9,-63,0
46,478,-122,1,0,9,-63,0
47,474,-122,1,0,9,-63,0
48,471,-122,1,0,9,-63,0
49,468,-122,1,0,9,-63,0
50,466,-122,1,0,9,-63,0
51,466,-122,1,0,9,-63,0
52,466,-122,1,0,9,-63,0
53,466,-122,1,0,9,-63,0
54,466,-122,1,0,9,-63,0
55,464,-121,1,0,9,-63,0
56,463,-121,1,0,9,-63,0
57,463,-121,1,0,9,-63,0
58,460,-119,1,0,9,-63,0
59,456,-117,1,0,9,-63,0
60,453,-115,1,0,9,-63,0
61,451,-114,1,0,9,-63,0
62,451,-114,1,0,9,-63,0
63,450,-114,1,0,9,-63,0
64,450,-113,1,0,9,-63,0
65,447,-110,1,0,9,-63,0
66,444,-107,1,0,9,-63,0
67,441,-105,1,0,9,-63,0
68,439,-103,1,0,9,-63,0
69,438,-102,1,0,9,-63,0
70,437,-101,1,0,9,-63,0
71,436,-101,1,0,9,-63,0
72,435,-99,1,0,9,-63,0
73,434,-98,1,0,9,-63,0
74,433,-96,1,0,9,-63,0
75,431,-94,1,0,9,-63,0
76,430,-92,1,0,9,-63,0
77,428,-90,1,0,9,-63,0
78,425,-87,1,0,9,-63,0
79,424,-85,1,0,9,-63,0
80,422,-82,1,0,9,-63,0
81,420,-79,1,0,9,-63,0
82,419,-77,1,0,9,-63,0
83,418,-76,1,0,9,-63,0
84,417,-75,1,0,9,-63,0
85,414,-72,1,0,9,-63,0
86,411,-68,1,0,9,-63,0
87,408,-64,1,0,9,-63,0
88,405,-60,1,0,9,-63,0
89,405,-60,1,0,9,-63,0
90,405,-60,1,0,9,-63,0
91,405,-60,1,0,9,-63,0
92,405,-60,1,0,9,-63,0
93,405,-60,1,0,9,-63,0
94,405,-60,1,0,9,-63,0
95,405,-60,1,0,9,-63,0
96,405,-60,1,0,9,-63,0
97,405,-60,1,0,9,-63,0
98,405,-60,1,0,9,-63,0
99,405,-60,1,0,9,-63,0
100,405,-60,1,0,9,-63,0
101,405,-60,1,0,9,-63,0
102,405,-60,1,0,9,-63,0
103,405,-60,1,0,9,-63,0
104,405,-60,1,0,9,-63,0
105,405,-60,1,0,9,-63,0
106,405,-60,1,0,9,-63,0
107,404,-60,1,0,9,-63,0
108,404,-60,1,0,9,-63,0
109,404,-60,1,0,9,-63,0
110,404,-60,1,0,9,-63,0
111,404,-60,1,0,9,-63,0
112,404,-60,1,0,9,-63,0
113,404,-60,1,0,9,-63,0
114,404,-60,1,0,9,-63,0
115,404,-60,1,0,8,-63,0
116,404,-60,1,0,7,-63,0
117,404,-60,1,0,6,-63,0
118,404,-60,1,0,5,-63,0
119,404,-60,1,0,5,-63,0
120,404,-60,1,0,5,-63,0
121,404,-60,1,0,5,-63,0
122,404,-60,1,0,5,-63,0
123,404,-60,1,0,5,-63,0
124,404,-60,1,0,5,-63,0
125,404,-60,1,0,5,-63,0
126,404,-60,1,0,5,-63,0
127,404,-60,1,0,5,-63,0
128,404,-60,1,0,5,-63,0
129,404,-60,1,0,5,-63,0
130,404,-60,1,0,5,-63,0
131,404,-60,1,0,5,-63,0
132,404,-60,1,0,5,-63,0
133,404,-60,1,0,5,-63,0
134,404,-60,1,0,5,-63,0
135,404,-60,1,0,5,-63,0
136,404,-60,1,0,5,-63,0
137,404,-60,1,0,5,-63,0
138,404,-60,1,0,5,-63,0
139,404,-60,1,0,5,-63,0
140,404,-60,1,0,5,-63,0
141,404,-60,1,0,5,-63,0
142,404,-60,1,0,5,-63,0
143,404,-60,1,0,5,-63,0
144,404,-60,1,0,5,-63,0
145,404,-60,1,0,5,-63,0
146,404,-60,1,0,5,-63,0
147,404,-60,1,0,5,-63,0
148,404,-60,1,0,5,-63,0
149,404,-60,1,0,5,-63,0
150,404,-60,1,0,5,-63,0
151,404,-60,1,0,5,-63,0
152,404,-60,1,0,5,-63,0
153,404,-60,1,0,5,-63,0
154,404,-60,1,0,5,-63,0
155,404,-60,1,0,5,-63,0
156,404,-60,1,0,5,-63,0
157,404,-60,1,0,5,-63,0
158,404,-60,1,0,5,-63,0
159,404,-60,1,0,5,-63,0
160,404,-60,1,0,5,-63,0
161,404,-60,0,0,5,-63,0
162,404,-60,0,0,5,-63,0
163,404,-60,0,0,5,-63,0
164,404,-60,0,0,5,-63,0
165,404,-60,0,0,5,-63,0
166,404,-60,0,0,5,-63,0
167,404,-60,0,0,5,-63,0
168,404,-60,0,0,5,-63,0
169,404,-60,0,0,5,-63,0
170,404,-60,0,0,5,-63,0
171,404,-60,0,0,5,-63,0
172,404,-60,0,0,5,-63,0
173,404,-60,0,0,5,-63,0
174,404,-60,0,0,5,-63,0
175,404,-60,0,0,5,-63,0
176,404,-60,0,0,5,-63,0
177,404,-60,0,0,5,-63,0
178,404,-60,0,0,5,-63,0
179,404,-60,0,0,5,-63,0
180,404,-60,0,0,5,-63,0
181,404,-60,0,0,5,-63,0
182,404,-60,0,0,5,-63,0
183,404,-60,0,0,5,-63,0
184,404,-60,0,0,5,-63,0
185,404,-60,0,0,5,-63,0
186,404,-60,0,0,5,-63,0
187,404,-60,0,0,5,-63,0
188,404,-60,0,0,5,-63,0
189,404,-60,0,0,5,-63,0
190,404,-60,0,0,5,-63,0
191,404,-60,0,0,5,-63,0
192,404,-60,0,0,5,-63,0
193,404,-60,0,0,5,-63,0
194,404,-60,0,0,5,-63,0
195,404,-60,0,0,5,-63,0
196,404,-60,0,0,5,-63,0
