t,x,y,fh,fv,r,s,frame:
0,-2,99,1,0,0,0,0
1,-2,99,1,0,0,0,0
2,-2,99,1,0,0,0,0
3,-2,99,1,0,0,0,0
4,-2,99,1,0,0,0,0
5,-3,98,1,0,0,0,0
6,-4,98,1,0,0,0,0
7,-5,98,1,0,0,0,0
8,-5,98,1,0,0,0,0
9,-6,97,1,0,0,0,0
10,-6,97,1,0,0,0,0
11,-7,97,1,0,0,0,0
12,-7,97,1,0,0,0,0
13,-7,97,1,0,0,0,0
14,-8,97,1,0,0,0,0
15,-8,97,1,0,0,0,0
16,-8,97,1,0,0,0,0
17,-8,96,1,0,0,0,0
18,-8,96,1,0,0,0,0
19,-8,96,1,0,0,0,0
20,-8,96,1,0,0,0,0
21,-8,96,1,0,0,0,0
22,-9,96,1,0,0,0,0
23,-9,96,1,0,0,0,0
24,-9,96,1,0,0,0,0
25,-9,96,1,0,0,0,0
26,-9,96,1,0,0,0,0
27,-9,96,1,0,0,0,0
28,-9,96,1,0,0,0,0
29,-9,96,1,0,0,0,0
30,-9,96,1,0,0,0,0
31,-9,96,1,0,0,0,0
32,-9,96,1,0,0,0,0
33,-9,96,1,0,0,0,0
34,-9,96,1,0,0,0,0
35,-9,96,1,0,0,0,0
36,-9,96,1,0,0,0,0
37,-9,96,1,0,0,0,0
38,-9,96,1,0,0,0,0
39,-9,96,1,0,0,0,0
40,-9,97,1,0,0,0,0
41,-9,97,1,0,0,0,0
42,-9,97,1,0,0,0,0
43,-9,97,1,0,0,0,0
44,-9,97,1,0,0,0,0
45,-9,97,1,0,0,0,0
46,-9,97,1,0,0,0,0
47,-9,97,1,0,0,0,0
48,-9,97,1,0,0,0,0
49,-9,98,1,0,0,0,0
50,-9,98,1,0,0,0,0
51,-9,98,1,0,0,0,0
52,-9,98,1,0,0,0,0
53,-9,98,1,0,0,0,0
54,-8,98,1,0,0,0,0
55,-8,98,1,0,0,0,0
56,-8,98,1,0,0,0,0
57,-7,98,1,0,0,0,0
58,-7,98,1,0,0,0,0
59,-6,98,1,0,0,0,0
60,-6,98,1,0,0,0,0
61,-6,98,1,0,0,0,0
62,-6,98,1,0,0,0,0
63,-5,98,1,0,0,0,0
64,-5,98,1,0,0,0,0
65,-5,98,1,0,0,0,0
66,-5,98,1,0,0,0,0
67,-5,98,1,0,0,0,0
68,-5,98,1,0,0,0,0
69,-5,98,1,0,0,0,0
70,-4,98,1,0,0,0,0
71,-4,97,1,0,0,0,0
72,-4,97,1,0,0,0,0
73,-4,97,1,0,0,0,0
74,-4,97,1,0,0,0,0
75,-4,96,1,0,0,0,0
76,-3,96,1,0,0,0,0
77,-3,96,1,0,0,0,0
78,-3,96,1,0,0,0,0
79,-3,96,1,0,0,0,0
80,-3,96,1,0,0,0,0
81,-3,96,1,0,0,0,0
82,-3,96,1,0,0,0,0
83,-3,96,1,0,0,0,0
84,-3,96,1,0,0,0,0
85,-3,96,1,0,0,0,0
86,-3,96,1,0,0,0,0
87,-3,96,1,0,0,0,0
88,-3,96,1,0,0,0,0
89,-3,96,1,0,0,0,0
90,-3,96,1,0,0,0,0
91,-4,96,1,0,0,0,0
92,-4,96,1,0,0,0,0
93,-4,96,1,0,0,0,0
94,-5,97,1,0,0,0,0
95,-5,97,1,0,0,0,0
96,-6,97,1,0,0,0,0
97,-7,97,1,0,0,0,0
98,-7,97,1,0,0,0,0
99,-7,97,1,0,0,0,0
100,-7,97,1,0,0,0,0
101,-7,97,1,0,0,0,0
102,-7,97,1,0,0,0,0
103,-8,97,1,0,0,0,0
104,-9,98,1,0,0,0,0
105,-9,98,1,0,0,0,0
106,-9,98,1,0,0,0,0
107,-9,98,1,0,0,0,0
108,-9,98,1,0,0,0,0
109,-9,98,1,0,0,0,0
110,-9,98,1,0,0,0,0
111,-9,98,1,0,0,0,0
112,-9,98,1,0,0,0,0
113,-9,98,1,0,0,0,0
114,-9,98,1,0,0,0,0
115,-9,98,1,0,0,0,0
116,-9,98,1,0,0,0,0
117,-9,98,1,0,0,0,0
118,-9,98,1,0,0,0,0
119,-9,98,1,0,0,0,0
120,-9,98,1,0,0,0,0
121,-9,98,1,0,0,0,0
122,-9,98,1,0,0,0,0
123,-9,98,1,0,0,0,0
124,-9,98,1,0,0,0,0
125,-9,98,1,0,0,0,0
126,-9,98,1,0,0,0,0
127,-9,98,1,0,0,0,0
128,-9,98,1,0,0,0,0
129,-9,98,1,0,0,0,0
130,-9,98,1,0,0,0,0
131,-9,98,1,0,0,0,0
132,-9,98,1,0,0,0,0
133,-9,98,1,0,0,0,0
134,-9,98,1,0,0,0,0
135,-9,98,1,0,0,0,0
136,-9,98,1,0,0,0,0
