t,x,y,fh,fv,r,s,frame:
0,227,114,1,0,0,-117,0
1,227,114,1,0,0,-117,0
2,227,114,1,0,0,-117,0
3,227,114,1,0,0,-117,0
4,227,114,1,0,0,-117,0
5,227,114,1,0,0,-117,0
6,227,114,1,0,0,-117,0
7,227,114,1,0,0,-117,0
8,227,114,1,0,0,-117,0
9,227,114,1,0,0,-117,0
10,227,114,1,0,0,-117,0
11,227,114,1,0,0,-117,0
12,227,114,1,0,0,-117,0
13,227,114,1,0,0,-117,0
14,227,114,1,0,0,-117,0
15,227,114,1,0,0,-117,0
16,227,114,1,0,0,-117,0
17,227,114,1,0,0,-117,0
18,227,114,1,0,0,-117,0
19,227,114,1,0,0,-117,0
20,227,114,1,0,0,-117,0
21,227,114,1,0,0,-117,0
22,227,114,1,0,0,-117,0
23,227,114,1,0,0,-117,0
24,227,114,1,0,0,-117,0
25,227,114,1,0,0,-117,0
26,227,114,1,0,0,-117,0
27,227,114,1,0,0,-117,0
28,227,114,1,0,0,-117,0
29,227,114,1,0,0,-117,0
30,227,114,1,0,0,-117,0
31,227,114,1,0,0,-117,0
32,227,114,1,0,0,-117,0
33,227,114,1,0,0,-117,0
34,227,114,1,0,0,-117,0
35,227,114,1,0,0,-117,0
36,227,114,1,0,0,-117,0
37,227,114,1,0,0,-117,0
38,227,114,1,0,0,-117,0
39,227,114,1,0,0,-117,0
40,227,114,1,0,0,-117,0
41,227,114,1,0,0,-117,0
42,227,114,1,0,0,-117,0
43,227,114,1,0,0,-117,0
44,227,114,1,0,0,-117,0
45,227,114,1,0,0,-117,0
46,227,114,1,0,0,-117,0
47,227,114,1,0,0,-117,0
48,227,114,1,0,0,-117,0
49,227,114,1,0,0,-117,0
50,227,114,1,0,0,-117,0
51,227,114,1,0,0,-117,0
52,227,114,1,0,0,-117,0
53,227,114,1,0,0,-117,0
54,227,114,1,0,0,-117,0
55,227,114,1,0,0,-117,0
56,227,114,1,0,0,-117,0
57,227,114,1,0,0,-117,0
58,227,114,1,0,0,-117,0
59,227,114,1,0,0,-117,0
60,239,114,1,0,-16,-117,0
61,239,114,1,0,-16,-117,0
62,239,114,1,0,-16,-117,0
63,239,114,1,0,-16,-117,0
64,239,114,1,0,-16,-117,0
65,239,114,1,0,-16,-117,0
66,239,114,1,0,-16,-117,0
67,239,114,1,0,-16,-117,0
68,239,114,1,0,-16,-117,0
69,239,114,1,0,-16,-117,0
70,239,114,1,0,-16,-117,0
71,239,114,1,0,-16,-117,0
72,239,114,1,0,-16,-117,0
73,239,114,1,0,-16,-117,0
74,239,114,1,0,-16,-117,0
75,239,114,1,0,-16,-117,0
76,239,114,1,0,-16,-117,0
77,239,114,1,0,-16,-117,0
78,239,114,1,0,-16,-117,0
79,239,114,1,0,-16,-117,0
80,239,114,1,0,-16,-117,0
81,239,114,1,0,-16,-117,0
82,239,114,1,0,-16,-117,0
83,239,114,1,0,-16,-117,0
84,239,114,1,0,-16,-117,0
85,239,114,1,0,-16,-117,0
86,239,114,1,0,-16,-117,0
87,239,114,1,0,-16,-117,0
88,239,114,1,0,-16,-117,0
89,239,114,1,0,-16,-117,0
90,239,114,1,0,-16,-117,0
91,239,114,1,0,-16,-117,0
92,239,114,1,0,-16,-117,0
93,239,114,1,0,-16,-117,0
94,239,114,1,0,-16,-117,0
95,239,114,1,0,-16,-117,0
96,239,114,1,0,-16,-117,0
97,239,114,1,0,-16,-117,0
98,239,114,1,0,-16,-117,0
99,239,114,1,0,-16,-117,0
100,239,114,1,0,-16,-117,0
101,239,114,1,0,-16,-117,0
102,239,114,1,0,-16,-117,0
103,239,114,1,0,-16,-117,0
104,239,114,1,0,-16,-117,0
105,239,114,1,0,-16,-117,0
106,239,114,1,0,-16,-117,0
107,239,114,1,0,-16,-117,0
108,239,114,1,0,-16,-117,0
109,239,114,1,0,-16,-117,0
110,239,114,1,0,-16,-117,0
111,239,114,1,0,-16,-117,0
112,239,114,1,0,-16,-117,0
113,239,114,1,0,-16,-117,0
114,239,114,1,0,-16,-117,0
115,239,114,1,0,-16,-117,0
116,239,114,1,0,-16,-117,0
117,239,114,1,0,-16,-117,0
118,239,114,1,0,-16,-117,0
119,239,114,1,0,-16,-117,0
120,239,114,1,0,-16,-117,0
121,239,114,1,0,-16,-117,0
122,206,117,1,0,24,-117,0
123,206,117,1,0,24,-117,0
124,206,117,1,0,24,-117,0
125,206,117,1,0,24,-117,0
126,206,117,1,0,24,-117,0
127,206,117,1,0,24,-117,0
128,206,117,1,0,24,-117,0
129,206,117,1,0,24,-117,0
130,206,117,1,0,24,-117,0
131,206,117,1,0,24,-117,0
132,206,117,1,0,24,-117,0
133,206,117,1,0,24,-117,0
134,206,117,1,0,24,-117,0
135,206,117,1,0,24,-117,0
136,206,117,1,0,24,-117,0
137,206,117,1,0,24,-117,0
138,206,117,1,0,24,-117,0
139,206,117,1,0,24,-117,0
140,206,117,1,0,24,-117,0
141,206,117,1,0,24,-117,0
142,206,117,1,0,24,-117,0
143,206,117,1,0,24,-117,0
144,206,117,1,0,24,-117,0
145,206,117,1,0,24,-117,0
146,206,117,1,0,24,-117,0
147,206,117,1,0,24,-117,0
148,206,117,1,0,24,-117,0
149,206,117,1,0,24,-117,0
150,206,117,1,0,24,-117,0
151,206,117,1,0,24,-117,0
152,206,117,1,0,24,-117,0
153,206,117,1,0,24,-117,0
154,206,117,1,0,24,-117,0
155,206,117,1,0,24,-117,0
156,206,117,1,0,24,-117,0
157,206,117,1,0,24,-117,0
158,206,117,1,0,24,-117,0
159,206,117,1,0,24,-117,0
160,206,117,1,0,24,-117,0
161,206,117,1,0,24,-117,0
162,206,117,1,0,24,-117,0
163,206,117,1,0,24,-117,0
164,206,117,1,0,24,-117,0
165,206,117,1,0,24,-117,0
166,206,117,1,0,24,-117,0
167,206,117,1,0,24,-117,0
168,206,117,1,0,24,-117,0
169,206,117,1,0,24,-117,0
170,206,117,1,0,24,-117,0
171,206,117,1,0,24,-117,0
172,206,117,1,0,24,-117,0
173,206,117,1,0,24,-117,0
174,206,117,1,0,24,-117,0
175,206,117,1,0,24,-117,0
176,206,117,1,0,24,-117,0
177,206,117,1,0,24,-117,0
178,206,117,1,0,24,-117,0
179,206,117,1,0,24,-117,0
180,206,117,1,0,24,-117,0
181,206,117,1,0,24,-117,0
182,206,117,1,0,24,-117,0
183,206,117,1,0,24,-117,0
184,206,117,1,0,24,-117,0
185,206,117,1,0,24,-117,0
186,206,117,1,0,24,-117,0
187,206,117,1,0,24,-117,0
188,206,117,1,0,24,-117,0
189,206,117,1,0,24,-117,0
190,206,117,1,0,24,-117,0
191,206,117,1,0,24,-117,0
192,206,117,1,0,24,-117,0
193,206,117,1,0,24,-117,0
194,206,117,1,0,24,-117,0
195,206,117,1,0,24,-117,0
196,206,117,1,0,24,-117,0
197,206,117,1,0,24,-117,0
198,206,117,1,0,24,-117,0
199,206,117,1,0,24,-117,0
200,206,117,1,0,24,-117,0
201,206,117,1,0,24,-117,0
202,206,117,1,0,24,-117,0
203,206,117,1,0,24,-117,0
204,206,117,1,0,24,-117,0
205,206,117,1,0,24,-117,0
206,206,117,1,0,24,-117,0
207,206,117,1,0,24,-117,0
208,206,117,1,0,24,-117,0
209,227,114,1,0,-1,-117,0
210,227,114,1,0,-1,-117,0
211,227,114,1,0,-1,-117,0
212,227,114,1,0,-1,-117,0
213,227,114,1,0,-1,-117,0
214,227,114,1,0,-1,-117,0
215,227,114,1,0,-1,-117,0
216,227,114,1,0,-1,-117,0
217,227,114,1,0,-1,-117,0
218,227,114,1,0,-1,-117,0
219,227,114,1,0,-1,-117,0
220,227,114,1,0,-1,-117,0
221,227,114,1,0,-1,-117,0
222,227,114,1,0,-1,-117,0
223,227,114,1,0,-1,-117,0
224,227,114,1,0,-1,-117,0
225,227,114,1,0,-1,-117,0
226,227,114,1,0,-1,-117,0
227,227,114,1,0,-1,-117,0
228,227,114,1,0,-1,-117,0
229,227,114,1,0,-1,-117,0
230,227,114,1,0,-1,-117,0
231,227,114,1,0,-1,-117,0
232,227,114,1,0,-1,-117,0
233,227,114,1,0,-1,-117,0
234,227,114,1,0,-1,-117,0
235,227,114,1,0,-1,-117,0
236,227,114,1,0,-1,-117,0
237,227,114,1,0,-1,-117,0
238,227,114,1,0,-1,-117,0
239,227,114,1,0,-1,-117,0
240,227,114,1,0,-1,-117,0
241,227,114,1,0,-1,-117,0
242,227,114,1,0,-1,-117,0
243,227,114,1,0,-1,-117,0
244,227,114,1,0,-1,-117,0
245,227,114,1,0,-1,-117,0
246,227,114,1,0,-1,-117,0
247,227,114,1,0,-1,-117,0
248,227,114,1,0,-1,-117,0
249,227,114,1,0,-1,-117,0
250,227,114,1,0,-1,-117,0
251,227,114,1,0,-1,-117,0
252,227,114,1,0,-1,-117,0
253,227,114,1,0,-1,-117,0
254,227,114,1,0,-1,-117,0
255,227,114,1,0,-1,-117,0
256,227,114,1,0,-1,-117,0
257,227,114,1,0,-1,-117,0
258,227,114,1,0,-1,-117,0
259,227,114,1,0,-1,-117,0
260,227,114,1,0,-1,-117,0
261,227,114,1,0,-1,-117,0
262,227,114,1,0,-1,-117,0
263,227,114,1,0,-1,-117,0
264,227,114,1,0,-1,-117,0
265,227,114,1,0,-1,-117,0
266,227,114,1,0,-1,-117,0
267,227,114,1,0,-1,-117,0
268,227,114,1,0,-1,-117,0
269,227,114,1,0,-1,-117,0
270,227,114,1,0,-1,-117,0
271,227,114,1,0,-1,-117,0
