t,x,y,fh,fv,r,s,frame:
0,95,107,0,0,0,-99,1
1,95,107,0,0,0,-99,1
2,95,107,0,0,0,-99,1
3,95,106,0,0,0,-99,1
4,95,106,0,0,0,-99,1
5,95,106,0,0,0,-99,1
6,95,106,0,0,0,-99,1
7,95,106,0,0,0,-99,1
8,95,106,0,0,0,-99,1
9,95,106,0,0,0,-99,1
10,95,106,0,0,0,-99,1
11,95,106,0,0,0,-99,1
12,95,106,0,0,0,-99,1
13,95,106,0,0,0,-99,1
14,95,106,0,0,0,-99,1
15,95,106,0,0,0,-99,1
16,95,106,0,0,0,-99,1
17,95,106,0,0,0,-99,1
18,95,106,0,0,0,-99,1
19,95,106,0,0,0,-99,1
20,95,106,0,0,0,-99,1
21,95,106,0,0,0,-99,1
22,95,106,0,0,0,-99,1
23,95,106,0,0,0,-99,1
24,95,106,0,0,0,-99,1
25,95,106,0,0,0,-99,1
26,95,106,0,0,0,-99,1
27,95,106,0,0,0,-99,1
28,95,106,0,0,0,-99,1
29,95,106,0,0,0,-99,1
30,95,106,0,0,0,-99,1
31,95,106,0,0,0,-99,1
32,95,106,0,0,0,-99,1
33,95,106,0,0,0,-99,1
34,95,106,0,0,0,-99,1
35,95,106,0,0,0,-99,1
36,95,106,0,0,0,-99,1
37,95,106,0,0,0,-99,1
38,95,106,0,0,0,-99,1
39,95,106,0,0,0,-99,1
40,95,106,0,0,0,-99,1
41,95,106,0,0,0,-99,1
42,95,106,0,0,0,-99,1
43,95,106,0,0,0,-99,1
44,95,106,0,0,0,-99,1
45,95,106,0,0,0,-99,1
46,95,106,0,0,0,-99,1
47,95,106,0,0,0,-99,1
48,95,106,0,0,0,-99,1
49,95,106,0,0,0,-99,1
50,95,106,0,0,0,-99,1
51,95,106,0,0,0,-99,1
52,95,106,0,0,0,-99,1
53,95,106,0,0,0,-99,1
54,95,106,0,0,0,-99,1
55,95,106,0,0,0,-99,1
56,95,106,0,0,0,-99,1
57,95,107,0,0,0,-99,1
58,95,107,0,0,0,-99,1
59,95,107,0,0,0,-99,1
60,95,107,0,0,0,-99,1
61,95,107,0,0,0,-99,1
62,95,107,0,0,0,-99,1
63,95,107,0,0,0,-99,1
64,95,107,0,0,0,-99,1
65,112,77,0,0,0,-144,0
66,112,77,0,0,0,-144,0
67,112,77,0,0,0,-144,0
68,112,76,0,0,0,-144,0
69,112,76,0,0,0,-144,0
70,112,76,0,0,0,-144,0
71,112,76,0,0,0,-144,0
72,112,76,0,0,0,-144,0
73,112,77,0,0,0,-144,0
74,112,77,0,0,0,-144,0
75,112,77,0,0,0,-144,0
76,112,77,0,0,0,-144,0
77,112,77,0,0,0,-144,0
78,112,77,0,0,0,-144,0
79,112,77,0,0,0,-144,0
80,112,77,0,0,0,-144,0
81,112,77,0,0,0,-144,0
82,112,77,0,0,0,-144,0
83,112,77,0,0,0,-144,0
84,112,77,0,0,0,-144,0
85,112,77,0,0,0,-144,0
86,112,77,0,0,0,-144,0
87,112,77,0,0,0,-144,0
88,112,77,0,0,0,-144,0
89,112,77,0,0,0,-144,0
90,112,77,0,0,0,-144,0
91,112,77,0,0,0,-144,0
92,112,77,0,0,0,-144,0
93,112,77,0,0,0,-144,0
94,112,77,0,0,0,-144,0
95,112,77,0,0,0,-144,0
96,112,77,0,0,0,-144,0
97,112,77,0,0,0,-144,0
98,112,77,0,0,0,-144,0
99,112,77,0,0,0,-144,0
100,112,77,0,0,0,-144,0
101,112,77,0,0,0,-144,0
102,112,77,0,0,0,-144,0
103,112,77,0,0,0,-144,0
104,112,77,0,0,0,-144,0
105,112,77,0,0,0,-144,0
106,112,77,0,0,0,-144,0
107,112,77,0,0,0,-144,0
108,112,77,0,0,0,-144,0
109,112,77,0,0,0,-144,0
110,112,77,0,0,0,-144,0
111,112,77,0,0,0,-144,0
112,112,77,0,0,0,-144,0
113,112,77,0,0,0,-144,0
114,112,77,0,0,0,-144,0
115,112,77,0,0,0,-144,0
116,112,77,0,0,0,-144,0
117,112,77,0,0,0,-144,0
118,112,77,0,0,0,-144,0
119,112,77,0,0,0,-144,0
120,112,77,0,0,0,-144,0
121,112,77,0,0,0,-144,0
122,326,74,0,0,0,-144,0
123,326,74,0,0,0,-144,0
124,326,74,0,0,0,-144,0
125,326,74,0,0,0,-144,0
126,326,74,0,0,0,-144,0
127,326,74,0,0,0,-144,0
128,326,74,0,0,0,-144,0
129,326,74,0,0,0,-144,0
130,326,74,0,0,0,-144,0
131,326,74,0,0,0,-144,0
132,326,74,0,0,0,-144,0
133,326,74,0,0,0,-144,0
134,326,74,0,0,0,-144,0
135,326,74,0,0,0,-144,0
136,326,74,0,0,0,-144,0
137,326,74,0,0,0,-144,0
138,326,74,0,0,0,-144,0
139,326,74,0,0,0,-144,0
140,326,74,0,0,0,-144,0
141,326,74,0,0,0,-144,0
142,326,74,0,0,0,-144,0
143,326,74,0,0,0,-144,0
144,326,74,0,0,0,-144,0
145,326,74,0,0,0,-144,0
146,326,74,0,0,0,-144,0
147,326,74,0,0,0,-144,0
148,326,74,0,0,0,-144,0
149,326,74,0,0,0,-144,0
150,326,74,0,0,0,-144,0
151,326,74,0,0,0,-144,0
152,326,74,0,0,0,-144,0
153,326,74,0,0,0,-144,0
154,326,74,0,0,0,-144,0
155,326,74,0,0,0,-144,0
156,326,74,0,0,0,-144,0
157,326,74,0,0,0,-144,0
158,326,74,0,0,0,-144,0
159,326,74,0,0,0,-144,0
160,326,74,0,0,0,-144,0
161,326,74,0,0,0,-144,0
162,326,74,0,0,0,-144,0
163,326,74,0,0,0,-144,0
164,326,74,0,0,0,-144,0
165,326,74,0,0,0,-144,0
166,326,74,0,0,0,-144,0
167,326,74,0,0,0,-144,0
168,326,74,0,0,0,-144,0
169,326,74,0,0,0,-144,0
170,326,74,0,0,0,-144,0
171,326,74,0,0,0,-144,0
172,326,74,0,0,0,-144,0
173,326,74,0,0,0,-144,0
174,326,74,0,0,0,-144,0
175,326,74,0,0,0,-144,0
176,326,74,0,0,0,-144,0
177,326,74,0,0,0,-144,0
178,326,74,0,0,0,-144,0
179,326,74,0,0,0,-144,0
