t,x,y,fh,fv,r,s,frame:
0,338,146,0,0,0,-155,1
1,338,146,0,0,0,-155,1
2,338,146,0,0,0,-155,1
3,338,146,0,0,0,-155,1
4,339,146,0,0,0,-155,1
5,339,146,0,0,0,-155,1
6,339,146,0,0,0,-155,1
7,339,146,0,0,0,-155,1
8,339,146,0,0,0,-155,1
9,339,146,0,0,0,-155,1
10,339,146,0,0,0,-155,1
11,339,146,0,0,0,-155,1
12,339,146,0,0,0,-155,1
13,339,146,0,0,0,-155,1
14,339,146,0,0,0,-155,1
15,339,146,0,0,0,-155,1
16,339,146,0,0,0,-155,1
17,339,146,0,0,0,-155,1
18,339,146,0,0,0,-155,1
19,339,146,0,0,0,-155,1
20,339,146,0,0,0,-155,1
21,339,146,0,0,0,-155,1
22,339,146,0,0,0,-155,1
23,339,146,0,0,0,-155,1
24,349,150,0,0,0,-155,0
25,349,150,0,0,0,-155,0
26,349,150,0,0,0,-155,0
27,349,150,0,0,0,-155,0
28,349,150,0,0,0,-155,0
29,349,150,0,0,0,-155,0
30,349,150,0,0,0,-155,0
31,350,150,0,0,0,-155,0
32,350,150,0,0,0,-155,0
33,350,150,0,0,0,-155,0
34,350,150,0,0,0,-155,0
35,350,150,0,0,0,-155,0
36,350,150,0,0,0,-155,0
37,350,150,0,0,0,-155,0
38,350,150,0,0,0,-155,0
39,350,150,0,0,0,-155,0
40,350,150,0,0,0,-155,0
41,350,150,0,0,0,-155,0
42,350,150,0,0,0,-155,0
43,350,150,0,0,0,-155,0
44,350,150,0,0,0,-155,0
45,350,150,0,0,0,-155,0
46,350,150,0,0,0,-155,0
47,350,150,0,0,0,-155,0
48,350,150,0,0,0,-155,0
49,350,150,0,0,0,-155,0
50,350,150,0,0,0,-155,0
51,350,150,0,0,0,-155,0
52,350,150,0,0,0,-155,0
53,350,150,0,0,0,-155,0
54,350,150,0,0,0,-155,0
55,350,150,0,0,0,-155,0
56,350,150,0,0,0,-155,0
57,350,150,0,0,0,-155,0
58,350,150,0,0,0,-155,0
59,350,150,0,0,0,-155,0
60,350,150,0,0,0,-155,0
61,350,150,0,0,0,-155,0
62,350,150,0,0,0,-155,0
63,350,150,0,0,0,-155,0
64,350,150,0,0,0,-155,0
65,350,150,0,0,0,-155,0
66,350,150,0,0,0,-155,0
67,350,150,0,0,0,-155,0
68,350,150,0,0,0,-155,0
69,350,150,0,0,0,-155,0
70,350,150,0,0,0,-155,0
71,350,150,0,0,0,-155,0
72,350,150,0,0,0,-155,0
73,350,150,0,0,0,-155,0
74,350,150,0,0,0,-155,0
75,350,150,0,0,0,-155,0
76,350,150,0,0,0,-155,0
77,350,150,0,0,0,-155,0
78,350,150,0,0,0,-155,0
79,350,150,0,0,0,-155,0
80,350,150,0,0,0,-155,0
81,350,150,0,0,0,-155,0
82,350,150,0,0,0,-155,0
83,350,150,0,0,0,-155,0
84,350,150,0,0,0,-155,0
85,350,150,0,0,0,-155,0
86,350,150,0,0,0,-155,0
87,350,150,0,0,0,-155,0
88,350,150,0,0,0,-155,0
89,350,150,0,0,0,-155,0
90,350,150,0,0,0,-155,0
91,350,150,0,0,0,-155,0
92,350,150,0,0,0,-155,0
93,350,150,0,0,0,-155,0
94,350,150,0,0,0,-155,0
95,350,150,0,0,0,-155,0
96,350,150,0,0,0,-155,0
97,350,150,0,0,0,-155,0
98,350,150,0,0,0,-155,0
99,350,150,0,0,0,-155,0
100,350,150,0,0,0,-155,0
101,350,150,0,0,0,-155,0
102,350,150,0,0,0,-155,0
103,350,150,0,0,0,-155,0
104,350,150,0,0,0,-155,0
105,350,150,0,0,0,-155,0
106,350,150,0,0,0,-155,0
