t,x,y,fh,fv,r,s,frame:
0,-289,72,1,0,66,-37,0
1,-289,72,1,0,66,-37,0
2,-289,72,1,0,66,-37,0
3,-289,72,1,0,66,-37,0
4,-289,72,1,0,66,-37,0
5,-289,72,1,0,66,-37,0
6,-289,72,1,0,66,-37,0
7,-289,72,1,0,66,-37,0
8,-289,72,1,0,66,-37,0
9,-289,72,1,0,66,-37,0
10,-289,72,1,0,66,-37,0
11,-289,72,1,0,66,-37,0
12,-289,72,1,0,66,-37,0
13,-289,72,1,0,66,-37,0
14,-289,72,1,0,66,-37,0
15,-289,72,1,0,66,-37,0
16,-289,72,1,0,66,-37,0
17,-289,72,1,0,66,-37,0
18,-289,72,1,0,66,-37,0
19,-289,72,1,0,66,-37,0
20,-289,72,1,0,66,-37,0
21,-289,72,1,0,66,-37,0
22,-289,72,1,0,66,-37,0
23,-289,72,1,0,66,-37,0
24,-289,72,1,0,66,-37,0
25,-289,72,1,0,66,-37,0
26,-289,72,1,0,66,-37,0
27,-289,72,1,0,66,-37,0
28,-289,72,1,0,66,-37,0
29,-289,72,1,0,66,-37,0
30,-289,72,1,0,66,-37,0
31,-289,72,1,0,66,-37,0
32,-289,72,1,0,66,-37,0
33,-289,72,1,0,66,-37,0
34,-289,72,1,0,66,-37,0
35,-289,72,1,0,66,-37,0
36,-289,72,1,0,66,-37,0
37,-289,72,1,0,66,-37,0
38,-289,72,1,0,66,-37,0
39,-289,72,1,0,66,-37,0
40,-289,72,1,0,66,-37,0
41,-289,72,1,0,66,-37,0
42,-289,72,1,0,66,-37,0
43,-289,72,1,0,66,-37,0
44,-289,72,1,0,66,-37,0
45,-289,72,1,0,66,-37,0
46,-289,72,1,0,66,-37,0
47,-289,72,1,0,66,-37,0
48,-289,72,1,0,66,-37,0
49,-289,72,1,0,66,-37,0
50,-289,72,1,0,66,-37,0
51,-289,72,1,0,66,-37,0
52,-289,72,1,0,66,-37,0
53,-289,72,1,0,66,-37,0
54,-289,72,1,0,66,-37,0
55,-289,72,1,0,66,-37,0
56,-289,72,1,0,66,-37,0
57,-289,72,1,0,66,-37,0
58,-289,72,1,0,66,-37,0
59,-289,72,1,0,66,-37,0
60,-289,72,1,0,66,-37,0
61,-289,72,1,0,66,-37,0
62,-289,72,1,0,66,-37,0
63,-289,72,1,0,66,-37,0
64,-289,72,1,0,66,-37,0
65,-289,72,1,0,66,-37,0
66,-289,72,1,0,66,-37,0
67,-289,72,1,0,66,-37,0
68,-289,72,1,0,66,-37,0
69,-289,72,1,0,66,-37,0
70,-289,72,1,0,66,-37,0
71,-289,72,1,0,66,-37,0
72,-289,72,1,0,66,-37,0
73,-289,72,1,0,66,-37,0
74,-289,72,1,0,66,-37,0
75,-289,72,1,0,66,-37,0
76,-289,72,1,0,65,-37,0
77,-289,72,1,0,64,-37,0
78,-289,72,1,0,63,-37,0
79,-289,72,1,0,62,-37,0
80,-289,72,1,0,61,-37,0
81,-289,72,1,0,60,-37,0
82,-288,70,1,0,59,-37,0
83,-283,65,1,0,58,-37,0
84,-280,60,1,0,57,-37,0
85,-277,57,1,0,56,-37,0
86,-273,55,1,0,55,-37,0
87,-270,52,1,0,54,-37,0
88,-268,51,1,0,53,-37,0
89,-262,50,1,0,52,-37,0
90,-253,50,1,0,51,-37,0
91,-238,49,1,0,50,-37,0
92,-233,49,1,0,49,-37,0
93,-223,49,1,0,48,-37,0
94,-213,49,1,0,47,-37,0
95,-208,49,1,0,46,-37,0
96,-201,49,1,0,45,-37,0
97,-192,49,1,0,44,-37,0
98,-179,49,1,0,43,-37,0
99,-170,51,1,0,42,-37,0
100,-164,51,1,0,41,-37,0
101,-157,51,1,0,40,-37,0
102,-153,51,1,0,39,-37,0
103,-151,51,1,0,38,-37,0
104,-150,51,1,0,37,-37,0
105,-149,51,1,0,36,-37,0
106,-149,51,1,0,35,-37,0
107,-149,51,1,0,34,-37,0
108,-149,51,1,0,33,-37,0
109,-149,51,1,0,32,-37,0
110,-149,51,1,0,31,-37,0
111,-149,51,1,0,30,-37,0
112,-149,51,1,0,29,-37,0
113,-149,51,1,0,28,-37,0
114,-149,51,1,0,27,-37,0
115,-149,51,1,0,26,-37,0
116,-149,51,1,0,25,-37,0
117,-149,51,1,0,24,-37,0
118,-149,51,1,0,23,-37,0
119,-149,51,1,0,22,-37,0
