t,x,y,fh,fv,r,s,frame:
0,196,-80,0,0,0,-87,0
1,196,-80,0,0,0,-87,0
2,196,-80,0,0,0,-87,0
3,196,-80,0,0,0,-87,0
4,196,-80,0,0,0,-87,0
5,196,-80,0,0,0,-87,0
6,196,-80,0,0,0,-87,0
7,196,-80,0,0,0,-84,0
8,196,-80,0,0,0,-81,0
9,196,-80,0,0,0,-78,0
10,196,-80,0,0,0,-75,0
11,196,-80,0,0,0,-72,0
12,196,-80,0,0,0,-69,0
13,196,-80,0,0,0,-66,0
14,196,-80,0,0,0,-63,0
15,196,-80,0,0,0,-60,0
16,196,-80,0,0,0,-57,0
17,196,-80,0,0,0,-54,0
18,196,-80,0,0,0,-51,0
19,196,-80,0,0,0,-48,0
20,196,-80,0,0,0,-45,0
21,196,-80,0,0,0,-42,0
22,196,-80,0,0,0,-39,0
23,196,-80,0,0,0,-36,0
24,196,-80,0,0,0,-33,0
25,196,-80,0,0,0,-30,0
26,196,-80,0,0,0,-27,0
27,196,-80,0,0,0,-24,0
28,196,-80,0,0,0,-21,0
29,196,-80,0,0,0,-18,0
30,196,-80,0,0,0,-15,0
31,196,-80,0,0,0,-12,0
32,196,-80,0,0,0,-9,0
33,196,-80,0,0,0,-6,0
34,196,-80,0,0,0,-3,0
35,196,-80,0,0,0,0,0
36,196,-80,0,0,0,3,0
37,196,-80,0,0,0,6,0
38,196,-80,0,0,0,9,0
39,196,-80,0,0,0,12,0
40,196,-80,0,0,0,15,0
41,196,-80,0,0,0,18,0
42,196,-80,0,0,0,21,0
43,196,-80,0,0,0,24,0
44,196,-80,0,0,0,27,0
45,196,-80,0,0,0,27,0
46,196,-80,0,0,0,27,0
47,196,-80,0,0,0,27,0
48,196,-80,0,0,0,24,0
49,196,-80,0,0,0,21,0
50,196,-80,0,0,0,18,0
51,196,-80,0,0,0,15,0
52,196,-80,0,0,0,12,0
53,196,-80,0,0,0,9,0
54,196,-80,0,0,0,6,0
55,196,-80,0,0,0,3,0
56,196,-80,0,0,0,0,0
57,196,-80,0,0,0,-3,0
58,196,-80,0,0,0,-6,0
59,196,-80,0,0,0,-9,0
60,196,-80,0,0,0,-12,0
61,196,-80,0,0,0,-15,0
62,196,-80,0,0,0,-18,0
63,196,-80,0,0,0,-21,0
64,196,-80,0,0,0,-24,0
65,196,-80,0,0,0,-27,0
66,196,-80,0,0,0,-30,0
67,196,-80,0,0,0,-33,0
68,196,-80,0,0,0,-36,0
69,196,-80,0,0,0,-39,0
70,196,-80,0,0,0,-42,0
71,196,-80,0,0,0,-45,0
72,196,-80,0,0,0,-48,0
73,196,-80,0,0,0,-51,0
74,196,-80,0,0,0,-54,0
75,196,-80,0,0,0,-57,0
76,196,-80,0,0,0,-60,0
77,196,-80,0,0,0,-63,0
78,196,-80,0,0,0,-66,0
79,196,-80,0,0,0,-69,0
80,196,-80,0,0,0,-72,0
81,196,-80,0,0,0,-75,0
82,196,-80,0,0,0,-78,0
83,196,-80,0,0,0,-81,0
84,196,-80,0,0,0,-84,0
85,196,-80,0,0,0,-87,0
86,196,-80,0,0,0,-87,0
87,196,-80,0,0,0,-87,0
88,194,-79,0,0,0,-87,0
89,156,-76,0,0,0,-84,0
90,118,-76,0,0,0,-81,0
91,-36,-74,0,0,0,-78,0
92,-134,-70,0,0,0,-75,0
93,-180,-60,0,0,0,-72,0
94,-186,-58,0,0,0,-69,0
95,-186,-58,0,0,0,-66,0
96,-183,-57,0,0,0,-63,0
97,-176,-57,0,0,0,-60,0
98,-174,-57,0,0,0,-57,0
99,-173,-57,0,0,0,-54,0
100,-173,-57,0,0,0,-51,0
101,-173,-57,0,0,0,-48,0
102,-173,-57,0,0,0,-45,0
103,-173,-57,0,0,0,-42,0
104,-173,-57,0,0,0,-39,0
105,-172,-57,0,0,0,-36,0
106,-170,-57,0,0,0,-33,0
107,-169,-57,0,0,0,-30,0
108,-169,-57,0,0,0,-27,0
109,-169,-57,0,0,0,-24,0
110,-169,-57,0,0,0,-21,0
111,-169,-57,0,0,0,-18,0
112,-168,-57,0,0,0,-15,0
113,-168,-57,0,0,0,-12,0
114,-168,-57,0,0,0,-9,0
115,-168,-57,0,0,0,-6,0
116,-167,-57,0,0,0,-3,0
117,-167,-57,0,0,0,0,0
118,-167,-57,0,0,0,3,0
119,-167,-57,0,0,0,6,0
120,-167,-57,0,0,0,9,0
121,-166,-57,0,0,0,12,0
122,-166,-57,0,0,0,15,0
123,-166,-57,0,0,0,18,0
124,-166,-57,0,0,0,21,0
125,-166,-57,0,0,0,24,0
126,-166,-57,0,0,0,27,0
127,-166,-57,0,0,0,30,0
128,-166,-56,0,0,0,33,0
129,-166,-56,0,0,0,36,0
130,-166,-56,0,0,0,39,0
131,-166,-56,0,0,0,42,0
132,-166,-56,0,0,0,45,0
133,-166,-56,0,0,0,48,0
134,-166,-56,0,0,0,51,0
135,-166,-56,0,0,0,51,0
136,-166,-56,0,0,0,51,0
137,-166,-56,0,0,0,51,0
138,-166,-56,0,0,0,48,0
139,-166,-56,0,0,0,45,0
140,-166,-56,0,0,0,42,0
141,-165,-56,0,0,0,39,0
142,-164,-56,0,0,0,36,0
143,-164,-56,0,0,0,33,0
144,-162,-57,0,0,0,30,0
145,-159,-58,0,0,0,27,0
146,-151,-60,0,0,0,24,0
147,-145,-62,0,0,0,21,0
148,-140,-63,0,0,0,18,0
149,-136,-64,0,0,0,15,0
150,-131,-65,0,0,0,12,0
151,-126,-65,0,0,0,9,0
152,-122,-65,0,0,0,6,0
153,-119,-66,0,0,0,3,0
154,-116,-67,0,0,0,0,0
155,-113,-67,0,0,0,-3,0
156,-110,-67,0,0,0,-6,0
157,-104,-67,0,0,0,-9,0
158,-99,-68,0,0,0,-12,0
159,-93,-68,0,0,0,-15,0
160,-86,-68,0,0,0,-18,0
161,-75,-69,0,0,0,-21,0
162,-67,-70,0,0,0,-24,0
163,-57,-70,0,0,0,-27,0
164,-51,-71,0,0,0,-30,0
165,-31,-71,0,0,0,-33,0
166,-16,-73,0,0,0,-36,0
167,-3,-74,0,0,0,-39,0
168,11,-75,0,0,0,-42,0
169,23,-76,0,0,0,-45,0
170,36,-76,0,0,0,-48,0
171,48,-76,0,0,0,-51,0
172,62,-78,0,0,0,-54,0
173,74,-79,0,0,0,-57,0
174,84,-82,0,0,0,-60,0
175,95,-83,0,0,0,-63,0
176,107,-84,0,0,0,-66,0
177,137,-84,0,0,0,-69,0
178,171,-84,0,0,0,-72,0
179,198,-84,0,0,0,-75,0
180,224,-84,0,0,0,-75,0
181,234,-86,0,0,0,-75,0
182,234,-86,0,0,0,-75,0
183,234,-86,0,0,0,-75,0
184,234,-86,0,0,0,-75,0
185,234,-86,0,0,0,-75,0
186,234,-86,0,0,0,-72,0
187,234,-86,0,0,0,-69,0
188,234,-86,0,0,0,-66,0
189,234,-86,0,0,0,-63,0
190,234,-86,0,0,0,-60,0
191,234,-86,0,0,0,-57,0
192,236,-87,0,0,0,-54,0
193,240,-89,0,0,0,-51,0
194,243,-91,0,0,0,-48,0
195,248,-93,0,0,0,-45,0
196,252,-97,0,0,0,-42,0
197,256,-101,0,0,0,-39,0
198,257,-102,0,0,0,-36,0
199,258,-102,0,0,0,-33,0
200,258,-102,0,0,0,-30,0
201,258,-102,0,0,0,-27,0
202,258,-102,0,0,0,-24,0
203,258,-102,0,0,0,-21,0
204,258,-102,0,0,0,-18,0
205,258,-102,0,0,0,-15,0
206,258,-102,0,0,0,-12,0
207,258,-102,0,0,0,-9,0
208,258,-102,0,0,0,-6,0
209,258,-102,0,0,0,-3,0
210,258,-102,0,0,0,0,0
211,258,-102,0,0,0,3,0
212,258,-102,0,0,0,6,0
213,258,-102,0,0,0,9,0
214,258,-102,0,0,0,12,0
215,258,-102,0,0,0,15,0
216,258,-102,0,0,0,18,0
217,258,-102,0,0,0,21,0
218,258,-102,0,0,0,24,0
219,258,-102,0,0,0,27,0
220,258,-102,0,0,0,30,0
221,258,-102,0,0,0,33,0
222,258,-102,0,0,0,36,0
223,258,-102,0,0,0,39,0
224,258,-102,0,0,0,42,0
225,258,-102,0,0,0,42,0
226,258,-102,0,0,0,42,0
227,258,-102,0,0,0,42,0
228,257,-102,0,0,0,42,0
229,253,-101,0,0,0,42,0
230,252,-101,0,0,0,42,0
231,247,-100,0,0,0,42,0
232,244,-99,0,0,0,42,0
233,238,-98,0,0,0,42,0
234,229,-96,0,0,0,39,0
235,221,-95,0,0,0,36,0
236,212,-94,0,0,0,33,0
237,204,-93,0,0,0,30,0
238,191,-92,0,0,0,27,0
239,181,-91,0,0,0,24,0
240,167,-89,0,0,0,21,0
241,151,-88,0,0,0,18,0
242,136,-88,0,0,0,15,0
243,120,-88,0,0,0,12,0
244,107,-88,0,0,0,9,0
245,90,-87,0,0,0,6,0
246,78,-87,0,0,0,3,0
247,65,-87,0,0,0,0,0
248,55,-85,0,0,0,-3,0
249,40,-85,0,0,0,-6,0
250,15,-85,0,0,0,-9,0
251,-1,-85,0,0,0,-12,0
252,-17,-84,0,0,0,-15,0
253,-30,-84,0,0,0,-18,0
254,-43,-84,0,0,0,-21,0
255,-51,-84,0,0,0,-24,0
256,-59,-83,0,0,0,-27,0
257,-65,-83,0,0,0,-30,0
258,-73,-82,0,0,0,-33,0
259,-80,-81,0,0,0,-36,0
260,-89,-79,0,0,0,-39,0
261,-101,-78,0,0,0,-42,0
262,-111,-77,0,0,0,-45,0
263,-120,-76,0,0,0,-48,0
264,-126,-75,0,0,0,-51,0
265,-136,-74,0,0,0,-54,0
266,-138,-74,0,0,0,-57,0
267,-145,-74,0,0,0,-60,0
268,-150,-73,0,0,0,-63,0
269,-160,-72,0,0,0,-66,0
270,-169,-71,0,0,0,-69,0
271,-182,-69,0,0,0,-72,0
272,-194,-68,0,0,0,-72,0
273,-200,-67,0,0,0,-72,0
274,-201,-67,0,0,0,-72,0
275,-201,-67,0,0,0,-72,0
276,-201,-67,0,0,0,-72,0
277,-201,-67,0,0,0,-72,0
278,-201,-67,0,0,0,-69,0
279,-202,-67,0,0,0,-66,0
280,-205,-67,0,0,0,-63,0
281,-208,-66,0,0,0,-60,0
282,-213,-66,0,0,0,-57,0
283,-220,-65,0,0,0,-54,0
284,-222,-65,0,0,0,-51,0
285,-222,-65,0,0,0,-48,0
286,-222,-65,0,0,0,-45,0
287,-222,-65,0,0,0,-42,0
288,-222,-65,0,0,0,-39,0
289,-222,-65,0,0,0,-36,0
290,-222,-65,0,0,0,-33,0
291,-222,-65,0,0,0,-30,0
292,-222,-65,0,0,0,-27,0
293,-222,-65,0,0,0,-24,0
294,-222,-65,0,0,0,-21,0
295,-222,-65,0,0,0,-18,0
296,-222,-65,0,0,0,-15,0
297,-222,-65,0,0,0,-12,0
298,-222,-65,0,0,0,-9,0
299,-222,-65,0,0,0,-6,0
300,-222,-65,0,0,0,-3,0
301,-222,-65,0,0,0,0,0
302,-222,-65,0,0,0,3,0
303,-222,-65,0,0,0,6,0
304,-222,-65,0,0,0,9,0
305,-222,-65,0,0,0,12,0
306,-222,-65,0,0,0,15,0
307,-220,-66,0,0,0,18,0
308,-218,-67,0,0,0,21,0
309,-216,-68,0,0,0,24,0
310,-210,-69,0,0,0,27,0
311,-203,-69,0,0,0,30,0
312,-195,-71,0,0,0,33,0
313,-186,-72,0,0,0,33,0
314,-178,-73,0,0,0,33,0
315,-173,-74,0,0,0,33,0
316,-168,-76,0,0,0,33,0
317,-162,-76,0,0,0,33,0
318,-156,-76,0,0,0,30,0
319,-149,-76,0,0,0,27,0
320,-140,-77,0,0,0,24,0
321,-132,-77,0,0,0,21,0
322,-123,-78,0,0,0,18,0
323,-112,-79,0,0,0,15,0
324,-100,-80,0,0,0,12,0
325,-88,-81,0,0,0,9,0
326,-70,-82,0,0,0,6,0
327,-57,-83,0,0,0,3,0
328,-48,-85,0,0,0,0,0
329,-41,-85,0,0,0,-3,0
330,-31,-86,0,0,0,-6,0
331,-26,-86,0,0,0,-9,0
332,-15,-86,0,0,0,-12,0
333,-9,-87,0,0,0,-15,0
334,-2,-87,0,0,0,-18,0
335,2,-87,0,0,0,-21,0
336,5,-87,0,0,0,-24,0
337,8,-88,0,0,0,-27,0
338,12,-88,0,0,0,-30,0
339,18,-88,0,0,0,-33,0
340,25,-88,0,0,0,-36,0
341,34,-88,0,0,0,-39,0
342,42,-87,0,0,0,-42,0
343,54,-86,0,0,0,-45,0
344,61,-86,0,0,0,-48,0
345,68,-86,0,0,0,-51,0
346,71,-86,0,0,0,-54,0
347,71,-86,0,0,0,-57,0
348,71,-86,0,0,0,-60,0
349,71,-86,0,0,0,-63,0
350,74,-86,0,0,0,-66,0
351,80,-84,0,0,0,-69,0
352,88,-83,0,0,0,-72,0
353,102,-80,0,0,0,-75,0
354,112,-78,0,0,0,-78,0
355,124,-76,0,0,0,-81,0
356,133,-76,0,0,0,-84,0
357,136,-76,0,0,0,-87,0
358,136,-76,0,0,0,-90,0
359,136,-76,0,0,0,-93,0
360,142,-75,0,0,0,-93,0
361,148,-75,0,0,0,-93,0
362,156,-75,0,0,0,-93,0
363,162,-76,0,0,0,-93,0
364,163,-76,0,0,0,-93,0
365,163,-76,0,0,0,-93,0
366,163,-77,0,0,0,-93,0
367,163,-77,0,0,0,-93,0
368,163,-77,0,0,0,-93,0
369,163,-77,0,0,0,-93,0
370,163,-77,0,0,0,-93,0
371,163,-77,0,0,0,-93,0
372,164,-77,0,0,0,-90,0
373,166,-77,0,0,0,-87,0
374,167,-77,0,0,0,-84,0
375,171,-77,0,0,0,-81,0
376,176,-77,0,0,0,-78,0
377,181,-76,0,0,0,-75,0
378,185,-76,0,0,0,-72,0
379,186,-76,0,0,0,-69,0
380,187,-76,0,0,0,-66,0
381,188,-76,0,0,0,-63,0
382,193,-75,0,0,0,-60,0
383,196,-74,0,0,0,-57,0
384,199,-74,0,0,0,-54,0
385,202,-74,0,0,0,-51,0
386,202,-74,0,0,0,-48,0
387,202,-74,0,0,0,-45,0
