t,x,y,fh,fv,r,s,frame:
0,472,72,1,0,0,-33,0
1,472,72,1,0,0,-33,0
2,472,72,1,0,0,-33,0
3,472,72,1,0,0,-33,0
4,472,72,1,0,0,-33,0
5,472,72,1,0,0,-33,0
6,472,72,1,0,0,-33,0
7,472,72,1,0,0,-33,0
8,472,72,1,0,0,-33,0
9,472,72,1,0,0,-33,0
10,472,72,1,0,0,-33,0
11,472,72,1,0,0,-33,0
12,472,72,1,0,0,-33,0
13,472,72,1,0,0,-33,0
14,472,72,1,0,0,-33,0
15,472,72,1,0,0,-33,0
16,472,72,1,0,0,-33,0
17,472,72,1,0,0,-33,0
18,472,72,1,0,0,-33,0
19,472,72,1,0,0,-33,0
20,472,72,1,0,0,-33,0
21,472,72,1,0,0,-33,0
22,472,72,1,0,0,-33,0
23,472,72,1,0,0,-33,0
24,472,72,1,0,0,-33,0
25,472,72,1,0,0,-33,0
26,472,72,1,0,0,-33,0
27,472,72,1,0,0,-33,0
28,472,72,1,0,0,-33,0
29,472,72,1,0,0,-33,0
30,472,72,1,0,0,-33,0
31,472,72,1,0,0,-33,0
32,472,72,1,0,0,-33,0
33,472,72,1,0,0,-33,0
34,472,72,1,0,0,-33,0
35,472,72,1,0,0,-33,0
36,472,72,1,0,0,-33,0
37,472,72,1,0,0,-33,0
38,472,72,1,0,0,-33,0
39,472,72,1,0,0,-33,0
40,472,72,1,0,0,-33,0
41,472,72,1,0,0,-33,0
42,472,72,1,0,0,-33,0
43,472,72,1,0,0,-33,0
44,472,72,1,0,0,-33,0
45,472,72,1,0,0,-33,0
46,472,72,1,0,0,-33,0
47,472,72,1,0,0,-33,0
48,472,72,1,0,0,-33,0
49,472,72,1,0,0,-33,0
50,472,72,1,0,0,-33,0
51,472,72,1,0,0,-33,0
52,472,72,1,0,0,-33,0
53,472,72,1,0,0,-33,0
54,472,72,1,0,0,-33,0
55,472,72,1,0,0,-33,0
56,472,72,1,0,0,-33,0
57,472,72,1,0,0,-33,0
58,472,72,1,0,0,-33,0
59,472,72,1,0,0,-33,0
60,472,72,1,0,0,-33,0
61,472,72,1,0,0,-33,0
62,472,72,1,0,0,-33,0
63,472,72,1,0,0,-33,0
64,472,72,1,0,0,-33,0
65,472,72,1,0,0,-33,0
66,472,72,1,0,0,-33,0
67,472,72,1,0,0,-33,0
68,472,72,1,0,0,-33,0
69,472,72,1,0,0,-33,0
70,472,72,1,0,0,-33,0
71,472,72,1,0,0,-33,0
72,472,72,1,0,0,-33,0
73,472,72,1,0,0,-33,0
74,472,72,1,0,0,-33,0
75,472,72,1,0,0,-33,0
76,472,72,1,0,0,-33,0
77,472,72,1,0,0,-33,0
78,472,72,1,0,0,-33,0
79,472,72,1,0,0,-33,0
80,472,72,1,0,0,-33,0
81,472,72,1,0,0,-33,0
82,472,72,1,0,0,-33,0
83,472,72,1,0,0,-33,0
84,472,72,1,0,0,-33,0
85,472,72,1,0,0,-33,0
86,472,72,1,0,0,-33,0
87,472,72,1,0,0,-33,0
88,472,72,1,0,0,-33,0
89,472,72,1,0,0,-33,0
90,472,72,1,0,0,-33,0
91,471,72,1,0,0,-33,0
92,471,71,1,0,0,-33,0
93,469,70,1,0,0,-33,0
94,469,70,1,0,0,-33,0
95,469,70,1,0,0,-33,0
96,467,69,1,0,0,-33,0
97,465,67,1,0,0,-33,0
98,462,67,1,0,0,-33,0
99,460,66,1,0,0,-33,0
100,459,66,1,0,0,-33,0
101,459,66,1,0,0,-33,0
102,459,66,1,0,0,-33,0
103,458,66,1,0,0,-33,0
104,458,66,1,0,0,-33,0
105,451,72,1,0,0,-33,0
106,445,77,1,0,0,-33,0
107,440,81,1,0,0,-33,0
108,437,82,1,0,0,-33,0
109,436,83,1,0,0,-33,0
110,436,83,1,0,0,-33,0
111,436,83,1,0,0,-33,0
112,436,83,1,0,0,-33,0
113,436,83,1,0,0,-33,0
114,436,83,1,0,0,-33,0
115,433,82,1,0,0,-33,0
116,430,79,1,0,0,-33,0
117,426,76,1,0,0,-33,0
118,422,72,1,0,0,-33,0
119,419,69,1,0,0,-33,0
120,419,68,1,0,0,-33,0
121,419,68,1,0,0,-33,0
122,419,68,1,0,0,-33,0
123,419,68,1,0,0,-33,0
124,419,68,1,0,0,-33,0
125,419,68,1,0,0,-33,0
126,419,68,1,0,0,-33,0
127,419,68,1,0,0,-33,0
128,418,69,1,0,0,-33,0
129,417,71,1,0,0,-33,0
130,416,74,1,0,0,-33,0
131,416,75,1,0,0,-33,0
132,415,76,1,0,0,-33,0
133,415,76,1,0,0,-33,0
134,415,76,1,0,0,-33,0
135,415,76,1,0,0,-33,0
136,415,76,1,0,0,-33,0
137,415,76,1,0,0,-33,0
138,415,76,1,0,0,-33,0
139,415,76,1,0,0,-33,0
140,415,76,1,0,0,-33,0
141,415,76,1,0,0,-33,0
142,415,76,1,0,0,-33,0
143,415,76,1,0,0,-33,0
144,415,76,1,0,0,-33,0
145,415,76,1,0,0,-33,0
146,415,76,1,0,0,-33,0
147,415,76,1,0,0,-33,0
148,415,76,1,0,0,-33,0
149,415,76,1,0,0,-33,0
150,415,76,1,0,0,-33,0
151,413,76,1,0,0,-33,0
152,411,76,1,0,0,-33,0
153,408,76,1,0,0,-33,0
154,405,76,1,0,0,-33,0
155,402,76,1,0,0,-33,0
156,401,76,1,0,0,-33,0
157,401,75,1,0,0,-33,0
158,401,75,1,0,0,-33,0
159,399,72,1,0,0,-33,0
160,393,69,1,0,0,-33,0
161,387,66,1,0,0,-33,0
162,382,65,1,0,0,-33,0
163,377,64,1,0,0,-33,0
164,374,63,1,0,0,-33,0
165,369,63,1,0,0,-33,0
166,365,64,1,0,0,-33,0
167,359,67,1,0,0,-33,0
168,350,72,1,0,0,-33,0
169,341,78,1,0,0,-33,0
170,333,83,1,0,0,-33,0
171,323,88,1,0,0,-33,0
172,316,90,1,0,0,-33,0
173,312,91,1,0,0,-33,0
174,310,91,1,0,0,-33,0
175,310,91,1,0,0,-33,0
176,309,90,1,0,0,-33,0
177,301,84,1,0,0,-33,0
178,297,82,1,0,0,-33,0
179,290,78,1,0,0,-33,0
180,280,74,1,0,0,-33,0
181,278,73,1,0,0,-33,0
182,278,73,1,0,0,-33,0
183,278,73,1,0,0,-33,0
184,278,73,1,0,0,-33,0
185,278,73,1,0,0,-33,0
186,278,73,1,0,0,-33,0
187,276,73,1,0,0,-33,0
188,272,72,1,0,0,-33,0
189,271,72,1,0,0,-33,0
190,271,72,1,0,0,-33,0
191,271,72,1,0,0,-33,0
192,271,72,1,0,3,-33,0
