t,x,y,fh,fv,r,s,frame:
0,-799,-7,0,0,0,-29,0
1,-798,-7,0,0,0,-29,0
2,-798,-7,0,0,0,-29,0
3,-797,-7,0,0,0,-29,0
4,-797,-7,0,0,0,-29,0
5,-796,-7,0,0,0,-29,0
6,-795,-7,0,0,0,-29,0
7,-794,-7,0,0,0,-29,0
8,-794,-7,0,0,0,-29,0
9,-793,-7,0,0,0,-29,0
10,-791,-7,0,0,0,-29,0
11,-790,-8,0,0,0,-29,0
12,-783,-22,0,0,0,-29,0
13,-783,-22,0,0,0,-29,0
14,-784,-21,0,0,0,-29,0
15,-785,-18,0,0,0,-29,0
16,-786,-17,0,0,0,-29,0
17,-787,-15,0,0,0,-29,0
18,-788,-14,0,0,0,-29,0
19,-790,-12,0,0,0,-29,0
20,-791,-11,0,0,0,-29,0
21,-791,-11,0,0,0,-29,0
22,-792,-10,0,0,0,-29,0
23,-793,-10,0,0,0,-29,0
24,-795,-9,0,0,0,-29,0
25,-798,-9,0,0,0,-29,0
26,-799,-8,0,0,0,-29,0
27,-801,-8,0,0,0,-29,0
28,-802,-8,0,0,0,-29,0
29,-804,-8,0,0,0,-29,0
30,-806,-9,0,0,0,-29,0
31,-808,-10,0,0,0,-29,0
32,-809,-11,0,0,0,-29,0
33,-810,-12,0,0,0,-29,0
34,-793,-42,0,0,0,-29,0
35,-790,-41,0,0,0,-29,0
36,-788,-40,0,0,0,-29,0
37,-786,-38,0,0,0,-29,0
38,-785,-37,0,0,0,-29,0
39,-782,-34,0,0,0,-29,0
40,-780,-32,0,0,0,-29,0
41,-777,-29,0,0,0,-29,0
42,-774,-25,0,0,0,-29,0
43,-769,-21,0,0,0,-29,0
44,-765,-17,0,0,0,-29,0
45,-761,-13,0,0,0,-29,0
46,-757,-10,0,0,0,-29,0
47,-752,-6,0,0,0,-29,0
48,-748,-3,0,0,0,-29,0
49,-744,-1,0,0,0,-29,0
50,-742,0,0,0,0,-29,0
51,-741,0,0,0,0,-29,0
52,-741,0,0,0,0,-29,0
53,-741,0,0,0,0,-29,0
54,-741,0,0,0,0,-29,0
55,-741,0,0,0,0,-29,0
56,-741,0,0,0,0,-29,0
57,-735,-2,0,0,0,-29,0
58,-728,-4,0,0,0,-29,0
59,-722,-7,0,0,0,-29,0
60,-717,-10,0,0,0,-29,0
61,-713,-12,0,0,0,-29,0
62,-710,-15,0,0,0,-29,0
63,-708,-16,0,0,0,-29,0
64,-705,-19,0,0,0,-29,0
65,-702,-21,0,0,0,-29,0
66,-700,-23,0,0,0,-29,0
67,-661,-45,0,0,0,-29,0
68,-658,-44,0,0,0,-29,0
69,-655,-40,0,0,0,-29,0
70,-649,-35,0,0,0,-29,0
71,-643,-30,0,0,0,-29,0
72,-637,-25,0,0,0,-29,0
73,-632,-21,0,0,0,-29,0
74,-627,-17,0,0,0,-29,0
75,-623,-13,0,0,0,-29,0
76,-619,-10,0,0,0,-29,0
77,-616,-8,0,0,0,-29,0
78,-613,-6,0,0,0,-29,0
79,-613,-5,0,0,0,-29,0
80,-612,-4,0,0,0,-29,0
81,-612,-4,0,0,0,-29,0
82,-612,-4,0,0,0,-29,0
83,-612,-4,0,0,0,-29,0
84,-612,-4,0,0,0,-29,0
85,-612,-4,0,0,0,-29,0
86,-612,-4,0,0,0,-29,0
87,-611,-4,0,0,0,-29,0
88,-607,-4,0,0,0,-29,0
89,-602,-4,0,0,0,-29,0
90,-596,-6,0,0,0,-29,0
91,-590,-7,0,0,0,-29,0
92,-584,-8,0,0,0,-29,0
93,-579,-10,0,0,0,-29,0
94,-576,-13,0,0,0,-29,0
95,-573,-16,0,0,0,-29,0
96,-571,-18,0,0,0,-29,0
97,-569,-20,0,0,0,-29,0
98,-568,-22,0,0,0,-29,0
99,-549,-36,0,0,0,-29,0
