t,x,y,fh,fv,r,s,frame:
0,119,124,1,0,0,-58,0
1,119,124,1,0,0,-58,0
2,119,124,1,0,0,-58,0
3,119,124,1,0,0,-58,0
4,119,124,1,0,0,-58,0
5,119,124,1,0,0,-58,0
6,119,124,1,0,0,-58,0
7,119,124,1,0,0,-58,0
8,119,124,1,0,0,-58,0
9,119,124,1,0,0,-58,0
10,119,124,1,0,0,-58,0
11,119,124,1,0,0,-58,0
12,119,124,1,0,0,-58,0
13,119,124,1,0,0,-58,0
14,119,124,1,0,0,-58,0
15,119,124,1,0,0,-58,0
16,119,124,1,0,0,-58,0
17,119,124,1,0,0,-58,0
18,119,124,1,0,0,-58,0
19,119,124,1,0,0,-58,0
20,119,124,1,0,0,-58,0
21,119,124,1,0,0,-58,0
22,119,124,1,0,0,-58,0
23,119,124,1,0,0,-58,0
24,119,124,1,0,0,-58,0
25,119,124,1,0,0,-58,0
26,119,124,1,0,0,-58,0
27,119,124,1,0,0,-58,0
28,119,124,1,0,0,-58,0
29,119,124,1,0,0,-58,0
30,119,124,1,0,0,-58,0
31,119,124,1,0,0,-58,0
32,119,124,1,0,0,-58,0
33,119,124,1,0,0,-58,0
34,119,124,1,0,0,-58,0
35,119,124,1,0,0,-58,0
36,119,124,1,0,0,-58,0
37,119,124,1,0,0,-58,0
38,119,124,1,0,0,-58,0
39,119,124,1,0,0,-58,0
40,119,124,1,0,0,-58,0
41,119,124,1,0,0,-58,0
42,119,124,1,0,0,-58,0
43,119,124,1,0,0,-58,0
44,119,124,1,0,0,-58,0
45,119,124,1,0,0,-58,0
46,119,124,1,0,0,-58,0
47,119,124,1,0,0,-58,0
48,119,124,1,0,0,-58,0
49,119,124,1,0,0,-58,0
50,119,124,1,0,0,-58,0
51,119,124,1,0,0,-58,0
52,119,124,1,0,0,-58,0
53,119,124,1,0,0,-58,0
54,119,124,1,0,0,-58,0
55,119,124,1,0,0,-58,0
56,119,124,1,0,0,-58,0
57,119,124,1,0,0,-58,0
58,119,124,1,0,0,-58,0
59,119,124,1,0,0,-58,0
60,119,124,1,0,0,-58,0
61,119,124,1,0,0,-58,0
62,119,124,1,0,0,-58,0
63,119,124,1,0,0,-58,0
64,119,124,1,0,0,-58,0
65,119,124,1,0,0,-58,0
66,119,124,1,0,0,-58,0
67,119,124,1,0,0,-58,0
68,119,124,1,0,0,-58,0
69,119,124,1,0,0,-58,0
70,119,124,1,0,0,-58,0
71,119,124,1,0,0,-58,0
72,119,124,1,0,0,-58,0
73,119,124,1,0,0,-58,0
74,119,124,1,0,0,-58,0
75,119,124,1,0,0,-58,0
76,119,124,1,0,0,-58,0
77,119,124,1,0,0,-58,0
78,119,124,1,0,0,-58,0
79,119,124,1,0,0,-58,0
80,119,124,1,0,0,-58,0
81,119,124,1,0,0,-58,0
82,119,124,1,0,0,-58,0
83,119,124,1,0,0,-58,0
84,119,124,1,0,0,-58,0
85,119,124,1,0,0,-58,0
86,119,124,1,0,0,-58,0
87,119,124,1,0,0,-58,0
88,119,124,1,0,0,-58,0
89,119,124,1,0,0,-58,0
90,119,124,1,0,0,-58,0
91,119,124,1,0,0,-58,0
92,114,126,1,0,-20,-58,0
93,117,127,1,0,-24,-58,0
94,120,129,1,0,-28,-58,0
95,123,130,1,0,-32,-58,0
96,125,131,1,0,-36,-58,0
97,125,131,1,0,-40,-58,0
98,125,131,1,0,-44,-58,0
99,125,131,1,0,-48,-58,0
100,127,132,1,0,-52,-58,0
101,129,135,1,0,-56,-58,0
102,133,138,1,0,-60,-58,0
103,137,141,1,0,-64,-58,0
104,141,144,1,0,-68,-58,0
105,144,146,1,0,-72,-58,0
106,147,148,1,0,-76,-58,0
107,150,151,1,0,-80,-58,0
108,153,153,1,0,-84,-58,0
109,157,155,1,0,-88,-58,0
110,160,158,1,0,-92,-58,0
111,164,159,1,0,-96,-58,0
112,168,161,1,0,-100,-58,0
113,170,162,1,0,-104,-58,0
114,175,165,1,0,-108,-58,0
115,179,167,1,0,-112,-58,0
116,183,170,1,0,-116,-58,0
117,187,173,1,0,-116,-58,0
118,193,178,1,0,-116,-58,0
119,201,182,1,0,-116,-58,0
120,212,186,1,0,-116,-58,0
121,223,187,1,0,-116,-58,0
122,228,187,1,0,-116,-58,0
123,228,187,1,0,-116,-58,0
124,228,187,1,0,-116,-58,0
125,228,187,1,0,-116,-58,0
126,228,187,1,0,-112,-58,0
127,229,187,1,0,-108,-58,0
128,229,187,1,0,-104,-58,0
129,229,187,1,0,-100,-58,0
130,229,187,1,0,-96,-58,0
131,229,187,1,0,-92,-58,0
132,233,188,1,0,-92,-58,0
133,239,192,1,0,-92,-58,0
134,247,196,1,0,-92,-58,0
135,253,198,1,0,-92,-58,0
136,254,199,1,0,-92,-58,0
137,255,199,1,0,-92,-58,0
138,255,199,1,0,-92,-58,0
139,255,199,1,0,-92,-58,0
140,255,199,1,0,-92,-58,0
141,255,199,1,0,-92,-58,0
142,255,200,1,0,-92,-58,0
143,255,200,1,0,-92,-58,0
144,255,200,1,0,-92,-58,0
145,255,200,1,0,-92,-58,0
146,255,200,1,0,-92,-58,0
147,255,200,1,0,-92,-58,0
148,255,200,1,0,-92,-58,0
149,255,200,1,0,-92,-58,0
150,255,200,1,0,-92,-58,0
151,255,200,1,0,-92,-58,0
152,255,200,1,0,-92,-58,0
153,255,200,1,0,-92,-58,0
154,255,200,1,0,-92,-58,0
155,255,200,1,0,-92,-58,0
156,255,200,1,0,-92,-58,0
157,255,200,1,0,-92,-58,0
158,255,200,1,0,-92,-58,0
159,255,200,1,0,-92,-58,0
160,255,200,1,0,-92,-58,0
161,255,200,1,0,-92,-58,0
162,255,200,1,0,-92,-58,0
163,255,200,1,0,-92,-58,0
164,255,200,1,0,-92,-58,0
165,255,200,1,0,-92,-58,0
166,255,200,1,0,-92,-58,0
167,255,200,1,0,-92,-58,0
168,255,200,1,0,-92,-58,0
169,255,200,1,0,-92,-58,0
170,255,200,1,0,-92,-58,0
171,255,200,1,0,-92,-58,0
172,255,200,1,0,-92,-58,0
173,255,200,1,0,-92,-58,0
174,255,200,1,0,-92,-58,0
175,255,200,1,0,-92,-58,0
176,255,200,1,0,-92,-58,0
177,255,200,1,0,-92,-58,0
178,255,200,1,0,-92,-58,0
179,255,200,1,0,-92,-58,0
180,255,200,1,0,-92,-58,0
181,255,200,1,0,-92,-58,0
182,255,200,1,0,-92,-58,0
183,255,200,1,0,-92,-58,0
184,255,200,1,0,-92,-58,0
185,255,200,1,0,-92,-58,0
186,255,200,1,0,-92,-58,0
187,255,200,1,0,-92,-58,0
188,255,200,1,0,-92,-58,0
189,255,200,1,0,-92,-58,0
190,255,200,1,0,-92,-58,0
191,255,200,1,0,-92,-58,0
192,255,200,1,0,-92,-58,0
193,255,200,1,0,-92,-58,0
194,255,200,1,0,-92,-58,0
195,255,200,1,0,-92,-58,0
196,255,200,1,0,-92,-58,0
197,255,200,1,0,-92,-58,0
198,255,200,1,0,-92,-58,0
199,255,200,1,0,-92,-58,0
200,255,200,1,0,-92,-58,0
201,255,200,1,0,-92,-58,0
202,255,200,1,0,-92,-58,0
203,255,200,1,0,-92,-58,0
204,255,200,1,0,-92,-58,0
205,255,200,1,0,-92,-58,0
206,255,200,1,0,-92,-58,0
207,255,200,1,0,-92,-58,0
208,255,200,1,0,-92,-58,0
209,255,200,1,0,-92,-58,0
210,255,200,1,0,-92,-58,0
211,255,200,1,0,-92,-58,0
212,255,200,1,0,-92,-58,0
213,255,200,1,0,-92,-58,0
214,255,200,1,0,-92,-58,0
215,255,200,1,0,-92,-58,0
216,255,200,1,0,-92,-58,0
217,255,200,1,0,-92,-58,0
218,255,200,1,0,-92,-58,0
219,255,200,1,0,-92,-58,0
220,255,200,1,0,-92,-58,0
221,255,200,1,0,-92,-58,0
222,255,200,1,0,-92,-58,0
223,255,200,1,0,-92,-58,0
224,255,200,1,0,-92,-58,0
225,255,200,1,0,-92,-58,0
226,255,200,1,0,-92,-58,0
227,255,200,1,0,-92,-58,0
228,255,200,1,0,-92,-58,0
229,255,200,1,0,-92,-58,0
230,255,200,1,0,-92,-58,0
231,255,200,1,0,-92,-58,0
232,255,200,1,0,-92,-58,0
233,255,200,1,0,-92,-58,0
234,255,200,1,0,-92,-58,0
235,255,200,1,0,-92,-58,0
236,255,200,1,0,-92,-58,0
237,255,200,1,0,-92,-58,0
238,255,200,1,0,-92,-58,0
239,255,200,1,0,-92,-58,0
240,255,200,1,0,-92,-58,0
241,255,200,1,0,-92,-58,0
242,255,200,1,0,-92,-58,0
243,255,200,1,0,-92,-58,0
244,255,200,1,0,-92,-58,0
245,255,200,1,0,-92,-58,0
246,255,200,1,0,-92,-58,0
247,255,200,1,0,-92,-58,0
248,255,200,1,0,-92,-58,0
249,255,200,1,0,-92,-58,0
250,255,200,1,0,-92,-58,0
251,255,200,1,0,-92,-58,0
252,255,200,1,0,-92,-58,0
253,255,200,1,0,-92,-58,0
254,255,200,1,0,-92,-58,0
255,255,200,1,0,-92,-58,0
256,255,200,1,0,-92,-58,0
257,255,200,1,0,-92,-58,0
258,255,200,1,0,-92,-58,0
259,255,200,1,0,-92,-58,0
260,255,200,1,0,-92,-58,0
261,255,200,1,0,-92,-58,0
262,255,200,1,0,-92,-58,0
263,255,200,1,0,-92,-58,0
