t,x,y,fh,fv,r,s,frame:
0,15,81,1,0,0,-51,0
1,15,81,1,0,0,-51,0
2,15,81,1,0,0,-51,0
3,15,81,1,0,0,-51,0
4,15,81,1,0,0,-51,0
5,15,81,1,0,0,-51,0
6,15,81,1,0,0,-51,0
7,15,81,1,0,0,-51,0
8,15,81,1,0,0,-51,0
9,15,81,1,0,0,-51,0
10,15,81,1,0,0,-51,0
11,15,81,1,0,0,-51,0
12,15,81,1,0,0,-51,0
13,15,81,1,0,0,-51,0
14,15,81,1,0,0,-51,0
15,15,81,1,0,0,-51,0
16,15,81,1,0,0,-51,0
17,13,78,1,0,0,-51,0
18,7,74,1,0,0,-51,0
19,5,73,1,0,0,-51,0
20,-6,66,1,0,0,-51,0
21,-14,62,1,0,0,-51,0
22,-19,60,1,0,0,-51,0
23,-20,60,1,0,0,-51,0
24,-20,60,1,0,0,-51,0
25,-20,60,1,0,0,-51,0
26,-20,60,1,0,0,-51,0
27,-21,60,1,0,0,-51,0
28,-22,60,1,0,0,-51,0
29,-24,60,1,0,0,-51,0
30,-26,60,1,0,0,-51,0
31,-29,62,1,0,0,-51,0
32,-31,64,1,0,0,-51,0
33,-33,65,1,0,0,-51,0
34,-35,66,1,0,0,-51,0
35,-37,67,1,0,0,-51,0
36,-38,69,1,0,0,-51,0
37,-40,70,1,0,0,-51,0
38,-41,71,1,0,0,-51,0
39,-43,73,1,0,0,-51,0
40,-45,75,1,0,0,-51,0
41,-47,77,1,0,0,-51,0
42,-50,79,1,0,0,-51,0
43,-51,81,1,0,0,-51,0
44,-51,81,1,0,0,-51,0
45,-51,81,1,0,0,-51,0
46,-51,81,1,0,0,-51,0
47,-51,81,1,0,0,-51,0
48,-51,81,1,0,0,-51,0
49,-51,81,1,0,0,-51,0
50,-51,81,1,0,0,-51,0
51,-51,81,1,0,0,-51,0
52,-53,80,1,0,0,-51,0
53,-55,79,1,0,0,-51,0
54,-59,76,1,0,0,-51,0
55,-63,74,1,0,0,-51,0
56,-67,73,1,0,0,-51,0
57,-68,72,1,0,0,-51,0
58,-69,71,1,0,0,-51,0
59,-69,71,1,0,0,-51,0
60,-69,71,1,0,0,-51,0
61,-73,71,1,0,0,-51,0
62,-78,71,1,0,0,-51,0
63,-83,71,1,0,0,-51,0
64,-86,71,1,0,0,-51,0
65,-89,71,1,0,0,-51,0
66,-91,72,1,0,0,-51,0
67,-94,73,1,0,0,-51,0
68,-98,75,1,0,0,-51,0
69,-102,77,1,0,0,-51,0
70,-106,79,1,0,0,-51,0
71,-110,81,1,0,0,-51,0
72,-111,82,1,0,0,-51,0
73,-112,83,1,0,0,-51,0
74,-113,84,1,0,0,-51,0
75,-114,84,1,0,0,-51,0
76,-114,85,1,0,0,-51,0
77,-114,85,1,0,0,-51,0
78,-114,85,1,0,0,-51,0
79,-116,84,1,0,0,-51,0
80,-120,82,1,0,0,-51,0
81,-124,79,1,0,0,-51,0
82,-128,77,1,0,0,-51,0
83,-132,74,1,0,0,-51,0
