t,x,y,fh,fv,r,s,frame:
0,491,-40,0,0,0,-70,0
1,491,-40,0,0,0,-70,0
2,491,-40,0,0,0,-70,0
3,491,-40,0,0,0,-70,0
4,491,-40,0,0,0,-70,0
5,491,-40,0,0,0,-70,0
6,491,-40,0,0,0,-70,0
7,491,-40,0,0,0,-70,0
8,491,-40,0,0,0,-70,0
9,491,-40,0,0,0,-70,0
10,491,-40,0,0,0,-70,0
11,491,-40,0,0,0,-70,0
12,491,-40,0,0,0,-70,0
13,491,-40,0,0,0,-70,0
14,491,-40,0,0,0,-70,0
15,491,-40,0,0,0,-70,0
16,491,-40,0,0,0,-70,0
17,491,-40,0,0,0,-70,0
18,491,-40,0,0,0,-70,0
19,491,-40,0,0,0,-70,0
20,491,-40,0,0,0,-70,0
21,491,-40,0,0,0,-70,0
22,491,-40,0,0,0,-70,0
23,491,-40,0,0,0,-70,0
24,491,-40,0,0,0,-70,0
25,491,-40,0,0,0,-70,0
26,491,-40,0,0,0,-70,0
27,491,-40,0,0,0,-70,0
28,491,-40,0,0,0,-70,0
29,491,-40,0,0,0,-70,0
30,491,-40,0,0,0,-70,0
31,491,-40,0,0,0,-70,0
32,491,-40,0,0,0,-70,0
33,491,-40,0,0,0,-70,0
34,491,-40,0,0,0,-70,0
35,491,-40,0,0,0,-70,0
36,491,-40,0,0,0,-70,0
37,491,-40,0,0,0,-70,0
38,491,-40,0,0,0,-70,0
39,491,-40,0,0,0,-70,0
40,491,-40,0,0,0,-70,0
41,491,-40,0,0,0,-70,0
42,491,-40,0,0,0,-70,0
43,491,-40,0,0,0,-70,0
44,491,-40,0,0,0,-70,0
45,491,-40,0,0,0,-70,0
46,491,-40,0,0,0,-70,0
47,491,-40,0,0,0,-70,0
48,491,-40,0,0,0,-70,0
49,491,-40,0,0,0,-70,0
50,491,-40,0,0,0,-70,0
51,491,-40,0,0,0,-70,0
52,491,-40,0,0,0,-70,0
53,491,-40,0,0,0,-70,0
54,491,-40,0,0,0,-70,0
55,491,-40,0,0,0,-70,0
56,491,-40,0,0,0,-70,0
57,491,-40,0,0,0,-70,0
58,491,-40,0,0,0,-70,0
59,491,-40,0,0,0,-70,0
60,491,-40,0,0,0,-70,0
61,491,-40,0,0,0,-70,0
62,491,-40,0,0,0,-70,0
63,491,-40,0,0,0,-70,0
64,491,-40,0,0,0,-70,0
65,491,-40,0,0,0,-70,0
66,491,-40,0,0,0,-70,0
67,491,-40,0,0,0,-70,1
68,491,-40,0,0,0,-70,1
69,491,-40,0,0,0,-70,1
70,491,-40,0,0,0,-70,1
71,491,-40,0,0,0,-70,1
72,491,-40,0,0,0,-70,1
73,491,-40,0,0,0,-70,1
74,491,-40,0,0,0,-70,1
75,491,-40,0,0,0,-70,1
76,491,-40,0,0,0,-70,1
77,491,-40,0,0,0,-70,1
78,491,-40,0,0,0,-70,1
79,491,-40,0,0,0,-70,1
80,491,-40,0,0,0,-70,1
81,491,-40,0,0,0,-70,1
82,491,-40,0,0,0,-70,1
83,491,-40,0,0,0,-70,1
84,491,-40,0,0,0,-70,1
85,491,-40,0,0,0,-70,1
86,491,-40,0,0,0,-70,1
87,491,-40,0,0,0,-70,1
88,491,-40,0,0,0,-70,1
89,491,-40,0,0,0,-70,1
90,491,-40,0,0,0,-70,1
91,491,-40,0,0,0,-70,1
92,491,-40,0,0,0,-70,1
93,491,-40,0,0,0,-70,1
94,491,-40,0,0,0,-70,1
95,491,-40,0,0,0,-70,1
96,491,-40,0,0,0,-70,1
97,491,-40,0,0,0,-70,1
98,491,-40,0,0,0,-70,1
99,491,-40,0,0,0,-70,1
100,491,-40,0,0,0,-70,1
101,491,-40,0,0,0,-70,1
102,491,-40,0,0,0,-70,1
103,491,-40,0,0,0,-70,1
104,491,-40,0,0,0,-70,1
105,491,-40,0,0,0,-70,1
106,491,-40,0,0,0,-70,1
107,491,-40,0,0,0,-70,1
108,491,-40,0,0,0,-70,1
109,491,-40,0,0,0,-70,1
110,491,-40,0,0,0,-70,1
111,491,-40,0,0,0,-70,1
112,491,-40,0,0,0,-70,1
113,491,-40,0,0,0,-70,1
114,491,-40,0,0,0,-70,1
115,491,-40,0,0,0,-70,1
116,491,-40,0,0,0,-70,1
117,491,-40,0,0,0,-70,1
118,491,-40,0,0,0,-70,1
119,491,-40,0,0,0,-70,1
120,491,-40,0,0,0,-70,1
121,491,-40,0,0,0,-70,1
122,491,-40,0,0,0,-70,1
123,491,-40,0,0,0,-70,1
124,491,-40,0,0,0,-70,1
125,491,-40,0,0,0,-70,1
126,491,-40,0,0,0,-70,1
127,491,-40,0,0,0,-70,1
128,491,-40,0,0,0,-70,1
129,491,-40,0,0,0,-70,1
130,491,-40,0,0,0,-70,1
131,491,-40,0,0,0,-70,1
132,491,-40,0,0,0,-70,1
133,491,-40,0,0,0,-70,1
134,491,-40,0,0,0,-70,1
135,491,-40,0,0,0,-70,1
136,491,-40,0,0,0,-70,1
137,491,-40,0,0,0,-70,1
138,491,-40,0,0,0,-70,1
139,491,-40,0,0,0,-70,1
140,491,-40,0,0,0,-70,1
141,491,-40,0,0,0,-70,1
142,491,-40,0,0,0,-70,1
143,491,-40,0,0,0,-70,1
144,491,-40,0,0,0,-70,1
145,491,-40,0,0,0,-70,1
146,491,-40,0,0,0,-70,2
147,491,-40,0,0,0,-70,2
148,491,-40,0,0,0,-70,2
149,491,-40,0,0,0,-70,2
150,491,-40,0,0,0,-70,2
151,491,-40,0,0,0,-70,2
152,491,-40,0,0,0,-70,2
153,491,-40,0,0,0,-70,2
154,491,-40,0,0,0,-70,2
155,491,-40,0,0,0,-70,2
156,491,-40,0,0,0,-70,2
157,491,-40,0,0,0,-70,2
158,491,-40,0,0,0,-70,2
159,491,-40,0,0,0,-70,2
160,491,-40,0,0,0,-70,2
161,491,-40,0,0,0,-70,2
162,491,-40,0,0,0,-70,2
163,491,-40,0,0,0,-70,2
164,491,-40,0,0,0,-70,2
165,491,-40,0,0,0,-70,2
166,491,-40,0,0,0,-70,2
167,491,-40,0,0,0,-70,2
168,491,-40,0,0,0,-70,2
169,491,-40,0,0,0,-70,2
170,491,-40,0,0,0,-70,2
171,491,-40,0,0,0,-70,2
172,491,-40,0,0,0,-70,2
173,491,-40,0,0,0,-70,2
174,491,-40,0,0,0,-70,2
175,491,-40,0,0,0,-70,2
176,491,-40,0,0,0,-70,2
177,491,-40,0,0,0,-70,2
178,491,-40,0,0,0,-70,2
179,491,-40,0,0,0,-70,2
180,491,-40,0,0,0,-70,2
181,491,-40,0,0,0,-70,2
182,491,-40,0,0,0,-70,2
183,491,-40,0,0,0,-70,2
184,491,-40,0,0,0,-70,2
185,491,-40,0,0,0,-70,2
186,491,-40,0,0,0,-70,2
187,491,-40,0,0,0,-70,2
188,491,-40,0,0,0,-70,2
189,491,-40,0,0,0,-70,2
190,491,-40,0,0,0,-70,2
191,491,-40,0,0,0,-70,2
192,491,-40,0,0,0,-70,2
193,491,-40,0,0,0,-70,2
194,491,-40,0,0,0,-70,2
195,491,-40,0,0,0,-70,2
196,491,-40,0,0,0,-70,2
197,491,-40,0,0,0,-70,2
198,491,-40,0,0,0,-70,2
199,491,-40,0,0,0,-70,2
200,491,-40,0,0,0,-70,2
201,491,-40,0,0,0,-70,2
202,491,-40,0,0,0,-70,2
203,491,-40,0,0,0,-70,2
204,491,-40,0,0,0,-70,2
205,491,-40,0,0,0,-70,2
206,491,-40,0,0,0,-70,2
207,491,-40,0,0,0,-70,2
208,491,-40,0,0,0,-70,2
209,491,-40,0,0,0,-70,2
210,491,-40,0,0,0,-70,2
211,491,-40,0,0,0,-70,2
212,491,-40,0,0,0,-70,2
213,491,-40,0,0,0,-70,2
214,491,-40,0,0,0,-70,2
215,491,-40,0,0,0,-70,2
216,491,-40,0,0,0,-70,2
217,491,-40,0,0,0,-70,2
218,491,-40,0,0,0,-70,2
219,491,-40,0,0,0,-70,2
220,491,-40,0,0,0,-70,2
221,491,-40,0,0,0,-70,2
222,491,-40,0,0,0,-70,2
223,491,-40,0,0,0,-70,2
224,491,-40,0,0,0,-70,2
225,491,-40,0,0,0,-70,2
226,491,-40,0,0,0,-70,2
227,491,-40,0,0,0,-70,2
228,491,-40,0,0,0,-70,2
229,491,-40,0,0,0,-70,2
230,491,-40,0,0,0,-70,2
231,491,-40,0,0,0,-70,2
232,491,-40,0,0,0,-70,2
233,491,-40,0,0,0,-70,2
234,491,-40,0,0,0,-70,2
235,491,-40,0,0,0,-70,2
236,491,-40,0,0,0,-70,2
237,491,-40,0,0,0,-70,1
238,491,-40,0,0,0,-70,1
239,491,-40,0,0,0,-70,1
240,491,-40,0,0,0,-70,1
241,491,-40,0,0,0,-70,1
242,491,-40,0,0,0,-70,1
243,491,-40,0,0,0,-70,1
244,491,-40,0,0,0,-70,1
245,491,-40,0,0,0,-70,1
246,491,-40,0,0,0,-70,1
247,491,-40,0,0,0,-70,1
248,491,-40,0,0,0,-70,1
249,491,-40,0,0,0,-70,1
250,491,-40,0,0,0,-70,1
251,491,-40,0,0,0,-70,1
252,491,-40,0,0,0,-70,1
253,491,-40,0,0,0,-70,1
254,491,-40,0,0,0,-70,1
255,491,-40,0,0,0,-70,1
256,491,-40,0,0,0,-70,1
257,491,-40,0,0,0,-70,1
258,491,-40,0,0,0,-70,1
259,491,-40,0,0,0,-70,1
260,491,-40,0,0,0,-70,1
261,491,-40,0,0,0,-70,1
262,491,-40,0,0,0,-70,1
263,491,-40,0,0,0,-70,1
264,491,-40,0,0,0,-70,1
265,491,-40,0,0,0,-70,1
266,491,-40,0,0,0,-70,1
267,491,-40,0,0,0,-70,1
268,491,-40,0,0,0,-70,1
269,491,-40,0,0,0,-70,1
270,491,-40,0,0,0,-70,1
271,491,-40,0,0,0,-70,1
272,491,-40,0,0,0,-70,1
273,491,-40,0,0,0,-70,1
274,491,-40,0,0,0,-70,1
275,491,-40,0,0,0,-70,1
276,491,-40,0,0,0,-70,1
277,491,-40,0,0,0,-70,1
278,491,-40,0,0,0,-70,1
279,491,-40,0,0,0,-70,1
280,491,-40,0,0,0,-70,1
281,491,-40,0,0,0,-70,1
282,491,-40,0,0,0,-70,1
283,491,-40,0,0,0,-70,1
