t,x,y,fh,fv,r,s,frame:
0,445,-9,0,0,0,-82,0
1,445,-9,0,0,0,-82,0
2,445,-9,0,0,0,-82,0
3,445,-9,0,0,0,-82,0
4,445,-9,0,0,0,-82,0
5,445,-9,0,0,0,-82,0
6,445,-9,0,0,0,-82,0
7,445,-9,0,0,0,-82,0
8,445,-9,0,0,0,-82,0
9,445,-9,0,0,0,-82,0
10,445,-9,0,0,0,-82,0
11,445,-9,0,0,0,-82,0
12,445,-9,0,0,0,-82,0
13,445,-9,0,0,0,-82,0
14,445,-9,0,0,0,-82,0
15,445,-9,0,0,0,-82,0
16,445,-9,0,0,0,-82,0
17,445,-9,0,0,0,-82,0
18,444,-9,0,0,0,-82,0
19,444,-9,0,0,0,-82,0
20,443,-8,0,0,0,-82,0
21,443,-8,0,0,0,-82,0
22,442,-8,0,0,0,-82,0
23,442,-8,0,0,0,-82,0
24,441,-8,0,0,0,-82,0
25,441,-7,0,0,0,-82,0
26,441,-7,0,0,0,-82,0
27,441,-7,0,0,0,-82,0
28,441,-7,0,0,0,-82,0
29,441,-7,0,0,0,-82,0
30,441,-7,0,0,0,-82,0
31,440,-6,0,0,0,-82,0
32,440,-6,0,0,0,-82,0
33,439,-6,0,0,0,-82,0
34,439,-6,0,0,0,-82,0
35,439,-6,0,0,0,-82,0
36,439,-6,0,0,0,-82,0
37,439,-6,0,0,0,-82,0
38,439,-6,0,0,0,-82,0
39,439,-6,0,0,0,-82,0
40,438,-6,0,0,0,-82,0
41,438,-6,0,0,0,-82,0
42,438,-6,0,0,0,-82,0
43,438,-6,0,0,0,-82,0
44,438,-6,0,0,0,-82,0
45,438,-6,0,0,0,-82,0
46,438,-6,0,0,0,-82,0
47,438,-6,0,0,0,-82,0
48,437,-6,0,0,0,-82,0
49,437,-6,0,0,0,-82,0
50,437,-6,0,0,0,-82,0
51,437,-5,0,0,0,-82,0
52,437,-5,0,0,0,-82,0
53,436,-5,0,0,0,-82,0
54,436,-5,0,0,0,-82,0
55,436,-5,0,0,0,-82,0
56,436,-5,0,0,0,-82,0
57,436,-5,0,0,0,-82,0
58,435,-5,0,0,0,-82,0
59,435,-5,0,0,0,-82,0
60,435,-5,0,0,0,-82,0
61,435,-5,0,0,0,-82,0
62,435,-5,0,0,0,-82,0
63,434,-5,0,0,0,-82,0
64,434,-5,0,0,0,-82,0
65,434,-5,0,0,0,-82,0
66,434,-5,0,0,0,-82,0
67,434,-5,0,0,0,-82,0
68,434,-5,0,0,0,-82,0
69,433,-4,0,0,0,-82,0
70,433,-4,0,0,0,-82,0
71,433,-4,0,0,0,-82,0
72,433,-4,0,0,0,-82,0
73,433,-4,0,0,0,-82,0
74,433,-4,0,0,0,-82,0
75,432,-4,0,0,0,-82,0
76,432,-4,0,0,0,-82,0
77,432,-4,0,0,0,-82,0
78,432,-4,0,0,0,-82,0
79,432,-4,0,0,0,-82,0
80,432,-4,0,0,0,-82,0
81,432,-4,0,0,0,-82,0
82,432,-4,0,0,0,-82,0
83,432,-4,0,0,0,-82,0
84,432,-4,0,0,0,-82,0
85,432,-4,0,0,0,-82,0
86,432,-4,0,0,0,-82,0
87,432,-4,0,0,0,-82,0
88,432,-4,0,0,0,-82,0
89,432,-4,0,0,0,-82,0
90,432,-4,0,0,0,-82,0
91,432,-4,0,0,0,-82,0
92,432,-4,0,0,0,-82,0
93,432,-4,0,0,0,-82,0
94,432,-4,0,0,0,-82,0
95,432,-4,0,0,0,-82,0
96,431,-4,0,0,0,-82,0
97,431,-4,0,0,0,-82,0
98,431,-4,0,0,0,-82,0
99,431,-4,0,0,0,-82,0
100,431,-4,0,0,0,-82,0
101,431,-4,0,0,0,-82,0
102,431,-4,0,0,0,-82,0
103,431,-4,0,0,0,-82,0
104,431,-4,0,0,0,-82,0
105,431,-4,0,0,0,-82,0
106,431,-4,0,0,0,-82,0
107,430,-4,0,0,0,-82,0
108,429,-4,0,0,0,-82,0
109,428,-4,0,0,0,-82,0
110,427,-4,0,0,0,-82,0
111,427,-4,0,0,0,-82,0
112,427,-4,0,0,0,-82,0
113,427,-4,0,0,0,-82,0
114,427,-4,0,0,0,-82,0
115,426,-4,0,0,0,-82,0
116,426,-4,0,0,0,-82,0
117,426,-4,0,0,0,-82,0
118,426,-4,0,0,0,-82,0
119,426,-4,0,0,0,-82,0
120,426,-4,0,0,0,-82,0
121,425,-4,0,0,0,-82,0
122,425,-4,0,0,0,-82,0
123,425,-4,0,0,0,-82,0
124,425,-4,0,0,0,-82,0
125,425,-4,0,0,0,-82,0
126,425,-5,0,0,0,-82,0
127,425,-5,0,0,0,-82,0
128,425,-5,0,0,0,-82,0
129,425,-5,0,0,0,-82,0
130,425,-5,0,0,0,-82,0
131,425,-5,0,0,0,-82,0
132,424,-5,0,0,0,-82,0
133,424,-5,0,0,0,-82,0
134,424,-5,0,0,0,-82,0
135,424,-5,0,0,0,-82,0
136,424,-5,0,0,0,-82,0
137,424,-5,0,0,0,-82,0
138,424,-5,0,0,0,-82,0
139,424,-6,0,0,0,-82,0
140,424,-6,0,0,0,-82,0
141,424,-6,0,0,0,-82,0
142,423,-6,0,0,0,-82,0
143,423,-6,0,0,0,-82,0
144,423,-6,0,0,0,-82,0
145,423,-6,0,0,0,-82,0
146,423,-6,0,0,0,-82,0
147,423,-6,0,0,0,-82,0
148,423,-6,0,0,0,-82,0
149,423,-6,0,0,0,-82,0
150,423,-6,0,0,0,-82,0
151,423,-6,0,0,0,-82,0
152,423,-7,0,0,0,-82,0
153,423,-7,0,0,0,-82,0
154,423,-7,0,0,0,-82,0
155,423,-7,0,0,0,-82,0
156,423,-7,0,0,0,-82,0
157,423,-7,0,0,0,-82,0
158,423,-7,0,0,0,-82,0
159,423,-7,0,0,0,-82,0
160,423,-7,0,0,0,-82,0
161,423,-7,0,0,0,-82,0
162,423,-7,0,0,0,-82,0
163,423,-7,0,0,0,-82,0
164,423,-7,0,0,0,-82,0
165,423,-7,0,0,0,-82,0
166,423,-7,0,0,0,-82,0
167,423,-7,0,0,0,-82,0
168,423,-7,0,0,0,-82,0
169,423,-7,0,0,0,-82,0
170,423,-7,0,0,0,-82,0
171,423,-7,0,0,0,-82,0
172,423,-7,0,0,0,-82,0
173,423,-7,0,0,0,-82,0
174,423,-7,0,0,0,-82,0
175,423,-7,0,0,0,-82,0
176,423,-7,0,0,0,-82,0
177,423,-7,0,0,0,-82,0
178,423,-7,0,0,0,-82,0
179,423,-7,0,0,0,-82,0
180,423,-7,0,0,0,-82,0
181,423,-7,0,0,0,-82,0
182,423,-7,0,0,0,-82,0
183,423,-7,0,0,0,-82,0
184,423,-7,0,0,0,-82,0
185,423,-8,0,0,0,-82,0
186,423,-8,0,0,0,-82,0
187,423,-8,0,0,0,-82,0
188,423,-8,0,0,0,-82,0
189,423,-8,0,0,0,-82,0
190,423,-8,0,0,0,-82,0
191,423,-8,0,0,0,-82,0
192,424,-8,0,0,0,-82,0
193,424,-9,0,0,0,-82,0
194,424,-9,0,0,0,-82,0
195,424,-9,0,0,0,-82,0
196,424,-9,0,0,0,-82,0
197,424,-9,0,0,0,-82,0
198,424,-9,0,0,0,-82,0
199,424,-9,0,0,0,-82,0
200,424,-9,0,0,0,-82,0
201,424,-9,0,0,0,-82,0
202,424,-9,0,0,0,-82,0
203,424,-9,0,0,0,-82,0
204,425,-9,0,0,0,-82,0
205,425,-9,0,0,0,-82,0
206,425,-9,0,0,0,-82,0
207,426,-9,0,0,0,-82,0
208,426,-9,0,0,0,-82,0
209,426,-9,0,0,0,-82,0
210,426,-9,0,0,0,-82,0
211,426,-9,0,0,0,-82,0
212,427,-9,0,0,0,-82,0
213,427,-9,0,0,0,-82,0
214,427,-9,0,0,0,-82,0
215,427,-9,0,0,0,-82,0
216,427,-9,0,0,0,-82,0
217,427,-9,0,0,0,-82,0
218,427,-9,0,0,0,-82,0
219,427,-9,0,0,0,-82,0
220,428,-9,0,0,0,-82,0
221,428,-9,0,0,0,-82,0
222,428,-9,0,0,0,-82,0
223,428,-9,0,0,0,-82,0
224,428,-9,0,0,0,-82,0
225,428,-9,0,0,0,-82,0
226,428,-9,0,0,0,-82,0
227,429,-9,0,0,0,-82,0
228,429,-9,0,0,0,-82,0
229,429,-9,0,0,0,-82,0
230,429,-9,0,0,0,-82,0
231,429,-9,0,0,0,-82,0
232,429,-9,0,0,0,-82,0
233,430,-9,0,0,0,-82,0
234,430,-9,0,0,0,-82,0
235,430,-9,0,0,0,-82,0
236,430,-9,0,0,0,-82,0
237,430,-9,0,0,0,-82,0
238,430,-10,0,0,0,-82,0
239,431,-10,0,0,0,-82,0
240,431,-10,0,0,0,-82,0
241,431,-10,0,0,0,-82,0
242,431,-10,0,0,0,-82,0
243,431,-10,0,0,0,-82,0
244,432,-10,0,0,0,-82,0
245,432,-10,0,0,0,-82,0
246,432,-10,0,0,0,-82,0
247,432,-10,0,0,0,-82,0
