t,x,y,fh,fv,r,s,frame:
0,105,-91,0,0,0,41,0
1,105,-91,0,0,0,41,0
2,105,-91,0,0,0,41,0
3,105,-91,0,0,0,41,0
4,105,-91,0,0,0,41,0
5,105,-91,0,0,0,41,0
6,105,-91,0,0,0,41,0
7,105,-91,0,0,0,41,0
8,105,-91,0,0,0,41,0
9,105,-91,0,0,0,41,0
10,105,-91,0,0,0,41,0
11,105,-91,0,0,0,41,0
12,105,-91,0,0,0,41,0
13,105,-91,0,0,0,41,0
14,105,-91,0,0,0,41,0
15,105,-91,0,0,0,41,0
16,105,-91,0,0,0,41,0
17,105,-91,0,0,0,41,0
18,105,-91,0,0,0,41,0
19,105,-91,0,0,0,41,0
20,105,-91,0,0,0,41,0
21,105,-91,0,0,0,41,0
22,105,-91,0,0,0,41,0
23,105,-91,0,0,0,41,0
24,105,-91,0,0,0,41,0
25,105,-91,0,0,0,41,0
26,105,-91,0,0,0,41,0
27,105,-91,0,0,0,41,0
28,105,-91,0,0,0,41,0
29,105,-91,0,0,0,41,0
30,105,-91,0,0,0,41,0
31,105,-91,0,0,0,41,0
32,105,-91,0,0,0,41,0
33,105,-91,0,0,0,41,0
34,105,-91,0,0,0,41,0
35,105,-91,0,0,0,41,0
36,105,-91,0,0,0,41,0
37,105,-91,0,0,0,41,0
38,105,-91,0,0,0,41,0
39,105,-91,0,0,0,41,0
40,105,-91,0,0,0,41,0
41,105,-91,0,0,0,41,0
42,105,-91,0,0,0,41,0
43,105,-91,0,0,0,41,0
44,105,-91,0,0,0,41,0
45,105,-91,0,0,0,41,0
46,105,-91,0,0,0,41,0
47,105,-91,0,0,0,41,0
48,105,-91,0,0,0,41,0
49,105,-91,0,0,0,41,0
50,105,-91,0,0,0,41,0
51,105,-91,0,0,0,41,0
52,105,-91,0,0,0,41,0
53,105,-91,0,0,0,41,0
54,105,-91,0,0,0,41,0
55,105,-91,0,0,0,41,0
56,105,-91,0,0,0,41,0
57,105,-91,0,0,0,41,0
58,105,-91,0,0,0,41,0
59,105,-91,0,0,0,41,0
60,105,-91,0,0,0,41,0
61,105,-91,0,0,0,41,0
62,105,-91,0,0,0,41,0
63,105,-91,0,0,0,41,0
64,105,-91,0,0,0,41,0
65,105,-91,0,0,0,41,0
66,105,-91,0,0,0,41,0
67,105,-91,0,0,0,41,0
68,105,-91,0,0,0,41,0
69,105,-91,0,0,0,41,0
70,105,-91,0,0,0,41,0
71,105,-91,0,0,0,41,0
72,105,-91,0,0,0,41,0
73,105,-91,0,0,0,41,0
74,105,-91,0,0,0,41,0
75,105,-91,0,0,0,41,0
76,105,-91,0,0,0,41,0
77,105,-91,0,0,0,41,0
78,105,-91,0,0,0,41,0
79,105,-91,0,0,0,41,0
80,105,-91,0,0,0,41,0
81,105,-91,0,0,0,41,0
82,105,-91,0,0,0,41,0
83,105,-91,0,0,0,41,0
84,105,-91,0,0,0,41,0
85,105,-91,0,0,0,41,0
86,105,-91,0,0,0,41,0
87,105,-91,0,0,0,41,0
88,105,-91,0,0,0,41,0
89,105,-91,0,0,0,41,0
90,105,-91,0,0,0,41,0
91,105,-91,0,0,0,41,0
92,105,-91,0,0,0,41,0
93,105,-91,0,0,0,41,0
94,105,-91,0,0,0,41,0
95,105,-91,0,0,0,41,0
96,105,-91,0,0,0,41,0
97,105,-91,0,0,0,41,0
98,105,-91,0,0,0,41,0
99,105,-91,0,0,0,41,0
100,105,-91,0,0,0,41,0
101,105,-91,0,0,0,41,0
102,105,-91,0,0,0,41,0
103,105,-91,0,0,0,41,0
104,105,-91,0,0,0,41,0
105,105,-91,0,0,0,41,0
106,105,-91,0,0,0,41,0
107,105,-91,0,0,0,41,0
108,105,-91,0,0,0,41,0
109,105,-91,0,0,0,41,0
110,105,-91,0,0,0,41,0
111,105,-91,0,0,0,41,0
112,105,-91,0,0,0,41,0
113,105,-91,0,0,0,41,0
114,105,-91,0,0,0,41,0
115,105,-91,0,0,0,41,0
116,105,-91,0,0,0,41,0
117,105,-91,0,0,0,41,0
118,105,-91,0,0,0,41,0
119,105,-91,0,0,0,41,0
120,105,-91,0,0,0,41,0
121,105,-91,0,0,0,41,0
122,105,-91,0,0,0,41,0
123,105,-91,0,0,0,41,0
124,105,-91,0,0,0,41,0
125,105,-91,0,0,0,41,0
126,105,-91,0,0,0,41,0
