t,x,y,fh,fv,r,s,frame:
0,-303,271,0,0,0,-70,0
1,-303,271,0,0,0,-70,0
2,-303,271,0,0,0,-70,0
3,-303,271,0,0,0,-70,0
4,-303,271,0,0,0,-70,0
5,-303,271,0,0,0,-70,0
6,-303,271,0,0,0,-70,0
7,-302,270,0,0,0,-70,0
8,-299,267,0,0,0,-70,0
9,-295,263,0,0,0,-70,0
10,-288,256,0,0,0,-70,0
11,-278,248,0,0,0,-70,0
12,-262,240,0,0,0,-70,0
13,-256,239,0,0,0,-70,0
14,-254,239,0,0,0,-70,0
15,-254,237,0,0,0,-70,0
16,-254,237,0,0,0,-70,0
17,-254,237,0,0,0,-70,0
18,-253,238,0,0,0,-70,0
19,-251,243,0,0,0,-70,0
20,-248,248,0,0,0,-70,0
21,-245,252,0,0,0,-70,0
22,-243,253,0,0,0,-70,0
23,-240,256,0,0,0,-70,0
24,-240,257,0,0,0,-70,0
25,-240,257,0,0,0,-70,0
26,-240,257,0,0,0,-70,0
27,-240,257,0,0,0,-70,0
28,-240,257,0,0,0,-70,0
29,-240,257,0,0,0,-70,0
30,-240,257,0,0,0,-70,0
31,-240,257,0,0,0,-70,0
32,-239,256,0,0,0,-70,0
33,-237,254,0,0,0,-70,0
34,-234,250,0,0,0,-70,0
35,-229,245,0,0,0,-70,0
36,-223,240,0,0,0,-70,0
37,-218,235,0,0,0,-70,0
38,-213,231,0,0,0,-70,0
39,-209,228,0,0,0,-70,0
40,-206,226,0,0,0,-70,0
41,-203,225,0,0,0,-70,0
42,-201,225,0,0,0,-70,0
43,-199,225,0,0,0,-70,0
44,-197,225,0,0,0,-70,0
45,-191,227,0,0,0,-70,0
46,-186,229,0,0,0,-70,0
47,-179,233,0,0,0,-70,0
48,-176,235,0,0,0,-70,0
49,-174,236,0,0,0,-70,0
50,-174,237,0,0,0,-70,0
51,-174,238,0,0,0,-70,0
52,-173,238,0,0,0,-70,0
53,-173,238,0,0,0,-70,0
54,-173,239,0,0,0,-70,0
55,-173,239,0,0,0,-70,0
56,-173,239,0,0,0,-70,0
57,-173,239,0,0,0,-70,0
58,-173,239,0,0,0,-70,0
59,-173,239,0,0,0,-70,0
60,-173,239,0,0,0,-70,0
61,-171,235,0,0,0,-70,0
62,-168,231,0,0,0,-70,0
63,-165,227,0,0,0,-70,0
64,-162,223,0,0,0,-70,0
65,-154,216,0,0,0,-70,0
66,-143,209,0,0,0,-70,0
67,-138,205,0,0,0,-70,0
68,-135,204,0,0,0,-70,0
69,-135,204,0,0,0,-70,0
70,-135,204,0,0,0,-70,0
71,-135,204,0,0,0,-70,0
72,-132,207,0,0,0,-70,0
73,-129,212,0,0,0,-70,0
74,-125,216,0,0,0,-70,0
75,-122,219,0,0,0,-70,0
76,-121,219,0,0,0,-70,0
77,-120,219,0,0,0,-70,0
78,-120,219,0,0,0,-70,0
79,-120,219,0,0,0,-70,0
80,-120,219,0,0,0,-70,0
81,-117,217,0,0,0,-70,0
82,-109,210,0,0,0,-70,0
83,-103,205,0,0,0,-70,0
84,-93,198,0,0,0,-70,0
85,-89,195,0,0,0,-70,0
86,-77,188,0,0,0,-70,0
87,-70,185,0,0,0,-70,0
88,-63,184,0,0,0,-70,0
89,-58,183,0,0,0,-70,0
90,-54,183,0,0,0,-70,0
91,-48,184,0,0,0,-70,0
92,-43,187,0,0,0,-70,0
93,-40,189,0,0,0,-70,0
94,-37,191,0,0,0,-70,0
95,-35,192,0,0,0,-70,0
96,-34,193,0,0,0,-70,0
97,-34,193,0,0,0,-70,0
98,-34,193,0,0,0,-70,0
99,-34,193,0,0,0,-70,0
100,-33,192,0,0,0,-70,0
101,-30,190,0,0,0,-70,0
102,-26,186,0,0,0,-70,0
103,-18,178,0,0,0,-70,0
104,-11,170,0,0,0,-70,0
105,-8,167,0,0,0,-70,0
106,-8,167,0,0,0,-70,0
107,-8,167,0,0,0,-70,0
108,-7,167,0,0,0,-70,0
109,-5,168,0,0,0,-70,0
110,-3,171,0,0,0,-70,0
111,-2,172,0,0,0,-70,0
112,0,175,0,0,0,-70,0
113,2,177,0,0,0,-70,0
114,2,177,0,0,0,-70,0
115,2,177,0,0,0,-70,0
116,2,177,0,0,0,-70,0
117,5,176,0,0,0,-70,0
118,10,171,0,0,0,-70,0
119,15,165,0,0,0,-70,0
120,20,159,0,0,0,-70,0
121,24,154,0,0,0,-70,0
122,31,148,0,0,0,-70,0
123,39,142,0,0,0,-70,0
124,45,137,0,0,0,-70,0
125,55,132,0,0,0,-70,0
126,60,131,0,0,0,-70,0
127,61,131,0,0,0,-70,0
128,61,131,0,0,0,-70,0
129,61,131,0,0,0,-70,0
130,63,131,0,0,0,-70,0
131,67,135,0,0,0,-70,0
132,71,138,0,0,0,-70,0
133,75,141,0,0,0,-70,0
134,83,145,0,0,0,-70,0
135,88,147,0,0,0,-70,0
136,91,148,0,0,0,-70,0
137,91,148,0,0,0,-70,0
138,91,148,0,0,0,-70,0
139,91,148,0,0,0,-70,0
140,91,148,0,0,0,-70,0
141,91,148,0,0,0,-70,0
142,91,148,0,0,0,-70,0
143,91,148,0,0,0,-70,0
144,91,148,0,0,0,-70,0
145,91,148,0,0,0,-70,0
146,91,148,0,0,0,-70,0
147,91,148,0,0,0,-70,0
148,91,148,0,0,0,-70,0
149,91,148,0,0,0,-70,0
150,91,148,0,0,0,-70,0
151,91,148,0,0,0,-70,0
152,91,148,0,0,0,-70,0
153,91,148,0,0,0,-70,0
154,91,148,0,0,0,-70,0
155,91,148,0,0,0,-70,0
156,91,148,0,0,0,-70,0
157,91,148,0,0,0,-70,0
158,91,148,0,0,0,-70,0
159,91,148,0,0,0,-70,0
160,91,148,0,0,0,-70,0
161,91,148,0,0,0,-70,0
162,91,148,0,0,0,-70,0
163,91,148,0,0,0,-70,0
164,91,148,0,0,0,-70,0
165,91,148,0,0,0,-70,0
166,91,148,0,0,0,-70,0
167,91,148,0,0,0,-70,0
168,91,148,0,0,0,-70,0
169,91,148,0,0,0,-70,0
170,91,148,0,0,0,-70,0
171,91,148,0,0,0,-70,0
172,91,148,0,0,0,-70,0
173,91,148,0,0,0,-70,0
174,91,148,0,0,0,-70,0
175,91,148,0,0,0,-70,0
176,91,148,0,0,0,-70,0
177,91,148,0,0,0,-70,0
178,91,148,0,0,0,-70,0
179,91,148,0,0,0,-70,0
180,91,148,0,0,0,-70,0
181,91,148,0,0,0,-70,0
182,91,148,0,0,0,-70,0
183,91,148,0,0,0,-70,0
184,91,148,0,0,0,-70,0
185,91,148,0,0,0,-70,0
186,91,148,0,0,0,-70,0
187,91,148,0,0,0,-70,0
188,91,148,0,0,0,-70,0
189,91,148,0,0,0,-70,0
190,91,148,0,0,0,-70,0
191,91,148,0,0,0,-70,0
192,91,148,0,0,0,-70,0
193,91,148,0,0,0,-70,0
194,91,148,0,0,0,-70,0
195,91,148,0,0,0,-70,0
196,91,148,0,0,0,-70,0
197,91,148,0,0,0,-70,0
198,91,148,0,0,0,-70,0
199,91,148,0,0,0,-70,0
200,91,148,0,0,0,-70,0
201,91,148,0,0,0,-70,0
202,91,148,0,0,0,-70,0
203,91,148,0,0,0,-70,0
204,91,148,0,0,0,-70,0
205,91,148,0,0,0,-70,0
206,91,148,0,0,0,-70,0
207,91,148,0,0,0,-70,0
208,91,148,0,0,0,-70,0
209,91,148,0,0,0,-70,0
210,91,148,0,0,0,-70,0
211,91,148,0,0,0,-70,0
212,91,148,0,0,0,-70,0
213,91,148,0,0,0,-70,0
214,91,148,0,0,0,-70,0
215,91,148,0,0,0,-70,0
216,91,148,0,0,0,-70,0
217,91,148,0,0,0,-70,0
218,91,148,0,0,0,-70,0
219,91,148,0,0,0,-70,0
220,91,148,0,0,0,-70,0
221,91,148,0,0,0,-70,0
222,91,148,0,0,0,-70,0
