t,x,y,fh,fv,r,s,frame:
0,-423,-72,0,0,0,-90,0
1,-423,-72,0,0,0,-90,0
2,-423,-72,0,0,0,-90,0
3,-423,-72,0,0,0,-90,0
4,-423,-72,0,0,0,-90,0
5,-423,-72,0,0,0,-90,0
6,-423,-72,0,0,0,-90,0
7,-423,-72,0,0,0,-90,0
8,-423,-72,0,0,0,-90,0
9,-423,-72,0,0,0,-90,0
10,-423,-72,0,0,0,-90,0
11,-423,-72,0,0,0,-90,0
12,-423,-72,0,0,0,-90,0
13,-423,-72,0,0,0,-90,0
14,-422,-72,0,0,0,-90,0
15,-422,-72,0,0,0,-90,0
16,-422,-72,0,0,0,-90,0
17,-422,-72,0,0,0,-90,0
18,-421,-72,0,0,0,-90,0
19,-420,-72,0,0,0,-90,0
20,-420,-72,0,0,0,-90,0
21,-420,-72,0,0,0,-90,0
22,-420,-72,0,0,0,-90,0
23,-420,-72,0,0,0,-90,0
24,-419,-72,0,0,0,-90,0
25,-418,-72,0,0,0,-90,0
26,-418,-72,0,0,0,-90,0
27,-418,-72,0,0,0,-90,0
28,-417,-72,0,0,0,-90,0
29,-416,-72,0,0,0,-90,0
30,-416,-72,0,0,0,-90,0
31,-416,-72,0,0,0,-90,0
32,-415,-71,0,0,0,-90,0
33,-414,-71,0,0,0,-90,0
34,-414,-70,0,0,0,-90,0
35,-413,-69,0,0,0,-90,0
36,-413,-68,0,0,0,-90,0
37,-412,-68,0,0,0,-90,0
38,-411,-67,0,0,0,-90,0
39,-411,-66,0,0,0,-90,0
40,-410,-64,0,0,0,-90,0
41,-409,-64,0,0,0,-90,0
42,-409,-63,0,0,0,-90,0
43,-408,-62,0,0,0,-90,0
44,-408,-62,0,0,0,-90,0
45,-408,-62,0,0,0,-90,0
46,-407,-62,0,0,0,-90,0
47,-405,-61,0,0,0,-90,0
48,-403,-60,0,0,0,-90,0
49,-400,-59,0,0,0,-90,0
50,-399,-59,0,0,0,-90,0
51,-397,-59,0,0,0,-90,0
52,-397,-59,0,0,0,-90,0
53,-397,-59,0,0,0,-90,0
54,-396,-59,0,0,0,-90,0
55,-395,-59,0,0,0,-90,0
56,-394,-59,0,0,0,-90,0
57,-394,-59,0,0,0,-90,0
58,-394,-59,0,0,0,-90,0
59,-394,-59,0,0,0,-90,0
60,-394,-59,0,0,0,-90,0
61,-394,-59,0,0,0,-90,0
62,-393,-59,0,0,0,-90,0
63,-391,-60,0,0,0,-90,0
64,-390,-60,0,0,0,-90,0
65,-390,-61,0,0,0,-90,0
66,-389,-61,0,0,0,-90,0
67,-388,-62,0,0,0,-90,0
68,-387,-62,0,0,0,-90,0
69,-386,-63,0,0,0,-90,0
70,-385,-64,0,0,0,-90,0
71,-385,-64,0,0,0,-90,0
72,-385,-65,0,0,0,-90,0
73,-385,-65,0,0,0,-90,0
74,-385,-65,0,0,0,-90,0
75,-385,-65,0,0,0,-90,0
76,-385,-65,0,0,0,-90,0
77,-385,-65,0,0,0,-90,0
78,-385,-65,0,0,0,-90,0
79,-385,-65,0,0,0,-90,0
80,-385,-65,0,0,0,-90,0
81,-385,-65,0,0,0,-90,0
82,-385,-65,0,0,0,-90,0
83,-385,-65,0,0,0,-90,0
84,-385,-65,0,0,0,-90,0
85,-385,-65,0,0,0,-90,0
86,-385,-65,0,0,0,-90,0
87,-385,-65,0,0,0,-90,0
88,-385,-65,0,0,0,-90,0
89,-385,-66,0,0,0,-90,0
90,-385,-67,0,0,0,-90,0
91,-385,-67,0,0,0,-90,0
92,-385,-68,0,0,0,-90,0
93,-385,-68,0,0,0,-90,0
94,-385,-68,0,0,0,-90,0
95,-385,-70,0,0,0,-90,0
96,-385,-70,0,0,0,-90,0
97,-385,-70,0,0,0,-90,0
98,-385,-70,0,0,0,-90,0
99,-385,-70,0,0,0,-90,0
100,-385,-70,0,0,0,-90,0
101,-386,-71,0,0,0,-90,0
102,-386,-71,0,0,0,-90,0
103,-386,-71,0,0,0,-90,0
104,-386,-71,0,0,0,-90,0
105,-386,-71,0,0,0,-90,0
106,-386,-71,0,0,0,-90,0
107,-387,-71,0,0,0,-90,0
108,-387,-71,0,0,0,-90,0
109,-388,-71,0,0,0,-90,0
110,-388,-71,0,0,0,-90,0
111,-388,-71,0,0,0,-90,0
112,-389,-70,0,0,0,-90,0
113,-389,-70,0,0,0,-90,0
114,-390,-70,0,0,0,-90,0
115,-390,-68,0,0,0,-90,0
116,-391,-68,0,0,0,-90,0
117,-392,-68,0,0,0,-90,0
118,-393,-68,0,0,0,-90,0
119,-393,-67,0,0,0,-90,0
120,-394,-67,0,0,0,-90,0
121,-394,-66,0,0,0,-90,0
122,-394,-65,0,0,0,-90,0
123,-396,-64,0,0,0,-90,0
124,-397,-63,0,0,0,-90,0
125,-399,-61,0,0,0,-90,0
126,-400,-60,0,0,0,-90,0
127,-401,-59,0,0,0,-90,0
128,-401,-59,0,0,0,-90,0
129,-403,-58,0,0,0,-90,0
130,-404,-57,0,0,0,-90,0
131,-406,-57,0,0,0,-90,0
132,-406,-57,0,0,0,-90,0
133,-407,-56,0,0,0,-90,0
134,-409,-56,0,0,0,-90,0
135,-412,-55,0,0,0,-90,0
136,-416,-55,0,0,0,-90,0
137,-418,-55,0,0,0,-90,0
138,-420,-55,0,0,0,-90,0
139,-420,-55,0,0,0,-90,0
140,-420,-55,0,0,0,-90,0
141,-420,-55,0,0,0,-90,0
142,-420,-55,0,0,0,-90,0
143,-421,-55,0,0,0,-90,0
144,-423,-55,0,0,0,-90,0
145,-425,-55,0,0,0,-90,0
146,-427,-56,0,0,0,-90,0
147,-429,-56,0,0,0,-90,0
148,-431,-56,0,0,0,-90,0
149,-432,-57,0,0,0,-90,0
150,-432,-57,0,0,0,-90,0
151,-432,-57,0,0,0,-90,0
152,-432,-57,0,0,0,-90,0
153,-432,-57,0,0,0,-90,0
154,-433,-58,0,0,0,-90,0
155,-435,-59,0,0,0,-90,0
156,-436,-60,0,0,0,-90,0
157,-438,-61,0,0,0,-90,0
158,-440,-63,0,0,0,-90,0
159,-440,-63,0,0,0,-90,0
160,-441,-64,0,0,0,-90,0
161,-441,-64,0,0,0,-90,0
162,-441,-64,0,0,0,-90,0
163,-441,-64,0,0,0,-90,0
164,-441,-64,0,0,0,-90,0
165,-441,-64,0,0,0,-90,0
166,-441,-64,0,0,0,-90,0
167,-442,-64,0,0,0,-90,0
168,-442,-64,0,0,0,-90,0
169,-442,-64,0,0,0,-90,0
170,-442,-64,0,0,0,-90,0
171,-442,-64,0,0,0,-90,0
172,-442,-64,0,0,0,-90,0
173,-443,-64,0,0,0,-90,0
174,-443,-64,0,0,0,-90,0
175,-443,-64,0,0,0,-90,0
176,-443,-64,0,0,0,-90,0
177,-444,-64,0,0,0,-90,0
178,-445,-64,0,0,0,-90,0
179,-445,-64,0,0,0,-90,0
180,-445,-64,0,0,0,-90,0
181,-445,-64,0,0,0,-90,0
182,-446,-64,0,0,0,-90,0
183,-446,-64,0,0,0,-90,0
184,-446,-63,0,0,0,-90,0
185,-447,-63,0,0,0,-90,0
186,-448,-63,0,0,0,-90,0
187,-448,-63,0,0,0,-90,0
188,-448,-63,0,0,0,-90,0
189,-449,-62,0,0,0,-90,0
190,-449,-62,0,0,0,-90,0
191,-449,-62,0,0,0,-90,0
192,-449,-62,0,0,0,-90,0
193,-449,-62,0,0,0,-90,0
194,-449,-62,0,0,0,-90,0
195,-449,-62,0,0,0,-90,0
196,-449,-62,0,0,0,-90,0
197,-449,-62,0,0,0,-90,0
198,-449,-62,0,0,0,-90,0
199,-449,-61,0,0,0,-90,0
200,-449,-61,0,0,0,-90,0
201,-449,-61,0,0,0,-90,0
202,-449,-61,0,0,0,-90,0
203,-449,-61,0,0,0,-90,0
204,-449,-61,0,0,0,-90,0
205,-450,-62,0,0,0,-90,0
206,-451,-63,0,0,0,-90,0
207,-452,-64,0,0,0,-90,0
208,-452,-65,0,0,0,-90,0
209,-452,-65,0,0,0,-90,0
210,-452,-66,0,0,0,-90,0
211,-452,-67,0,0,0,-90,0
212,-452,-67,0,0,0,-90,0
213,-452,-67,0,0,0,-90,0
214,-452,-69,0,0,0,-90,0
215,-452,-70,0,0,0,-90,0
216,-452,-71,0,0,0,-90,0
217,-451,-73,0,0,0,-90,0
218,-451,-73,0,0,0,-90,0
219,-450,-74,0,0,0,-90,0
220,-448,-76,0,0,0,-90,0
221,-447,-76,0,0,0,-90,0
222,-444,-78,0,0,0,-90,0
