t,x,y,fh,fv,r,s,frame:
0,450,176,0,0,0,-106,0
1,450,176,0,0,0,-106,0
2,450,176,0,0,0,-106,0
3,450,176,0,0,0,-106,0
4,450,176,0,0,0,-106,0
5,450,176,0,0,0,-106,0
6,450,176,0,0,0,-106,0
7,452,176,0,0,0,-106,0
8,456,176,0,0,0,-106,0
9,461,175,0,0,0,-106,0
10,467,174,0,0,0,-106,0
11,471,173,0,0,0,-106,0
12,474,171,0,0,0,-106,0
13,477,169,0,0,0,-106,0
14,480,167,0,0,0,-106,0
15,482,165,0,0,0,-106,0
16,485,162,0,0,0,-106,0
17,489,159,0,0,0,-106,0
18,492,157,0,0,0,-106,0
19,494,155,0,0,0,-106,0
20,497,152,0,0,0,-106,0
21,499,151,0,0,0,-106,0
22,499,150,0,0,0,-106,0
23,502,148,0,0,0,-106,0
24,503,146,0,0,0,-106,0
25,504,145,0,0,0,-106,0
26,505,144,0,0,0,-106,0
27,506,143,0,0,0,-106,0
28,507,141,0,0,0,-106,0
29,509,139,0,0,0,-106,0
30,509,138,0,0,0,-106,0
31,509,138,0,0,0,-106,0
32,509,136,0,0,0,-106,0
33,509,133,0,0,0,-106,0
34,509,131,0,0,0,-106,0
35,509,129,0,0,0,-106,0
36,507,127,0,0,0,-106,0
37,505,126,0,0,0,-106,0
38,500,123,0,0,0,-106,0
39,497,122,0,0,0,-106,0
40,495,122,0,0,0,-106,0
41,493,121,0,0,0,-106,0
42,491,120,0,0,0,-106,0
43,490,120,0,0,0,-106,0
44,487,119,0,0,0,-106,0
45,483,117,0,0,0,-106,0
46,479,116,0,0,0,-106,0
47,475,114,0,0,0,-106,0
48,473,114,0,0,0,-106,0
49,473,113,0,0,0,-106,0
50,473,113,0,0,0,-106,0
51,473,113,0,0,0,-106,0
52,473,111,0,0,0,-106,0
53,472,107,0,0,0,-106,0
54,472,103,0,0,0,-106,0
55,472,97,0,0,0,-106,0
56,472,95,0,0,0,-106,0
57,473,93,0,0,0,-106,0
58,474,91,0,0,0,-106,0
59,476,88,0,0,0,-106,0
60,478,85,0,0,0,-106,0
61,481,82,0,0,0,-106,0
62,483,78,0,0,0,-106,0
63,485,76,0,0,0,-106,0
