t,x,y,fh,fv,r,s,frame:
0,343,273,1,0,-25,33,0
1,343,273,1,0,-25,33,0
2,343,273,1,0,-25,33,0
3,343,273,1,0,-25,33,0
4,343,273,1,0,-25,33,0
5,343,272,1,0,-25,33,0
6,343,272,1,0,-25,33,0
7,343,272,1,0,-25,33,0
8,343,272,1,0,-25,33,0
9,343,272,1,0,-25,33,0
10,343,272,1,0,-25,33,0
11,343,272,1,0,-25,33,0
12,343,272,1,0,-25,33,0
13,343,272,1,0,-25,33,0
14,343,272,1,0,-25,33,0
15,343,272,1,0,-25,33,0
16,343,272,1,0,-25,33,0
17,343,272,1,0,-25,33,0
18,343,272,1,0,-25,33,0
19,343,272,1,0,-25,33,0
20,343,272,1,0,-25,33,0
21,343,272,1,0,-25,33,0
22,343,272,1,0,-25,33,0
23,343,272,1,0,-25,33,0
24,343,272,1,0,-25,33,0
25,343,272,1,0,-25,33,0
26,343,272,1,0,-25,33,0
27,343,272,1,0,-25,33,0
28,343,272,1,0,-25,33,0
29,343,272,1,0,-25,33,0
30,343,272,1,0,-25,33,0
31,343,272,1,0,-25,33,0
32,343,272,1,0,-25,33,0
33,343,272,1,0,-25,33,0
34,343,272,1,0,-25,33,0
35,343,272,1,0,-25,33,0
36,343,272,1,0,-25,33,0
37,343,272,1,0,-25,33,0
38,343,272,1,0,-25,33,0
39,343,272,1,0,-25,33,0
40,343,272,1,0,-25,33,0
41,343,272,1,0,-25,33,0
42,343,272,1,0,-25,33,0
43,343,272,1,0,-25,33,0
44,343,272,1,0,-25,33,0
45,343,272,1,0,-25,33,0
46,343,272,1,0,-25,33,0
47,343,272,1,0,-25,33,0
48,343,272,1,0,-25,33,0
49,343,272,1,0,-25,33,0
50,343,272,1,0,-25,33,0
51,343,272,1,0,-25,33,0
52,343,272,1,0,-25,33,0
53,343,272,1,0,-25,33,0
54,343,272,1,0,-25,33,0
55,343,272,1,0,-25,33,0
56,343,272,1,0,-25,33,0
57,-561,199,0,0,-56,33,0
58,-561,199,0,0,-56,33,0
59,-561,199,0,0,-56,33,0
60,-561,199,0,0,-56,33,0
61,-561,199,0,0,-56,33,0
62,-561,199,0,0,-56,33,0
63,-561,199,0,0,-56,33,0
64,-561,199,0,0,-56,33,0
65,-561,199,0,0,-56,33,0
66,-561,199,0,0,-56,33,0
67,-561,199,0,0,-56,33,0
68,-561,199,0,0,-56,33,0
69,-561,199,0,0,-56,33,0
70,-561,199,0,0,-56,33,0
71,-561,199,0,0,-56,33,0
72,-561,199,0,0,-56,33,0
73,-561,199,0,0,-56,33,0
74,-561,199,0,0,-56,33,0
75,-561,199,0,0,-56,33,0
76,-561,199,0,0,-56,33,0
77,-561,199,0,0,-56,33,0
78,-561,199,0,0,-56,33,0
79,-561,199,0,0,-56,33,0
80,-561,199,0,0,-56,33,0
81,-561,199,0,0,-56,33,0
82,-561,199,0,0,-56,33,0
83,-561,199,0,0,-56,33,0
84,-561,199,0,0,-56,33,0
85,-561,199,0,0,-56,33,0
86,-561,199,0,0,-56,33,0
87,-561,199,0,0,-56,33,0
88,-561,199,0,0,-56,33,0
89,-561,199,0,0,-56,33,0
90,-561,199,0,0,-56,33,0
91,-561,199,0,0,-56,33,0
92,-561,199,0,0,-56,33,0
93,-561,199,0,0,-56,33,0
94,-561,199,0,0,-56,33,0
95,-561,199,0,0,-56,33,0
96,-561,199,0,0,-56,33,0
97,-561,199,0,0,-56,33,0
98,-561,199,0,0,-56,33,0
99,-561,199,0,0,-56,33,0
100,-561,199,0,0,-56,33,0
101,-561,199,0,0,-56,33,0
102,-561,199,0,0,-56,33,0
103,-561,199,0,0,-56,33,0
104,-561,199,0,0,-56,33,0
105,-561,199,0,0,-56,33,0
106,-561,199,0,0,-56,33,0
107,-561,199,0,0,-56,33,0
108,-561,199,0,0,-56,33,0
109,-561,199,0,0,-56,33,0
110,-561,199,0,0,-56,33,0
111,-561,199,0,0,-56,33,0
112,-561,199,0,0,-56,33,0
113,-561,199,0,0,-56,33,0
114,-561,199,0,0,-56,33,0
115,-561,199,0,0,-56,33,0
116,77,350,0,0,244,33,0
117,77,350,0,0,244,33,0
118,77,350,0,0,244,33,0
119,77,350,0,0,244,33,0
120,77,350,0,0,244,33,0
121,77,350,0,0,244,33,0
122,77,350,0,0,244,33,0
123,77,350,0,0,244,33,0
124,77,350,0,0,244,33,0
125,77,350,0,0,244,33,0
126,77,350,0,0,244,33,0
127,77,350,0,0,244,33,0
128,77,350,0,0,244,33,0
129,77,350,0,0,244,33,0
130,77,350,0,0,244,33,0
131,77,350,0,0,244,33,0
132,77,350,0,0,244,33,0
133,77,350,0,0,244,33,0
134,77,350,0,0,244,33,0
135,77,350,0,0,244,33,0
136,77,350,0,0,244,33,0
137,77,350,0,0,244,33,0
138,77,350,0,0,244,33,0
139,77,350,0,0,244,33,0
140,77,350,0,0,244,33,0
141,77,350,0,0,244,33,0
142,77,350,0,0,244,33,0
143,77,350,0,0,244,33,0
144,77,350,0,0,244,33,0
145,77,350,0,0,244,33,0
146,77,350,0,0,244,33,0
147,77,350,0,0,244,33,0
148,77,350,0,0,244,33,0
149,77,350,0,0,244,33,0
150,77,350,0,0,244,33,0
151,77,350,0,0,244,33,0
152,77,350,0,0,244,33,0
153,77,350,0,0,244,33,0
154,77,350,0,0,244,33,0
155,77,350,0,0,244,33,0
156,77,350,0,0,244,33,0
157,77,350,0,0,244,33,0
158,77,350,0,0,244,33,0
159,77,350,0,0,244,33,0
160,77,350,0,0,244,33,0
161,77,350,0,0,244,33,0
162,77,350,0,0,244,33,0
163,77,350,0,0,244,33,0
164,77,350,0,0,244,33,0
165,77,350,0,0,244,33,0
166,77,350,0,0,244,33,0
167,77,350,0,0,244,33,0
168,77,350,0,0,244,33,0
169,77,350,0,0,244,33,0
170,77,350,0,0,244,33,0
171,77,350,0,0,244,33,0
172,77,350,0,0,244,33,0
173,77,350,0,0,244,33,0
174,77,350,0,0,244,33,0
175,77,350,0,0,244,33,0
176,77,350,0,0,244,33,0
177,77,350,0,0,244,33,0
178,77,350,0,0,244,33,0
179,77,350,0,0,244,33,0
180,77,350,0,0,244,33,0
181,77,350,0,0,244,33,0
182,77,350,0,0,244,33,0
183,77,350,0,0,244,33,0
184,77,350,0,0,244,33,0
185,77,350,0,0,244,33,0
186,77,350,0,0,244,33,0
187,77,350,0,0,244,33,0
188,77,350,0,0,244,33,0
189,77,350,0,0,244,33,0
190,77,350,0,0,244,33,0
191,77,350,0,0,244,33,0
192,77,350,0,0,244,33,0
193,77,350,0,0,244,33,0
194,77,350,0,0,244,33,0
195,77,350,0,0,244,33,0
196,77,350,0,0,244,33,0
197,77,350,0,0,244,33,0
198,77,350,0,0,244,33,0
199,77,350,0,0,244,33,0
200,77,350,0,0,244,33,0
201,77,350,0,0,244,33,0
202,77,350,0,0,244,33,0
203,77,350,0,0,244,33,0
204,77,350,0,0,244,33,0
205,77,350,0,0,244,33,0
206,77,350,0,0,244,33,0
207,77,350,0,0,244,33,0
208,77,350,0,0,244,33,0
209,77,350,0,0,244,33,0
210,77,350,0,0,244,33,0
211,77,350,0,0,244,33,0
212,77,350,0,0,244,33,0
213,77,350,0,0,244,33,0
214,-76,275,0,0,389,33,0
215,-76,275,0,0,389,33,0
216,-76,275,0,0,389,33,0
217,-76,275,0,0,389,33,0
218,-76,275,0,0,389,33,0
219,-76,275,0,0,389,33,0
220,-76,275,0,0,389,33,0
221,-76,275,0,0,389,33,0
222,-76,275,0,0,389,33,0
223,-76,275,0,0,389,33,0
224,-76,275,0,0,389,33,0
225,-76,275,0,0,389,33,0
226,-76,275,0,0,389,33,0
227,-76,275,0,0,389,33,0
228,-76,275,0,0,389,33,0
229,-76,275,0,0,389,33,0
230,-76,275,0,0,389,33,0
231,-76,275,0,0,389,33,0
232,-76,275,0,0,389,33,0
233,-76,275,0,0,389,33,0
234,-76,275,0,0,389,33,0
235,-76,275,0,0,389,33,0
236,-76,275,0,0,389,33,0
237,-76,275,0,0,389,33,0
238,-76,275,0,0,389,33,0
239,-76,275,0,0,389,33,0
240,-76,275,0,0,389,33,0
241,-76,275,0,0,389,33,0
242,-76,275,0,0,389,33,0
243,-76,275,0,0,389,33,0
244,-76,275,0,0,389,33,0
245,-76,275,0,0,389,33,0
246,-76,275,0,0,389,33,0
247,-76,275,0,0,389,33,0
248,-76,275,0,0,389,33,0
249,-76,275,0,0,389,33,0
250,-76,275,0,0,389,33,0
251,-76,275,0,0,389,33,0
252,-76,275,0,0,389,33,0
253,-76,275,0,0,389,33,0
254,-76,275,0,0,389,33,0
255,-76,275,0,0,389,33,0
256,-76,275,0,0,389,33,0
257,-76,275,0,0,389,33,0
258,-76,275,0,0,389,33,0
259,-76,275,0,0,389,33,0
260,-76,275,0,0,389,33,0
261,-76,275,0,0,389,33,0
262,-76,275,0,0,389,33,0
263,-76,275,0,0,389,33,0
264,-76,275,0,0,389,33,0
265,-76,275,0,0,389,33,0
266,-76,275,0,0,389,33,0
267,-76,275,0,0,389,33,0
268,-76,275,0,0,389,33,0
269,-76,275,0,0,389,33,0
270,-76,275,0,0,389,33,0
271,-76,275,0,0,389,33,0
272,-76,275,0,0,389,33,0
273,-76,275,0,0,389,33,0
274,-76,275,0,0,389,33,0
275,-76,275,0,0,389,33,0
276,-76,275,0,0,389,33,0
277,-76,275,0,0,389,33,0
278,-76,275,0,0,389,33,0
279,-76,275,0,0,389,33,0
280,-76,275,0,0,389,33,0
281,-76,275,0,0,389,33,0
282,-76,275,0,0,389,33,0
283,-76,275,0,0,389,33,0
284,-76,275,0,0,389,33,0
285,-76,275,0,0,389,33,0
286,-76,275,0,0,389,33,0
287,-76,275,0,0,389,33,0
288,-76,275,0,0,389,33,0
289,-76,275,0,0,389,33,0
290,-76,275,0,0,389,33,0
291,-76,275,0,0,389,33,0
292,-76,275,0,0,389,33,0
293,-76,275,0,0,389,33,0
294,-76,275,0,0,389,33,0
295,-76,275,0,0,389,33,0
296,-76,275,0,0,389,33,0
297,-76,275,0,0,389,33,0
298,-76,275,0,0,389,33,0
299,-76,275,0,0,389,33,0
300,-76,275,0,0,389,33,0
301,-76,275,0,0,389,33,0
302,-76,275,0,0,389,33,0
303,-76,275,0,0,389,33,0
304,-76,275,0,0,389,33,0
305,-12,280,1,0,359,33,0
306,-12,280,1,0,359,33,0
307,-12,280,1,0,359,33,0
308,-12,280,1,0,359,33,0
309,-12,280,1,0,359,33,0
310,-12,280,1,0,359,33,0
311,-12,280,1,0,359,33,0
312,-12,280,1,0,359,33,0
313,-12,280,1,0,359,33,0
314,-12,280,1,0,359,33,0
315,-12,280,1,0,359,33,0
316,-12,280,1,0,359,33,0
317,-12,280,1,0,359,33,0
318,-12,280,1,0,359,33,0
319,-12,280,1,0,359,33,0
320,-12,280,1,0,359,33,0
321,-12,280,1,0,359,33,0
322,-12,280,1,0,359,33,0
323,-12,280,1,0,359,33,0
324,-12,280,1,0,359,33,0
325,-12,280,1,0,359,33,0
326,-12,280,1,0,359,33,0
327,-12,280,1,0,359,33,0
328,-12,280,1,0,359,33,0
329,-12,280,1,0,359,33,0
330,-12,280,1,0,359,33,0
331,-12,280,1,0,359,33,0
332,-12,280,1,0,359,33,0
333,-12,280,1,0,359,33,0
334,-12,280,1,0,359,33,0
335,-12,280,1,0,359,33,0
336,-12,280,1,0,359,33,0
337,-12,280,1,0,359,33,0
338,-12,280,1,0,359,33,0
339,-12,280,1,0,359,33,0
340,-12,280,1,0,359,33,0
341,-12,280,1,0,359,33,0
342,-12,280,1,0,359,33,0
343,-12,280,1,0,359,33,0
344,-12,280,1,0,359,33,0
345,-12,280,1,0,359,33,0
346,-12,280,1,0,359,33,0
347,-12,280,1,0,359,33,0
348,-12,280,1,0,359,33,0
349,-12,280,1,0,359,33,0
350,-12,280,1,0,359,33,0
351,-12,280,1,0,359,33,0
352,-12,280,1,0,359,33,0
353,-12,280,1,0,359,33,0
354,-12,280,1,0,359,33,0
355,-12,280,1,0,359,33,0
356,-12,280,1,0,359,33,0
357,-12,280,1,0,359,33,0
358,-12,280,1,0,359,33,0
359,-12,280,1,0,359,33,0
360,-12,280,1,0,359,33,0
361,-12,280,1,0,359,33,0
362,-12,280,1,0,359,33,0
363,-12,280,1,0,359,33,0
364,-12,280,1,0,359,33,0
365,-12,280,1,0,359,33,0
366,-12,280,1,0,359,33,0
367,-12,280,1,0,359,33,0
368,-12,280,1,0,359,33,0
369,-12,280,1,0,359,33,0
370,-12,280,1,0,359,33,0
371,-12,280,1,0,359,33,0
372,-12,280,1,0,359,33,0
373,-12,280,1,0,359,33,0
374,-12,280,1,0,359,33,0
375,-12,280,1,0,359,33,0
