t,x,y,fh,fv,r,s,frame:
0,575,-38,0,0,-10,-119,0
1,575,-38,0,0,-10,-119,0
2,575,-38,0,0,-10,-119,0
3,576,-38,0,0,-10,-119,0
4,576,-38,0,0,-10,-119,0
5,575,-38,0,0,-10,-119,0
6,575,-38,0,0,-10,-119,0
7,575,-38,0,0,-10,-119,0
8,575,-38,0,0,-10,-119,0
9,575,-38,0,0,-10,-119,0
10,575,-38,0,0,-10,-119,0
11,575,-38,0,0,-10,-119,0
12,575,-38,0,0,-10,-119,0
13,575,-38,0,0,-10,-119,0
14,575,-38,0,0,-10,-119,0
15,575,-38,0,0,-10,-119,0
16,575,-38,0,0,-10,-119,0
17,575,-38,0,0,-10,-119,0
18,575,-38,0,0,-10,-119,0
19,575,-38,0,0,-10,-119,0
20,575,-38,0,0,-10,-119,0
21,575,-38,0,0,-10,-119,0
22,575,-38,0,0,-10,-119,0
23,575,-38,0,0,-10,-119,0
24,575,-38,0,0,-10,-119,0
25,575,-38,0,0,-10,-119,0
26,575,-38,0,0,-10,-119,0
27,575,-38,0,0,-10,-119,0
28,575,-38,0,0,-10,-119,0
29,575,-38,0,0,-10,-119,0
30,575,-38,0,0,-10,-119,0
31,575,-38,0,0,-10,-119,0
32,575,-38,0,0,-10,-119,0
33,575,-38,0,0,-10,-119,0
34,575,-38,0,0,-10,-119,0
35,575,-38,0,0,-10,-119,0
36,575,-38,0,0,-10,-119,0
37,575,-38,0,0,-10,-119,0
38,575,-38,0,0,-10,-119,0
39,575,-38,0,0,-10,-119,0
40,575,-38,0,0,-10,-119,0
41,575,-38,0,0,-10,-119,0
42,575,-38,0,0,-10,-119,0
43,575,-38,0,0,-10,-119,0
44,575,-38,0,0,-10,-119,0
45,575,-38,0,0,-10,-119,0
46,575,-38,0,0,-10,-119,0
47,575,-38,0,0,-10,-119,0
48,575,-38,0,0,-10,-119,0
49,575,-38,0,0,-10,-119,0
50,575,-38,0,0,-10,-119,0
51,575,-38,0,0,-10,-119,0
52,575,-38,0,0,-10,-119,0
53,575,-38,0,0,-10,-119,0
54,575,-38,0,0,-10,-119,0
55,575,-38,0,0,-10,-119,0
56,575,-38,0,0,-10,-119,0
57,-115,46,1,1,-51,-61,0
58,-115,46,1,1,-51,-61,0
59,-115,46,1,1,-51,-61,0
60,-115,46,1,1,-51,-61,0
61,-115,46,1,1,-51,-61,0
62,-115,46,1,1,-51,-61,0
63,-115,46,1,1,-51,-61,0
64,-115,46,1,1,-51,-61,0
65,-115,46,1,1,-51,-61,0
66,-115,46,1,1,-51,-61,0
67,-115,46,1,1,-51,-61,0
68,-115,46,1,1,-51,-61,0
69,-115,46,1,1,-51,-61,0
70,-115,46,1,1,-51,-61,0
71,-115,46,1,1,-51,-61,0
72,-115,46,1,1,-51,-61,0
73,-115,46,1,1,-51,-61,0
74,-115,46,1,1,-51,-61,0
75,-115,46,1,1,-51,-61,0
76,-115,46,1,1,-51,-61,0
77,-115,46,1,1,-51,-61,0
78,-115,46,1,1,-51,-61,0
79,-115,46,1,1,-51,-61,0
80,-115,46,1,1,-51,-61,0
81,-115,46,1,1,-51,-61,0
82,-115,46,1,1,-51,-61,0
83,-115,46,1,1,-51,-61,0
84,-115,46,1,1,-51,-61,0
85,-115,46,1,1,-51,-61,0
86,-115,46,1,1,-51,-61,0
87,-115,46,1,1,-51,-61,0
88,-115,46,1,1,-51,-61,0
89,-115,46,1,1,-51,-61,0
90,-115,46,1,1,-51,-61,0
91,-115,46,1,1,-51,-61,0
92,-115,46,1,1,-51,-61,0
93,-115,46,1,1,-51,-61,0
94,-115,46,1,1,-51,-61,0
95,-115,46,1,1,-51,-61,0
96,-115,46,1,1,-51,-61,0
97,-115,46,1,1,-51,-61,0
98,-115,46,1,1,-51,-61,0
99,-115,46,1,1,-51,-61,0
100,-115,46,1,1,-51,-61,0
101,-115,46,1,1,-51,-61,0
102,-115,46,1,1,-51,-61,0
103,-115,46,1,1,-51,-61,0
104,-115,46,1,1,-51,-61,0
105,-115,46,1,1,-51,-61,0
106,-115,46,1,1,-51,-61,0
107,-115,46,1,1,-51,-61,0
108,-115,46,1,1,-51,-61,0
109,-115,46,1,1,-51,-61,0
110,-115,46,1,1,-51,-61,0
111,-115,46,1,1,-51,-61,0
112,-115,46,1,1,-51,-61,0
113,-115,46,1,1,-51,-61,0
114,-115,46,1,1,-51,-61,0
115,-115,46,1,1,-51,-61,0
116,-115,46,1,1,-51,-61,0
117,-115,46,1,1,-51,-61,0
118,-462,86,1,1,92,-45,0
119,-462,86,1,1,92,-45,0
120,-462,86,1,1,92,-45,0
121,-462,86,1,1,92,-45,0
122,-462,86,1,1,92,-45,0
123,-462,86,1,1,92,-45,0
124,-462,86,1,1,92,-45,0
125,-462,86,1,1,92,-45,0
126,-462,86,1,1,92,-45,0
127,-462,86,1,1,92,-45,0
128,-462,86,1,1,92,-45,0
129,-462,86,1,1,92,-45,0
130,-462,86,1,1,92,-45,0
131,-462,86,1,1,92,-45,0
132,-462,86,1,1,92,-45,0
133,-462,86,1,1,92,-45,0
134,-462,86,1,1,92,-45,0
135,-462,86,1,1,92,-45,0
136,-462,86,1,1,92,-45,0
137,-462,86,1,1,92,-45,0
138,-462,86,1,1,92,-45,0
139,-462,86,1,1,92,-45,0
140,-462,86,1,1,92,-45,0
141,-462,86,1,1,92,-45,0
142,-462,86,1,1,92,-45,0
