t,x,y,fh,fv,r,s,frame:
0,-5,294,0,0,0,0,0
1,-5,294,0,0,0,0,0
2,-5,294,0,0,0,0,0
3,-5,294,0,0,0,0,0
4,-5,294,0,0,0,0,0
5,-5,294,0,0,0,0,0
6,-4,293,0,0,0,0,0
7,-2,292,0,0,0,0,0
8,4,289,0,0,0,0,0
9,6,288,0,0,0,0,0
10,8,287,0,0,0,0,0
11,9,287,0,0,0,0,0
12,10,286,0,0,0,0,0
13,12,286,0,0,0,0,0
14,15,285,0,0,0,0,0
15,16,285,0,0,0,0,0
16,18,285,0,0,0,0,0
17,18,285,0,0,0,0,0
18,19,285,0,0,0,0,0
19,20,285,0,0,0,0,0
20,22,285,0,0,0,0,0
21,23,285,0,0,0,0,0
22,24,286,0,0,0,0,0
23,26,287,0,0,0,0,0
24,27,289,0,0,0,0,0
25,28,291,0,0,0,0,0
26,29,294,0,0,0,0,0
27,30,297,0,0,0,0,0
28,31,299,0,0,0,0,0
29,32,300,0,0,0,0,0
30,32,301,0,0,0,0,0
31,32,301,0,0,0,0,0
32,32,301,0,0,0,0,0
33,32,301,0,0,0,0,0
34,32,301,0,0,0,0,0
35,36,298,0,0,0,0,0
36,39,296,0,0,0,0,0
37,44,294,0,0,0,0,0
38,50,291,0,0,0,0,0
39,55,289,0,0,0,0,0
40,60,287,0,0,0,0,0
41,64,284,0,0,0,0,0
42,67,283,0,0,0,0,0
43,69,283,0,0,0,0,0
44,69,283,0,0,0,0,0
45,69,283,0,0,0,0,0
46,69,283,0,0,0,0,0
47,70,283,0,0,0,0,0
48,73,284,0,0,0,0,0
49,76,287,0,0,0,0,0
50,79,289,0,0,0,0,0
51,82,292,0,0,0,0,0
52,85,295,0,0,0,0,0
53,88,297,0,0,0,0,0
54,89,298,0,0,0,0,0
55,90,300,0,0,0,0,0
56,91,300,0,0,0,0,0
57,91,301,0,0,0,0,0
58,92,301,0,0,0,0,0
59,94,302,0,0,0,0,0
60,95,302,0,0,0,0,0
61,97,302,0,0,0,0,0
62,100,302,0,0,0,0,0
63,104,299,0,0,0,0,0
64,107,296,0,0,0,0,0
65,111,293,0,0,0,0,0
66,114,290,0,0,0,0,0
67,117,288,0,0,0,0,0
68,117,288,0,0,0,0,0
69,118,287,0,0,0,0,0
70,118,287,0,0,0,0,0
71,118,287,0,0,0,0,0
72,119,287,0,0,0,0,0
73,119,287,0,0,0,0,0
74,119,287,0,0,0,0,0
75,119,287,0,0,0,0,0
76,119,287,0,0,0,0,0
77,119,287,0,0,0,0,0
78,119,287,0,0,0,0,0
79,119,287,0,0,0,0,0
80,119,287,0,0,0,0,0
81,119,287,0,0,0,0,0
82,119,287,0,0,0,0,0
83,119,287,0,0,0,0,0
84,119,287,0,0,0,0,0
85,119,287,0,0,0,0,0
86,119,287,0,0,0,0,0
87,119,287,0,0,0,0,0
88,119,287,0,0,0,0,0
89,119,287,0,0,0,0,0
90,119,288,1,0,-13,0,0
91,119,288,1,0,-13,0,0
92,119,288,1,0,-13,0,0
93,119,288,1,0,-13,0,0
94,119,288,1,0,-13,0,0
95,119,288,1,0,-13,0,0
96,119,288,1,0,-13,0,0
97,119,288,1,0,-13,0,0
98,119,288,1,0,-13,0,0
99,119,287,1,0,-13,0,0
100,119,284,1,0,-13,0,0
101,119,281,1,0,-13,0,0
102,119,277,1,0,-13,0,0
103,119,275,1,0,-13,0,0
104,119,273,1,0,-13,0,0
105,119,271,1,0,-13,0,0
106,119,267,1,0,-13,0,0
107,119,264,1,0,-13,0,0
108,119,261,1,0,-13,0,0
109,119,259,1,0,-13,0,0
110,119,257,1,0,-13,0,0
111,119,257,1,0,-13,0,0
112,119,257,1,0,-13,0,0
113,119,257,1,0,-13,0,0
114,119,257,1,0,-13,0,0
115,119,257,1,0,-13,0,0
116,119,259,1,0,-13,0,0
117,119,262,1,0,-13,0,0
118,119,268,1,0,-13,0,0
119,119,274,1,0,-13,0,0
120,120,278,1,0,-13,0,0
121,120,282,1,0,-13,0,0
122,121,286,1,0,-13,0,0
123,122,291,1,0,-13,0,0
124,122,295,1,0,-13,0,0
125,123,300,1,0,-13,0,0
126,124,305,1,0,-13,0,0
127,124,305,1,0,-13,0,0
128,124,306,1,0,-13,0,0
129,124,306,1,0,-13,0,0
130,124,306,1,0,-13,0,0
131,124,306,1,0,-13,0,0
132,124,306,1,0,-13,0,0
133,124,306,1,0,-13,0,0
134,125,307,1,0,-13,0,0
135,125,307,1,0,-13,0,0
136,125,308,1,0,-13,0,0
137,125,309,1,0,-13,0,0
