t,x,y,fh,fv,r,s,frame:
0,167,-89,0,0,-20,26,1
1,167,-89,0,0,-20,26,1
2,167,-89,0,0,-20,26,1
3,167,-89,0,0,-20,26,1
4,167,-89,0,0,-20,26,1
5,167,-89,0,0,-20,26,1
6,167,-89,0,0,-20,26,1
7,167,-89,0,0,-20,26,1
8,167,-89,0,0,-20,26,1
9,167,-89,0,0,-20,26,1
10,167,-89,0,0,-20,26,1
11,167,-89,0,0,-20,26,1
12,167,-89,0,0,-20,26,1
13,167,-89,0,0,-20,26,1
14,167,-89,0,0,-20,26,1
15,167,-89,0,0,-20,26,1
16,167,-89,0,0,-20,26,1
17,167,-89,0,0,-20,26,1
18,167,-89,0,0,-20,26,1
19,167,-89,0,0,-20,26,1
20,167,-89,0,0,-20,26,1
21,167,-89,0,0,-20,26,1
22,167,-89,0,0,-20,26,1
23,167,-89,0,0,-20,26,1
24,167,-89,0,0,-20,26,0
25,167,-89,0,0,-20,26,0
26,167,-89,0,0,-20,26,0
27,167,-89,0,0,-20,26,0
28,167,-89,0,0,-20,26,0
29,167,-89,0,0,-20,26,0
30,167,-89,0,0,-20,26,0
31,167,-89,0,0,-20,26,0
32,167,-89,0,0,-20,26,0
33,167,-89,0,0,-20,26,0
34,167,-89,0,0,-20,26,0
35,167,-89,0,0,-20,26,0
36,167,-89,0,0,-20,26,0
37,167,-89,0,0,-20,26,0
38,167,-89,0,0,-20,26,0
39,167,-89,0,0,-20,26,0
40,167,-89,0,0,-20,26,0
41,167,-89,0,0,-20,26,0
42,167,-89,0,0,-20,26,0
43,167,-89,0,0,-20,26,0
44,167,-89,0,0,-20,26,0
45,167,-89,0,0,-20,26,0
46,167,-89,0,0,-20,26,0
47,167,-89,0,0,-20,26,0
48,167,-89,0,0,-20,26,0
49,167,-89,0,0,-20,26,0
50,167,-89,0,0,-20,26,0
51,167,-89,0,0,-20,26,0
52,167,-89,0,0,-20,26,0
53,167,-89,0,0,-20,26,0
54,167,-89,0,0,-20,26,0
55,167,-89,0,0,-20,26,0
56,167,-89,0,0,-20,26,0
57,167,-89,0,0,-20,26,0
58,167,-89,0,0,-20,26,0
59,167,-89,0,0,-20,26,0
60,167,-89,0,0,-20,26,0
61,167,-89,0,0,-20,26,0
62,167,-89,0,0,-20,26,0
63,167,-89,0,0,-20,26,0
64,167,-89,0,0,-20,26,0
65,167,-89,0,0,-20,26,0
66,167,-89,0,0,-20,26,0
67,167,-89,0,0,-20,26,0
68,167,-89,0,0,-20,26,0
69,167,-89,0,0,-20,26,0
70,167,-89,0,0,-20,26,0
71,167,-89,0,0,-20,26,0
72,167,-88,0,0,-20,26,0
73,167,-88,0,0,-20,26,0
74,167,-88,0,0,-20,26,0
75,167,-88,0,0,-20,26,0
76,167,-88,0,0,-20,26,0
77,167,-88,0,0,-20,26,0
78,167,-88,0,0,-20,26,0
79,167,-88,0,0,-20,26,1
80,167,-88,0,0,-20,26,1
81,167,-88,0,0,-20,26,1
82,167,-88,0,0,-20,26,1
83,167,-88,0,0,-20,26,1
84,167,-88,0,0,-20,26,1
85,167,-88,0,0,-20,26,1
86,167,-88,0,0,-20,26,1
87,167,-88,0,0,-20,26,1
88,167,-88,0,0,-20,26,1
89,167,-88,0,0,-20,26,1
90,167,-88,0,0,-20,26,1
91,167,-88,0,0,-20,26,1
92,167,-88,0,0,-20,26,1
93,167,-88,0,0,-20,26,1
94,167,-88,0,0,-20,26,1
95,167,-88,0,0,-20,26,1
96,167,-88,0,0,-20,26,1
97,167,-88,0,0,-20,26,1
98,167,-88,0,0,-20,26,1
99,167,-88,0,0,-20,26,1
100,167,-88,0,0,-20,26,1
101,167,-88,0,0,-20,26,1
102,167,-88,0,0,-20,26,1
103,167,-88,0,0,-20,26,1
104,167,-88,0,0,-20,26,1
105,167,-88,0,0,-20,26,1
106,167,-88,0,0,-20,26,1
107,167,-88,0,0,-20,26,1
108,167,-88,0,0,-20,26,1
109,167,-88,0,0,-20,26,1
110,167,-88,0,0,-20,26,1
111,167,-88,0,0,-20,26,1
112,167,-88,0,0,-20,26,1
113,167,-88,0,0,-20,26,1
114,167,-88,0,0,-20,26,1
115,167,-88,0,0,-20,26,1
116,167,-88,0,0,-20,26,1
117,167,-88,0,0,-20,26,1
118,167,-88,0,0,-20,26,1
119,167,-88,0,0,-20,26,1
120,167,-88,0,0,-20,26,1
121,167,-88,0,0,-20,26,1
122,167,-88,0,0,-20,26,1
123,167,-88,0,0,-20,26,1
124,167,-88,0,0,-20,26,1
125,167,-88,0,0,-20,26,1
126,167,-88,0,0,-20,26,1
127,167,-88,0,0,-20,26,1
128,167,-88,0,0,-20,26,1
129,167,-88,0,0,-20,26,1
130,167,-88,0,0,-20,26,1
131,167,-88,0,0,-20,26,1
132,167,-88,0,0,-20,26,1
133,167,-88,0,0,-20,26,1
134,167,-88,0,0,-20,26,1
135,167,-88,0,0,-20,26,1
136,167,-88,0,0,-20,26,1
137,167,-88,0,0,-20,26,1
138,167,-88,0,0,-20,26,1
139,167,-88,0,0,-20,26,1
140,167,-88,0,0,-20,26,1
141,167,-88,0,0,-20,26,1
142,167,-88,0,0,-20,26,1
143,167,-88,0,0,-20,26,1
144,167,-88,0,0,-20,26,1
145,167,-88,0,0,-20,26,1
146,167,-88,0,0,-20,26,1
147,167,-88,0,0,-20,26,1
148,167,-88,0,0,-20,26,1
149,167,-88,0,0,-20,26,1
150,167,-88,0,0,-20,26,1
151,167,-88,0,0,-20,26,1
152,167,-88,0,0,-20,26,1
153,167,-88,0,0,-20,26,1
154,167,-88,0,0,-20,26,1
155,167,-88,0,0,-20,26,1
156,167,-88,0,0,-20,26,1
157,167,-88,0,0,-20,26,1
158,167,-88,0,0,-20,26,1
159,167,-88,0,0,-20,26,1
160,167,-88,0,0,-20,26,1
161,167,-88,0,0,-20,26,1
162,167,-88,0,0,-20,26,1
163,167,-88,0,0,-20,26,1
164,167,-88,0,0,-20,26,1
165,167,-88,0,0,-20,26,1
166,167,-88,0,0,-20,26,1
167,167,-88,0,0,-20,26,1
168,167,-88,0,0,-20,26,1
169,167,-88,0,0,-20,26,1
170,167,-88,0,0,-20,26,1
171,167,-88,0,0,-20,26,1
172,167,-88,0,0,-20,26,1
173,167,-88,0,0,-20,26,1
174,167,-88,0,0,-20,26,1
175,167,-88,0,0,-20,26,1
176,167,-88,0,0,-20,26,1
177,167,-88,0,0,-20,26,1
178,167,-88,0,0,-20,26,1
179,167,-88,0,0,-20,26,1
180,167,-88,0,0,-20,26,1
181,167,-88,0,0,-20,26,1
182,167,-88,0,0,-20,26,1
183,167,-88,0,0,-20,26,1
184,167,-88,0,0,-20,26,1
185,167,-88,0,0,-20,26,1
186,167,-88,0,0,-20,26,1
187,167,-88,0,0,-20,26,1
188,167,-88,0,0,-20,26,1
189,167,-88,0,0,-20,26,1
190,167,-88,0,0,-20,26,1
191,167,-88,0,0,-20,26,1
192,167,-88,0,0,-20,26,1
193,167,-88,0,0,-20,26,1
194,167,-88,0,0,-20,26,1
195,167,-88,0,0,-20,26,1
196,167,-88,0,0,-20,26,1
197,167,-88,0,0,-20,26,1
198,167,-88,0,0,-20,26,1
199,167,-88,0,0,-20,26,1
200,167,-88,0,0,-20,26,1
201,167,-88,0,0,-20,26,1
202,167,-88,0,0,-20,26,1
203,167,-88,0,0,-20,26,1
204,167,-88,0,0,-20,26,1
205,167,-88,0,0,-20,26,1
206,167,-88,0,0,-20,26,1
207,167,-88,0,0,-20,26,1
208,167,-88,0,0,-20,26,1
209,167,-88,0,0,-20,26,1
210,167,-88,0,0,-20,26,1
211,167,-88,0,0,-20,26,1
212,167,-88,0,0,-20,26,1
213,167,-88,0,0,-20,26,1
214,167,-88,0,0,-20,26,1
215,167,-88,0,0,-20,26,1
216,167,-88,0,0,-20,26,1
217,167,-88,0,0,-20,26,1
218,167,-88,0,0,-20,26,1
219,167,-88,0,0,-20,26,1
220,167,-88,0,0,-20,26,1
221,167,-88,0,0,-20,26,1
222,167,-88,0,0,-20,26,1
223,167,-88,0,0,-20,26,1
224,167,-88,0,0,-20,26,1
225,167,-88,0,0,-20,26,1
226,167,-88,0,0,-20,26,1
227,167,-88,0,0,-20,26,1
228,167,-88,0,0,-20,26,1
229,167,-88,0,0,-20,26,1
230,167,-88,0,0,-20,26,1
231,167,-88,0,0,-20,26,1
232,167,-88,0,0,-20,26,1
233,167,-88,0,0,-20,26,1
234,167,-88,0,0,-20,26,1
235,167,-88,0,0,-20,26,1
236,167,-88,0,0,-20,26,1
237,167,-88,0,0,-20,26,1
238,167,-88,0,0,-20,26,1
239,167,-88,0,0,-20,26,1
240,167,-88,0,0,-20,26,1
241,167,-88,0,0,-20,26,1
242,167,-88,0,0,-20,26,1
243,167,-88,0,0,-20,26,1
244,167,-88,0,0,-20,26,1
245,167,-88,0,0,-20,26,1
246,167,-88,0,0,-20,26,1
247,167,-88,0,0,-20,26,1
248,167,-88,0,0,-20,26,1
249,167,-88,0,0,-20,26,1
250,167,-88,0,0,-20,26,1
251,167,-88,0,0,-20,26,1
252,167,-88,0,0,-20,26,1
253,167,-88,0,0,-20,26,1
254,167,-88,0,0,-20,26,1
255,167,-88,0,0,-20,26,1
